가게ID,가게명,업종,평점,날짜,리뷰내용
1072362475,이미지수,곱창,,9.9,이사와서 맛있는냄새에 들어왔는데 역시 실망안시키는곳이네요 단골해야겠습니다😄
1072362475,이미지수,곱창,,9.9,"항상 맛있게 잘 먹고가요ㅎㅎ 리뷰 쓴거보다 훨씬 많이 방문했습니당👍🏻 일하시는 분들 모두 친절하시고 곱창뿐만 아니라 김치라면, 볶음밥까지 갓벽합니다👏🏻👏🏻 다들 곱창은 천지로!!"
13156952,이미지수,곱창,,9.9,저녁에 방문예약 없이 이용대기 시간 30분 이내일상친척・형제
1240937840,이미지수,양꼬치,,9.9,저녁에 방문예약 없이 이용대기 시간 바로 입장여행혼자
1240937840,이미지수,양꼬치,,9.9,저녁에 방문예약 없이 이용대기 시간 바로 입장일상지인・동료
1240937840,이미지수,양꼬치,,9.9,점심에 방문예약 없이 이용대기 시간 바로 입장나들이연인・배우자
1862524823,이미지수,곱창,,9.8,정말 맛있어요! 모듬곱창시켰는데 양도 많고 추천합니다! 위치도 파크하비오라 좋아요!
1072362475,이미지수,곱창,,9.8,직원분이 정말 친절하고 맛도 너무 맛있어사 또 올 것 같이요!! 사람도 몰리지 않아서 편하게 먹을 수 있었어요!!
13156952,이미지수,곱창,,9.8,미나리 소스랑 직접담으셨다는 파김치가 킥이에요 느끼할 수 있는 곱창 맛을 잡아줘요🥹 곱창도 신선하고 곱이 가득했어요. 먼 곳에서 운동겸 걸어갔는데 너무 만족스러운 식사였습니다.
13156952,이미지수,곱창,,9.8,퇴근시간이라 당연히 웨이팅이 있었고 (15분?!) 맛있게 잘먹고 가요 ! 동네맛집이라고 여기로 모임했는데 나쁘지않네여! 파는김치가 아니라 담근 김치라는게 인상적!
1862524823,이미지수,곱창,,9.7,저녁에 방문예약 후 이용대기 시간 바로 입장가족모임아이
13156952,이미지수,곱창,,9.7,모든 분들이 편하게 드실수 있고 만족할수 있도록 항상 노력하고 있습니다~ 감사합니다^^
13156952,이미지수,곱창,,9.7,저녁에 방문예약 없이 이용대기 시간 바로 입장데이트연인・배우자
13156952,이미지수,곱창,,9.7,평상시에 즐겨먹는 집이여서 여자친구를 데리고 방문했습니다 맛에 굉장히 엄격한 여자친구가 극찬을 했습니다. 정말 뿌듯합니다
