가게ID,가게명,평점,날짜,리뷰내용
1078137749,센티넬,,,남자친구 생일 기념으로 왔는데 분위기며 음식 퀄리티도 너무 좋아요!! 특히 리조또 정말 맛있습니다!
1078137749,센티넬,,,"너무 맛있고, 분위기 좋네요. 가로수길오니 여기가 인기많네요. 인기 많은 이유가 있네요"
1078137749,센티넬,,,너무맛있어요!!! 또오고싶어요 ㅎㅎ 인테리어도 너무 예쁘고 사장님이 너무 친절하셔요
1078137749,센티넬,,,너무맛있어요!!! 또오고싶어요 ㅎㅎ 인테리어도 너무 예쁘고 사장님이 너무 친절하셔요
1078137749,센티넬,,,노랑색 머리 알바생이 처음에 문도 열어주고 식기 떨어졌는데 바로 가져다주고 들어가자마자 알바생이 너무 친절해서 기분이 좋았습니다 심지어 음식이 예쁘게 나오는데 맛있어요 매장 분위기도 너무 좋아 혼자 왔는데 심심하지 않았습니다
1078137749,센티넬,,,더치베이비랑 화이트라구 리조또 먹었어요!! 분위기가 좋고 음식이 맛있어요ㅎㅎㅎㅎ
1078137749,센티넬,,,더치베이비랑 화이트라구 리조또 먹었어요!! 분위기가 좋고 음식이 맛있어요ㅎㅎㅎㅎ
1078137749,센티넬,,,"리코타치즈샐러드랑 트리플머쉬룸리조또 주문했는데, 재료 신선하고 맛도 훌륭했어요."
1078137749,센티넬,,,맛있는 브런치 먹고싶어서 검색해서 왔는데 너무 좋은 선택인거같아요 😚 팬케이크 위에 브런치 푸짐한 것도 특이하고 완전 맛있습니당 😋 에그베네틱트도 맛있어요!
1078137749,센티넬,,,맛있는 브런치 먹고싶어서 검색해서 왔는데 너무 좋은 선택인거같아요 😚 팬케이크 위에 브런치 푸짐한 것도 특이하고 완전 맛있습니당 😋 에그베네틱트도 맛있어요!
1078137749,센티넬,,,베이컨 샌드위치랑 바질 올리오알리오 먹었는데 맛있어요! 특히 샌드위치 강추! 자리에 앉으니까 분위기있게 초도 켜주셨어요!
1078137749,센티넬,,,분위기 좋아서 2차 안가고 오래 있으려고 메뉴 4개 시켰는데 다 성공했습니다 😋 트러플 머쉬룸 리조또랑 과일 치즈 바게트는 다음에도 또 시킬래요 ㅠㅠ 조도 낮고 이야기 하기 좋아서 데이트나 소개팅 장소로 추천입니다!!!
