가게ID,가게명,평점,날짜,리뷰내용
13574087,듀자미 가로수길점,,,2층의 넓고 쾌적한 공간에서 제대로 된 케이크 드시고 싶으시다면 방문해 보시길 추천드려요.
13574087,듀자미 가로수길점,,,"“맛있게 즐겨주셔서 감사합니다😊 케이크도, 에이드도 만족하셨다니 정말 힘이 나요! 신사역카페 듀자미에서 달콤+상큼한 순간을 또 준비해둘게요☕🍰🥤”"
13574087,듀자미 가로수길점,,,“신사역카페 듀자미에 오신 걸 환영해요🙌 밀폐유는 ‘좋은 버터+숙련된 기술 풀코스’가 필요한 디저트랍니다😉 맛있게 즐겨주셔서 감사해요. 또 특별한 케이크로 놀라게 해드릴게요!”
13574087,듀자미 가로수길점,,,"“와, 최애 카페로 꼽아주셔서 정말 힘이 나요🙌 카라멜소금케이크·말차산딸기케이크·딥로얄밀크티까지 듀자미만의 디저트를 맛있게 즐겨주셔서 감사합니다! 신사역카페 듀자미에서 또 만나요☕🍰”"
13574087,듀자미 가로수길점,,,"▶️보늬밤밤밤🌰 무려 6층 레이어✨️가 쌓인 밤케이크예요. 쏟아지는 블루리본💙답게 케이크 크림이 깔끔하고, 커피와 잘 어울려요. 밤크림이 매우 good❤️이라서, (지극히 개인적 의견으로) 에스프레소 들어간 밤티라미수 메뉴가 나오면 정말 맛있을 것 같아요.😋🫶"
13574087,듀자미 가로수길점,,,가로수길카페 듀자미의 다양한 케이크가 마음에 드셔서 기쁩니다.
13574087,듀자미 가로수길점,,,그동안 1층만 있는줄 알았는데 2층이 넓고 테이블도 많아서 놀랐어요. 아메리카노 원두 선택할 수 있어서 좋아요.
13574087,듀자미 가로수길점,,,기본적인 초는 같이 주시면 좋을것같아요~ 조각케이크도 아니고 홀케이크 사는데 초는 따로 구입이라니 급하게 초를 구하느라 힘들었네요..
13574087,듀자미 가로수길점,,,"단 게 땡길땐 언제나 듀자미로 향합니다. 케익 종류가 많고 맛이 좋거든요. 특히, 보니밤 케익과 카라멜솔트 케익은 제 최애에요. 신사동에 빛나는 디저트 카페 듀자미!! 애정합니다~ 🫶"
13574087,듀자미 가로수길점,,,듀자미의 디저트와 음료가 달콤한 순간을 드린 것 같아 기쁩니다.
