가게ID,가게명,평점,날짜,리뷰내용
1136933064,호보식당 강남역삼본점,,,간만에 갈비가 먹고싶어서 검색하다가 발견한 맛집 호보식당이에요! 가게 앞에 차 댈수있어서 주차도 간편하고 고기도 직접 다 구워주셔서 일단 편안함이 가득했습니다! 맛은 자극적이지도 밍밍하지도 않은 딱 정석 갈비 맛이였어요! 냉면이 빠질수 없어서 물냉면 함께 시켜서 고기 한점 싸서 먹으니 진짜 맛있더라구요🥹 계란찜도 처음보는 비쥬얼에 가격이 꽤나 있어서 놀랬는데 이 정도 퀄리티와 맛 이면 식사류 못지 않을 정도로 괜찮았답니다. 그리고 역시나 식사중에도 계속 손님들이 오시는 맛집이였어요 !! 역삼역 갈비집 하면 호보식당 무조건 추천드립니다 볶음밥도 진짜 맛있으니 꼬옥 드세요 👍👍👍👍👍😊😊
1136933064,호보식당 강남역삼본점,,,갈비뼈에서 ‘포’를 떠서 만든 정통 돼지갈비라고하는데
1136933064,호보식당 강남역삼본점,,,강남 수많은 고기집 중 … 제가 언제나 가족들 몰고 가는 곳입니다 ㅋㅋㅋㅋ ❤️❤️
1136933064,호보식당 강남역삼본점,,,강남 수많은 고기집 중 … 제가 언제나 가족들 몰고 가는 곳입니다 ㅋㅋㅋㅋ ❤️❤️
1136933064,호보식당 강남역삼본점,,,고객님의 따듯한 리뷰 덕분에 오늘도 힘이 납니다! 저희가 하는 일이 보람차다고 느끼는 순간이네요.. 🤍
1136933064,호보식당 강남역삼본점,,,고객님의 따듯한 리뷰 덕분에 오늘도 힘이 납니다! 저희가 하는 일이 보람차다고 느끼는 순간이네요.. 🤍
1136933064,호보식당 강남역삼본점,,,"고기가 정말 신선하고 육즙 가득해서 한 입 먹자마자 감탄이 절로 나와요😍 숯불 향까지 더해져서 고소함이 배가 되고, 반찬들도 하나하나 정갈해서 고기랑 찰떡궁합이에요💖"
1136933064,호보식당 강남역삼본점,,,그리고 무엇보다 저처럼 술을 좋아하는 애주가 분들은 여기 무조건 가세요~ 하이볼이 종류별로~!!!! 뙇~!!^^
1136933064,호보식당 강남역삼본점,,,근처에 직장이 있는 친구랑 만나서 돼지갈비랑 LA갈비 먹었는데 양념도 적당하고 단짠 고기 맛있게 먹었습니다. 볶음밥이랑 물냉면 등 사이드 메뉴도 맛있었구요. 특히나 토마토계란찜은 처음 만나는 근사한 음식이었어요. b
1136933064,호보식당 강남역삼본점,,,너무너무 맛있어서 다시왔어요 ㅎㅎ 한번갔었는데 계속 생각이 나더라고요 ~ 친구랑 갔다가 그친구랑 다시 왔어요 ~ 사장님도 친절하시고 매장도 깔끔하고 그보다 역시 음식이 맛있어서 찾게되더라고요 ㅎㅎ☺️
1136933064,호보식당 강남역삼본점,,,늘 좋은 재료로 정성껏 준비하는 이유는 바로 이런 순간 때문인 것 같아요.. ❤️ 언제 방문해주셔도 실망 없도록 정성을 다하겠습니다.
1136933064,호보식당 강남역삼본점,,,단체모임이나 청첩장모임하기 좋은 역삼역 고기집이에요! 소갈비부터 돼지고기까지 종류가 다양해서 취향껏 먹기 좋았음😆😆 다 맛있어서 다음에 또 재방문예정!!
1136933064,호보식당 강남역삼본점,,,마늘갈비 종맛 ㅠㅠ 호보식당 유명한 이유가 있어요 역삼역 고깃집 중에서 손에 꼽히게 맛있는듯!!! 마늘갈비 너무 맛있고 육회물회도 완전 요물입니다 진짜 존맛~~~~♡
1136933064,호보식당 강남역삼본점,,,마늘갈비도 잡내없이 굉장히 부드러웠고 구워주는고기집이라 너무 좋았습니다
1136933064,호보식당 강남역삼본점,,,마늘소갈비 맛집 호보식당 방문했어요 '-' 인테리어는 회식장소로 좋아보였어요! 처음에는 갈비 위에 저렇게 마늘이 산처럼 쌓여서 나오는데 이거를 퍼서 소스에다가 넣고 그 소스를 고기와 함께 같이 불판에 올려주고요~ 잘익은 고기로 소스에 있는 마늘을 듬뿍 퍼서 먹으면 맛도리랍니다~ 그리고 여기만의 한우육회물회 메뉴가 있는데 마치 육회가 물회 안에 들어가는 회 같은 식감이 나서 맛있고 신기했어요!!ㅎㅎ 음료는 체리하이볼을 먹었는데 안에 계피를 넣어주셔서 향이 넘 좋았습니다 또 방문하고 싶어요 :)
1136933064,호보식당 강남역삼본점,,,마늘소갈비 맛집 호보식당 방문했어요 '-' 인테리어는 회식장소로 좋아보였어요! 처음에는 갈비 위에 저렇게 마늘이 산처럼 쌓여서 나오는데 이거를 퍼서 소스에다가 넣고 그 소스를 고기와 함께 같이 불판에 올려주고요~ 잘익은 고기로 소스에 있는 마늘을 듬뿍 퍼서 먹으면 맛도리랍니다~ 그리고 여기만의 한우육회물회 메뉴가 있는데 마치 육회가 물회 안에 들어가는 회 같은 식감이 나서 맛있고 신기했어요!!ㅎㅎ 음료는 체리하이볼을 먹었는데 안에 계피를 넣어주셔서 향이 넘 좋았습니다 또 방문하고 싶어요 :)
1136933064,호보식당 강남역삼본점,,,"마늘의 민족이라고 불리는 한국인답게 마늘갈비 매력에 퐁당 빠져버렸어요..♥ 간이 세지 않고 슴슴해서 물리지 않고 많이 먹을 수 있고, 알싸한 마늘의 풍미는 제대로 느낄 수 있어요! 앞으로 양념갈비가 아니라 호보식당 마늘갈비만 찾게될듯 ϵ( 'Θ' )϶ ♥"
1136933064,호보식당 강남역삼본점,,,"마늘이 듬뿍 올려져 있어서 처음엔 매울까 걱정했는데, 구워지면서 은은하게 단맛이 나고 고기랑 정말 잘 어울렸어요.밑반찬도 깔끔하고 고기랑 같이 먹기 딱 좋았고, 양도 많아서 배부르게 먹고 왔습니다."
1136933064,호보식당 강남역삼본점,,,"마늘이 듬뿍 올려져 있어서 처음엔 매울까 걱정했는데, 구워지면서 은은하게 단맛이 나고 고기랑 정말 잘 어울렸어요.밑반찬도 깔끔하고 고기랑 같이 먹기 딱 좋았고, 양도 많아서 배부르게 먹고 왔습니다."
1136933064,호보식당 강남역삼본점,,,"맛있는 고깃집 찾다가 알게된 호보식당 다녀왔어요! 저랑 남자친구 모두 입맛도 까다롭고 잘 먹는 편인데, 여기 고기 엄청 정갈하고 깔끔해서 너무 만족스럽게 먹었어용!! 강남 데이트 코스로 완전 강추입니당 💜 가족끼리 와도 좋을 것 같아요!! 맛있게 먹고 갑니당"
1136933064,호보식당 강남역삼본점,,,"맛있는 고깃집 찾다가 알게된 호보식당 다녀왔어요! 저랑 남자친구 모두 입맛도 까다롭고 잘 먹는 편인데, 여기 고기 엄청 정갈하고 깔끔해서 너무 만족스럽게 먹었어용!! 강남 데이트 코스로 완전 강추입니당 💜 가족끼리 와도 좋을 것 같아요!! 맛있게 먹고 갑니당"
1136933064,호보식당 강남역삼본점,,,믿고 먹는 호보식당. 마늘갈비도 맛있는데 돼지갈비가 땡겨 포갈비 주문했어요. 소갈비만큼 부드럽고 넘 맛도리네요. 토마토 계란찜도 포슬포슬하고 치즈폭탄~~ 삼겹살도 1인분 추가해보았는데 고기는 다 맛있네요. 다음엔 부모님 모시고 올게요👍
1136933064,호보식당 강남역삼본점,,,반찬 많은 고깃집 좋아하는데 여긴 반찬도 많고 소스도 많아서 너무 좋아요! 백세하이볼은 술찌인데도 먹을수있게 달달해서 맛있었고 깍두기볶음밥도 고기 듬뿍 들어서 예술입니다.. 냉면에 갈비조합은 말모말모💖
1136933064,호보식당 강남역삼본점,,,사이드로 시킨 토마토계란찜은 일반적인 계란찜과 다르게 토마토랑 치즈가 가득 들어있어서 이것 자체로 또 하나의 요리 같았어요! 갈비깍두기볶음밥도 후식으로 딱 좋았습니다~ 다음에 또 오고 싶어요!
1136933064,호보식당 강남역삼본점,,,사이드로 시킨 토마토계란찜은 일반적인 계란찜과 다르게 토마토랑 치즈가 가득 들어있어서 이것 자체로 또 하나의 요리 같았어요! 갈비깍두기볶음밥도 후식으로 딱 좋았습니다~ 다음에 또 오고 싶어요!
1136933064,호보식당 강남역삼본점,,,"생일 기념으로 방문한 호보식당! 원래 유명한 곳이지만 고기 질도 너무 좋고 사이드 메뉴는 독보적인 수준입니다.. 토마토 계란찜과 물냉 그리고 갈비깍두기 볶음밥이 갈비랑 너무 잘어울려서 놀람,,"
1136933064,호보식당 강남역삼본점,,,소갈비 입에서 녹고 한우육회물회는 진짜 육회가 반 이상이에요!! 양도 엄청 많고 신선해요!
1136933064,호보식당 강남역삼본점,,,양념갈비에 깍두기 볶음밥…믿고 먹는 조합이에요🥹🥹🥹 소스도 여러가지여서 질리지 않고 골라먹는 재미가 있어요
1136933064,호보식당 강남역삼본점,,,역삼 고기맛집 호보식당 다녀왔어요. 고기는 부드럽고 깊은맛이 나서 알고보니까 채수로 양념한다고 하시더라고요? 너무 신기했습니다! 고기와 먹는 양념 하나하나 너무 맛있고 여러가지 주셔서 다양하게 즐기기 좋았어요!
1136933064,호보식당 강남역삼본점,,,역삼에서 볼 일 보고 남자친구랑 역삼역 고기집 찾아왔어요! 세상에 너무 맛있네요ㅜㅠ 사이드들도 다 맛잇고 분위기도 너무좋아서 데이트하기 좋아여 안쪽에 단체석도 잇어서 회식해도 너무 좋을 것 같아요!! 워크인 예약 손님 다들 많으시네용 추천입니다!!
1136933064,호보식당 강남역삼본점,,,역삼에서 볼 일 보고 남자친구랑 역삼역 고기집 찾아왔어요! 세상에 너무 맛있네요ㅜㅠ 사이드들도 다 맛잇고 분위기도 너무좋아서 데이트하기 좋아여 안쪽에 단체석도 잇어서 회식해도 너무 좋을 것 같아요!! 워크인 예약 손님 다들 많으시네용 추천입니다!!
1136933064,호보식당 강남역삼본점,,,"역삼역 고깃집 중 분위기와 맛, 친절한 서비스까지 다 잡은 집이 아닐까 싶어요!! 짭쪼름하면서 달달한 갈비가 정말 부드럽고 사이드도 다양하고 맛있어요~~ 매장이 넓고 쾌적해서 회식 장소로도 제격이에요!!"
1136933064,호보식당 강남역삼본점,,,"역삼역 고깃집 중 분위기와 맛, 친절한 서비스까지 다 잡은 집이 아닐까 싶어요!! 짭쪼름하면서 달달한 갈비가 정말 부드럽고 사이드도 다양하고 맛있어요~~ 매장이 넓고 쾌적해서 회식 장소로도 제격이에요!!"
1136933064,호보식당 강남역삼본점,,,와... 퇴근하고 방문했는데 정말 맛있어서 기절할 뻔 했습니다ㅜㅜ 마늘갈비 먹으러 갔다가 육회물회에 반했어요 정말... (물론 고기도 진짜 맛있음) 고기도 직접 구워주시는데 타지 않게 계속 신경 써주셔서 감사했어요. 퇴근 시간이라 사람도 많은데... 마늘갈비 정말 추천 드립니다!! 둘이서 반판이면 딱 좋은 거 같아요
1136933064,호보식당 강남역삼본점,,,원래 마늘갈비 먹으러 무조건 오는데 포갈비도 ㄹㅇ 강추!!!! 🙌🙌
1136933064,호보식당 강남역삼본점,,,원래 마늘갈비 먹으러 무조건 오는데 포갈비도 ㄹㅇ 강추!!!! 🙌🙌
1136933064,호보식당 강남역삼본점,,,저녁에 방문예약 없이 이용대기 시간 바로 입장일상부모님
1136933064,호보식당 강남역삼본점,,,저녁에 방문예약 없이 이용대기 시간 바로 입장친목친구
1136933064,호보식당 강남역삼본점,,,점심에 방문예약 없이 이용대기 시간 바로 입장데이트연인・배우자
1136933064,호보식당 강남역삼본점,,,점심에 방문예약 없이 이용대기 시간 바로 입장데이트연인・배우자
1136933064,호보식당 강남역삼본점,,,"점심에 방문예약 후 이용대기 시간 바로 입장데이트, 친목친구, 지인・동료"
1136933064,호보식당 강남역삼본점,,,집 근처 자주 찾아오는 소갈비 집입니다! 마늘 소스가 너무 맛있어요!! 양념도 진하지 않고 좋아요~~
1136933064,호보식당 강남역삼본점,,,파채소스도 넘 맛있네요 매장 자체가 깨끗이 운영되고 반찬 먹을것도 많아요. 고추장아찌도 진짜 맛있고 물냉면도 매콤하게 나오는데 소주를 부르는맛이에요👍 넘 맛있어서 배부른 식사했어요. 앞으로 고기집은 호보식당 올거예요 ㅎㅎ 완전 추천합니다
