가게ID,가게명,평점,날짜,리뷰내용
1364516484,피크베크,,,"개포동 피크베크는 아담하지만 아늑한 분위기가 매력적인 브런치 카페예요. 대표 메뉴인 볼로네제 라구 파스타는 진하고 깊은 맛의 라구 소스가 면에 잘 배어 있어 만족스러웠어요. 고기 씹는 맛도 좋고, 향긋한 바질 향이 풍미를 더해줍니다. 함께 주문한 프렌치토스트는 겉은 바삭하고 속은 촉촉한 식감이 일품이었어요. 시럽과 크림이 올라가 부드러우면서도 달콤한 맛이 좋았습니다. 전체적으로 재료 본연의 맛을 살린 깔끔한 요리였고, 조용한 분위기에서 여유롭게 식사하기에 딱이었어요."
1364516484,피크베크,,,근처 지나다니며 찜해놨던 집. 지인과 브런치하러 왔어요. 와구와구 먹어버려서 음식 사진도 못찍었네요ㅋㅋ 소금버터 베이젤 겉보기와 달리 살짝달콤짭짤 쫄깃폭신한 맛이예요. 옴총 맛있어요~
1364516484,피크베크,,,내부 인테리어 예쁘고 음식도 가성비 있고 맛있게 잘 먹구 갑니당! 담에 또 방문할 거 같아용🥰
1364516484,피크베크,,,"늦은 오후에 찾아 커피를 못마셔봤는데, 다음에 기회가 되면 좀 일찍 와서 커피에 브런치도 먹어봐야겠어요 :)"
1364516484,피크베크,,,다만 오늘은 계속해서 시끄럽게 외치고 와르르 웃어대는 단체객들에 몹시 기분이 상했다. 한밤중 호프집 앉아있는 줄.(아침 9시였다)
1364516484,피크베크,,,단체석도 있고 아이랑 가서 식사하기에도 좋아요. 볼로네제 스파게티 맵지 않고 맛있어요. 단호박 스프는 은은하게 달콤하고 건깅한 맛이에요.
1364516484,피크베크,,,"동네 있어서 가봤는데 규모도 나름 크고 테라스 자리도 있어요. 주차는 바로 길건너 포이초 공영주차장 이용하면 되서 편해요 ㅎ 가격 그렇게 비싸지않고 브런치 메뉴 나쁘지않아요. 빵은 크로와상, 베이글류, 페스츄리 등으로 커피나 음료랑 곁들일 빵이 주로있습니다. 단체석도 마련되어 있어서 미리 예약해서 이용해도 괜찮을것같아요."
1364516484,피크베크,,,"매장 인테리어가 차분하고 예뻐요! 대화하기에도, 작업하기에도 좋은 카페인 것 같아요 👍"
1364516484,피크베크,,,분위기도 좋고 베이커리랑 브런치도 맛있어서 종종 오는 곳이에요! 직원분들도 친절하십니다
1364516484,피크베크,,,"브런치 플레이트랑 크림 파스타 먹었는데, 재료가 신선하고 맛도 깔끔했어요. 소시지랑 베이컨이 특히 맛있고, 스크램블에그도 부드럽습니다. 파스타는 크리미하지만 느끼하지 않아 끝까지 맛있게 먹었어요. 플레이팅도 예쁘고 양도 넉넉해서 만족스러웠습니다."
1364516484,피크베크,,,빵도 매일 나오는 시간대가 있어서 띠끈한 빵을 먹을 수 있어 좋아요! 매장도 크고 좌석 가격도 넓어서
1364516484,피크베크,,,빵도 커피도 브런치 메뉴도 다 맛있고 저녁 8시 이후엔 빵 종류 30 프로 할인이 되어서 다음날 먹을 빵 사가지고 가면 좋을 것 같아요.
1364516484,피크베크,,,새로 통창으로 보이는 국악고 풍경도 이쁘고 매장이 예뻐요. 파스타랑 빵도 맛있어요. 근데 커피는 좀 더 맛있으면 좋겠어요.
