가게ID,가게명,평점,날짜,리뷰내용
1893046652,루프탑 바 디아만테,,,5월 행사로 여성분들께 드린다며 릴렛토닉도 서비스로 주시는데 산뜻한 맛에 추가주문하고 싶을 정도였음!
1893046652,루프탑 바 디아만테,,,5층 루프탑바 디아만테 좋았던 기억으로 4층도 방문했습니다~!
1893046652,루프탑 바 디아만테,,,❣️ 맛：현재 시그니처 메뉴가 1+1 행사중이었는데 양이 너무 많고 너무 맛있어서 이렇게 행사를 해도 되나 할 정도로 최고였습니다. 특히 킹크랩 로제 소스 링귀니가 정말 맛있더라고요. 킹크랩이 제대로 들어 있어요.
1893046652,루프탑 바 디아만테,,,굿이었겠지만요 바람이 불고 햇빛은 따가워서 오픈안되어서 오늘은 더 굿이었네요^^; 음식도 깔끔에 맛나고 음식전달해주시는 분들의 친절함까지 캬~~~ 굿굿굿재방문도 있고요
1893046652,루프탑 바 디아만테,,,"금요일 당일 기념할 분위기 있는 곳 찾다가 밤10시 넘어서 급하게 예약함에도 불구하고 , 발렛 당연히 됨!"
1893046652,루프탑 바 디아만테,,,"날씨 좋고 분위기 끝장나요~ 적당한 바람, 좋은 음악, 친절한 서비스, 인테리어가 아주 고급스럽고 세련됐어요 데이트, 모임 강력추천합니다. 음식 다 맛있었어요 최고에요!! 잠시 어느 고급 리조트에 놀러갔다온 느낌 ㅎㅎ 대 힐링 시간이었습니다. 웰컴드링크도 한잔씩 주고 하니 기분이 좋았어요 진갈빗살 스테이크 짱 맛있고,, 깔라마리 오징어가 진짜 부드러워요 양도 많아요 한우라구리가토니는 다른 어느집보다도 여기가 제일 맛있었어요"
1893046652,루프탑 바 디아만테,,,날씨가 좋아서 루프탑 온 기분 내기 정말 좋았어요. 웰컴 칵테일을 무료로 주셔서 기분이 엄청 좋았어요. (여성의날이벤트래요)~ 음식 맛은 진짜 최고예요 플라워칵테일 세트주문으로 여러가지 맛을 다양하게 마셔볼 수 있어서 좋았어요. 요즘 날씨에 루프탑바 꼭 가보세요.
1893046652,루프탑 바 디아만테,,,"남편회사가 압구정인데 저도 강남쪽에 볼일이 있어서 점심을 함께 먹기로 하고 어디서 먹을까 검색해보던중 밤에만 가봤던 루프탑바가 런치에도 운영한다고 하여 방문했습니다~ 같은 건물에 있는 비노탭에서 파스타 맛있게 먹었던 기억에 저는 하이볼도 먹고 싶었는데 정말 안성맞춤이였어요. 밤에 가면 천장도 열려서 분위기 넘나 좋은데, 낮시간에도 햇살이 들어오는 화이트인테리어가 꼭 휴양지온 기분이더라구요. 샐러드와 파스타 주문했는데.. 정말 신선하고 맛있었어요! 하이볼도 맛있었는데 웰컴이벤트로 주신 웰컴칵테일도 정말 맛있었어요. 메뉴화 기대할께요~~ 시에나 라운지의 레스토랑들은 누구든 함께가면 기분좋게 먹고 칭찬받는곳인거 같아요. 가성비도 좋고!! 정말 추천합니다."
1893046652,루프탑 바 디아만테,,,넘넘 좋아하는 청담동 루프탑바인데 아롱사태스튜 처음 보는 메뉴라 요번에 츄라이해 보았어용 먹어보고 반했다는 ㅎㅎ 진짜 넘 맛있고 고기도 많고 가성비 너무 좋은 메뉴였어요
1893046652,루프탑 바 디아만테,,,데이트로 왔는데 분위기도 좋고 음식 맛도 맛있어요! 진갈비살 꼭드세요 고기 넘 부드러워요!! 데이트 아니여도 모임으로오고 담소 나누기에도 좋을 것 같아요.
