가게ID,가게명,평점,날짜,리뷰내용
1508948656,고고램양꼬치,,,2024년 마무리를 고고램에서 하길 너무 잘한듯 ㅎㅎ
1508948656,고고램양꼬치,,,강남구청역 양꼬치 맛집 찾고 계신다면 무조건 고고램!!!
1508948656,고고램양꼬치,,,"결혼식장 방문했다가 저녁에 뒤풀이하러 방문했어요! 지하인줄 알았는데, 지상이라서 완전 깔끔하고 쾌적해서 모임하기 딱이었어요! 매장 인테리어도 예쁘고 주차도 가능하고 시원하니 여름철 이용도 편했어요~👍 저희는 양꼬치&양갈비꼬치&꿔바로우 주문! 참숯 넣어주시고 화력도 세서 금새 익더라구요! 양꼬치가 어리고 신선한 양을 사용해서 야들야들하고 잡내가 전혀 없었어요! 양갈비꼬치는 부드럽기까지해서 입 안에서 살살 녹는데 진짜 소고기같아요~ 쯔란 받아서 시즈닝, 간장소스에 찍어먹으니 딱 좋네요 ㅎㅅㅎ 꿔바로우는 완전 겉바속촉하면서 찹쌀이 들어서 쫀쫀한 맛까지 일품이에요! 쫜득 바삭한 게 먹어도 먹어도 맛나서 자꾸 손이 갔던 강남구청역 맛집! 다른 중화요리도 다양해서 다음엠 다른 거 먹으러 재방문 하려구요~ 친절하셨어요!"
1508948656,고고램양꼬치,,,"고기도 신선하고, 나머지 요리류도 정말 맛있었어요!!!"
1508948656,고고램양꼬치,,,그리고 음식 양 자체도 푸짐해서 최고!
1508948656,고고램양꼬치,,,깔끔하고 맛있는 양꼬치집이에요. 간이 적당해서 자극적이지 않게 즐길 수 있어요.
1508948656,고고램양꼬치,,,넘 맛있는 양꼬치집이에요 직원분도 친절하고 친구들이랑 갔는데 다들 좋다고 했어요
1508948656,고고램양꼬치,,,"다른 요리류도 맛보고 싶었지만, 배가 너무 부른 관계로 ^.ㅠ"
1508948656,고고램양꼬치,,,다른 집들보다 고기가 통통하고 잡내가 없어서 너무 좋았어요! 맛있게 잘 먹었습니당😎
1508948656,고고램양꼬치,,,다음 모임도 또 여기서 하자고 하네요ㅋㅋㅋ
1508948656,고고램양꼬치,,,데리고 오는 지인들마다 다 좋아해요 ㅎㅎ
1508948656,고고램양꼬치,,,돈 생각 안하고 계속 추가추가추가 한듯… ㅎㅎ
1508948656,고고램양꼬치,,,"리뷰 853사진 1,634팔로워 96"
1508948656,고고램양꼬치,,,"리뷰 853사진 1,634팔로워 96"
1508948656,고고램양꼬치,,,맛있는 양꼬치에 존맛꿔바로우까지~~~~
1508948656,고고램양꼬치,,,"메뉴도 다양하고, 정성스럽게 잘 나옵니다 ㅎㅎ"
