가게ID,가게명,평점,날짜,리뷰내용
1472142184,복돈이 막회 물회 육회 해산물 역삼본점,,,가성비 좋은 회와 해산물 먹고 싶을 때 생각나는 복돈이 왔어요. 신선해서 어떤 메뉴를 주문해도 만족스러운 역삼 횟집 막회의 쫀쫀하고 탱글탱글한 식감도 육회 낙지도 너무 맛있게 먹고 왔어요~~^^
1472142184,복돈이 막회 물회 육회 해산물 역삼본점,,,가을 전어 너무 맛있어요 💕 새로 오픈 한 곳인데 너무너무 사장님 친절하고 좋으세요 ❤️❤️❤️❤️
1472142184,복돈이 막회 물회 육회 해산물 역삼본점,,,기본 반찬들도 정말 신선하고 직원분들도 친절하시고 기분좋게 배불리 맛있게 잘 먹고 갑니다!
1472142184,복돈이 막회 물회 육회 해산물 역삼본점,,,내부도 너무 넓고 회라는 음식 특성상 항상 위생걱정이 앞선데 내부 주방 모두 너무 청결해보여서 그런걱정 안하고 지인 분들이랑 맛있게 먹었습니다!!
1472142184,복돈이 막회 물회 육회 해산물 역삼본점,,,너어무 마싯어요 전어 근처에 딴데서만 먹었는데 웨이팅 있어서 여기 왔는데 여기가 훨배 마싯어요 추워지기 전까지 여기에서만 먹을래요 ㅠ 추워지면 방어 먹으러 또 올게요 신선도 백쩜 ♥️ 알탕도 칼칼하고 마싯고 점심먹으러도 올래요 ㅋㅅㅋ 쟌마탱 땅땅땅 ♥️♥️♥️♥️♥️ 쏘쥬 무한대로 들어가요 ; 미쳤음
1472142184,복돈이 막회 물회 육회 해산물 역삼본점,,,넘 친절하셔서 역삼에 이런 해물포차 발견해서 넘 좋네요!
1472142184,복돈이 막회 물회 육회 해산물 역삼본점,,,더운여름이라 괜찮을까 살짝 우려했는데 괜한걱정일정도로 신선함이 느껴지는 맛이었습니다ㅎㅎ 맛도 맛인데 가격도 착해서 부담없이 먹을수있어요!
1472142184,복돈이 막회 물회 육회 해산물 역삼본점,,,"두 사람이 먹기에 딱 좋은 양이었고, 곁들임 반찬들도 정갈하고 맛있었어요."
1472142184,복돈이 막회 물회 육회 해산물 역삼본점,,,"리뷰 435사진 2,030팔로워 80테마 4"
1472142184,복돈이 막회 물회 육회 해산물 역삼본점,,,막회 너무 맛있어요. 사이드로 있는 국물도 너무 시원하고 라면도 너무 맛있어요. 매장도 넓어서 동료들이랑 술 한잔 하기 너무 좋을 것 같애요. 친절하시고 맛있어서 또 올게요!! 💙💙
1472142184,복돈이 막회 물회 육회 해산물 역삼본점,,,막회 시켰는데 서비스로 받은 홍합 조개탕 너무 맛있어용 자리도 넓고 매장 분위기더 좋고 화장실도 깨끗하고 좋아요~~~ 선릉 술집 역삼 복돈이 막회최고
1472142184,복돈이 막회 물회 육회 해산물 역삼본점,,,막회는 무조건 주문하셔야 한다는점!! 장소도 넓어서 회식장소나 단체모임 장소로 추천 드리고 싶어요🐙
1472142184,복돈이 막회 물회 육회 해산물 역삼본점,,,매장이 넓어서 역삼에서 회식하기도 좋고 모임 갖기도 추천드릴게요!♥️ 사장님도 친절하시고 회도 존맛탱입니다!!
1472142184,복돈이 막회 물회 육회 해산물 역삼본점,,,문어.해삼.멍게.전복.회.해초까지 신선합니다.
1472142184,복돈이 막회 물회 육회 해산물 역삼본점,,,"사장님께서 너무 친절하시고, 음식도 너무 신선하고 맛있습니다!"
1472142184,복돈이 막회 물회 육회 해산물 역삼본점,,,사진에는 작아보이지만 실제 내어지는 사이즈 보면 횟감이 특대 사이즈.
1472142184,복돈이 막회 물회 육회 해산물 역삼본점,,,"신선한 해산물과 제대로 숙성된 육회, 그리고 매콤하면서도 감칠맛 도는 막회까지… 어느 하나 빠지는 게 없어요."
1472142184,복돈이 막회 물회 육회 해산물 역삼본점,,,싱싱하고 맛있는 막회~~ 쫄깃한 식감이 너무 좋았어요. 새콤하고 시원한 물회도 더운 날씨에 딱 먹기 좋은 메뉴였어요. 싱싱한 해삼과 전복까지 푸짐하게 들어있어서 식감도 정말 좋았어요.^^
1472142184,복돈이 막회 물회 육회 해산물 역삼본점,,,엄청 친절하시고 매장도 깔끔해요!!! 해산물도 싱싱하고 양도 많고 깔끔하고 너무 맛있어요 ㅠㅠㅠㅠㅠ 친절한 응대 너무 감사합니다
1472142184,복돈이 막회 물회 육회 해산물 역삼본점,,,여기 사장님 진짜 친절하시고 고기는 양이 딱 적당하게 나옵니다 너무 맛있어요
1472142184,복돈이 막회 물회 육회 해산물 역삼본점,,,"여긴 메인, 사이드메뉴 다 맛있어요, 재방문해도 여전히 친절하고 맛있네요^^또올게요"
