가게ID,가게명,업종,평점,날짜,리뷰내용
1502422959,강남제분소 본점,샌드위치,,9.7,사장님 너무 친절하시구 빵도 다 맛있어요 💗
1502422959,강남제분소 본점,샌드위치,,9.24,빵종류가 엄청 많아요! 인기많다는 인절미빵 구입했슺니다! 케익도 너무 예뻐서 다음에는 케이크 구입하려구요! 강남구청역이랑 가까워서 좋습니다~
1502422959,강남제분소 본점,샌드위치,,9.13,점심에 방문예약 없이 이용대기 시간 바로 입장일상친구
1502422959,강남제분소 본점,샌드위치,,8.4,사장님도 친절하시고 건강하고 맛있는 빵 너무 조아요!🥖🍞🥪🥯🥐🥨
1502422959,강남제분소 본점,샌드위치,,8.4,"저녁에 방문예약 없이 이용대기 시간 바로 입장친목연인・배우자, 부모님"
1502422959,강남제분소 본점,샌드위치,,8.31,쌀빵이라 소화가 잘되고 빵이 맛있어요~!! 일요일도 문을 열어서 좋아요. 사장님도 친절하셔요~~^^
1502422959,강남제분소 본점,샌드위치,,8.31,약속때매 타지에 가면 그근처 맛집있나 꼭 검색해보거든요 ㅎㅎ 요즘 빵 잘먹는데 쌀로 만들었다고해서 엄청 인상깊었어요~
1502422959,강남제분소 본점,샌드위치,,8.3,점심에 방문예약 없이 이용대기 시간 바로 입장일상혼자
1502422959,강남제분소 본점,샌드위치,,8.3,점심에 방문예약 없이 이용대기 시간 바로 입장일상혼자
1502422959,강남제분소 본점,샌드위치,,8.28,냉팩 처리까지 해주셔서 결혼기념일 케이크 맛있게 먹었습니다. 쌀가루로 만든 케이크 시트라 밀가루 안드시는 안사람도 맛있게 먹었습니다.
1502422959,강남제분소 본점,샌드위치,,8.26,점심에 방문예약 없이 이용대기 시간 바로 입장일상부모님
1502422959,강남제분소 본점,샌드위치,,8.24,저번에 와서 털어갔는데 또 방문해서 또 털었어용ㅎㅎㅋㅋㅋ담에 또 와서 못먹어본거 먹으러 올겡숑!!!
1502422959,강남제분소 본점,샌드위치,,8.23,쌀로 만들어 건강한데 심지어 맛있기까지한 완전 빵 맛집이에요!!!
1502422959,강남제분소 본점,샌드위치,,8.23,여기 빵 쌀로 만들어서 맛있고 부드러워요!! 건강항맛… 사장님더 넘 친절하세요 ㅎㅎ 가끔 오는데 왕추천..!!
1502422959,강남제분소 본점,샌드위치,,8.21,사장님도 친절하고 빵도 너무너무 맛있어요! 자주오지만 더 자주오겠습니다!
1502422959,강남제분소 본점,샌드위치,,8.2,점심에 방문예약 없이 이용대기 시간 바로 입장여행연인・배우자
1502422959,강남제분소 본점,샌드위치,,8.17,밀가루를못먹는데 빵이너무먹고싶다고해서 쌀빵전문점 방문했습니다!일반빵이랑 다를게없네요 ㅎㅎ건강하게 빵먹을때 좋을거같아요
1502422959,강남제분소 본점,샌드위치,,8.10,점심에 방문예약 없이 이용대기 시간 바로 입장친목
1502422959,강남제분소 본점,샌드위치,,7.27,점심에 방문예약 없이 이용대기 시간 바로 입장친목지인・동료
1502422959,강남제분소 본점,샌드위치,,7.20,쌀로만든 빵이어서 아이도 좋아하고 어른도 좋아해요
1502422959,강남제분소 본점,샌드위치,,7.19,날씨때문에 그렇겠지만 사진과 실제받은 딸기 상태랑 달라서 조금 실망했어요🥲 친구 선물용 이였는데 살짝 난감했네요 ㅠㅠ
1502422959,강남제분소 본점,샌드위치,,7.12,저녁에 방문예약 없이 이용대기 시간 바로 입장일상혼자
1502422959,강남제분소 본점,샌드위치,,7.10,강남구청역 디저트맛집 강남제분소 본점에서 쿠키 선물세트 구매했어요. 쿠키가 6종인데 선물용으로 최고입니다. 맛있고 친절해서 재방문 100프로 각입니다. 다른빵들도 다 건강하고 맛있어서 동네방네 소문냈어요. 다음에 또 가야지~~찐으로 맛있는 베이커리들이 많이 있어요
1502422959,강남제분소 본점,샌드위치,,6.8,회사 근처 쌀빵집!!! 밥 대신 먹기도 좋고 맛난 디저트 빵들도 많아요
1502422959,강남제분소 본점,샌드위치,,6.7,저녁에 방문예약 없이 이용대기 시간 바로 입장친목지인・동료
1502422959,강남제분소 본점,샌드위치,,6.7,점심에 방문예약 없이 이용대기 시간 바로 입장혼자
1502422959,강남제분소 본점,샌드위치,,6.28,100프로 쌀삥이라 종종 애용하고 있어요. 늦게가면 쌀식빵 베이글은 품절일때도 많은데 정직하게 장사하시는거 같아 믿음이가요. 계속 갈거임. 맛있는건 기본
1502422959,강남제분소 본점,샌드위치,,6.28,점심에 방문예약 없이 이용대기 시간 바로 입장친목혼자
1502422959,강남제분소 본점,샌드위치,,6.24,점심에 방문예약 없이 이용대기 시간 바로 입장친목친구
1502422959,강남제분소 본점,샌드위치,,6.2,밀가루 없이 직접 빻은 쌀가루로 만드는 빵들과 디저트❣️ 강남구청역 강남제분소에 방문했습니다! 설탕이나 유제품 등 성분표를 다 써두셔서 좋아요! 👍 쌀로 만든 빵을 먹으면 속이 편하고 빵도 너무 맛있어요! 여름 신메뉴 리얼수박수스🍉 시럽이랑 첨가물 없는데 정말 달콤하고 생과일 그자체라 너무 프레시해서 추천드립니다❤️
