가게ID,가게명,평점,날짜,리뷰내용
1285186695,트리오드,,,"강남에 일정있어서 왔다가 트리오드라는 카페가있어서 이번에 처음 와봤는데 다양한 디저트도 원하는 그램대로 골라서 먹을 수 있고 자리도 넉넉하고 너무너무 쾌적해서 친구랑와도, 혼자와도 너무너무 좋을것 같아요! 직원분들도 다 너무 친절하시고 좋았습니다! 레몬치즈는 꼭 드셔보세요!!"
1285186695,트리오드,,,강남에서 유명할대로 유명한 ✨트리오드✨ 그램으로 케이크를 판다고 해서 궁금해서 와봤는데 분위기도 아늑하고 케이크도 맛있어서 다음에 또 올 것 같아요! 무엇보다 원하는 만큼 그램 수로 먹을 수 있어서 양도 적당히 먹을 수 있어서 좋았습니다🥹
1285186695,트리오드,,,고구마 신메뉴 나왔대서 먹는데 진짜 너무너무 맛있습니당.... 초코는 늘 진하고 최고고 티라미수도 근본 맛이라 맛나요 짱
1285186695,트리오드,,,그램수로 케익양을 정할 수 있는 카페가 있다고 하길래 찾아서 들려봤는데 눈 앞에서 그램수를 보여주시고 추가로 조금 더 얹어주셔서 좋았어요 !!! 수플레같은 느낌으로 엄청 부드러운 케익인데 티라미수가 특히 맛있어요 ! 케익맛집 인정합니다 ㅎㅎ
1285186695,트리오드,,,그램으로 파는 형식이라 재밌고 케이크는 고구마랑 초코케이크 했는데 초코 케이크 엄청 진하고 낫있어요 단 거 좋아하는 분들 만족하실듯 아바라도 진하고 달달하네요 인테리어도 깔끔하고 자리도 낭낭해요 다음에 다른 맛 먹ㅇ
1285186695,트리오드,,,"기똥찬 티라미수 푸는 기술을 가진 친철한 직원분과,,너무 맛있는 디저트랑 음료가 완벽한 조화를 이루는 카페였습니다..🌝🫶🏻 티라미수 과들이 원래 부드럽지만 여긴 정말 부드르르르해요"
1285186695,트리오드,,,"다양한 티라미수를 내가 원하는 양으로 먹을 수 있는 곳!! 몇 년 전에 방송에 나와서 와봤던 곳인데 오랜만에 다시 방문했어요. 몇 년이 지나도 여전히 대기가 있는 핫 한 카페 ㅎㅎ 티라미수, 고구마, 블루베리 주문햇는데 셋 다 넘 맛나요^_^ 100g부터 주문이되서 120그람씩 했는데 양이 딱 좋아요. 요새 케익 값 무서운데 이 곳은 여전히 가격이 좋아요!!"
1285186695,트리오드,,,둘 다 맛있는데 블루베리는 데코가 특히 예쁘고 초코는 진한 초콜렛무스 맛에 위에 초콜렛까지 갈려올라가 맛있어요
1285186695,트리오드,,,디저트도 맛있고 커피도 풍미가 깊어요 ㅎㅎ 다시 올 카페에요
1285186695,트리오드,,,레몬치즈케이크 상큼하고 맛있어요 단맛이 강하지 않아서 많이 먹을수있어요ㅋㅋ
1285186695,트리오드,,,몇년 전에 오고 정말 오랜만에 왔는데 더 맛있어진 것 같아요!!! 강남오면 자주와야겠어요 특히 초코케익…짱입니다🥰 크레마가 너무 예쁜 아메리카노와 함께 먹으니 천국이에요!!
1285186695,트리오드,,,"분위기:⭐️⭐️⭐️⭐️(고즈넉한 분위기를 선호한다면 약간 아쉽, 그치만 전반적으로 차분한 분위기라 좋음)"
1285186695,트리오드,,,분위기가 너무 좋고 사진이 잘나와서 조만간 또 올려고요 💟. .♥
1285186695,트리오드,,,블루베리 케이크도 인위적인 맛 없이 산뜻하니 맛있었어요
1285186695,트리오드,,,블루베리 케이크도 인위적인 맛 없이 산뜻하니 맛있었어요
1285186695,트리오드,,,스쿱으로 퍼서 그램수대로 가격을 매기는 시스템이 독특한데 퍼올렸음에도 생각보다 비주얼이 예쁘고 맛도 괜찮아요
1285186695,트리오드,,,"신기하게도 케이크를 g에 맞춰서 결제를 해주시는데, 눈앞에서 그램을 보여주셔서 정말 좋았어요!"
1285186695,트리오드,,,"신기하게도 케이크를 g에 맞춰서 결제를 해주시는데, 눈앞에서 그램을 보여주셔서 정말 좋았어요!"
