가게ID,가게명,평점,날짜,리뷰내용
1752655178,이미지수,,,갈 때마다 친절하시규 매장도 깔끔해요. 직원 돌반지 선물 하기 좋아요!
1752655178,이미지수,,,다른 한국 금 거래소보다 돌반지 포장도 고급지고 친절하세요~!
1752655178,이미지수,,,"리뷰 1,118사진 102팔로워 28"
1752655178,이미지수,,,"리뷰 1,118사진 102팔로워 28"
1752655178,이미지수,,,"리뷰 1,628사진 758팔로워 80"
1752655178,이미지수,,,마지막에 불쾌한 경험을 한 곳. 구매자를 도둑으로 의심하는건지 마지막에 다시 부르더니 이름과 핸드폰번호를 적으라더군요. 카드사에서 연락이 올지 모른다고. 뭐 환금성 제품이라 그런가 하고 기분나빠도 써주고 왔는데.. 생각해보니 카드사에서 전화 올 정도의 악성 구매자면 자기 정보 솔직히 쓰겠어요?ㅋㅋ 무슨 이유때문에 나가는 사람 돌려잡고 이름 적으라고 했는지는 모르지만 별 효과도 없을것같은 행동 하면서 사람 기분 망치지 마세요. 가까워서 친척들 부탁 모아 조카 돌 선물 사러갔는데 다신 안갈듯.
1752655178,이미지수,,,생긴지 얼마안된거같더라구요 검색하고 찾아가봤는대 깨끗하고 시설이 너무 잘되있더라구요 특히 직원분들이 정말정말정말 이래도되나싶을정도로 친절하십니다. 너무 좋아요 직원분들..항상 웃으면서 설명잘해주시고 별점 5개가 부족한것같습니다. 서비스로주시는 초콜렛도 맛있구요 주변지인들에게 알려야겠어요 ^^ 재방문의사 100프로200프로입니다!!
1752655178,이미지수,,,선물하기위해 방문했습니다 강남역과 접근성도 좋고 재방문의사 있습니다
1752655178,이미지수,,,이만한 선물은 없죠~ 품질도 좋고 믿을수 있는 매장입니다. 사장님도 직원분들도 너무 친절하세요 👍
1752655178,이미지수,,,직영점이라 믿을만해요~ 교통도 편하고 깨끗하며 매장도 규모가 커요 ^^
1752655178,이미지수,,,직원이 친절하고 상담도 아주 잘해주셨어요~~
451805682,이미지수,,,"2~3년 전에 더헤바에서 관리받고 효과가 좋았어서 이번에 다시 찾았어요! 화이트태닝 꾸준히 하니 피부가 맑아지는 게 느껴져용 샵 내부도 청결하고 원장님께서 조금이라도 더 효과볼 수 있게 해주시는 거 보고 매번 감동받고 옵니다,,😍"
451805682,이미지수,,,"2~3년 전에 더헤바에서 관리받고 효과가 좋았어서 이번에 다시 찾았어요! 화이트태닝 꾸준히 하니 피부가 맑아지는 게 느껴져용 샵 내부도 청결하고 원장님께서 조금이라도 더 효과볼 수 있게 해주시는 거 보고 매번 감동받고 옵니다,,😍"
451805682,이미지수,,,강남역에서 가까워서 접근성이 좋았어요. 특히 최첨단 기계가 있어서 효과가 눈에 보일 정도로 확실하더라구요! 최근 야구장 직관을 많이 가서 팔이 탔었는데 화이트태닝으로 복구 되고 있답니다
451805682,이미지수,,,강남역에서 가까워서 접근성이 좋았어요. 특히 최첨단 기계가 있어서 효과가 눈에 보일 정도로 확실하더라구요! 최근 야구장 직관을 많이 가서 팔이 탔었는데 화이트태닝으로 복구 되고 있답니다
