가게ID,가게명,평점,날짜,리뷰내용
1167481100,꼼다비뛰드베이커리,,,건강때문에 빵 잘 안드시는 어모니까지 영업완료!! 입맛까다로우신 울엄니도 너무 맛있게 드셔서 뿌듯하네요! 50번대인데 한시간 반정도 기다렸어요! 대기시간은 날바날이네요ㅠㅠ 여름엔 안오겟다 다짐했는데.. 자두 브라타 샌드위치 어떻게참아요.. 너무 맛있어요!! 카페에서 일하는 동생도 사장님 너무 친절하시고 빵도 맛잇어서 자기네 카페도 빵이렇게 맛있으면 좋겟다구 ㅋㅋ 항상 맛있는 빵 감사합니다🖤
1167481100,꼼다비뛰드베이커리,,,그리규 포장지에 무슨 종류인지 스티커 같은 걸로 표시해주면 더 좋을 거 같아요!
1167481100,꼼다비뛰드베이커리,,,그리규 포장지에 무슨 종류인지 스티커 같은 걸로 표시해주면 더 좋을 거 같아요!
1167481100,꼼다비뛰드베이커리,,,그릴 샌드위치는 살짝 매콤달콤한 맛. 어떻게 생각하면 떡볶이 국물 맛? 아보카도 버섯 샌드위치는 생각하는 그 맛. 맛있기는 하지만 이 정도 대기를 해서 먹을만하지는 않고 바게트도 맛있지만 너무 딱딱합니다.
1167481100,꼼다비뛰드베이커리,,,그릴 샌드위치는 살짝 매콤달콤한 맛. 어떻게 생각하면 떡볶이 국물 맛? 아보카도 버섯 샌드위치는 생각하는 그 맛. 맛있기는 하지만 이 정도 대기를 해서 먹을만하지는 않고 바게트도 맛있지만 너무 딱딱합니다.
1167481100,꼼다비뛰드베이커리,,,그릴즈 샌드위치가 진짜 너무 맛있더라구요. 왜 유명한지 알겠음. 바게트 빵 빠삭하니 너무 맛나구 안에 피망잼이 진짜 킥 of 킥 입니다. 가는 길이 험하지만 정말 또 가고 싶은 곳🫶
1167481100,꼼다비뛰드베이커리,,,그릴즈 샌드위치가 진짜 너무 맛있더라구요. 왜 유명한지 알겠음. 바게트 빵 빠삭하니 너무 맛나구 안에 피망잼이 진짜 킥 of 킥 입니다. 가는 길이 험하지만 정말 또 가고 싶은 곳🫶
1167481100,꼼다비뛰드베이커리,,,근데 사람이 점점점덤덤저점점덤 많아져서 허탕치는 경우가 부지기부수라 너무 슬퍼요
1167481100,꼼다비뛰드베이커리,,,금요일 9:43에 대기 걸었더니 85번째였고 두시간 뒤쯤 들어갓어요 샌드위치 두종류 빼고 다 품절이라 아쉬웠어요 또올게요! 그래도 젤라또마들렌 먹어봐서 좋네요 ㅎㅎ
1167481100,꼼다비뛰드베이커리,,,"늘 웨이팅 있는 곳이라 엄두도 못 내다가 혹시나 하고 가봤는데 운좋게 바로 입장했어요. 솔드아웃인 것도 많았지만 원하던 샌드위치는 살 수 있었구요. 홀린듯이 카다멈번이랑 커피까지 주문해서 맛있게 잘 먹었어요. 일하시는 분들 정말 친절하셨구요. 포장해온 시즌샌드위치는 상큼, 고소하니 맛있었는데 매장에서 먹는게 제일 베스트인 것 같아요. 그릴샌드위치는 오븐에 데워 먹으니 정말 맛있더라구요.ㅠㅠ 왜 그렇게 다들 피망잼 얘길 하셨는지 단박에 이해했달까요. 암튼 담에도 꼬옥 방문해보고 싶어요."
1167481100,꼼다비뛰드베이커리,,,"늘 웨이팅 있는 곳이라 엄두도 못 내다가 혹시나 하고 가봤는데 운좋게 바로 입장했어요. 솔드아웃인 것도 많았지만 원하던 샌드위치는 살 수 있었구요. 홀린듯이 카다멈번이랑 커피까지 주문해서 맛있게 잘 먹었어요. 일하시는 분들 정말 친절하셨구요. 포장해온 시즌샌드위치는 상큼, 고소하니 맛있었는데 매장에서 먹는게 제일 베스트인 것 같아요. 그릴샌드위치는 오븐에 데워 먹으니 정말 맛있더라구요.ㅠㅠ 왜 그렇게 다들 피망잼 얘길 하셨는지 단박에 이해했달까요. 암튼 담에도 꼬옥 방문해보고 싶어요."
1167481100,꼼다비뛰드베이커리,,,매번 품절이라 샌드위치 구매 실패했었는데 다행히 크라상샌드위치 하나 남아있길래 구매했어요!! 빵이 진짜 맛있네요ㅠㅠ할 수만 있으면 매일 먹고싶은 꼼다!!
1167481100,꼼다비뛰드베이커리,,,"바게트샌드위치 맛집이라고 떠서 오픈런했는데도 웨이팅ㅎㅎ 그래도 빨리 입장한편이고, 구움과자류도 많더라구요! 여러가지 사왔는데 샌드위치 진짜 맛있더라구요! 피스틴치오에스까르고도 꼬숩달달하고ㅎㅎ"
1167481100,꼼다비뛰드베이커리,,,예약 하고 가야하는 곳입니다 ㅎ 11시좀 넘어서 갔는데 이미 대부분이 나간 상태였어요. 남아있는 샌드위치중 꼼데치즈랑 캐슈넛버터 이렇게 두개 시켰는데 꼼데치즈 정말 맛있었어요~ 여기 외국인들도 꽤 있었는데 납득이 가는 맛있어요. 샌드위치에서 치즈맛이 정말 중요하다는것을 알았습니다. 캐슈넛은 맛의 밸런스는 좋았는데 조합 자체가 제 스타일은 아니었습니다. 담에 가면 꼼데 하나랑 다른거 먹을거 같아요!
1167481100,꼼다비뛰드베이커리,,,"올때마다 자제 못하는나,, 샌드위치 정복!! 너무 맛있어요 요샌 베린 무화과 나오네요 하루에 수량 10개정도래요 내 최최최애 빵집!!"
1167481100,꼼다비뛰드베이커리,,,이 근처 볼 일 있어서 왔다가 오픈하기 직전 대기60팀인가 정도봤는데 12시쯤? 다 되어서부턴 대기가 없었던거같아요.
1167481100,꼼다비뛰드베이커리,,,이 근처 볼 일 있어서 왔다가 오픈하기 직전 대기60팀인가 정도봤는데 12시쯤? 다 되어서부턴 대기가 없었던거같아요.
1167481100,꼼다비뛰드베이커리,,,점심에 방문예약 없이 이용대기 시간 바로 입장일상혼자
1167481100,꼼다비뛰드베이커리,,,점심에 방문예약 없이 이용대기 시간 바로 입장일상혼자
1167481100,꼼다비뛰드베이커리,,,점심에 방문예약 없이 이용대기 시간 바로 입장일상혼자
1167481100,꼼다비뛰드베이커리,,,점심에 방문예약 없이 이용대기 시간 바로 입장일상혼자
1167481100,꼼다비뛰드베이커리,,,점심에 방문예약 후 이용대기 시간 바로 입장일상혼자
1167481100,꼼다비뛰드베이커리,,,점심에 방문예약 후 이용대기 시간 바로 입장일상혼자
1167481100,꼼다비뛰드베이커리,,,"지난번엔 꽁떼가 더 맛있었는데, 다시먹으니 그릴이네요~! 사과브리도 괜찮았습니다. 하지만 그릴이 원탑!!(참지못하고 길빵했네요ㅋ) 지난번엔 구움과자들도 먹었는데, 이번엔 샌드위치만 먹었습니다. 쯔양처럼 무한정 흡입가능하시다면 모를까(부럽ㅠ) 아니라면 샌드위치에 집.중. 하십시요!!! (추가로. 지난번엔 미루기가 되었는데 지금은 안되서 그런지 대기가 엄청 빨리 진행되니 참고요~) 꼼다... ㅅ.. 사.. 사릉...♡ㅋ"
1167481100,꼼다비뛰드베이커리,,,테이블링 예약하고 입장했어요~ 역시 여기는 언제가도 줄이 길어요~ 하귤타르트랑 스르지에 먹었는데 하귤타르트의 바질은 나랑 맞지 않았지만 하귤타르트 상큼하고 스르지에도 체리가 진짜 많이 들어 있어 놀랬어요~
1167481100,꼼다비뛰드베이커리,,,테이블링 예약하고 입장했어요~ 역시 여기는 언제가도 줄이 길어요~ 하귤타르트랑 스르지에 먹었는데 하귤타르트의 바질은 나랑 맞지 않았지만 하귤타르트 상큼하고 스르지에도 체리가 진짜 많이 들어 있어 놀랬어요~
1167481100,꼼다비뛰드베이커리,,,평일 기준 9시 땡하고 테이블링해서 10시 16분쯤 결제했어요
1167481100,꼼다비뛰드베이커리,,,"평일에 반차내고 가도 샌드위치 사먹는거 실패했는데 말이죠 우연히 주말에 강남역 지나가다 생각나서 갔는데 마침 남아있었어요 사실 포카치아 샌드위치는 먹었을때 음 평범하네 했는데 바게트 샌드위치는 정말 인생 샌드위치였습니다 남편이랑 쉐어해먹기 아까울정도로,,,독점하고 싶은 맛이었어요 100개사서 냉동고에 쟁여두고 싶은맛"
1167481100,꼼다비뛰드베이커리,,,피귀에 맛보러 원격웨이팅 걸고 다녀왔어요.무슬린크림도 진하고 무화과는 무슬린크림이 잘 어울리는거 같아요.
1547703165,마룬브레드베이커리,,,"I found this place while craving a grilled cheese and tomato soup combo. This place didn't serve exactly that, but it hit the spot. The emmenthal cheese crossiant has an oozy, cheesy stretch and is packed with ham and tomatoes, and the spicy tomato soup had only a baby kick but was really chunky and flavourful. The lemonade made for a really refreshing drink with this meal. Not cheap, but worth it"
1547703165,마룬브레드베이커리,,,​https://m.blog.naver.com/piwpiw/223832586685
1547703165,마룬브레드베이커리,,,​https://m.blog.naver.com/piwpiw/223832586685
1547703165,마룬브레드베이커리,,,"강남역 1번 출구 근처에 아치형 입구를 가진 베이커리가 있다. 강남역에서 조용한 분위기의 카페를 찾는다면 빵과 와인을 곁들일 수 있는 이곳은 어떨까? 이곳은 커피, 차, 샌드위치도 팔기에 담소 나누며 먹거리와 마실거리를 즐기기에 좋다. 버터향 가득한 빵집에 방문해 보자."
1547703165,마룬브레드베이커리,,,"강남역 주말에 카페 늘 붐비는데, 조용하게 대화하기 좋았고 베이커리 종류도 많아서 선택 폭이 넓었어요. 여기서 또!!! 크로와상 먹어보세요~ 겉 바삭하고 버터향 가득 담긴 맛이라 너무 맛있어요🫶🏻"
1547703165,마룬브레드베이커리,,,다양한 베이커리 종류도 많아서 다음엔 브런치 메뉴 먹어봐야겠어요 ☺️
1547703165,마룬브레드베이커리,,,단체가 가기는 힘들었어요. 2명이나 4명 좌석이 있어요. 음식이 좀 늦게 나오는 편이고 쉐어 접시가 없어서 좀 불편하더라고요. 음식은 맛있게 잘 먹고 왔어요
1547703165,마룬브레드베이커리,,,단체가 가기는 힘들었어요. 2명이나 4명 좌석이 있어요. 음식이 좀 늦게 나오는 편이고 쉐어 접시가 없어서 좀 불편하더라고요. 음식은 맛있게 잘 먹고 왔어요
1547703165,마룬브레드베이커리,,,"리뷰 1,065사진 812팔로워 46"
1547703165,마룬브레드베이커리,,,"리뷰 1,065사진 812팔로워 46"
1547703165,마룬브레드베이커리,,,밤에 방문예약 없이 이용대기 시간 바로 입장데이트연인・배우자
1547703165,마룬브레드베이커리,,,밤에 방문예약 없이 이용대기 시간 바로 입장데이트연인・배우자
1547703165,마룬브레드베이커리,,,"벽돌 인테리어가 너무 예쁘고 브런치랑 다이닝, 베이커리가 다 가능한 곳이어서 점심저녁으로도 좋고 데이트나 모임하기도 좋을듯해요ㅎㅎ 강남역에서도 가깝고 주차도 가능해서 편하고, 직원분들도 친절하세용! 와인머신도 있어서 와인까지 같이 즐길수 있습니다~ 크로와상 그뤼에르 강추!"
1547703165,마룬브레드베이커리,,,빵 재료가 믿을만해요~그래서 더 맛있어요!!!
1547703165,마룬브레드베이커리,,,빵 재료가 믿을만해요~그래서 더 맛있어요!!!
1547703165,마룬브레드베이커리,,,빵 종류도 많고 음료 맛있어요 :) 밀크티 진하고 좋네요. 공간도 아늑해요!
1547703165,마룬브레드베이커리,,,빵도 맛있었는데 올리브소금빵 안에 올리브도 가득하고 고소하고 씹는맛도 챙기고 맛있게먹었습니다!✨
1547703165,마룬브레드베이커리,,,빵이 진짜 맛있고 싸요!! 안에도 넘 예뻐서 소개팅하기도 좋을듯ㅎㅎ 강남역 바로 앞인데 주차까지 가능해서 짱 조아욧~!!
1547703165,마룬브레드베이커리,,,빵이 진짜 맛있고 싸요!! 안에도 넘 예뻐서 소개팅하기도 좋을듯ㅎㅎ 강남역 바로 앞인데 주차까지 가능해서 짱 조아욧~!!
1547703165,마룬브레드베이커리,,,"빵이랑 커피 다 맛있어서 친구랑 수다 엄청 떨고 나왔네용~ 분위기 좋도, 인테리어도 굿👍"
1547703165,마룬브레드베이커리,,,"빵이랑 커피 다 맛있어서 친구랑 수다 엄청 떨고 나왔네용~ 분위기 좋도, 인테리어도 굿👍"
1547703165,마룬브레드베이커리,,,여기 시그니처 마룬커피 마셔봤는데 크림 완전 쫀쫀해요🥹 이렇게 달달하고 쫀쫀한 크림 처음이에요..
