가게ID,가게명,평점,날짜,리뷰내용
37653872,강남 돼지상회 무한리필돼지고기구이,,,"강남역 무한리필의 대명사라고 해도 될 정도로 구성이 좋아요. 무한리필이라고 대충 나오는게 아니고 삼겹살 목살 대창 돼지껍데기 가브리살 종류도 다양하고 신선해요. 야채도 정말 신선하고 음료는 패트로, 냉면도 1인분 온전히 제공돼요 만족도 정말 높은 가성비 맛집이었습니다."
37653872,강남 돼지상회 무한리필돼지고기구이,,,"강남역무한리필 인 것도 놀라운데 고기집에 고기 종류도 많고 반찬도 아주 다채롭고, 포차 분위기까지!"
37653872,강남 돼지상회 무한리필돼지고기구이,,,고기 종류도 다양하고 고기 질도 괜찮았어요! 가성비 좋은 것 같아요 비냉도 맛있었어요!
37653872,강남 돼지상회 무한리필돼지고기구이,,,고기 질도 좋고 직원분들 친절해서 기분 좋게 먹고 왔습니다. 반찬도 깔끔하게 잘 나오고 고기 굽는 팁도 알려주셔서 더 맛있게 먹을 수 있었어요. 다음에 또 가고 싶은 곳입니다.
37653872,강남 돼지상회 무한리필돼지고기구이,,,고기 퀄리티가 괜찮고 밑간이 부담스럽지 않게 매우 깔끔했습니다 시간 나면 친구들이랑 재방문 할 듯합니다
37653872,강남 돼지상회 무한리필돼지고기구이,,,고기종류가 다양하고 무엇보다 무한리필이라 든든하게 먹을 수 있어서 너무 좋아요~^^ 지인들과 함께 즐거운 저녁식사하였습니다. 적극 추천해요😊
37653872,강남 돼지상회 무한리필돼지고기구이,,,네이버에 된장찌개쿠폰 다운받아오시면 무료이니까 참고하시고 꼭 와보세요 고기무한리필 1등집
37653872,강남 돼지상회 무한리필돼지고기구이,,,대기는 없었고 고기 퀄리티는 무한리필 가게 정도의 적당한 퀄리티였어요 삼겹살 가브리살 모두 맛있게 먹았고 찌개에 우삼겹넣어 먹으니 꿀맛이었어요 밥도 흑미밥인게 포인트ㅋㅋ재방의사 있습니다
37653872,강남 돼지상회 무한리필돼지고기구이,,,대창 치킨 고기 냉면 무한리필 종류가 이렇게 다양하고 맛나다니
37653872,강남 돼지상회 무한리필돼지고기구이,,,리뷰가 좋아서 방문했는데 매장도 넓고 깨끗하고 직원분들도 모두 친절합니다
37653872,강남 돼지상회 무한리필돼지고기구이,,,매장에 들어서자마자 친절하게 안내해주셔서 기분 좋게 시작했어요. 내부도 깔끔하고 음식도 맛있어서 더욱 만족스러웠습니다. 굿굿 👍
37653872,강남 돼지상회 무한리필돼지고기구이,,,매장이 청결하고 고기가 맛있어요!! 자리가 넓어서 단체 회식하기도 좋을 것 같아요!
37653872,강남 돼지상회 무한리필돼지고기구이,,,"상추, 깻잎, 미나리, 고추 등 야채가 신선하게 준비돼 있고, 콩나물무침, 김치, 파채 등 고기랑 같이 먹기 좋은 반찬들도 무제한으로 즐길 수 있어요."
37653872,강남 돼지상회 무한리필돼지고기구이,,,손님 많네요.역시 맛과 가성비가 만족되니 손님이 많은듯 해요.
37653872,강남 돼지상회 무한리필돼지고기구이,,,"여자친구가 오랜만에 고기가 먹고 싶다 하여,강남에 있는 돼지상회를 방문했는데,구성도 알차고 가성비가 좋았습니다.데이트 코스로는 생각치도 않았는데 반응이 좋아서 또 오고 싶습니다."
37653872,강남 돼지상회 무한리필돼지고기구이,,,연기가 자욱한게 싫었는데 닥트가 새로생기면서 단점이 사라진 좋은가게입니다.
37653872,강남 돼지상회 무한리필돼지고기구이,,,"예약할 때 인원수 및 좀 넓은 자리 원한다고 여러차례 말씀드렸는데 인원수 잘못 체크하셔서 대기하고 들어갔습니다. 좀더 안쪽 자리 없냐고 말씀드리니 다른 예약석이라고 하신게 인원수 잘못 받으셨는데도 대응이 좀 아쉽네요 ... 단체라지만 고기 세팅도 안해주시고, 안내도 안해주시는건 매번 올 때마다 그러셔서 그러려니 합니다 ㅎㅎ"
37653872,강남 돼지상회 무한리필돼지고기구이,,,완전 가성비 식당인데 서비스는 비싼 식당보다 훨씬 좋은 것 같아요 정말 엄청나게 친절하십니다 !!! 😢💓💓 감사합니다
37653872,강남 돼지상회 무한리필돼지고기구이,,,이만원대로 다양한 종류 고기랑 냉면이 무한이라 너무 가성비 좋게 먹었어요 고기 가격대비 질도 짱 좋았어요
37653872,강남 돼지상회 무한리필돼지고기구이,,,이번에 불판도 바뀌고 연기잡아주는것도 생겨서 너무좋아요..매번 연기심했는데 사장님 짱.
37653872,강남 돼지상회 무한리필돼지고기구이,,,저녁에 방문예약 없이 이용대기 시간 바로 입장데이트연인・배우자
37653872,강남 돼지상회 무한리필돼지고기구이,,,저녁에 방문예약 없이 이용대기 시간 바로 입장데이트연인・배우자
37653872,강남 돼지상회 무한리필돼지고기구이,,,저녁에 방문예약 없이 이용대기 시간 바로 입장일상연인・배우자
37653872,강남 돼지상회 무한리필돼지고기구이,,,저녁에 방문예약 없이 이용대기 시간 바로 입장친목친구
37653872,강남 돼지상회 무한리필돼지고기구이,,,저렴한 가격에 맛있는 돼지고기를 무제한 먹을 수 있어서 좋아요
