가게ID,가게명,평점,날짜,리뷰내용
1912493531,데일리픽스 강남본점,,,sns에서 강민경님 추천 수제 햄버거 맛집이라길래 토요일에 예약하고 갔는데 생각보다 사람이 없었어요 사진으로 보는것보다는 넓었고 직원분들 친절하십니다. 버거는 생각했던 맛 딱 그이상 이하도 아니였어요 ㅎㅎㅎ 그래도 번 자체는 일반 프랜차이즈보다는 훨씬 퀄리티 있고 좋았습니다
1912493531,데일리픽스 강남본점,,,"가게에 들어서니 깔끔하고 캐주얼한 분위기가 딱 느껴져서 항상 기분이 좋아요~ 아이 학교 끝나고 들러서 치즈버거를 포장했는데, 직원분이 아이가 먹는다고 센스있게 매운 양파랑 머스타드를 빼서 포장해주셨더라고요😊 작은 배려 덕분에 더 감동이었어요! 감자튀김은 언제 먹어도 바삭바삭하니 고소하고, 쉐이크는 달콤하면서 진해서 아이도 정말 좋아하더라고요. 특히 직원분들이 항상 밝은 미소로 친절하게 응대해주셔서 자주 찾게 되는 것 같아요. 역시 역삼 맛집이라 그런지 음식 맛도 안정적이고 서비스까지 좋아 늘 만족스럽습니다~ 앞으로도 자주 이용할 예정이에요🍔🍟🥤"
1912493531,데일리픽스 강남본점,,,갑자기 치킨버거가 먹고파서 방문. 배달로 한번 먹어봤을때 맛있었다는 기억이 있어서 찜해놨었는데 치킨버거는 이번에 처음 먹어봤어요. 진짜 맛있네요. 배달 안시키고 매장방문하길 잘한듯요. 완전 파사삭
1912493531,데일리픽스 강남본점,,,강남역 수제버거 맛집입니다! 프라이도 맛있고 역삼역 점심으로 추천합니다.
1912493531,데일리픽스 강남본점,,,"강남역 햄버거 맛집? '데일리픽스'는 일단 보류. 버거 하나 주문 누락돼서 한참 뒤에 나왔는데, 서비스로 어니언튀김 주더라. 근데 버거 맛은 그냥 그렇고 가격은 비쌈. 어니언튀김은 맛있었음. 굳이 찾아갈 필요는 없을 듯."
1912493531,데일리픽스 강남본점,,,교대역 부근 매장에 가보고 이번엔 본점을 가봤다. 패티와 베이컨의 조합이 잘 맞는 편이고 식감이 좋다. 무엇보다 넓직한 매장에서 훤하게 트인 넓은 유리창이 매력적이다. 다만 안에 날파리 등이 좀 있어서 틈나는대로 방역을 많이 하면 좋겠다.
1912493531,데일리픽스 강남본점,,,기본 베이컨치즈버거세트와 단품 파스트라미샌드위치버거주문 // 콜라 무한리필이라서 좋네요~
1912493531,데일리픽스 강남본점,,,논현맛집 강남맛집 데일리픽스 강남본점에서 존맛탱 햄버거 뿌수고 왔어요. 맛있고 친절해서 재방문 100프로 각입니다. 수제버거가 육즙팡팡한게 완죤 취향저격이에요. 잡내없이 맛있어서 좋았어요
1912493531,데일리픽스 강남본점,,,논현맛집 강남맛집 데일리픽스 강남본점에서 존맛탱 햄버거 뿌수고 왔어요. 맛있고 친절해서 재방문 100프로 각입니다. 수제버거가 육즙팡팡한게 완죤 취향저격이에요. 잡내없이 맛있어서 좋았어요
1912493531,데일리픽스 강남본점,,,다음에 또 올게요! ㅎㅎ 역삼역 인근에 계시면 점심에 와도 좋을 것 같아요! 수제버거 짱맛!
