가게ID,가게명,평점,날짜,리뷰내용
1812494362,남소관 우육도삭면중식당,,,1시이후에 갔더니 ㅇ대기 없이 바로 자리 안내 받아서 앉았어요! 주문하고 10분? 15분?도 안되어서 나왔구요 딤서만 찌는 시간때문에 조금 걸려서 나왔습니다!
1812494362,남소관 우육도삭면중식당,,,1층에서 직접 딤섬을 만드는 모습을 보며 더욱 믿음이 가고 방문할때마다 지인들이 맛있다며 만족하는 맛집입니다
1812494362,남소관 우육도삭면중식당,,,♧ 2층 더워도 2인석에 앉아야해서 더웠어요.에어컨 너무 절약하시는듯..선풍기있는 시원한 쇼파 안쪽자리는 직원분들 휴식장소더라구요..ㅠ저희다음 손님분도 더워서 주문전 이리저리 자리이동ㅜ
1812494362,남소관 우육도삭면중식당,,,가지덮밥도 맛이 좋았는데 소스가 조금 더 있었음 하는 아쉬움이...밥을 남겼어요;;
1812494362,남소관 우육도삭면중식당,,,강남 물가 치고 가성비 좋은 것 같아요!! 음식도 넘 맛있습니다아
1812494362,남소관 우육도삭면중식당,,,강남에서 이국적인 맛을 즐길 수 있는 것 자체로 매리트가 있어요. 다만 소룡포는 육즙이 거의 없어서 별로더라고요. 새우만두는 완전 추천!
1812494362,남소관 우육도삭면중식당,,,"강남역 근처에 있고 2층에서 식사, 가지튀김, 어향육슬덮밥,쇼마이, 우육도삭면, 쇼룽포오 주문."
1812494362,남소관 우육도삭면중식당,,,강남역 모임 하기 좋은곳..! 도삭면이 너무 맛있어서 중독되는 곳이에요! ㅎㅎ 그리고 우육면도 볶음면도 딤섬도 다다 좋았어요!!👍친구들이랑 간만에 맛나게 먹었네요!!❤️
1812494362,남소관 우육도삭면중식당,,,그리고 결제할 때 1층 직원도 굉장히 불친절하네요. 입을 뻥긋도 안하고 중국말로 다른 직원이랑 얘기하더니 인사도 없고 결제 금액 안내도 없고 영수증 필요한지도 안물어보고 주지도 않더라구요.
1812494362,남소관 우육도삭면중식당,,,그중 마라두부랑 소고기 볶음밥이 젤 마음에 들었어요 둘이 잘어울리기도 하고
1812494362,남소관 우육도삭면중식당,,,느낌 처음먹는 음식이라 코멘트를 못하겠음
1812494362,남소관 우육도삭면중식당,,,"다음에 와도 또 이거 시킬 것 같아요~ 면이 쫄깃하면서도 부드럽고, 다진고기와 고추로 양념된 비빔면이라 너무 맛있었습니다! 너무 자극적이지 않아서 좋았어요❤️"
1812494362,남소관 우육도삭면중식당,,,다음엔 마라향 나는 비빔도삭면이나 가지볶음 같은 사이드도 곁들여보고 싶네요.
1812494362,남소관 우육도삭면중식당,,,"대만현지인들이 운영하는 중식당입니다.직원분들이 우리말로 응대해주십니다.테이블 키오스크로 주문하고 음식은 나오는 순서대로 세팅되어집니다.강남에서 맥주 소주 5,000원에 즐길 수 있어요~육즙가득 딤섬~ 입구에서 만드는 퍼포먼스를 볼 수 있어요 외국인 손님들도 많은 명소입니다~:)"
1812494362,남소관 우육도삭면중식당,,,"덮밥 이름이 기억이 안 나는데 이거 진짜 맛있어요🫶🏻 여기 우육도삭면은 국물이 다른 식당과 달라서 특이하고 맛있습니다. 쇼롱포오도 육즙 가득하고, 바로 옆에서 딤섬 만들고 계셔서 구경하는 재미도 있었네요 ㅎㅎ"
1812494362,남소관 우육도삭면중식당,,,도삭면 맛집 남소관에 방문했어요! 대표메뉴인 우육도삭면은 맑고 진한 소고기육수가 굉장히 시원했고요! 일행이 주문한 유발도삭면도 맛있어보였어요! 사이드로 주문했던 쇼룽포오는 국물 때문에 입천장 데이기 쉬운 메뉴인데 과하게 뜨겁지 않아 한입에 먹을 수 있을 정도여서 넘 좋았네요! 당연히 맛도 있었습니다👍🏻 또 방문할게요!
1812494362,남소관 우육도삭면중식당,,,"마라두부도 매콤한데 맵찔이들이 먹기 좋아요. 생각 외로 얼얼한 느낌이 강한데, 아프게 얼얼한 느낌이 아니라 슈팅스타의 혀 톡톡튀는 느낌같아요. 첫 맛은 마파두부같은 맛 나면서도 뒷 맛은 이 집만의 마라향이 입에 강하게 감돌아요. 맛은 무난하 맛나고, 이국적인 음식 느낌이 확실히 강해요."
1812494362,남소관 우육도삭면중식당,,,소룡포가 맛있는 집.분위기가 좋은 집.도삭면이 맵지 않은 김치칼국수맛이 나는 개운한 맛이라 종종 생각납니다.여긴 민생소비쿠폰 사용이 안되더라구요.
1812494362,남소관 우육도삭면중식당,,,"어향육슬 맵찔이분들도 몇 입 찬스쓰면 먹을 만한 맵기고, 사진대로 직관적인 맛납니다. 간이 적절해서 괜찮아요."
1812494362,남소관 우육도삭면중식당,,,오늘 처음으로 도삭면을 먹으러 이곳에 왔습니다. 처음 먹어본 음식들이 많았는데 깔끔하고 가지볶음밥도 맛있었고 도삭면도 되게 맛있었습니다. 만두도 맛있었고 오늘 우육도상면 사천시 도삭면 수성 달만두 어망가지 덮밥 소고기볶음밥 경장 육수 많이 시켰네 오늘 좋은 지인분들하고 맛있게 잘 먹었습니다. 감사합니다. 다음에 다시 한번 오고 싶습니다.
1812494362,남소관 우육도삭면중식당,,,우연히 방문했는데 너무 맛있어서 리뷰남겨요. 볶음면이 마라맛이 강하고 면이 쫄깃해서 너어무 맛있어요! 그리고 딤섬도 고기잡내 안나고 진짜 맛있구요. 전체적으로 다 간이 되어있는 편이라 조금 짜다고 느낄수도 있을거같은데 주류랑 같이 먹거나 공깃밥이랑 같이 먹어도 너무 맛있을거같아요. 저는 배가 불러서 밥은 못먹었지만 또 올거같아요!
1812494362,남소관 우육도삭면중식당,,,우욱면 맛있어요! 반찬도 피클은 새콤하고 땅콩은 짭잘해서 잘 어울렸어요 ㅎㅎ
1812494362,남소관 우육도삭면중식당,,,우육도삭면 면은 맛있었고 국물은 김치칼국수 같은 특이한 맛이었습니다
