가게ID,가게명,평점,날짜,리뷰내용
1769095765,21케이크 강남본점,,,고객님의 특별한 순간마다 늘 곁에서 정성껏 준비하겠습니다 !~~~~
1769095765,21케이크 강남본점,,,고객님의 특별한 순간마다 늘 곁에서 정성껏 준비하겠습니다 !~~~~
1769095765,21케이크 강남본점,,,고객님의 특별한 순간마다 늘 곁에서 정성껏 준비하겠습니다 !~~~~
1769095765,21케이크 강남본점,,,고객님의 특별한 순간마다 늘 곁에서 정성껏 준비하겠습니다 !~~~~
1769095765,21케이크 강남본점,,,고객님의 특별한 순간마다 늘 곁에서 정성껏 준비하겠습니다 !~~~~
1769095765,21케이크 강남본점,,,고객님의 특별한 순간마다 늘 곁에서 정성껏 준비하겠습니다 !~~~~
1769095765,21케이크 강남본점,,,고객님의 특별한 순간마다 늘 곁에서 정성껏 준비하겠습니다 !~~~~
1769095765,21케이크 강남본점,,,글씨체나 디테일한부분은 사전에 말씀주시면 참고하여 작업 또는 수정도와드릴게용 ^^! 감사합니다 !!
1769095765,21케이크 강남본점,,,글씨체나 디테일한부분은 사전에 말씀주시면 참고하여 작업 또는 수정도와드릴게용 ^^! 감사합니다 !!
1769095765,21케이크 강남본점,,,글씨체나 디테일한부분은 사전에 말씀주시면 참고하여 작업 또는 수정도와드릴게용 ^^! 감사합니다 !!
1769095765,21케이크 강남본점,,,글씨체나 디테일한부분은 사전에 말씀주시면 참고하여 작업 또는 수정도와드릴게용 ^^! 감사합니다 !!
1769095765,21케이크 강남본점,,,글씨체나 디테일한부분은 사전에 말씀주시면 참고하여 작업 또는 수정도와드릴게용 ^^! 감사합니다 !!
1769095765,21케이크 강남본점,,,급하게 당일에 요청드렸는데 이런 퀄리티가....심지어 두시간안에 받았어요 진짜 최고 😭😭 담에 또 올게용!!
1769095765,21케이크 강남본점,,,급하게 당일에 요청드렸는데 이런 퀄리티가....심지어 두시간안에 받았어요 진짜 최고 😭😭 담에 또 올게용!!
1769095765,21케이크 강남본점,,,급하게 당일에 요청드렸는데 이런 퀄리티가....심지어 두시간안에 받았어요 진짜 최고 😭😭 담에 또 올게용!!
1769095765,21케이크 강남본점,,,급하게 필요했던 레터링케이크를 당일주문 당일수령이 가능한 시스템이라니 정말 최고예요!! ㅠㅠ
1769095765,21케이크 강남본점,,,기념일 맞이로 주문제작케이크 수령했습니다 ! 디자인 요청대로 잘 만들어주셨고 친절하셔서 좋았어요 ㅎㅎ 초도 귀여운 것들이 많고 매장도 아기자기 귀여워요 다음에 또 드를게요~~!!
1769095765,21케이크 강남본점,,,기념일 맞이로 주문제작케이크 수령했습니다 ! 디자인 요청대로 잘 만들어주셨고 친절하셔서 좋았어요 ㅎㅎ 초도 귀여운 것들이 많고 매장도 아기자기 귀여워요 다음에 또 드를게요~~!!
1769095765,21케이크 강남본점,,,기념일 맞이로 주문제작케이크 수령했습니다 ! 디자인 요청대로 잘 만들어주셨고 친절하셔서 좋았어요 ㅎㅎ 초도 귀여운 것들이 많고 매장도 아기자기 귀여워요 다음에 또 드를게요~~!!
