가게ID,가게명,평점,날짜,리뷰내용
1257285078,가가솥밥 강남점,,,"강남역 근처에서 저녁 먹을 일이 있어서, 찾다가 들렀네요. 든든한 솥밥 먹고싶을 때 오시면 딱 좋은 거 같아요. 튀김도 맛있네용"
1257285078,가가솥밥 강남점,,,"강남역 직장인들에게 특별한 한끼로 유명한 프리미엄 솥밥집 가가솥밥에 다녀왔습니다. 솥밥 안에 들어있는 쌀밥은 쫀득한 찰기가 느껴지면서 구수한 풍미와 부드러운 식감이 끝내줍니다. 얼큰한 김치 칼국수와 솥밥을 한상에 먹을 수 있는 얼큰김치칼국수솥밥, 국내산 붉은대게가 가득 담긴 프리미엄 솥밥 붉은대게솥밥, 짭조름한 명란과 고소한 버터의 조화가 잘 어우러진 명란버터솥밥, 12시간 숙성시킨 부드러운 스테이크 고소한 풍미가 매력적인 스테이크솥밥 등 다양한 솥밥을 즐기기 좋습니다. 솥밥과 곁들여 마시기 좋은 하이볼도 꼭 드셔보세요. 강남역 근처에서 데이트나 모임장소로도 추천합니다."
1257285078,가가솥밥 강남점,,,건강하게 먹고 싶을 때 자주 올 것 같아요!! 기본 반찬도 정갈하니 맛있습니다 ㅎㅎ
1257285078,가가솥밥 강남점,,,건강한 한끼 먹고싶어서 저녁 늦게 들렀어요. 밥도 꼬소하고 영양가득 한상입니다. 너무 맛있게 잘먹고가요~!
1257285078,가가솥밥 강남점,,,게내장도 넣고 간장 조금 붓고 버터랑 같이 비벼먹으면 최고에요~~ 마무리 누룽지도 좋았어요.
1257285078,가가솥밥 강남점,,,그런데 다른집과 다른 메뉴 먹고싶어서 온건데 앉자마자 “이거 세갠 안돼요”하고 퉁명스럽게 얘기하시는 아줌마직원분 이야기 들었어요
1257285078,가가솥밥 강남점,,,메뉴가 다양해서 한번 왔는데 아쉽게도 명란떡갈비솥밥은 품절이라 스테이크 솥밥이랄 버섯 솥밥 먹었어요! 둘다 너무 맛있었어요!
1257285078,가가솥밥 강남점,,,"무쇠솥에 갓 지은 밥은 고슬고슬하면서도 촉촉하고, 밥에서 은은한 누룽지 향이 퍼져 나와 입맛을 돋워줬어요. 정갈하게 나오는 반찬들도 하나하나 정성이 느껴졌고, 특히 스테이크솥밥이 조화롭게 어우러져 전체적인 밥상의 밸런스가 좋았습니다."
1257285078,가가솥밥 강남점,,,배고파서 메뉴 나오자마자 허겁지겁 먹어서 예쁘게 찍은 사진은 없어요 ㅠㅠ 근데 밥 너무 맛있고 양도 많아서 다음에 또 올것같아요!
1257285078,가가솥밥 강남점,,,솥밥 더는 그릇도 주걱도 가벼운 플라스틱이 아니라서 더 좋습니다.
1257285078,가가솥밥 강남점,,,솥밥 먹고 싶어서 찾아왔는데 너무 맛있어요 묵사발 솤밥은 여름에 먹어도 정말 맛있을 것 같아요 다른 메뉴도 너무 다양해서 고민했어요 다음에는 명란버터 먹어보려구요 ㅎ
1257285078,가가솥밥 강남점,,,스테이크 솥밥 너무 맛있어요!!ㅠㅠㅠ 강남에서 솥밥 먹고싶으면 여기 또 오면 될 것 같아요🥹
1257285078,가가솥밥 강남점,,,앞에 대기팀이 많아서 걱정했지만 다행히 추천 받은 런치메뉴 명란떡갈비솥밥 주문 가능했어요! 만원의 행복입니다 😍
1257285078,가가솥밥 강남점,,,양도 넉넉하고 맛도 훌륭해서 가성비 최고였어요. 다음에도 꼭 재방문할 예정입니다^^ 식감부터 풍미까지 하나하나 섬세하게 신경 쓴 게 느껴졌습니다. 정말 맛있어요!
1257285078,가가솥밥 강남점,,,"웨이팅 시스템이 없어 걱정했는데, 바로 입장할 수 있어서 좋았습니다^^ 밥과 숭늉 모두 맛있었어요~"
1257285078,가가솥밥 강남점,,,육향도 좋도 양도 든든하다...! 너뮤 맛잇음... 직원분들께서도 친절하셔서 점심에 종종 들르겠습니다😄
1257285078,가가솥밥 강남점,,,"이미 유명한곳이던데, 오늘 영접해보니 알겠더라구요~ 너무맛있었습니다😊 음식들도 맛있고 음식만드시는주방도 깔끔합니다~"
1257285078,가가솥밥 강남점,,,저녁에 방문예약 없이 이용대기 시간 바로 입장데이트연인・배우자
1257285078,가가솥밥 강남점,,,저녁에 방문예약 없이 이용대기 시간 바로 입장데이트연인・배우자
1257285078,가가솥밥 강남점,,,저녁에 방문예약 없이 이용대기 시간 바로 입장일상혼자
1257285078,가가솥밥 강남점,,,저녁에 방문예약 없이 이용대기 시간 바로 입장친목지인・동료
1257285078,가가솥밥 강남점,,,저녁에 방문예약 없이 이용대기 시간 바로 입장친목지인・동료
1257285078,가가솥밥 강남점,,,저녁에 방문예약 없이 이용대기 시간 바로 입장친목친구
1257285078,가가솥밥 강남점,,,저녁에 방문예약 없이 이용대기 시간 바로 입장친목친구
1257285078,가가솥밥 강남점,,,점심에 방문예약 없이 이용대기 시간 10분 이내 여행연인・배우자
1257285078,가가솥밥 강남점,,,점심에 방문예약 없이 이용대기 시간 바로 입장데이트연인・배우자
1257285078,가가솥밥 강남점,,,점심에 방문예약 없이 이용대기 시간 바로 입장데이트연인・배우자
1257285078,가가솥밥 강남점,,,점심에 방문예약 없이 이용대기 시간 바로 입장데이트친구
1257285078,가가솥밥 강남점,,,점심에 방문예약 없이 이용대기 시간 바로 입장일상지인・동료
1257285078,가가솥밥 강남점,,,청첩장모임으로 예약하고 방문했는데 조용해서 대화하기도 좋고 공간도 쾌적하고 솥밥도 너무 맛있어요~!
38562941,고수닭갈비닭갈비,,,강남역 가성비 맛집 고수닭갈비 양도 푸짐하고 매장 내부가 넓어서 여러명이 가기 좋을 것 같아요. 야채보다 닭갈비 양이 더 많은 완전 가성비 맛집입니다👍
38562941,고수닭갈비닭갈비,,,강남역 가성비 맛집 고수닭갈비 양도 푸짐하고 매장 내부가 넓어서 여러명이 가기 좋을 것 같아요. 야채보다 닭갈비 양이 더 많은 완전 가성비 맛집입니다👍
38562941,고수닭갈비닭갈비,,,강남역 고수닭갈비 다녀왔는데 치즈가 진짜 푸짐하게 나와서 너무 만족했어요 🧀🔥 닭갈비랑 치즈 조합은 말해 뭐해… 늘어나는 치즈에 고기 듬뿍 싸먹으니까 진짜 꿀맛이었어요 😍 분위기도 깔끔하고 직원분들도 친절해서 기분 좋게 먹고 왔습니다. 치즈 좋아하시는 분들은 꼭 가보세요 👍
38562941,고수닭갈비닭갈비,,,강남역 고수닭갈비 다녀왔는데 치즈가 진짜 푸짐하게 나와서 너무 만족했어요 🧀🔥 닭갈비랑 치즈 조합은 말해 뭐해… 늘어나는 치즈에 고기 듬뿍 싸먹으니까 진짜 꿀맛이었어요 😍 분위기도 깔끔하고 직원분들도 친절해서 기분 좋게 먹고 왔습니다. 치즈 좋아하시는 분들은 꼭 가보세요 👍
38562941,고수닭갈비닭갈비,,,강남역11번출구 인근에 위치한 닭갈비맛집 고수닭갈비. 1년만에 방문 근처에 공부하고있는 조카와 함께 먹었는데 맛있다고 해줘서 만족. 치즈가 잘녹아서 닭갈비와 먹기 좋았고 샐러드와 깻잎. 쌈무는 셀프바를 이용해서 양껏먹을수있어요
38562941,고수닭갈비닭갈비,,,강남역11번출구 인근에 위치한 닭갈비맛집 고수닭갈비. 1년만에 방문 근처에 공부하고있는 조카와 함께 먹었는데 맛있다고 해줘서 만족. 치즈가 잘녹아서 닭갈비와 먹기 좋았고 샐러드와 깻잎. 쌈무는 셀프바를 이용해서 양껏먹을수있어요
38562941,고수닭갈비닭갈비,,,강남역에서 간단히 식사하려고 들렀는데 치즈 대박 ㅎㅎ 완전 맛있는 닭갈비 먹었어요~~!! 치즈가 다른데랑 차원이 다릅니다 눈꽃치즈송이닭갈비 강추합니다~!
38562941,고수닭갈비닭갈비,,,강남역에서 간단히 식사하려고 들렀는데 치즈 대박 ㅎㅎ 완전 맛있는 닭갈비 먹었어요~~!! 치즈가 다른데랑 차원이 다릅니다 눈꽃치즈송이닭갈비 강추합니다~!
