가게ID,가게명,평점,날짜,리뷰내용
1571504136,경송 천호본점,,,2~3주마다 방문하는 산부인과 옆에 있어서 병원올때마다 꼭 들르는 천호맛집이랍니다. 마늘갈비 특유에 달큰한 맛이 너무 맛있고 먹을때마다 뱃속에 아이도 신나서 움직이고 반찬과 우거지국도 너무 건강해서 애기도 무럭무럭 더 건강하게 자라는거 같아요! 사장님도 친절하시고 항상 올때마다 기억해주시고 애기를 낳아도 이맛이 기억나서 계속 칮고싶은 곳이에요 :)
1571504136,경송 천호본점,,,2번째 방문입니다. 청호동 올때마다 들러요..직원분들 친잘하시고 밑반찬 깔끔하고 고기도 맛있어요! 식사가 만족스러워서 자주 오게 되네요. 천호 맛집 추천합니다
1571504136,경송 천호본점,,,가족외식이나 데이트때 오면 무조건 점수 받을수있는 맛집인거 같아용 ㅎㅎㅎ 잘~~먹고 갑니당
1571504136,경송 천호본점,,,갈비살 좋아하긴 하지만 먹다보면 금방 물리는데 개운하게 입가심 해줘서 마지막 한 점까지 맛있게 잘 먹었습니다😍
1571504136,경송 천호본점,,,경송은 채소모듬구이 있어서 너무 좋아요. 고기는 마늘갈비살 생갈비 양념갈비 큐브소고기 다먹어봤는데 진짜 전부 다 맛있습니다! 왕추천 짱추천〰️〰️ 질 좋고 맛있는 고기 먹고싶으면 걍 경송 오세요! 단 인기많으니까 웨이팅앱으로 미리 대기 거시거나 예약하고 오세요 😉
1571504136,경송 천호본점,,,고기는 역시나 맛있었고 맥주행사해서 한잔 먹었구요!!사진엔 없지만 육회 맛있어요
1571504136,경송 천호본점,,,구리에서 천호 나들이 왔어요!😁 좀 색다른 고기 먹고 싶어서 검색하다보니 천호동맛집이라고 해서 와봤어요. 고기가 너무 이쁘게 와서 눈으로도 즐거웠고 고기도 맛있고 반찬도 많이 나오는데 다 맛있었어요! 직원분도 친절하셔서 즐거운 시간이었어요! 😆🤩
1571504136,경송 천호본점,,,"굽고 나서 처음 한입을 먹었을 때, 맛은 결코 배신하지 않았다. 가운데 마늘 소스에 찍어먹으면 감칠맛이 2배.."
1571504136,경송 천호본점,,,기념일에 왔는데 비주얼 대박이에요 😻😻 깍뚜기 꽃살이 맛있었습니다아아 그런데 다들 마늘양념이 더 맛있다고 하더라고요 인기 있는 이유가 있는 것 같아요 천호 맛집 찾으시면 완전 추천합니당 👍🏻🫶🏻
1571504136,경송 천호본점,,,"깍뚜기꽃살은 역시 부드러운 식감이여서 아이들도 잘먹을거같았고, 마늘갈비는 생각보다 마늘맛이 약했지만 무난..의외로 꼬리고기가 구워 먹으니 쫄깃하고 앏아서 단짠양념이 잘베어 맛있더라구요."
1571504136,경송 천호본점,,,"깔끔한 밑반찬에,건더기 듬뿍 우거지된장국,익힌 고기를 식지 않게 먹을수 있는 간이화로까지.."
1571504136,경송 천호본점,,,"꽃살,마늘갈비,소꼬리 다 맛있어서 다 맛 보고 싶으시면 모듬 추천드립니다. 다음에 천호 올때 또 드릴게요~~"
1571504136,경송 천호본점,,,나오는 반찬들부터 자극적인 맛이 아닌데도 입맛에 다 조화롭게 맛있다고 느껴서 너무 좋았고 고기는 알려주신대로 순서대로 먹었는데 다 너무 좋았어요! 신선하다고 느껴지고 육즙도 굿이었어요!! 들기름 막국수 솥밥 꼭 추가해서 드세요! 정말 만족스러운 맛있는 저녁식사였습니다♡
1571504136,경송 천호본점,,,남자친구 생일 기념 방문했는데 너무 맛있어요…! 들기름막국수도 너무 맛있고 고기질도 좋아요. 기념일에 방문하기 딱 좋네요👍🏻
1571504136,경송 천호본점,,,너무 순삭해서 사진을 미처 못찍었네요 🥹 사장님도 직원분들도 에브리바디 친절한데 음식도 맛있으면 여기 안 올 이유가 없죠....! 우리 멍멍이까지 사랑해주시는 경송 🫶
1571504136,경송 천호본점,,,마늘갈비는 아이들의 최애고기로 입에 넣는순간 바로 사르르 ~양념맛은 최고~~ ㅋ
1571504136,경송 천호본점,,,매번 웨이팅이 많아 포기했다가 가족모임 으로 예약하고 1등으로 오픈런~~!!
1571504136,경송 천호본점,,,밑반찬도 하나하나 감칠맛 좋아요 조만간 부모님 모시고 다시방문하려구요!!!
1571504136,경송 천호본점,,,반찬도 다 신선하고 맛있고 고기가 올때마다 항상 신선하고 맛있어요. 직원분들도 늘 친절합니다. 육회카펠리니 처음 시켜봤는데 역시 맛있네요. 추천합니다
1571504136,경송 천호본점,,,생일이라고 올리는걸 보고는 육회케익 서비스로 주시는데 세심한배려에 넘감동이였어요
1571504136,경송 천호본점,,,솔직히 여기 강추 리뷰 작성이 아니고 진짜 맛있고 친절하고 애견 동반도 되고 남자친구 여자친구 배우자분들 다 모시고 오기 좋은 곳!!! 예약 필수구영 진짜 존맛탱구리 진심 굽기도 편하고 짱 조아여 항아리 파르페 비싸보일수도 있는데 짱 맛있어오
1571504136,경송 천호본점,,,시래기된장찌개는 서비스로나오는데 엄마가 끓여주신맛!! 너무 맛있어서 조만간 여기서 친구들하고
1571504136,경송 천호본점,,,싹다 맛있는데 소꼬리 구이는 첨 먹어봤어서 신기하고 좋네여
1571504136,경송 천호본점,,,아빠랑 휴일 나들이하면서 항상 오는 천호맛집이에요 ㅎㅎ 마늘갈비는 소갈비여서 연하게 먹을수있고 양념도 독특해서 자주옵니다ㅋㅋ 분위기있게 갈비먹고싶을땐 천호맛집 경송천호본점 강추합니다 ㅇㅅㅇ)b
1571504136,경송 천호본점,,,"아이가 너무 좋아하는 곳이어서 결혼 기념일 맞아 재방문했어요~ 꽃살, 마늘갈비, 로스 전부 맛있고.. 육회도 맛있어요~ 그리고 기본반찬들도 맛있습니다~ 친절하기도 하구요!! 강추합니다!!"
1571504136,경송 천호본점,,,예약 꼭 하고 가세요 인기 엄청 많아요.. 그만큼 고기가 진짜 맛있네요. 솔직히 그냥 소고기겠거니 했는데 특히 양념소갈비살 꼭 드세요. 양파절임이랑 같이 먹으면 극락..
1571504136,경송 천호본점,,,예약없이 이용하였고 와인 콜키지프리라서 와인 한병 사갔어요! 고기도 신선하도 세트메뉴 구성도 좋은데 반찬으로 나오는 종류들도 좋았구 찌개랑 배부르게 먹기 좋았어요! 게다가 직원분들도 다 친절하셔서 기분좋게 먹고 갑니당!
