가게ID,가게명,평점,날짜,리뷰내용
33212360,2.5짜장중식당,,,2.5 짜장은🍜🥘성내시장👒바로 옆에 위치한 배달도 하지않는 중국집인데🍤입소문으로 늘 북적북적하죠
33212360,2.5짜장중식당,,,"✅️🍜탕수육+해물쟁반짜장2인분 만6천원(약간 매콤하고 독특한맛,해물은 주로 새우 송이버섯/탕수육은 소자사이즈, 맛이 약간 잡내나는 경우도,이점만 보강하면👍)"
33212360,2.5짜장중식당,,,"가격, 굉장히 저렴합니다. 많이 오르지도 않았고, 짬뽕 한그릇이 아직도 4500원인데 카드로도 결제가 됩니다. 그렇다고 맛이 없는 것도 아니고요. 양도 적지 않고 딱 맞아서. 한그릇 먹고 가기 좋습니다"
33212360,2.5짜장중식당,,,가격땜에 맛까지는 솔직히 기대는 안했는데 맛있어요!! 추천추찬
33212360,2.5짜장중식당,,,가성비좋고 맛도 좋고 홀써빙 이모님도
33212360,2.5짜장중식당,,,"국밥 한그릇도 1만원인 요즘 짜장면을 3,500원이란 모범생 가격으로 판매하는 곳인데 인상 전엔 2,500원이어서 상호가 2.5짜장이라고 하네요."
33212360,2.5짜장중식당,,,안녕하세요 먹동생입니다 저번에 짜장탕수육세트 먹고 맛있어서 또 방문했어요 이번엔 볶음밥과 해물쟁반짜장 먹었는데 해물짜장 2인기준이 없어서 좋았고 양도 넉넉해서 좋았어요 맛있어요
33212360,2.5짜장중식당,,,요즘처럼 물가 비싼 시기에 저렴하고 맛까지 좋은 이 짜장면집 적극 추천합니다
33212360,2.5짜장중식당,,,저녁에 방문예약 없이 이용대기 시간 바로 입장
33212360,2.5짜장중식당,,,저녁에 방문예약 없이 이용대기 시간 바로 입장데이트연인・배우자
33212360,2.5짜장중식당,,,"저녁에 방문예약 없이 이용대기 시간 바로 입장일상아이, 연인・배우자"
33212360,2.5짜장중식당,,,저녁에 방문예약 없이 이용대기 시간 바로 입장일상연인・배우자
33212360,2.5짜장중식당,,,저녁에 방문예약 없이 이용대기 시간 바로 입장일상혼자
33212360,2.5짜장중식당,,,저녁에 방문예약 없이 이용대기 시간 바로 입장일상혼자
33212360,2.5짜장중식당,,,점심에 방문예약 없이 이용대기 시간 10분 이내
33212360,2.5짜장중식당,,,점심에 방문예약 없이 이용대기 시간 10분 이내
33212360,2.5짜장중식당,,,점심에 방문예약 없이 이용대기 시간 10분 이내 일상연인・배우자
33212360,2.5짜장중식당,,,점심에 방문예약 없이 이용대기 시간 10분 이내 일상연인・배우자
33212360,2.5짜장중식당,,,점심에 방문예약 없이 이용대기 시간 10분 이내 일상지인・동료
33212360,2.5짜장중식당,,,점심에 방문예약 없이 이용대기 시간 30분 이내데이트연인・배우자
33212360,2.5짜장중식당,,,점심에 방문예약 없이 이용대기 시간 바로 입장
33212360,2.5짜장중식당,,,점심에 방문예약 없이 이용대기 시간 바로 입장나들이혼자
33212360,2.5짜장중식당,,,점심에 방문예약 없이 이용대기 시간 바로 입장나들이혼자
33212360,2.5짜장중식당,,,점심에 방문예약 없이 이용대기 시간 바로 입장데이트연인・배우자
33212360,2.5짜장중식당,,,점심에 방문예약 없이 이용대기 시간 바로 입장데이트연인・배우자
33212360,2.5짜장중식당,,,점심에 방문예약 없이 이용대기 시간 바로 입장데이트연인・배우자
33212360,2.5짜장중식당,,,점심에 방문예약 없이 이용대기 시간 바로 입장데이트연인・배우자
33212360,2.5짜장중식당,,,점심에 방문예약 없이 이용대기 시간 바로 입장데이트지인・동료
33212360,2.5짜장중식당,,,점심에 방문예약 없이 이용대기 시간 바로 입장데이트친구
33212360,2.5짜장중식당,,,점심에 방문예약 없이 이용대기 시간 바로 입장데이트친구
33212360,2.5짜장중식당,,,점심에 방문예약 없이 이용대기 시간 바로 입장일상연인・배우자
33212360,2.5짜장중식당,,,점심에 방문예약 없이 이용대기 시간 바로 입장일상지인・동료
33212360,2.5짜장중식당,,,점심에 방문예약 없이 이용대기 시간 바로 입장일상지인・동료
33212360,2.5짜장중식당,,,점심에 방문예약 없이 이용대기 시간 바로 입장일상혼자
33212360,2.5짜장중식당,,,점심에 방문예약 없이 이용대기 시간 바로 입장일상혼자
