가게ID,가게명,평점,날짜,리뷰내용
1072253136,너츠커피바,,,"난생 처음 먹어본 버터바, 다른 곳을 가도 여기만한 곳이 없어요! 커피 가격대도 합리적이고 디저트도 정말 맛있어요. 인테리어도 감성+힙+오렌지 컬러의 발랄함이 더해져서 편안하면서도 텐션을 약간 올려주는 분위기에요. (●’◡’●)ﾉ"
1072253136,너츠커피바,,,너츠 디저트 넘 맛있어요😍 안 달아서 엄마도 좋아해서 맨날 사가는데 예쁜 포스터두 생겼네요
1072253136,너츠커피바,,,너츠크림라떼 크림도 많도 커피도 정말맛있어요 디카페인은 맛없는 곳 많은데 여긴 디카페인도 진짜 맛있어요ㅠㅠㅠㅠㅠ쵝오
1072253136,너츠커피바,,,단골 커피집! 사장님 친절하시고 커피도 아주 맛있습니다~
1072253136,너츠커피바,,,동네 가장 맛있는 커피점이지만 사진도 맛집
1072253136,너츠커피바,,,디저트가 다 맛있어요 포장하러왔다가 새로운 쿠키가 나와어 먹고 왔어요 피칸버터스카치 쿠키 피칸도 많이 들었고 버터카라멜도 흔하지않고 맛있어요~~
1072253136,너츠커피바,,,매번 지나칠 때 마다 작지만 귀엽게 생긴 카페라고 생각했는데 오늘 들려보니 곳곳에 소품들도 귀엽게 잘 배치된 카페였습니다. 주말 단골이 될 것 같아요.
1072253136,너츠커피바,,,매일아침 출근도장 찍는이곳 너츠커피바 매일 커피때문에 가는것도있지만
1072253136,너츠커피바,,,"매장 인테리어도 예쁘고 혼자와도, 반려동물과 함께여도 편안하게 힐링할 수 있는 공간이여서 좋아요‼️"
1072253136,너츠커피바,,,매장이 편안한분위기입니다! 컵도 예뻐서 기분이 좋아지네요~~!💕💕❤️
1072253136,너츠커피바,,,모든 종류의 커피와 디저트가 잊을 수 없게 맛있어요. 카페도 예쁘고 분위기도 좋고 친절하셔서 너무 좋아요.
1072253136,너츠커피바,,,믿고 먹는 너츠커피ㅎㅎ 음료랑 디저트 둘다 맛있어요❤️❤️
1072253136,너츠커피바,,,배민 주문으로 먹어봤는데 직접와보니 사장님? 알바님?들 친절하시고 좋네요. 커피랑 디저트랑 잘어울려요. 자주 올게요~
1072253136,너츠커피바,,,사장님 친절하시고 커피 맛도 좋아요!
1072253136,너츠커피바,,,아침에 방문예약 없이 이용대기 시간 바로 입장일상혼자
1072253136,너츠커피바,,,아침에 방문예약 없이 이용대기 시간 바로 입장일상혼자
1072253136,너츠커피바,,,"아침에 방문예약 없이 이용대기 시간 바로 입장친목, 일상부모님"
1072253136,너츠커피바,,,예전에 맛있게 먹고 다녀갔던적이 있어서 다시 방문! 사장님 친절하시고 여전히 맛있네요ㅋㅋ
1072253136,너츠커피바,,,우연히 시각때울일있어 들어갔어요 생각보다 맛있는 커피와 디저트류에 깜놀했죠 앞으론 자주들를듯해용 이런 커피숍을 왜 이제알게된거져 넘나 똑땅해여 여러분들두 저처럼 후회하지마시구 얼른얼른가셔서 맛난커피랑 디져트 드세욤
1072253136,너츠커피바,,,"우연히 와본 카페인데, 인테리어가 너무 예쁘고 아늑해서 좋아요!! 무엇보다 커피랑 디저트가 맛있었습니다 ㅎㅎ 혼자 와서 공부해도 좋고, 친구들이랑 이야기 나누러 오에도 딱인 것 같아요서, 추천입니다 :)"
1072253136,너츠커피바,,,이곳의 맛난베이커리 중 밀크푸딩이 새롭게 출시되었는데..출렁출렁 부드럽고 달콤 매일 10개한정인데 조금만 늦어도 놓친답니다 😋
1072253136,너츠커피바,,,이제 이 럭셜여사의 매일아침 참새방앗간이 되거린 너츠커피바 ^^동네 작은 커피숍이라 그냥그른줄알았는데 이미 둔촌동 맛캅게중 하나로 랭킹순위에있더라구요 거기에 배민배달되궁 좋네요 울동네분 아니신분들은 배달서비스로 이용해보세요 혹시몰라 주문한 에이드..과일청이 달지않고 가득들어좋네요 커피안드시는분들도 다양한 넌커피음로 구비되어있습니다
1072253136,너츠커피바,,,저녁에 방문예약 없이 이용대기 시간 바로 입장데이트연인・배우자
1072253136,너츠커피바,,,점심에 방문예약 없이 이용대기 시간 바로 입장
1072253136,너츠커피바,,,"점심에 방문예약 없이 이용대기 시간 바로 입장데이트, 친목연인・배우자"
1072253136,너츠커피바,,,점심에 방문예약 없이 이용대기 시간 바로 입장데이트친구
1072253136,너츠커피바,,,점심에 방문예약 없이 이용대기 시간 바로 입장일상
1072253136,너츠커피바,,,점심에 방문예약 없이 이용대기 시간 바로 입장일상아이
1072253136,너츠커피바,,,점심에 방문예약 없이 이용대기 시간 바로 입장일상연인・배우자
1072253136,너츠커피바,,,점심에 방문예약 없이 이용대기 시간 바로 입장일상혼자
1072253136,너츠커피바,,,점심에 방문예약 없이 이용대기 시간 바로 입장일상혼자
1072253136,너츠커피바,,,점심에 방문예약 없이 이용대기 시간 바로 입장일상혼자
1072253136,너츠커피바,,,점심에 방문예약 없이 이용대기 시간 바로 입장일상혼자
1072253136,너츠커피바,,,점심에 방문예약 없이 이용대기 시간 바로 입장친목부모님
1072253136,너츠커피바,,,점심에 방문예약 없이 이용대기 시간 바로 입장친목지인・동료
1072253136,너츠커피바,,,점심에 방문예약 없이 이용대기 시간 바로 입장친목지인・동료
1072253136,너츠커피바,,,점심에 방문예약 없이 이용대기 시간 바로 입장친목지인・동료
1072253136,너츠커피바,,,점심에 방문예약 없이 이용대기 시간 바로 입장친목친구
1072253136,너츠커피바,,,집 주변 예쁜 카페라 갔는데 직원분도 친절하시고 메뉴도 예쁘고 맛있고
1072253136,너츠커피바,,,커피는 두근거려서 안땡기는데 날도 춥고해서 즐어갔다가 뱅쇼를 마셨는데
1072253136,너츠커피바,,,커피도 맛있고 오늘은 못 먹었지만 다음엔 꼭 디저트도 먹으러 올게요🥹🩵
1072253136,너츠커피바,,,커피도 맛있고 친절하시고 오틀리라떼와 밤라떼는 진심 최애입니다. 책읽고 힐링하기좋은 저만의 아지트에요.
1072253136,너츠커피바,,,"커피랑 잘 어울리는 버터바나 마들렌이 맛있고,"
1072253136,너츠커피바,,,혼커하기좋은곳☕️우리동네 커피맛집 너츠커피 소개드려요 저두 그냥 우연히 시간때울데 필요해서 들어갔다 요기 커피맛에 반해서 매일 출근도장찍고있지요 거비에 디저트류두 특색있구 맛난데 많이달지않은 건강한 맛이랍니다 악수터 고개아래있는 너츠커피바 혼자서 독서하거나 작업하기에두 조용하니 강추해봅니당
1994359615,눅스커피,,,강동구 대형카페가 그리 많지 않은데 여긴 주차공간 넓어서 자리도 여유 있어서 차가지고 오기 좋네요~ 커피랑 디저크류도 맛있습니다.
1994359615,눅스커피,,,근처 볼일이 있어서 갔다가 들렀는데 맛도 좋고 분위기도 좋았습니다.
1994359615,눅스커피,,,늘 솔드아웃이거든요 이런 맛난곳은 저혼자 알고싶긴하지만..장사가 잘되야 저두오래도록 맛볼수있으니 이곳 꼭 가보셔여들
1994359615,눅스커피,,,늘 솔드아웃이거든요 이런 맛난곳은 저혼자 알고싶긴하지만..장사가 잘되야 저두오래도록 맛볼수있으니 이곳 꼭 가보셔여들
1994359615,눅스커피,,,"동네에 이런 대형카페가 생겨서 좋아요. 주차하기도 편하고,, 커피도 맛있네요. 혼자와서 작업하기도 괜찮고, 지인들과 같이 와서 대화나누기에도 좋아요"
1994359615,눅스커피,,,"빵이랑 쿠키가 다 너무 맛있어요!!!! 초코쿠키가 너무맛있어서 자주 오는데 , 케이크도 먹어봤더니.. 촉촉하니 부드럽고 너무 달지도 않고 정말 너무너무 몹시 맛있네요 😍"
1994359615,눅스커피,,,"빵이랑 쿠키가 다 너무 맛있어요!!!! 초코쿠키가 너무맛있어서 자주 오는데 , 케이크도 먹어봤더니.. 촉촉하니 부드럽고 너무 달지도 않고 정말 너무너무 몹시 맛있네요 😍"
1994359615,눅스커피,,,새로 생긴 카페인데 분위기 좋고 무엇보다 커피맛이 좋아요! 디카페인도 있어 더 좋네요🙂‍↕️ 빵 종류도 많고
1994359615,눅스커피,,,생긴지 조금 되는 걸로 아는데 나에겐 첫방문이니 신상카페 ㅎㅎ 동네 근방에 베이커리 카페가 많이 생기고 있어서 좋당 디카페인 아라와 생크림몽블랑을 먹어봤는데 커피 완전 합격~~ 빵도 합격~~빵은 조금 달달하긴 한데 원래 달아야 맛잇는 거쥬 주차도 편하고 인테리어 음악도 좋고 다 좋은데 손님 연령대가ㅋㅋㅋㅋㅋㅋㅋ 어르신들이 많이 계셧음 평일 낮에 가서 그런가...? 하여튼 나에겐 깔끔하고 맘에 드는 카페엿음!@
