가게ID,가게명,평점,날짜,리뷰내용
2026656153,끼룩이네,,,갈매기도 너무 맛있는데 새우양념 진짜너무너무 맛있어요!! 왕추천!!!
2026656153,끼룩이네,,,갈매기살 맛있어요. 새우장과 청어알젓? 엄청 고급지고 맛있어요. 드럼통테이블이 아닌 고급식당에서 주는 그런느낌입니다. 고추절임? 소스도 맛있고 곁들여먹는 밑반찬이 정말 너무 고급지고 특이해요. 잘먹고 갑니다.
2026656153,끼룩이네,,,갈매기살 전문으로 나오는 집인데 고기가 정말 신선하고 잡내 없이 쫄깃했어요. 직원분이 처음에 직접 구워주셔서 맛있게 익히는 방법도 알 수 있었어요. 꽃새우장이랑 기본 반찬도 깔끔하고 고기랑 잘 어울렸습니다. 환기 잘 돼서 연기 걱정 없이 편하게 먹고 왔어요.
2026656153,끼룩이네,,,갈매기살 진짜 맛있어요. 소스도 맛있고 밑반찬도 너무 깔끔하고 맛있습니다. 직원분들 친절하십니다~ 자주올게요!!^^
2026656153,끼룩이네,,,"갈매기살도 맛있는데 청국장 좋아요. 어떻게2900원을 받을수 있지 감탄의 연발! 그냥 서비스같아요. 혹시 이거 보시는분들은 고기드시고 청국장은 꼭 주문하시면 좋겠어요.저희는 양념보다 생갈매기살이 더 맛있어서 2인세트 말고 그냥 단품으로 주문해요. 근래 동네 새로운 고깃집 모두 다녀봤는데, 고기가 다별로였어요.여러집 기웃거리다 끼룩이네 하나 단골리스트에 저장! 더 놀라운건 체인이 아니였어요. 검색하니 진해에?? 끼룩이네가 있던데, 앞으로 승승장구하셔서 확산되면 좋겠어요. 강동의 자랑으로!!"
2026656153,끼룩이네,,,"강동에 정말 육즙 가득한 갈매기살집이 생겼습니다. 정말 귀하고 모든 메뉴가 거를게 없습니다. 가벼운 식사, 무거운 술자리등 모든 환경에 다 적용가능한 전천후 고깃집 입니다. 요즘 이렇게 맛있는 곳이 없는데 아주 만족하고 갑니다."
2026656153,끼룩이네,,,고기도 너무 부드럽고 껍데기도 즐기지않고 부드러운데 느끼하지 않아서 계속 들어가는 맛이에요!!
2026656153,끼룩이네,,,그리고 냉면이 저렴한데 가성비 너무 좋았고 면이 얇은 실면?같은거라 제가 생각하는 함흥냉면이라 더 맛있게 먹었어요!개인적으로 이런 면 선호ㅋㅋㅋ국물도 시원하고 맛나용
2026656153,끼룩이네,,,길동이사와서 맛집 못찾고 있는데 진짜 힘들게 찾은거 같아요 매장도 젤중요한 화장실 최고입니다
2026656153,끼룩이네,,,"꼬기 잘 구워주는 남친이랑 함께 왔습니다. 2인세트를 시켜서 갈매기, 양념갈매기, 껍데기가 나왔어요. 근데 와. 이렇게 맛있는 갈매기살 처음입니다. 너무 잘먹고 갑니다. 다른 고깃집에서 갈매기살을 자주 먹어보았지만 여기는 연육을 해서 훨씬 더 부드럽고 맛있었습니다. 갈매기살은 80%만 구워야 한다는!"
