가게ID,가게명,평점,날짜,리뷰내용
1899123616,"고메스퀘어 수유점일식,초밥뷔페",,,✔️꿔바로우도 원래 맛있어서 두번이상 먹는 음식이었는데 이번에는 쫀득한 식감이 아닌 딱딱함
1899123616,"고메스퀘어 수유점일식,초밥뷔페",,,가격이 비싼편인데 .. 접시를 너무 심각할 정도로 안 치워가셔서 날파리 파티되고…… 뷔페인데 그냥 전체적으로 날파리 엄청많이 날아다녀서 돌아다니기가 불편할 정도였네요..
1899123616,"고메스퀘어 수유점일식,초밥뷔페",,,가성비뷔페맛집이거등요~❣️❣️이근방에선 젤종류많코 퀄좋은뷔페이니 추천드려요!🍀
1899123616,"고메스퀘어 수유점일식,초밥뷔페",,,"고로케 ,과일,베이커리 ,커피,음로,유정과,식혜,탄산음료 ,셀러드 ,볶음밥,누룽지 해물탕"
1899123616,"고메스퀘어 수유점일식,초밥뷔페",,,"고메스퀘어 n회차 방문이지만, 주말 오픈런은 처음이었는데요! 갓 만들어져나온 퀄리티 좋은 음식들이 즐비해있고 종류도 다채로워서 먹는내내 입가에 즐거운 미소가 끊이질 않았습니다🤤❤️‍🔥 혹여나 웨이팅 있는건 아닐까 걱정했는데, 여유롭게 입장했구요~ 푸드 코너에는 늘 깨끗하게 정리가 되어있고 서버분들도 넘넘 친절하셔서 덕분에 좋은 식사시간 보내고 갑니다ㅎㅎ 푸파하고 싶은날 또 오겠습니다~ 맛있게 잘먹었습니다👍🏼✨"
1899123616,"고메스퀘어 수유점일식,초밥뷔페",,,고메스퀘어 수유점에서 런치 먹고 왔어여. 다양한 메뉴가 너무 많아서 다 먹어보지도 못했네여.
1899123616,"고메스퀘어 수유점일식,초밥뷔페",,,"디저트 및 과일, 기타 중식음식과 고기음식 종류도 다양해요. 가격대비 가성비 괜찮고 친절합니다.⭐"
1899123616,"고메스퀘어 수유점일식,초밥뷔페",,,메뉴가 다양하고 초밥과 회가 정말로 신선합니다. 평일임에도 고객이 많고 인테리어도 고급스러워서 분위기가 좋습니다. 단체모임하기에도 좋고 혼밥하기에도 어색하지 않습니다. 주차도 편리하고 식사하고 롯데시네마에서 영화한편 보는것도 좋습니다.
1899123616,"고메스퀘어 수유점일식,초밥뷔페",,,"수유역 모임장소로 딱 좋은 가성비 뷔페 고메스퀘어! 런치 2만원대 중반으로 150종류의 프리미엄 요리를 맛볼수 있었어요😃😃 갓 찌어낸 게찜 새우과 팔보채 꿔바로우 중식, 초밥과 사시미 일식, 곰탕 등 한식까지~~❤️"
1899123616,"고메스퀘어 수유점일식,초밥뷔페",,,스시 부페 중에 퀄리티 좋고 메뉴들도 다양한 곳은 여기가 최고라고 생각해요😋
1899123616,"고메스퀘어 수유점일식,초밥뷔페",,,스시종류가 많아서 좋아요 그대신 빵류는 맛없...빙수나 아이스크림 스무디같은거 먹기 좋아요 다른것도 먹을만함 근데 좀 비싼거 같긴하네요
1899123616,"고메스퀘어 수유점일식,초밥뷔페",,,애슐리보다 초밥은 더 다양하고 좋은거 같네요
1899123616,"고메스퀘어 수유점일식,초밥뷔페",,,엄청오랫만에 일이있어 친구와만나기위해 수유왔다가 들렀어요 항상먹던 술찜이 사라져서 아쉬웠지만 다른메뉴들이많아서 좋았구 아이스크림은 녹차는맛있었는데 쿠앤크같아서 퍼먹은건 치즈맛이나는 이상했어요 전에는우유맛이였는데 이번에는 뽀또 치즈맛같은맛이였어요 친구는 치즈먹으면안돼서 다음부터는 무슨맛인지 상태점검도있으면해요 거의 오픈때갔는데 아이스크림은거의빈통이였어요 그거 말고는 만족합니다 사진만봐도 맛있어보이네요
1899123616,"고메스퀘어 수유점일식,초밥뷔페",,,"여기는 변하지가 않네요. 아이들이 원해서 또 가게되었지만, 이제 아이들도 안가기로 했어요."
1899123616,"고메스퀘어 수유점일식,초밥뷔페",,,"오늘은 고메스퀘어 수유점을 방문 했는데요~! 비가오는 금요일 디너타임에도 6시 30분경까지 여유롭게 입장이 가능했습니다. 벌써 n번째 방문할정도로 늘 따뜻하게 요리가 잘관리되어있고, 신메뉴 라인업도 퀄리티가 기대한만큼 좋았습니다. 후식 젤라또에서 깜짝 놀랄정도로 맛있었어요👍🏼 다음에도 마구 퍼먹고 싶은날 오려합니다~ 가족, 친구, 연인 등 대규모 인원도 수용 가능하니 왕추천해요!😋✨"
1899123616,"고메스퀘어 수유점일식,초밥뷔페",,,오랜만에 갔는데 인테리어가 바뀌었네요. 메뉴구성도 좋아졌어요.
