가게ID,가게명,평점,날짜,리뷰내용
1059115121,김군네 짬뽕중식당,,,"3인에 탕수육,중화비빔밥,면요리 주문하심 좋을듯 해요"
1059115121,김군네 짬뽕중식당,,,5/18 일요일 1:50 도착했는데 .. 또 재료준비 마감당해서 ㅠ 집도 멀고 .. 오기로 기다렸습니다 ㅎㅎ
1059115121,김군네 짬뽕중식당,,,"가성비는 진짜 최고입니다. 그러나 웨이팅, 음식 내주는 방식 생각하면 절대 안갈곳. 손님 온 순서 무시되서 기분이 그닥 안좋네요."
1059115121,김군네 짬뽕중식당,,,그러나 기다리는 시간이 절대 헛되지않을만큼 맛있어요! 다음번엔 중화비빔밥 꼭 먹어볼겁니다🙋🏻‍♂️
1059115121,김군네 짬뽕중식당,,,그리고 어제 오랜만에 김군네 짬뽕국물이 먹고 싶기도 하고 고기는 그때만 그랬을수도 있어서 방문했습니다
1059115121,김군네 짬뽕중식당,,,"근데 오픈을 일찍시작했는지 이미 손님들이 앉아있었고! 마지막 테이블에 운 좋게 착석했습니다. 음식은 탕수육, 짬뽕, 중화비빔밥 순으로 나왔고 첫 음식인 탕수육이 나오기까지는 50-60분 걸렸습니다. 테이블에 앉아서 기다릴 수 있어서 다행이라고 생각했습니다! 시간이 오래걸릴거라고 마음의 준비를 하고 갔는데도...진짜 오래걸리긴 하더라고요.가격대비 양은 좋았습니다!"
1059115121,김군네 짬뽕중식당,,,날이더워서 사람들이 별로 없었어서 40분만에 들어가서 먹었는데 음식나오는데 30분이상걸립니다
1059115121,김군네 짬뽕중식당,,,다만 식사 후 너무 오래앉아계시는 손님에 대해선 어떤 얘기라도 해주셨으면...^^ 요즘 날이 너무 덥다보니 밖에서 계속 기다리기 힘들었습니다
1059115121,김군네 짬뽕중식당,,,"리뷰 895사진 1,321팔로워 33"
1059115121,김군네 짬뽕중식당,,,"바삭한 튀김안에는 쫄깃함이 살아있는 깔끔한 맛의 퀄리티 있는 돼지고기가 꽉 차 있었으며 오이, 당근, 적양배추, 파인애플 등의 고명도 튀김과 잘 어울렸음"
1059115121,김군네 짬뽕중식당,,,볼일 있을때 일부러 한번씩 골목길로 돌아가는 맛집!
1059115121,김군네 짬뽕중식당,,,소스 맛은 그대로지만 탕수육 고기가 작아졌고 짬뽕에 들어있는 해물의 양도 적어진 것 같습니다. 짬뽕 맛도 예전의 맛이 아닌 것 같습니다.
1059115121,김군네 짬뽕중식당,,,양이 많고 탕수육이 불맛이 나고 엄청 바삭해서 독특해요 짬뽕은 비주얼과 다르게 순해서 술술넘어가네요 잘먹고 왔습니다.
1059115121,김군네 짬뽕중식당,,,여러븐 탕슉을 드십셔!! 갓 나와서 겁나 따뜻하고 바삭한데 이 바삭함이 짬뽕을 다 먹은 이후에도 유지됩니다!! 너무 맛있어요ㅠㅠ 평일 한시반 조금 넘은 시간에 방문했을때 운좋게 마지막 테이블 하나 남아서 바로 이용했구요 주문 즉시 조리하는거라 그런지 음식이 나오는데 오래 걸리긴 했지만 그만큼 맛있어서 재방문 의사 있어요👍🏻
1059115121,김군네 짬뽕중식당,,,"윗지방에서 가장 맛있다고 생각이 드는 짬뽕집이다. 이전에 2번 방문했고 오늘이 3번째인데 오늘이 사실 잴 별로이긴 했다. 짬뽕 주문을 태이블에서 가장 마지막에 주문했고 아마도 미리 볶아지고 있던 짬뽕에서 나눠서 한 그릇을 더 낸 모양인데 양이 예전에 비해 아주 부실했다. 그래도 맛은 그대로여서 다행이고 이런 부분은 잘못 걸리면 생길 수 있는 일이니까 이번엔 이해하고 넘어간다. 그리고 짬뽕밥 곱빼기의 양과 재료에 실망하던 찰나 옆테이블에서 주문한 중화비빔밥을 보는 순간 뭐에 홀린듯 바로 주문 ㅋㅋㅋ 원래의 짬뽕밥 곱빼기의 양이면 절대 두 그릇은 불가능하다. 불맛이 엄청나고 일반 후추가 아닌 갈아먹는 후추의 향이 매우 강해서 아주 독특한 맛이었다. 오징어와 새우, 버섯의 맛이 계란후라이가 절묘하게 밸런스를 잡음"
1059115121,김군네 짬뽕중식당,,,"음식을 주문 들어오면 그때그때 조리하다보니 웨이팅이 상당히 길어요 오픈시간 맞춰 (11시 57분) 갔으나 이미 만석이었고 두번째 순서로 기다렸으나 입장은 12시 30분, 첫 탕수육은 12시 50분 정도에 나왔어요"
1059115121,김군네 짬뽕중식당,,,인생 탕수육...!!! 양도 많고 단짠단짠 너무너무 맛있게 먹었어요! 중화비빔밥은 제육st인데 불향 미쳤어요~ 짬뽕은 생각보다 맵지 않습니다. 음식 나오는데 좀 걸리지만 기다려서 먹을만해요! 특히 탕수육 제 원픽!!
1059115121,김군네 짬뽕중식당,,,저녁에 방문대기 시간 1시간 이상일상친척・형제
1059115121,김군네 짬뽕중식당,,,저녁에 방문예약 없이 이용대기 시간 10분 이내 일상혼자
1059115121,김군네 짬뽕중식당,,,저녁에 방문예약 없이 이용대기 시간 30분 이내나들이혼자
1059115121,김군네 짬뽕중식당,,,저녁에 방문예약 없이 이용대기 시간 30분 이내데이트연인・배우자
1059115121,김군네 짬뽕중식당,,,저녁에 방문예약 없이 이용대기 시간 30분 이내일상혼자
1059115121,김군네 짬뽕중식당,,,저녁에 방문예약 없이 이용대기 시간 30분 이내친목친구
1059115121,김군네 짬뽕중식당,,,저녁에 방문예약 없이 이용대기 시간 바로 입장데이트연인・배우자
1059115121,김군네 짬뽕중식당,,,저녁에 방문예약 없이 이용대기 시간 바로 입장데이트연인・배우자
1059115121,김군네 짬뽕중식당,,,저녁에 방문예약 없이 이용대기 시간 바로 입장데이트연인・배우자
1059115121,김군네 짬뽕중식당,,,저녁에 방문예약 없이 이용대기 시간 바로 입장연인・배우자
1059115121,김군네 짬뽕중식당,,,저녁에 방문예약 없이 이용대기 시간 바로 입장일상혼자
1059115121,김군네 짬뽕중식당,,,저녁에 방문예약 없이 이용대기 시간 바로 입장친목지인・동료
1059115121,김군네 짬뽕중식당,,,점심에 방문예약 없이 이용대기 시간 1시간 이상일상지인・동료
1059115121,김군네 짬뽕중식당,,,점심에 방문예약 없이 이용대기 시간 30분 이내나들이친구
1059115121,김군네 짬뽕중식당,,,점심에 방문예약 없이 이용대기 시간 30분 이내친목친구
1059115121,김군네 짬뽕중식당,,,점심에 방문예약 없이 이용대기 시간 30분 이상친목지인・동료
1059115121,김군네 짬뽕중식당,,,점심에 방문예약 없이 이용대기 시간 바로 입장데이트연인・배우자
1059115121,김군네 짬뽕중식당,,,점심에 방문예약 없이 이용대기 시간 바로 입장친목친구
1059115121,김군네 짬뽕중식당,,,"점심에 방문예약 후 이용대기 시간 1시간 이상일상연인・배우자, 지인・동료"
1059115121,김군네 짬뽕중식당,,,점심에 방문예약 후 이용대기 시간 30분 이상친목지인・동료
1059115121,김군네 짬뽕중식당,,,주문하고도 한참 기다리지만 맛있으니 괜찮아요
1059115121,김군네 짬뽕중식당,,,줄서고 메뉴주문먼저받으셔서 음식나오는데 많이걸리진않앗어요
1059115121,김군네 짬뽕중식당,,,짬뽕 맛있고 가성비 아주 좋아요. 양도 푸짐합니다
1059115121,김군네 짬뽕중식당,,,짬뽕도 맛있었는데... 볶음밥 곱빼기 다 먹고 탕수육 반 이상 먹었을때 나와서 조금 아쉽긴 했지만...
1059115121,김군네 짬뽕중식당,,,짬뽕은 국물 끝내주고요 오늘은 중화비빔밥을 처음 먹어봤는데 이것도 아주 좋네요
1059115121,김군네 짬뽕중식당,,,탕수육 하나 나오는데 30분 걸리고 짬뽕은 들어와서 주문한지 40분 이상 걸렸어요...
1059115121,김군네 짬뽕중식당,,,탕수육이 아주 달아요.. 중화비빔밥도 달고. 단맛이 너무 강하네요 문앞식탁에서 먹는데 하수구냄새가 들어와서 많이 힘들었어요.. 개인적으로는 다시 가진않겠습니다
1059115121,김군네 짬뽕중식당,,,토요일 오전근무 마치고 직원 한명의 희생으로 크게 기다림 없이 먹었습니다! 전에도 웨이팅이 있었지만 괜히 방송에 나와서 손님만 많아져서 저같은 피해자가...
1059115121,김군네 짬뽕중식당,,,하..맛은있으나 기다리는거랑 음식한번에 다해서나오는게 불편
