가게ID,가게명,평점,날짜,리뷰내용
1313273629,51구역,,,10명 30명 50명 100명 130명까지 다양한 모임들이 예약되고 있습니다. 222 333 444 555 다트 점수 맞추기 이벤트도 꼭 당첨되시길 😜😜😜
1313273629,51구역,,,n번째 방문중인 51구역 안주 맛도리 분위기 최고 카프레제 무조건 드세요 최고 .....
1313273629,51구역,,,♥ 다양한술 & 맛있는 안주♥ 멋지고 즐거운 분위기를 드리려고 노력하고있습니다. 야장은 겨울분위기로 따뜻하게 변신중입니다 ^^ 다음에 오시면 완성된 모습 보실수 있을거에요 😎
1313273629,51구역,,,감사합니다 ~ 감각있으시네용 😄 이태원 홍대 펍 갬성을 강북에서도 느낄수있도록 신경썼습니다 ^^
1313273629,51구역,,,"감사합니다 ~ 😍 1차로 피자/파스타 , 2차 하이볼.소주.맥주에 어울리는 안주 / 위스키 와인에 어울리는 메뉴까지 다~~ 갖춘 51구역입니다. 2인 데이트부터 총 130석 피로연까지 다양한 모임을 기다립니다 😎😎😎"
1313273629,51구역,,,"감사합니다 고객님~♥ 뻔한 프랜차이즈가 되기싫어서 나름 고민을 많이 하고있답니다. 피자도우부터 직접 만들고, 화덕에서 맛있게 구워서 단골손님중에 피자가게 사장님들이 많아요 ㅎㅎ 소문 많이 내주세요 !!! 😁"
1313273629,51구역,,,감사합니당 ~ 첫방문이시군요 !! 😍 생맥 와인 위스키 하이볼 소주 다양한 술과 함께 그에 어울리는 한식 양식 일식 맛있는 요리안주들이 함께하는 51구역입니다. 자주 뵈어요 😄
1313273629,51구역,,,그냥 지나가다가 들어왔는데 일단 피지가 너무 맛있어요!! 치즈 듬뿍이에요!! 그리고 사장님이랑 직원분들이 너무 친절하세요!
1313273629,51구역,,,"다만, 테이블에 먼지가 있는 것 같아 휴지로 살짝 닦아보았는데 시꺼먼 먼지가 묻어나서 깜짝 놀랬어요……..😢 바깥쪽도 아니구 안쪽인데… 직원분에게 말씀 드릴까 하다가 남자친구가 직접 물티슈 받아서 닦길래 그냥 뒀습니다ㅠㅠ 좀만 더 신경 써주세요~~~"
1313273629,51구역,,,단골 고객님~ 항상 감사합니다 😍 단체모임에도 특화된 51구역 😎
1313273629,51구역,,,들어오자마자 분위기 너무 예뻐서 반했구요 인테리어도 너무 예쁩니다!
1313273629,51구역,,,맛.잘.알.이시군요. 51구역의 양식은 호텔쉐프가 만든 레시피와 재료를 그대로 전해드리고있답니다 ^^ 술집 안주라 하기엔 너무 아쉬울 정도입니다 🤗
1313273629,51구역,,,"맛과 친절 !! 51구역의 근본을 잘 캐치하셨습니다 ^^ ♥ 깜짝 놀랄 적립까지 경험하셨군요 ~ 다음엔 다트도 즐기시고, 눈/비오는날 분위기도 느껴보세요 😎"
1313273629,51구역,,,맛있고 친절하고 분위기 좋은 51구역 입니다 !! 😄😄😄
1313273629,51구역,,,"먼저 매장이 넓고 여유로운 공간 덕분에 편하게 즐길 수 있었어요 힙한 분위기도 정말 마음에 들었고 인테리어와 음악까지 딱 요즘 트렌디한 감성이었습니다! 여기는 술 종류가 다양해서 취향껏 마실수도 있고 새로 나온 홍합탕을 먹었는데 칼칼하게 깔끔한 맛이 따 제 스타일이었어요 술안주로 최고입니다 ㅋㅋ 사장님도 친절하시고 분위기, 맛 모두 좋았습니다!"
1313273629,51구역,,,바지락수제비 드셨군요 !!! ♥ 날이 쌀쌀해지니 제가 막고싶어서 만든 신메뉴랍니다 ^^ 다트까지 제대로 즐기는 고객님.감사합니다 ㅎㅎ 11월에는 최연소국가대표 소믈리에와 와인 시음행사도 진행되니 꼭 방문하세영 ^^
1313273629,51구역,,,밤에 방문예약 없이 이용대기 시간 바로 입장데이트연인・배우자
1313273629,51구역,,,밤에 방문예약 없이 이용대기 시간 바로 입장데이트연인・배우자
1313273629,51구역,,,밤에 방문예약 없이 이용대기 시간 바로 입장친목지인・동료
1313273629,51구역,,,밤에 방문예약 없이 이용대기 시간 바로 입장친목지인・동료
1313273629,51구역,,,밤에 방문예약 없이 이용대기 시간 바로 입장친목친구
1313273629,51구역,,,"사장님 및 직원분들께서 흔쾌히 허락해주시고 촬영하기 좋게 도와주셨을 뿐 아니라, 음식의 맛과 플레이팅, 그리고 매장 분위기까지 흠잡을데 없이 좋은 추억 만들고 갑니다."
1313273629,51구역,,,"술값 내기 다트 승리를 축하드립니다 😁 프랜차이즈 원팩 조리 시스템이 아니라, 오픈주방으로 다 보이다시피 쉐프들이 재료손질부터 웍질따지 한땀한땀 노력하는 맛집이랍니다 ^^"
1313273629,51구역,,,"실내 분위기랑 조명이 너무 예뻤고 기네스, 하이네켄 생맥주도 맛있었어요!! 수유에 잘 없는 피자, 파스타와 술 한잔 할 수 있는 술집이여서 좋은거 같아요."
