가게ID,가게명,평점,날짜,리뷰내용
1068275528,몽브루,,,3층 야외테이블 너무 멋지네요!! 요즘 선선한 날씨라서 그런지 폴딩도어가 열려있어 북한산 둘레길을 바라보며 따듯차 마시기 좋아요! 가을밤 풀벌레소리와 음악이 너무 좋습니다🍁
1068275528,몽브루,,,‘시티원두or 풀시티 원두 선택가능’ 이라고 써있는데도 아바야 게이샤 커피원두만 있다는 말만 몇번째... ㅠㅠ 커피교육같은거 하시기 전에 직원힌테
1068275528,몽브루,,,"가족끼리 외식 후 커피 한잔 하러 왔는데, 뷰도 너무 좋고 커피 맛도 정말 좋습니다🥰 가을에 와보고 싶은 뷰입니다:) 가족이랑 좋은 시간 보내고 갑니다!!"
1068275528,몽브루,,,근처 올 일이 있어 왔다가 우연히 가는 길에 예뻐서 들리게 되었는데 내부 공간도 넓고 쾌적하고 밖에 풍경도 예뻐서 정말 좋았습니다. 앞에 산책길도 있고 4.19 민주묘지도 있어서 놀러와서 둘러보기에도 좋을 거 같아요!! 음료도 맛있고 사장님도 너무 친절하셨어요ㅎㅎ!
1068275528,몽브루,,,근처에서 오리백숙 먹고 시원하게 커피 한잔하러 왔는데 디저트들도 너무 맛있네요^^
1068275528,몽브루,,,나무뷰가 너무 예쁜 자연친화적 카페네요. 커피도 맛있고 밭컵빙수도 맛있어요 ^^
1068275528,몽브루,,,답답하지 않은 야외좌석에서 벗님들과 맘 편한 대화의 시간을 가졌고요.
1068275528,몽브루,,,"망고파르페와 녹차젤라또를 시켰는데 너무 맛있습니다 추천bb 특히 망고파르페는 바닐라 아이스크림과 간 얼음, 망고 과육까지 다양한 텍스쳐와 맛의 조화가 좋았습니다."
1068275528,몽브루,,,"몽브루에서 아이스크림와플과 치즈케이크 커피 시켜먹었는데 맛있고, 바깥의 초록초록한 뷰가 너무 예뻐서 기분이 좋아지는 시간이었어요🤍 그리고 음악도 너무 좋네요. 친구들 연인과 함께 놀러오시면 좋을 것 같아요!"
1068275528,몽브루,,,바리스타 수업하는 곳 답게 커피가 맛있어요! 친절하신 직원분 덕에 좋은 시간 보냈어요.
1068275528,몽브루,,,밥먹고 급하게 들른 까페인데 인테리어도 아기자기하고 통창 이라 탁트인 시야가 좋았어요
1068275528,몽브루,,,북한산 자락에 분위기 좋은 카페에요~ 선선할 때 테라스 유리벽 열어주시니 산 속 힐링하는 기분!
1068275528,몽브루,,,분위기도 좋고 뷰가 좋아서 어느 계절에 와도 좋습니다 ㅎㅎ
1068275528,몽브루,,,뷰가 너무 좋고 데이트하기 너무 좋아요~~ 은행나무 물들때 오면 진짜 예쁠거같아요!!🍂💖
1068275528,몽브루,,,뷰가 너무 좋고 테라스 좌석도 있어서 시원해요. 커피도 맛있어요!
1068275528,몽브루,,,뷰가 참 좋아요~~ 계절이 뚜렷한 날에 오면 더 정취를 제대로 느낄 수 있을 것 같네요! 그래도 덥지도 춥지도 않아서 편안히 잘 쉬다가 가요!
1068275528,몽브루,,,뷰도 자연이 보여서 트여있고 3층까지 있어서 자리도 넓어요🍃 근처오면 꼭 들를 것 같아욤!!ㅎㅎ
1068275528,몽브루,,,인테리어도 이쁘구 음료랑 크로플도 너무 맛있어요~~🩷🩷
1068275528,몽브루,,,저녁에 방문예약 없이 이용대기 시간 바로 입장
1068275528,몽브루,,,저녁에 방문예약 없이 이용대기 시간 바로 입장나들이부모님
1068275528,몽브루,,,저녁에 방문예약 없이 이용대기 시간 바로 입장나들이친구
1068275528,몽브루,,,"저녁에 방문예약 없이 이용대기 시간 바로 입장데이트, 친목, 나들이, 여행연인・배우자, 친구, 지인・동료"
1068275528,몽브루,,,"저녁에 방문예약 없이 이용대기 시간 바로 입장데이트, 친목연인・배우자, 친구"
1068275528,몽브루,,,저녁에 방문예약 없이 이용대기 시간 바로 입장데이트연인・배우자
1068275528,몽브루,,,저녁에 방문예약 없이 이용대기 시간 바로 입장데이트연인・배우자
1068275528,몽브루,,,저녁에 방문예약 없이 이용대기 시간 바로 입장데이트연인・배우자
1068275528,몽브루,,,저녁에 방문예약 없이 이용대기 시간 바로 입장데이트연인・배우자
1068275528,몽브루,,,저녁에 방문예약 없이 이용대기 시간 바로 입장일상부모님
1068275528,몽브루,,,"저녁에 방문예약 없이 이용대기 시간 바로 입장일상아이, 연인・배우자"
1068275528,몽브루,,,"저녁에 방문예약 없이 이용대기 시간 바로 입장일상연인・배우자, 아이"
1068275528,몽브루,,,저녁에 방문예약 없이 이용대기 시간 바로 입장친목친구
1068275528,몽브루,,,저녁에 왔는데도 뷰가 넘 좋네요! 3층 좌석 좋다고 친절하게 안내해주셨어요! 덕분에 좋은 자리에서 힐링하고 갑니다~
1068275528,몽브루,,,점심에 방문예약 없이 이용대기 시간 바로 입장나들이연인・배우자
