가게ID,가게명,평점,날짜,리뷰내용
1030454427,고원회 수유점,,,가성비는 좋은데 음식들이 너무 달아요...
1030454427,고원회 수유점,,,늦은 밤에 방문했는데도 신선한 모듬회를 먹을 수 있었어요! 회가 두툼하게 썰어나오고 쫄깃하게 맛있었습니다! 모듬회 세트로 시키니 기본찬이 넉넉하게 나오고 계란찜도 나오고 넘 알차네요!!! 술한잔 곁들이기 딱 좋습니다!
1030454427,고원회 수유점,,,맛있는 고원회~~ 기본찬도 잘나오고~ 좋아요~~^^ 간장새우도 맛있고~ 육회는 당연 맛있고ㅋ 폭탄 계란찜도 훌륭해요~~ 회도 찰지고 싱싱합니다!!!
1030454427,고원회 수유점,,,밤에 방문예약 없이 이용대기 시간 바로 입장친목지인・동료
1030454427,고원회 수유점,,,수유에서 유명한 ㅈㅎ횟집 웨이팅에 지쳐 2시간 동안 기다리다가 포기하고 우연히 들어가서 발견한 곳! 횟집이 대부분 위생상태가 양호하지 못한데 여기는 인테리어부터 플레이팅까지 깔끔해서 너무 좋았어요!! 계란찜 좋아하는 8천원이어서 실망했다가 기본 스끼다시로 나오는 거 보고 행복ㅋㅎㅋ 심지어 육회도 꽤 많이 나와요 광장시장에서 한 2만원에 팔 텐데ㅋㅋ 배불리 잘 먹고 다음에 또 올게요~!!
1030454427,고원회 수유점,,,수유에서 횟집 찾아보다가 발견한 집인데 스끼다시도 많이 나오고 숙성회가 정말 맛있었습니다!!
1030454427,고원회 수유점,,,수유에서 횟집 찾아보다가 발견한 집인데 스끼다시도 많이 나오고 숙성회가 정말 맛있었습니다!!
1030454427,고원회 수유점,,,"스끼다시 먼저 나왔다 , 육회&묵밥&계란찜&새우장"
1030454427,고원회 수유점,,,"스끼다시 먼저 나왔다 , 육회&묵밥&계란찜&새우장"
1030454427,고원회 수유점,,,아침에 방문예약 없이 이용대기 시간 바로 입장데이트연인・배우자
1030454427,고원회 수유점,,,아침에 방문예약 후 이용대기 시간 바로 입장친목지인・동료
1030454427,고원회 수유점,,,아침에 방문예약 후 이용대기 시간 바로 입장친목지인・동료
1030454427,고원회 수유점,,,오늘 처음 벙문아게 되옸늗놔 가성비도좋구 회도. 신선하고 좋앗어요
1030454427,고원회 수유점,,,"장점 : 회가 맛있다, 다양한 기본 찬들도 다 맛있다, 건물깔끔하고 분위기도 좋다"
1030454427,고원회 수유점,,,"장점 : 회가 맛있다, 다양한 기본 찬들도 다 맛있다, 건물깔끔하고 분위기도 좋다"
1030454427,고원회 수유점,,,"저녁에 방문예약 없이 이용대기 시간 바로 입장가족모임아이, 연인・배우자"
1030454427,고원회 수유점,,,"저녁에 방문예약 없이 이용대기 시간 바로 입장가족모임아이, 연인・배우자"
1030454427,고원회 수유점,,,"저녁에 방문예약 없이 이용대기 시간 바로 입장데이트, 일상연인・배우자, 부모님"
1030454427,고원회 수유점,,,저녁에 방문예약 없이 이용대기 시간 바로 입장데이트연인・배우자
1030454427,고원회 수유점,,,저녁에 방문예약 없이 이용대기 시간 바로 입장데이트연인・배우자
1030454427,고원회 수유점,,,저녁에 방문예약 없이 이용대기 시간 바로 입장데이트연인・배우자
1030454427,고원회 수유점,,,저녁에 방문예약 없이 이용대기 시간 바로 입장데이트연인・배우자
1030454427,고원회 수유점,,,저녁에 방문예약 없이 이용대기 시간 바로 입장데이트연인・배우자
1030454427,고원회 수유점,,,저녁에 방문예약 없이 이용대기 시간 바로 입장데이트연인・배우자
1030454427,고원회 수유점,,,저녁에 방문예약 없이 이용대기 시간 바로 입장데이트연인・배우자
1030454427,고원회 수유점,,,"저녁에 방문예약 없이 이용대기 시간 바로 입장일상아이, 부모님"
1030454427,고원회 수유점,,,저녁에 방문예약 없이 이용대기 시간 바로 입장일상지인・동료
1030454427,고원회 수유점,,,저녁에 방문예약 없이 이용대기 시간 바로 입장일상지인・동료
1030454427,고원회 수유점,,,저녁에 방문예약 없이 이용대기 시간 바로 입장일상친구
1030454427,고원회 수유점,,,"저녁에 방문예약 없이 이용대기 시간 바로 입장친목, 일상, 회식, 가족모임친척・형제"
1030454427,고원회 수유점,,,"저녁에 방문예약 없이 이용대기 시간 바로 입장친목, 일상, 회식, 가족모임친척・형제"
1030454427,고원회 수유점,,,저녁에 방문예약 없이 이용대기 시간 바로 입장친목부모님
1030454427,고원회 수유점,,,저녁에 방문예약 없이 이용대기 시간 바로 입장친목부모님
1030454427,고원회 수유점,,,저녁에 방문예약 없이 이용대기 시간 바로 입장친목아이
1030454427,고원회 수유점,,,저녁에 방문예약 없이 이용대기 시간 바로 입장친목지인・동료
1030454427,고원회 수유점,,,저녁에 방문예약 없이 이용대기 시간 바로 입장친목지인・동료
1030454427,고원회 수유점,,,저녁에 방문예약 없이 이용대기 시간 바로 입장친목지인・동료
1030454427,고원회 수유점,,,저녁에 방문예약 없이 이용대기 시간 바로 입장친목지인・동료
1030454427,고원회 수유점,,,저녁에 방문예약 없이 이용대기 시간 바로 입장친목친구
1030454427,고원회 수유점,,,저녁에 방문예약 없이 이용대기 시간 바로 입장친목친구
1030454427,고원회 수유점,,,저녁에 방문예약 없이 이용대기 시간 바로 입장친목친구
1030454427,고원회 수유점,,,저녁에 방문예약 후 이용대기 시간 바로 입장데이트연인・배우자
1030454427,고원회 수유점,,,전체적으로 메뉴들이 전부 신선하고 좋아여!직원분들이 친절하시고
1030454427,고원회 수유점,,,점심에 방문예약 없이 이용대기 시간 바로 입장친목부모님
1030454427,고원회 수유점,,,진짜 여긴 무조건 또 올 맛집입니다… 숙성회라 식감도 너무 부드럽고 맛있어요!! 스끼다시도 넘 알차게 나오고 묵사발은 무한리필 셀프바 .. 진짜 최곱니다여 깻잎에 우럭 싸서 막장이랑 고추 먹으면 진짜 극락
1030454427,고원회 수유점,,,처음 와 봤는데 넘 맛있네요 음식도 너무 깔끔하게 나오고 음식도 너무 맛있네요 번창하세요
1030454427,고원회 수유점,,,처음 와 봤는데 넘 맛있네요 음식도 너무 깔끔하게 나오고 음식도 너무 맛있네요 번창하세요
