가게ID,가게명,평점,날짜,리뷰내용
2078484282,놉스 마곡점,,,7월 마지막날 너무 맛있게 잘 먹은 마곡 스테이크 맛집 놉스 스테이크입니다. 직원분들도 친절하고 무엇보다 스테이크 맛이 기가막히는 맛입니다. 소규모 회식장소나 마곡 데이트 맛집으로 방문하면 좋은 곳입니다
2078484282,놉스 마곡점,,,Sns에서 입소뮨이 나서 정말 기대하고 갔는데 역시나👍 분위기도 너무 좋고 직원분이 추천해준 토마호크 스테이크 콤보로 주문했는데
2078484282,놉스 마곡점,,,"T본 L본 토마호크 스테이크 종류와 파스타, 샐러드를 고를 수 있어요. 아이가 먹기에 사이드 메뉴는 간이 강한편이었어요. 하지만 고기가 입에 맞았는지 스테이크로 든든히 배를 채웠습니다. 단품메뉴 보다는 메인 스테이크를 주문하여 옵션을 선택하는것이 가성비 있게 보여요."
2078484282,놉스 마곡점,,,"고기부터 플레이팅까지 하나하나 정성이 느껴졌고, 특히 티본 스테이크는 미디엄 레어로 완전 촉촉하고 부드러워서 감탄했어요."
2078484282,놉스 마곡점,,,남친 생일겸해서 해피아워 이용했어요 직원분들 너무 친절하고 청결도 좋고 무엇보다 음식도 맛있어서 좋았습니다 스테이크 이정도 가성비로 먹을수있으면 이젠
2078484282,놉스 마곡점,,,눕스. 마곡점 오픈해서 예약안하고 직장인 점심시간전 11시30분쯤 도착~여유있게 자리앉았어요 아직 입소문이 안난듯..그리고 스테이크 구워지는 시간이있으니 예약하면 좋을것같아요 직장인 단체팀오셨다가 시간이 안되니 그냥 가시더라구여
2078484282,놉스 마곡점,,,들기름 숙성김치가 느끼함을 잡아줘서 피클 생각이 안났네요
2078484282,놉스 마곡점,,,마곡스테이크 맛집 새로 생겼다고해서 데이트하러 왔는데 분위기도 좋고 스테이크 파스타도 넘 맛있어요~ㅎㅎ
2078484282,놉스 마곡점,,,마곡에 생겨서 다녀와봤어용 예전에 놀뭐에 나와서 궁금했는데 드뎌맛봄!!! 스테키도 깔끔햇구 치즈오븐파스타도 괜찮았어용 !! 가족들이랑 가기도좋을것같아서 담에또올기영
2078484282,놉스 마곡점,,,"마곡에 위치한 스테이크, 립 전문 ""놉스 마곡점"" 다녀왔습니다. 놉스! 워낙 맛나게 먹었던 곳이라 마곡점이 신규오픈했다고 해서 기대하고 방문했습니다. 역시 🙏 놉스는 놉스에요! 👍 신규오픈해서 깔끔, 청결은 물론 직원분들 모두 왜케 친절하세요~^^ 실내 분위기도 넘 좋고 프라이빗 단체석도 크기가 다양하게 있어서 각종모임, 회식도 문제 없을듯하고요~ 기념일 데이트코스로도 굿! 네이버예약 시 콜키지프리! 그리고 갓성비, 합리적인 가격대! 놉스의 고기질은 두말하면 잔소리죠! 토마호크와 치즈 라자냐, 오리앤탈 샐러드 주문했어요~ 토마호크주문하면 3종사이드 제공해주시고요~ 고급스런 분위기에서 맛난 육질, 육즙팡팡 토마호크~ 이제 멀리안가고 마곡에서 놉스만날 수 있어서 넘 좋아요! k스퀘어 주차 3타워 21구역입니다."
2078484282,놉스 마곡점,,,부모님 모시고 방문 했는데 저보다 부모님이 더 좋아하셨어요 ㅎㅎ 진작 모시고 올걸 특히 토마호크 강추드려요 고기 정말 입에서 살살 녹고 조만간 또 갈거예요
