가게ID,가게명,평점,날짜,리뷰내용
1107978466,댄싱홍콩 마곡점,,,"댄싱홍콩은 마곡 맛집, 발산역 회식·모임 장소, 서울식물원 근처 가족 외식, 데이트 맛집으로 많이 찾아주시는 곳이니, 다음엔 다른 메뉴도 도전해 보시고 소중한 자리에도 편하게 이용해주세요!!"
1107978466,댄싱홍콩 마곡점,,,"댄싱홍콩은 마곡 직장인 점심, 회식, 가족 외식은 물론이고 연인과의 데이트 장소로도 많이 찾아주시는 만큼, 언제 오셔도 즐겁고 편안한 시간을 보내실 수 있도록 최선을 다하고 있습니다."
1107978466,댄싱홍콩 마곡점,,,"댄싱홍콩은 발산역 주변에서 점심, 데이트, 가족 외식은 물론 단체 회식이나 모임 장소로도 많이 찾아주시는 홍콩식 중식 맛집입니다. 다음 모임 때는 추천해 주신 깐풍기를 포함해 다양한 요리 메뉴로 더욱 즐거운 시간 되시길 바랍니다!"""
1107978466,댄싱홍콩 마곡점,,,돌 아기랑 같이 왔는데 보채지도 않구 아기의자도 챙겨주셔서 다 먹을 떄까지 편안했습니다 . 근처 올 때 또 들를게요 ^^
1107978466,댄싱홍콩 마곡점,,,"두번째 방문했어요.매장이 넓고 깨끗해서 식사하기 깔끔해요. 음식이 빨리 나오는 편이라 점심시간 이용하기 좋아요. 챠오볶음면 살짝 매콤해서 다른 음식과 함께 먹기 추천해요. 부추딤섬,샤오롱바오 육즙 가득. 몽콕소고기볶음 간이 적절하니 맛나는데 소고기가 살짝 질기네요"
1107978466,댄싱홍콩 마곡점,,,들어오자마자 밝은 음악이 먼저 반겨주니까 너무 기분이 좋았습니다. 뭔가 특이한 음식을 먹고 싶었는데 잘 찾아온 것 같아요. 마곡 맛집으로 이미 저장 해놨습니다 ㅎ 데이트 코스로 오는 것도 강추합니다! 맛도 담백하고 전체적으로 깔끔했습니다!
1107978466,댄싱홍콩 마곡점,,,"마곡 맛집 댄싱홍콩은 발산역 근처에서 점심·저녁 식사뿐 아니라 회식, 가족 외식, 데이트 자리에도 잘 어울리는 공간이에요."
1107978466,댄싱홍콩 마곡점,,,마곡동 맛집이라해서 서울식물원가기전에 들렀는데 음식도 색다르고 너무 맛있어요 아이도 잘먹네요!
1107978466,댄싱홍콩 마곡점,,,"마곡에서 서울식물원 근처 맛집으로 점심, 데이트, 회식, 가족 외식 모두 편하게 즐기실 수 있으니 다음 방문에도 다양한 홍콩식 중식 메뉴 기대해주세요!"
1107978466,댄싱홍콩 마곡점,,,마라탕 짬뽕 쫄면이 먹고싶었는데~ 고루고루 먹은 느낌!! 다양한 요리를 시켜서 먹으면 정말 근사한 한끼 식사 데이트 및 가족단위 손님도 많아요~
1107978466,댄싱홍콩 마곡점,,,"말씀해 주신 완탕면을 비롯해 음식 하나하나 맛있게 즐겨주셔서 감사드리고, 층고 높은 넓고 깔끔한 매장 분위기까지 만족하셨다니 저희도 뿌듯합니다."
