가게ID,가게명,평점,날짜,리뷰내용
1261821265,건대 숯불부자곱창,,,(+그리고 묵사발 꼭 드세요! 진짜 1개 시켰다가 2개 추가했어요)
1261821265,건대 숯불부자곱창,,,곱이 진짜진짜 많아요..!!! 소모둠 시텼는데 다양하게 먹을 수 잇어서 좋았어요~ 강추!
1261821265,건대 숯불부자곱창,,,곱창 마니아인데 이렇게 곱 없고 질기기만 한 곳은 처음입니다. 매장 바뀌기 전에 왔을 때 곱창전골 먹고 너무 맛있어서 다시 오게 된 건데 진짜 실망입니다. 먹을 때 무슨 고무 씹는 것 같아서 턱이 너무 아파 남겼습니다. 다신 안 가겠습니다.
1261821265,건대 숯불부자곱창,,,곱창은 잡내도 안 나고 맛있었지만 곱창 안에 곱이 하나도 없어서 아쉬웠어요.. 그래도 곱창에 간이 잘 배어있고 고소한 맛도 잘 나서 맛있었습니다😊
1261821265,건대 숯불부자곱창,,,"그리고 다들 너무 친절하시고, 얼그레이 하이볼이 미친놈입미다 다른데랑은 다른 맛이니까 꼭꼭 드셔보세요ㅜㅜ 마늘소곱창+모듬 조합입니댜🖤"
1261821265,건대 숯불부자곱창,,,너무 맛있습니다 고소하고 담백하고 가게도 청결하고 음식도 너무 맛있어서 재방문 의사 너무너무 있습니다 다들 건대 오시면 숯불부자곱창 드십셔!!
1261821265,건대 숯불부자곱창,,,너무 맛있어서 나오자마자 먹느라 사진도 제대로 못찍었어요ㅠㅠ 소곱창 러버라 건대 올때마다 방문할것 같습니다 ჱ̒ ｰ̀֊ｰ́ )
1261821265,건대 숯불부자곱창,,,맛있게 먹고 갑니다~~ 곱창 너무 맛있어요 볶음밥도 귀엽게 나와서 너무 좋았어요 직원도 너무 친절하고 분기위 너무 좋았어요!! 다음에도 올게요!!!!
1261821265,건대 숯불부자곱창,,,모둠1곱창1 시켰는데 양도 많고 맛있었어여!!! 곱창은 고소하구 막창이랑 대창이 잡내도 없고 죤맛이었음. 볶음밥은 꼭드세요. 최근에 먹은 볶음밥 중 가장 맛있었음!!! 귀여운 멘트는 덤이에요👍
1261821265,건대 숯불부자곱창,,,밤에 방문예약 없이 이용대기 시간 바로 입장데이트연인・배우자
1261821265,건대 숯불부자곱창,,,사장님 친절하시고 음식도 맛있었습니다. 곱창류가 보통 처음엔 고소하나 먹다보면 느끼함에 질리기 마련인데 여기 곱창은 그런게 없었네요. 불향도 과하지 않고 잡내도 없고 맛있었습니다. 사장님도 정말 친절하시고 신선도도 좋았어요. 잘 먹고 갑니다 !!
1261821265,건대 숯불부자곱창,,,새벽에 갑자기 소곱창이 먹고싶어서 남양주에서 달려왔어용 ㅋㅋㅋㅋ 사장님도 친절하시고 곱창 고소하고
1261821265,건대 숯불부자곱창,,,소곱창도 먹었었는데 돼지 곱창도 맛있네요!! 잘먹고 갑니다 ~~!
1261821265,건대 숯불부자곱창,,,소곱창이 땡겨서 방문했어요. 곱도 가득하고 기름기가 자르르 맛이 장난이 아니네요. 소곱창 땡기면 건대 바로 올거같아요. 잘 먹고가요
1261821265,건대 숯불부자곱창,,,식사할 수 있었어용ㅎㅎ 소모둠 시켜서 곱창 막창 대창 모두 먹어볼 수 있어 좋았습니당 고기가 잡내도 없고 쫄깃해서 맛있었어요!! 볶음밥 레터링도 센스.. 👍🏻 다음엔 돼지 곱창 먹어볼게여~!
1261821265,건대 숯불부자곱창,,,오랜만에 밖에서 ㅎㅎ 이른시간이라 기다리지 않고 먹었어료 ! 직접 구워서 나롸서 편해요
1261821265,건대 숯불부자곱창,,,일요일에도 늦은시간까지 영업해주셔서 늦은 저녁으로 곱창을 먹을 수 있었어요! 감사합니다
1261821265,건대 숯불부자곱창,,,잡내 있으먼 잘 못먹는데 여긴 진짜 맛있었어요! 강추드립니다👍🏻 재방문의사 있음!!
1261821265,건대 숯불부자곱창,,,저녁에 방문예약 없이 이용대기 시간 바로 입장데이트연인・배우자
1261821265,건대 숯불부자곱창,,,저녁에 방문예약 없이 이용대기 시간 바로 입장데이트연인・배우자
1261821265,건대 숯불부자곱창,,,저녁에 방문예약 없이 이용대기 시간 바로 입장데이트연인・배우자
1261821265,건대 숯불부자곱창,,,저녁에 방문예약 없이 이용대기 시간 바로 입장데이트친구
1261821265,건대 숯불부자곱창,,,저녁에 방문예약 없이 이용대기 시간 바로 입장친목지인・동료
1261821265,건대 숯불부자곱창,,,저녁에 방문예약 후 이용대기 시간 바로 입장친목친구
1261821265,건대 숯불부자곱창,,,적당히 매콤하면서도 쫄깃해서 중독적인 맛이에요 ㅎㅎ 볶음밥도 최고!
1261821265,건대 숯불부자곱창,,,진짜 군대가기 전에 매일 오던 집인데 휴가나와서 오랜만에 먹었는데도 진짜 맛있어요!!! 사람들이 많이 알았으면 좋겠어용~~~~
1261821265,건대 숯불부자곱창,,,짐짜 이건 아니죠 가게 이전 하기 전에 먹었던 전골 넘 맛있어서 곱창 먹어보려고 진짜 오랭망에 방문했는데실망 수준을 넘어서 선을 넘네요 진짜 ㅋㅋ 곱은 뭐 있지도 않은 수준에 제일 심각한건 턱에서 소리납니다 ㄹㅇ 너무너무 질겨서 고무 타이어 씹는 것 마냥 억지로 먹다가 인생 처음으로 곱창 남겼네요 어떻게든 다 먹어보려 했다가 도저히 아니어서 리뷰 남겨요 ;;; 뭐 전 진짜 사실만 이야기하니까 선택은 알아서들 하시고 추가로 블로그랑 포스팅 이런거 이전 가게 사진으로 많이 올리셨던데 진짜 속이지 마세요 덕분에 입맛 다버렸으니까 ;;;;
1261821265,건대 숯불부자곱창,,,"처음 방문했는데 평점 높은 이유가 있네여!! 곱창, 대창 둘 다 넘 맛있고 고소해여!!!"
1261821265,건대 숯불부자곱창,,,"테이블 간격도 넓고 곱창집이 깔끔해서 더욱 믿음이 가더라구요. 곱창집은 다닥다닥 간격도 붙어 있고 시끄럽고, 심지어 깔끔하지 못한 집도 많은데 이 집은 굳굳굳! 심지어 의자도 편합니다. 생마늘 소곱창 1인분과 소곱창 1인분 주문했고 소곱창 다 먹은 뒤는 볶음밥으로 마무리했지요. 소곱창이 꼬들꼬들 식감도 좋고, 신선한 곱도 많아서 맛있어요! 무엇보다도 양도 대박많아서 정말 푸짐하게 먹었습니다^^"
1261821265,건대 숯불부자곱창,,,해서 나오기도 하고 매장을 아주 청결하게 관리하시는것 같습니다 바닥이 전혀 안미끄럽고 고기냄새 베인게 없어요 맛도 당연히 좋습니다!
1833004311,목화돈 건대점,,,거기다 냉면도 시키는데 오이빼기가 따로 있어요 감탄이 나오는 가게입니다 고기 맛보기전에도 다시 오고싶을정도였는데 구워주신 고기 (고기 다 구워드립니다!) 맛 봤는데 이렇게 폭신한 고기는 처음 먹어봤어요 잘 구워주신건지 고기가 좋은건지(저는 둘다 같아요) 폭신한 목살 너무 잘먹었네요!! 심지어 야채도 잘 구워주시네요
1833004311,목화돈 건대점,,,건대 구워주는 고깃집 ㅎㅎ 예약하고 친구 생일기념 방문했는데 고기 질부터 서비스까지 너무 만족스러웠어요 ㅎㅎ 다음에도 건대에서 고기 땡기면 여기 올 거 같아용 ㅎㅎ
1833004311,목화돈 건대점,,,건대 목살은 목화돈이 최고인듯해요!! 직접 구워주셔서 편하게 먹을 수 있습니다! 불닭마요쫄면 꼭 같이 시켜서 드세요 진짜 흔하지 않은 사이드 메뉴라서 같이 먹기 조합이 좋아요!
1833004311,목화돈 건대점,,,건대고기맛집 모임하기 좋은 건대 고기구워주는 친절한 곳 고기 질도 좋고 숯불이 고급만 써서 고기맛이 달라요 특히 김치찌개 꼭 드세요 이천밥이랑 먹으면 찰떡입니다
1833004311,목화돈 건대점,,,건대오면 항상 여기서 고기먹어용 🥹☺️🤤 직원분들이 친절하게 다 구워주셔용 ❤️‍🔥🍭🤍🫧💭✨ 완전추천해용 🫶
1833004311,목화돈 건대점,,,고기 질도 진짜 좋고 육즙 터지면서 완전 밥도둑 술도둑이에요🥹 건대 근처에서 고기 맛집이라고 하는 곳들 많이 가봤는데 여기가 고기 질이 제일 좋았어요! 고기냄새에 예민한 편인데 잡내 하나도 없이 좋았고 목살도 퍽퍽하지 않고 부드러워요! 고기도 구워 주셔서 짱 편해요 친구들 데리고 자주 올게요!😊😊
1833004311,목화돈 건대점,,,고기 질이 보자마자 너무 좋았고 직접 구워주시는데 최근에 먹은 고기 중에 제일 맛있었어요!!!
1833004311,목화돈 건대점,,,고기퀄리티 미쳤슴니다 반찬이랑 계란찜 다 맛있고 술이 술술 들어갑니다 특히 저는 삼겹살이 맛있더라고요 옛날 삼겹스타일 강추! 뚝섬에서 회식하러 여기까지옴 ㅋㅋㅋㅋ
1833004311,목화돈 건대점,,,고기퀄리티 미쳤슴니다 반찬이랑 계란찜 다 맛있고 술이 술술 들어갑니다 특히 저는 삼겹살이 맛있더라고요 옛날 삼겹스타일 강추! 뚝섬에서 회식하러 여기까지옴 ㅋㅋㅋㅋ
1833004311,목화돈 건대점,,,목살 맛있다고 해서 방문해봤어요. 고기 질도 너무 좋고 불닭마요쫄면 시켜봤는데 고기랑 조합이 미침.. 너무 맛있게 먹고 갑니다~ 재방문 강추👍
1833004311,목화돈 건대점,,,목살 맛있다고 해서 방문해봤어요. 고기 질도 너무 좋고 불닭마요쫄면 시켜봤는데 고기랑 조합이 미침.. 너무 맛있게 먹고 갑니다~ 재방문 강추👍
1833004311,목화돈 건대점,,,무엇보다 고기가 정말 맛있어요 목살 부드러운 데는 처음 봤어요 삼겹살도 너무 맛있고 사이드 메뉴 전부 맛있어서 술안주로 제격이에요 고기도 너무 잘 구워주시고 여러모로 만족스럽습니다 일행들도 칭찬 많이 했어요!! 재방문 의사 1000%
1833004311,목화돈 건대점,,,무엇보다 고기가 정말 맛있어요 목살 부드러운 데는 처음 봤어요 삼겹살도 너무 맛있고 사이드 메뉴 전부 맛있어서 술안주로 제격이에요 고기도 너무 잘 구워주시고 여러모로 만족스럽습니다 일행들도 칭찬 많이 했어요!! 재방문 의사 1000%
1833004311,목화돈 건대점,,,벌써 4번째 방문이에요! ㅎㅎ 완전 맛있고 ㄷ 구워주셔서 편하게 먹었어요 ㅎㅎ 특히 목살 강추!! 밑반찬 너무 맛있아요 ㅎㅎㅎ💗
1833004311,목화돈 건대점,,,여기 불닭마요쫄면이 증말 마싯는데 오늘은 세트메뉴로 시켜서 패쓰 ..👀 가성비도 좋고 직접 구워주셔서 더 좋아요! 맛이ㅛ게 잘먹었습니다 ❤️
1833004311,목화돈 건대점,,,여기 불닭마요쫄면이 증말 마싯는데 오늘은 세트메뉴로 시켜서 패쓰 ..👀 가성비도 좋고 직접 구워주셔서 더 좋아요! 맛이ㅛ게 잘먹었습니다 ❤️
1833004311,목화돈 건대점,,,예전에 회식으로 왔다가 너무 맛있어서 이번엔 남자친구랑 왔어요! 여전히 너무 친절하시고 맛있어요 두툼한 고기 땡길때 꼭 오세용 그리구 다 구워주셔서 너무 편해요 명이나물도 있고 진짜 강추입니당!👍
1833004311,목화돈 건대점,,,오 ..진짜 대박 맛있어요... 군자 중곡 건대 유명한 고기집 가봤는데 손에 꼽히게 마싯네요 다음에도 재방문 의사 있습미다 ㅎㅎ맛있아요!!!!
1833004311,목화돈 건대점,,,오 ..진짜 대박 맛있어요... 군자 중곡 건대 유명한 고기집 가봤는데 손에 꼽히게 마싯네요 다음에도 재방문 의사 있습미다 ㅎㅎ맛있아요!!!!
1833004311,목화돈 건대점,,,저녁에 방문예약 없이 이용대기 시간 바로 입장데이트연인・배우자
1833004311,목화돈 건대점,,,저녁에 방문예약 없이 이용대기 시간 바로 입장데이트연인・배우자
1833004311,목화돈 건대점,,,점심에 방문예약 없이 이용대기 시간 바로 입장데이트연인・배우자
1833004311,목화돈 건대점,,,점심에 방문예약 없이 이용대기 시간 바로 입장데이트연인・배우자
1833004311,목화돈 건대점,,,제가 정말 좋아하는 건대 목살맛집이에요 🤍 원래 삼겹살을 더 좋아하는데 목화돈은 무조건 !! 목살 !!! 직원분들도 항상 친절하시고 매장도 깨끗해요 구워주는 고깃집 대부분 비싼데 여긴 가격도 합리적이에요 !! 완전 추천합니다 !!!!
1833004311,목화돈 건대점,,,"직원분께서 직접 구워주시다보니 너무 편하고, 반찬도 다양해요! 게다가 이번 주말 너무 더운데 얼음까지 챙겨주셔서 세상 감동했어요😭😭"
1833004311,목화돈 건대점,,,"직원분께서 직접 구워주시다보니 너무 편하고, 반찬도 다양해요! 게다가 이번 주말 너무 더운데 얼음까지 챙겨주셔서 세상 감동했어요😭😭"
1833004311,목화돈 건대점,,,체인점이 아니라 반신반의 하거 들어깄는데 젊은 사장님이 너무 잘 챙겨 주시고 열심히 구워 주셔서 리뷰 남깁니다.
1833004311,목화돈 건대점,,,"특히 살살 녹는 마블링에다가 불향까지 더해지니, 와… 술이 절로 들어가네요"
1833004311,목화돈 건대점,,,"특히 살살 녹는 마블링에다가 불향까지 더해지니, 와… 술이 절로 들어가네요"
1285277954,전나도 프리미엄 솥뚜껑구이 건대점,,,2명이서 방문을 하신다면 양반세트에 고기 단품으로 하나 더 추가를 해서 드시면 배가 왕창 부르게 드실 수 있습니다🤤
1285277954,전나도 프리미엄 솥뚜껑구이 건대점,,,가게 분위기랑 뷰가 너무 좋았어요ㅎㅎ 고기도 가성비 대비 육향이나 퀄리티가 좋은 고기 였어요🤤
1285277954,전나도 프리미엄 솥뚜껑구이 건대점,,,가게 분위기랑 뷰가 너무 좋았어요ㅎㅎ 고기도 가성비 대비 육향이나 퀄리티가 좋은 고기 였어요🤤
1285277954,전나도 프리미엄 솥뚜껑구이 건대점,,,"건대에 맛집이 없을까 검색을 하던 중 우연히 발견한 솥뚜껑삼겹살 맛집!! 양도 푸짐하고 고기 질도 너무 좋고 매장 직원들 분위기 모두가 다채로이 궁합을 이루는 완벽한 곳입니다!! 연인 , 친구 , 배우자 , 가족 등 누구를 데려와도 맛집으로 인정받을 수 있는 곳 강추합니다!!"
1285277954,전나도 프리미엄 솥뚜껑구이 건대점,,,"건대에 맛집이 없을까 검색을 하던 중 우연히 발견한 솥뚜껑삼겹살 맛집!! 양도 푸짐하고 고기 질도 너무 좋고 매장 직원들 분위기 모두가 다채로이 궁합을 이루는 완벽한 곳입니다!! 연인 , 친구 , 배우자 , 가족 등 누구를 데려와도 맛집으로 인정받을 수 있는 곳 강추합니다!!"
1285277954,전나도 프리미엄 솥뚜껑구이 건대점,,,고기 질도 너무 좋고 가성비가 미쳤어요!! 술도 추천 해주시고 냉면은 물냉 드시면 대박일거같아요 대박나세요!! 또 올게용
1285277954,전나도 프리미엄 솥뚜껑구이 건대점,,,고기 퀄리티도 좋고 메뉴 반찬 구성도 괜찮고 직접 구워 주셔서 너무 좋았어요
1285277954,전나도 프리미엄 솥뚜껑구이 건대점,,,고기 퀄리티도 좋고 메뉴 반찬 구성도 괜찮고 직접 구워 주셔서 너무 좋았어요
1285277954,전나도 프리미엄 솥뚜껑구이 건대점,,,고기가 신선하고 맛있어요..! 우삼겹 딱 한입먹었는데 맛있어서 리뷰남겨요..! 명란 도시락이랑 비빔국수도 너무 맛있어요..! 여기 리뷰들도 너무 재밌네요 ㅎㅎ 맛집인정!
1285277954,전나도 프리미엄 솥뚜껑구이 건대점,,,고기의 질이 정말 좋아서 한입 먹자마자 육즙이 가득 느껴졌어요. 특히 삼겹살과 갈비가 부드럽고 잡내 없이 깔끔했습니다. 고기 굽는 동안 직원분이 세심하게 구워주셔서 더 맛있게 먹을 수 있었어요.
1285277954,전나도 프리미엄 솥뚜껑구이 건대점,,,매장도 깔끔하고 싸고 맛있습니다. 특히 계란찜이 맛있어요 두개시켜먹엇어용
1285277954,전나도 프리미엄 솥뚜껑구이 건대점,,,매장도 깔끔하고 싸고 맛있습니다. 특히 계란찜이 맛있어요 두개시켜먹엇어용
1285277954,전나도 프리미엄 솥뚜껑구이 건대점,,,밤에 방문예약 없이 이용대기 시간 바로 입장데이트연인・배우자
1285277954,전나도 프리미엄 솥뚜껑구이 건대점,,,밤에 방문예약 없이 이용대기 시간 바로 입장데이트연인・배우자
1285277954,전나도 프리미엄 솥뚜껑구이 건대점,,,사장님이 너무 유쾌하고 친절하고 고기도 너무맛있어요. 자주올게요
1285277954,전나도 프리미엄 솥뚜껑구이 건대점,,,사장님이 너무 유쾌하고 친절하고 고기도 너무맛있어요. 자주올게요
1285277954,전나도 프리미엄 솥뚜껑구이 건대점,,,소개와 정육 과정을 알려 줍니다 정말 믿고 오는 가게 한번 오면 정말 빠져 나올수 없는 가게 입니다
1285277954,전나도 프리미엄 솥뚜껑구이 건대점,,,저녁에 방문예약 없이 이용대기 시간 바로 입장데이트연인・배우자
1285277954,전나도 프리미엄 솥뚜껑구이 건대점,,,저녁에 방문예약 없이 이용대기 시간 바로 입장데이트연인・배우자
1285277954,전나도 프리미엄 솥뚜껑구이 건대점,,,저녁에 방문예약 없이 이용대기 시간 바로 입장데이트연인・배우자
1285277954,전나도 프리미엄 솥뚜껑구이 건대점,,,저번에 후기가 너무 좋아서 방문하려고 보니까 재료소진으로 일찍 문을 닫았더라구요. 그만큼 맛집인가보다 하고 오늘는 일찍 방문했는데 대기없이 바로 친절하게 안내해주시고 직접 구워주시는데 직원분 입담이 고기 다 구울때까지 내내 웃었습니다 ㅎㅎ 반찬도 너무 잘나오고 셀프바라 눈치없이 가져다먹을 수 있어서 좋았습니다. 음식 퀄리티는 말할 것도 없이 너무 잘 먹고 갑니다. 또 올게요!
1285277954,전나도 프리미엄 솥뚜껑구이 건대점,,,전체적으로 깔끔하고 정갈해요! 고기도 진짜 맛있고 갈치속젓이 진짜 미쳤으니까 젓갈세트 꼭 추가해보세요. 창가에 앉아서 운치있고 환기도 잘됐으나 사람들 밑에서 담배펴서 관리가 필요할 듯 싶습니다.
