가게ID,가게명,평점,날짜,리뷰내용
123086605,가츠시 건대점일식당,,,갈때마다 김치치즈나베 꼭 먹습니다. 밥도 리필 되서 항상 배터지게 나옵니다. 최고👍🏻
123086605,가츠시 건대점일식당,,,그래서 여자친구랑 소바정식 시켜서 나눠 먹으면 딱 좋음 양은 진짜 많아서 가성비도 👍
123086605,가츠시 건대점일식당,,,근데 새단장 하면서 인테리어 비용을 음식값에 포함된듯.. 슬금슬금 올렸어요.
123086605,가츠시 건대점일식당,,,대학가라 그런지 점심시간 학생들 엄청 많습니다.
123086605,가츠시 건대점일식당,,,데려가는 사람들 마다 호불호가 없다.. 다 호야...ㅋㅋㅋ 역시 동네맛집..
123086605,가츠시 건대점일식당,,,리뉴얼하고 밖에서 영업여부가 잘 알수없던 내부가 잘 보이게 바뀌었다. 손님은 여전히 많음..
123086605,가츠시 건대점일식당,,,역시 맛잇어요 김치나베만 먹다가 다른거먹어봤는데도 역시👍👍👍
123086605,가츠시 건대점일식당,,,저녁에 방문예약 없이 이용대기 시간 10분 이내 일상아이
123086605,가츠시 건대점일식당,,,저녁에 방문예약 없이 이용대기 시간 30분 이내친목친구
123086605,가츠시 건대점일식당,,,저녁에 방문예약 없이 이용대기 시간 바로 입장
123086605,가츠시 건대점일식당,,,저녁에 방문예약 없이 이용대기 시간 바로 입장데이트연인・배우자
123086605,가츠시 건대점일식당,,,저녁에 방문예약 없이 이용대기 시간 바로 입장일상기타
123086605,가츠시 건대점일식당,,,저녁에 방문예약 없이 이용대기 시간 바로 입장일상지인・동료
123086605,가츠시 건대점일식당,,,저녁에 방문예약 없이 이용대기 시간 바로 입장일상혼자
123086605,가츠시 건대점일식당,,,저녁에 방문예약 없이 이용대기 시간 바로 입장친목친구
123086605,가츠시 건대점일식당,,,점심에 방문예약 없이 이용대기 시간 바로 입장가족모임부모님
123086605,가츠시 건대점일식당,,,점심에 방문예약 없이 이용대기 시간 바로 입장데이트지인・동료
123086605,가츠시 건대점일식당,,,점심에 방문예약 없이 이용대기 시간 바로 입장일상아이
123086605,가츠시 건대점일식당,,,점심에 방문예약 없이 이용대기 시간 바로 입장일상지인・동료
123086605,가츠시 건대점일식당,,,점심에 방문예약 없이 이용대기 시간 바로 입장일상지인・동료
123086605,가츠시 건대점일식당,,,점심에 방문예약 없이 이용대기 시간 바로 입장일상지인・동료
123086605,가츠시 건대점일식당,,,"점심에 방문예약 없이 이용대기 시간 바로 입장일상친구, 지인・동료"
123086605,가츠시 건대점일식당,,,점심에 방문예약 없이 이용대기 시간 바로 입장일상혼자
123086605,가츠시 건대점일식당,,,점심에 방문예약 없이 이용대기 시간 바로 입장일상혼자
123086605,가츠시 건대점일식당,,,"점심에 방문예약 없이 이용대기 시간 바로 입장일상혼자, 부모님"
123086605,가츠시 건대점일식당,,,점심에 방문예약 없이 이용대기 시간 바로 입장친목친구
233860776,"건대우동집우동,소바",,,가성비좋고 아주머니들도 친절하세요. 아침일찍 갔더니 사람은 없었구 매장가서 포장해오려고 갔는데 무슨 벨이 가게안에 크게 울려서 못 끄고 계시길래 도와드렸더니 고맙다고 소고기마요김밥을 서비스로 주셨습니다. 너무 감사했습니다. 남자친구랑 맛있게 먹었어요.👍
233860776,"건대우동집우동,소바",,,국물떡뽁이먹으러 연속이틀째ㅋㅋ 우동면발을 떡볶이국물에 먹으면 진짜 너무 맛있어요😝 강추에요 이렇게 꼭 드셔보세요👍👍 떡볶이진짜 말랑야들 진짜 떡볶이맛집인데 24시간 대박임~
233860776,"건대우동집우동,소바",,,"국물은 짭쪼름 약간 씁쓸한 맛이 나서 간장 베이스 달큰한 스타일은 아니고, 딱 장칼국수 느낌입니다."
233860776,"건대우동집우동,소바",,,그리고 그 다음 거 집으면 이건 아니겠지? 하면 또 터짐 제발..ㅜㅜ
233860776,"건대우동집우동,소바",,,돈가스 두께도 적당하고 소스도 맛있어요. 밥은 마음껏 먹을수 있어서 성인 남성도 든든히 먹을수 있어요
233860776,"건대우동집우동,소바",,,떡볶이 넘나 제 스타일~~ 말랑말랑 떡 진짜 넘넘 맛있어요😍 우동면을 떡볶이국물에 버무려먹으니 그거또한 별미!! 우동면발이 굵지않아서 더 쫄깃하고 맛있었어요!! 다른메뉸 안먹어서 모르겠고 떡볶이는 먹으러 또 올꺼에요♡♡
233860776,"건대우동집우동,소바",,,밤에 방문예약 없이 이용대기 시간 바로 입장
233860776,"건대우동집우동,소바",,,밤에 방문예약 없이 이용대기 시간 바로 입장데이트연인・배우자
233860776,"건대우동집우동,소바",,,밤에 방문예약 없이 이용대기 시간 바로 입장데이트연인・배우자
233860776,"건대우동집우동,소바",,,밤에 방문예약 없이 이용대기 시간 바로 입장데이트연인・배우자
233860776,"건대우동집우동,소바",,,밤에 방문예약 없이 이용대기 시간 바로 입장일상지인・동료
233860776,"건대우동집우동,소바",,,시원한 헛개차물도 좋았습니다만 딱한가지 말씀드리자면 짜장면 비비기직전에 물이좀 많더라구요 면을삶고 채반에 털어서 담고 소스를 부어준다면 완벽할듯합니다
233860776,"건대우동집우동,소바",,,아침에 방문예약 없이 이용대기 시간 바로 입장
233860776,"건대우동집우동,소바",,,역시 더울땐 이집 비빔국수가 딱이지. 얼음 달라면 넣어줌. 양념이 맛있다. 적당히 달고 적당히 맵고 아주 딱이다. 👍 👍 👍
233860776,"건대우동집우동,소바",,,"저녁에 방문예약 없이 이용대기 시간 바로 입장나들이, 일상혼자"
233860776,"건대우동집우동,소바",,,저녁에 방문예약 없이 이용대기 시간 바로 입장데이트연인・배우자
233860776,"건대우동집우동,소바",,,저녁에 방문예약 없이 이용대기 시간 바로 입장일상지인・동료
233860776,"건대우동집우동,소바",,,저녁에 방문예약 없이 이용대기 시간 바로 입장친목친구
233860776,"건대우동집우동,소바",,,저녁에 방문예약 없이 이용대기 시간 바로 입장친목친구
233860776,"건대우동집우동,소바",,,점심에 방문예약 없이 이용대기 시간 바로 입장
233860776,"건대우동집우동,소바",,,점심에 방문예약 없이 이용대기 시간 바로 입장
233860776,"건대우동집우동,소바",,,점심에 방문예약 없이 이용대기 시간 바로 입장일상연인・배우자
233860776,"건대우동집우동,소바",,,점심에 방문예약 없이 이용대기 시간 바로 입장일상지인・동료
233860776,"건대우동집우동,소바",,,점심에 방문예약 없이 이용대기 시간 바로 입장일상혼자
233860776,"건대우동집우동,소바",,,점심에 방문예약 없이 이용대기 시간 바로 입장일상혼자
233860776,"건대우동집우동,소바",,,점심에 방문예약 없이 이용대기 시간 바로 입장일상혼자
233860776,"건대우동집우동,소바",,,접시도 제대로 안 닦여있는 게 있어서 잘 봐야 해요
233860776,"건대우동집우동,소바",,,"치즈돈까스 치즈양 많고, 소스가 맛있네요 !! 국물 떡볶이는 살짝 쿵 매워서 헥헥 😓"
233860776,"건대우동집우동,소바",,,혼지 간단하게 먹고 싶을때 가는 곳이에요. 늘 맛있도 친절해요 :)
1183785127,고베규카츠 건대점돈가스,,,"겉은 바삭하고 속은 육즙 가득한 규카츠 맛집이에요! 함께 나오는 화로에 직접 구워 먹는 재미도 쏠쏠하고, 친절한 직원분들 덕분에 더 기분 좋게 식사했습니다. 건대에서 맛있는 규카츠를 찾으신다면 꼭 방문해보세요"
1183785127,고베규카츠 건대점돈가스,,,고기의 느끼함을 잡아주는 불닭볶음우동 진짜 부드럽고 함께 먹기 너무 좋았어요 ❤️
