가게ID,가게명,평점,날짜,리뷰내용
1418441461,더이퀼리브리엄커피,,,가게 인테리어가 엄청 고급지더라고요 테라스와 마당에 강아지가 있는것도 참 인상적이였습니다.
1418441461,더이퀼리브리엄커피,,,"건대입구역 6번 출구에서 정말 가까워 찾기 쉽고, 깔끔하면서 감각적인 인테리어가 돋보이는 곳이에요! 조명도 독특하고 콘센트 좌석부터 여럿이 이용하기 좋은 대형 테이블에 루프탑까지 완전 최고에요👍"
1418441461,더이퀼리브리엄커피,,,"고급스러운 맛이 나는 밀크티. 시그니처 메뉴인 트와일라잇은 평범한 크림라떼인줄 알고 달기만 할 줄 알았는데, 적당한 단맛사이에 커피의 산미와 상큼한 오렌지맛이 조화로워요. 멜론머스크는 시원하고 부드러운 시트와 크림+멜론 사이에 나는 상큼한 맛이 납니다."
1418441461,더이퀼리브리엄커피,,,그냥 감성 카페인줄 알고 들렸는데.. 퀄리티가 미친 곳‼️🤓 밀크티가 이렇게 향이 풍부한건 처음이고 싱글오리진 라떼도 정말 고민하시고 만드신게 티가 난다. 커피좋아하는 사람들에게 진심으로 추천하는곳!!
1418441461,더이퀼리브리엄커피,,,"다음에는 필터커피 먹을 수 있길 ,! 바리스타님 제발 저있는때 계셔주세용 ㅜㅜ"
1418441461,더이퀼리브리엄커피,,,"들어서는 순간, 아늑하고 넓고, 각각 다른 테이블과 의자들이 트렌디했어요~무엇보다 “트와일라잇 커피 & 블랙라떼”..각각 매력있는 커피에 반했어요~ 바닐라 그린티 케잌, 커피도 비주얼도 너무 이쁘고 맛도 good! 공간도 커피도 문득문득 생각날 것 같아요! 재방문 도장 꾹꾹꾹!!"
1418441461,더이퀼리브리엄커피,,,라떼랑 시그니처인 트와일라잇 마셨는데 커피원두가 엄청 신선하고 퀄리티가 좋아서 맛있었어요
1418441461,더이퀼리브리엄커피,,,마틸다 초코케이크랑 디카페인 밀크티 먹었는데
1418441461,더이퀼리브리엄커피,,,매장이 넓고 예뻐요 데이트하기 좋아요😍 프리미엄 수제맥주도 팔아서 간단하게 맥주 한 잔 하고 싶을 때 부담없이 즐길 수 있어서 좋아요!! 그리고 디저트 찐 맛집. 생딸기스퀘어 너무 맛있어요!!! 야외자리 앉았는데 날씨가 좀 풀려서 덥지도 않고 아주 좋았어요👍🥹
1418441461,더이퀼리브리엄커피,,,메뉴 3개에 21000원 비싸긴한데 서비스도 나쁘지않고 인테리어와 테이블 의자 가구도 괜찮아서 친구와 대화하러 자주 가게되네요🙂
1418441461,더이퀼리브리엄커피,,,실내도 힙하고 세련됐는데 소재도 좋은거 쓰셔서 고급지구 또 공간이 다양하게 배치되어 있어 너무 좋아하는 카페입니다..!!! 혼자와서 못 먹었는데 다음엔 디저트 도전할꼬에요!! 🤎
1418441461,더이퀼리브리엄커피,,,"아메리카노는 깔끔하고 산미가 적당해서 디저트랑 잘 맞았고, 밀크티는 진하고 고소해서 디저트 없이 단독으로 즐기기도 좋았어요. 디저트도 맛있고 음료도 조화롭게 어울려서 만족스러운 시간이었네요. 다음에도 또 주문하고 싶습니다! 👍"
1418441461,더이퀼리브리엄커피,,,인식을 완전히 바꿔주셨어요! 한달 전에 예약하고 너무 기대했는데 그 기대를 충족시켜주셨고 무료인게 놀라울 정도욨어요. 너무너무 즐거웠어요!
1418441461,더이퀼리브리엄커피,,,인테리어도 멋지고 수시로 청소해주셔서 테이블 의자 모두 깨끗해요👍
1418441461,더이퀼리브리엄커피,,,인테리어도 특색있고 메뉴도 특별해서 힐링되는 카페에요.
1418441461,더이퀼리브리엄커피,,,"일단 시원해서 너무 좋았어요,, 인테리어가 특색있으면서도 의자가 편해서 아늑한 느낌도 있어요!! 밀크티 좋아하는데 종류가 3가지더라구요,, 처음 먹어보는 맛인데 맛있었구 무엇보다 직원분이 너무 친절하세요~~!! 음료쏟아버렸는데 오히려 신경써주셔서 너무 감사했습니다."
1418441461,더이퀼리브리엄커피,,,"저녁에 방문예약 없이 이용대기 시간 바로 입장나들이, 일상혼자"
1418441461,더이퀼리브리엄커피,,,저녁에 방문예약 없이 이용대기 시간 바로 입장데이트연인・배우자
