가게ID,가게명,평점,날짜,리뷰내용
1282680347,백미원 건대점,,,"#건대맛집 #건대마라탕 #백미원마라탕 #건대입구역맛집 백미원 건대점에서 마라탕 먹고 왔어요! 🌶️🍲 건대역 근처라 접근성이 좋아서 친구들이랑 가기 딱이에요. 원하는 재료를 직접 고르는 재미가 있고, 국물이 깔끔하면서도 얼얼한 맛이 중독적이더라구요 😋 양고기랑 각종 야채, 당면까지 푸짐하게 넣으니 한 그릇이 든든했어요. 국물 진하기도 딱 적당해서 부담 없이 먹기 좋았고, 매운 단계도 선택 가능해서 매운 거 못 먹는 사람도 도전 가능해요 👍 건대에서 마라탕 땡길 때 가성비 좋게 즐기기 좋은 맛집이에요! 🥢🔥"
1282680347,백미원 건대점,,,고기를 무게 당으로 받는 곳은 처음이에요! 덕분에 고기를 듬뿍 담을 수 있어서 좋았어요 앞으로 마라가 땡길 때마다 여기로 오게될 것 같아요
1282680347,백미원 건대점,,,그리고 요우티아오 그거 진짜마싯어요 2개는 드세용..!!!
1282680347,백미원 건대점,,,땅콩소스를 안에 부어주실줄이야 ! 🤭 맵기 1단계였는데 매운 소스 재법 들어가서 입술 얼얼 했어요 땅콩소스 들어가서 그나마 이정도인걸 다행으로 여겼어요 ㅋㅋ 맵찔이는 아닌데. 기분탓인지는 모르겠는데.. 숙주랑 고기가 담기전보다 조리 후에 상실된 느낌이랄까요 ? 한번 더 가보려고요.
1282680347,백미원 건대점,,,마라탕 간이 알맞고 적당히 자극적인 맛이라서 매번 찾게돼요! 가성비도 좋은 건대 마라탕 맛집입니다!
1282680347,백미원 건대점,,,맵기도 가성비도 너무 좋아서 자주 오는 곳입니다! 건대 마라탕 맛집 인정입니당..!😄직원분도 친절해서 항상 기분좋게 있다가 가는 것 같아요 ㅎㅎ
1282680347,백미원 건대점,,,"백미원 건대입구점 마라탕은 깔끔하면서도 진한 국물 맛이 일품이에요🔥 매운맛 조절이 가능해서 매운 걸 잘 못 먹는 분들도 부담 없이 즐길 수 있고, 야채와 고기, 해산물까지 원하는 대로 재료를 골라 담는 재미가 있어요🥬🍖🍤 재료가 신선하고 양도 푸짐해서 가성비도 만족스럽습니다. 특히 국물이 기름지지 않고 깔끔해 끝까지 부담 없이 먹을 수 있었어요😋 직원분들도 친절해서 전반적인 분위기가 좋아 재방문 의사 100%! 건대입구에서 든든하고 맛있는 마라탕을 찾는다면 추천드려요👍"
1282680347,백미원 건대점,,,여기 신기한점은 뚝배기에 나오고 고기를 그냥 퍼서 가져가면 된다는 거에요!!
1282680347,백미원 건대점,,,오늘도 맛나게 마라탕 잘 먹고 갑니다! 첫끼나 다름없어서 너무 먹고 싶었습니다. 계속 번창하세요! :D
1282680347,백미원 건대점,,,오늘도 맛있게 마라탕 먹고 갑니다! 건대입구역 근처에서 제일 맛있는 집인 것 같아요. 앞으로도 번창하세요!
1282680347,백미원 건대점,,,오픈주방이라 너무 깨끗하고 맛도 너무 맛있어요 마라탕 원래 별로 잘 안먹는데 여긴 자주와요
1282680347,백미원 건대점,,,완전 맛있고 근데 여긴 마라샹궈랑 소고기볶음면이 최고긴 함
1282680347,백미원 건대점,,,재료도 신선하고 고기도 직접넣을수 있어서 좋았습니다!😘
1282680347,백미원 건대점,,,저녁에 방문예약 없이 이용대기 시간 10분 이내 가족모임아이
