가게ID,가게명,평점,날짜,리뷰내용
93245461,브런치 카페 고은별 샌드위치,,,4년동안 이 동네 살았는데 이제야 와보네요! 양도 너무 많고 바질 페스토샌드위치 너무 맛있어요!!!
93245461,브런치 카페 고은별 샌드위치,,,"가게 내부가 찐 맛집 건강 맛집 느낌 물씬이에요. 치아바타 빵이 맛있다길래 플래터 샐러드 다 맛있어보이는데 샌드위치로 시켜봤구요, 진짜 튼실하고 맛있어요! 그리고 커피 맛집!! 커피가 신맛 탄맛 없이 부드럽고 맛있네용☕️요즘 샌드위치도 조금만 푸짐하면 가격 만원 중반대는 하던데 가격도 좋구요🥹🐰☘️ 플래터랑 샐러드도 넘 맛있어보이던데 다음에는 다른 메뉴 먹어봐야겠어요!"
93245461,브런치 카페 고은별 샌드위치,,,그라운드시소 전시 보러 가기 전에 식사를 위해 들렀어요! 파스타 구성도 알차고 (치즈+올리브 최고🥺) 샌드위치 빵이 진짜 대박이에요 한 입 베어 물고 놀랐어요;; 샌드위치는 보통 소스로 맛을 내는 곳이 많은데 여긴 빵때문에 또 먹고 싶어요.. 야채도 너무 신선하고 배부르게 먹고 갑니다👍🏻 사진에 있는 샌드위치는 닭가슴살 한 번 추가한 양입니다!! 또 올게요 사장님✌🏻✨
93245461,브런치 카페 고은별 샌드위치,,,단호박 스프가 유명하다고 해서 먹어봤는데 진짜 맛있어요~! 스프랑 하프 샌드위치 먹으면 적당히 배불러요! 잘 먹고 갑니다💗
93245461,브런치 카페 고은별 샌드위치,,,"맛있고, 친절하시고, 귀여운 캐릭터로 한번 더 미소짓게되는 곳이여요"
93245461,브런치 카페 고은별 샌드위치,,,맛있어서 재방문 했어요!! 치아바타 빵이 진짜 맛있어요!! 양도 많아서 반개만 먹어도 꽤 배불렀어요!
93245461,브런치 카페 고은별 샌드위치,,,매장에 잔잔한 팝송을 시끄럽지 않게 틀어주셔서 좋아요! 항상 샌드위치 시키면 먹물 빵으로 바꿔 먹는데 쫄깃하고 맛있습니다 :)
93245461,브런치 카페 고은별 샌드위치,,,먹어도 먹어도 질리지 않아요 구운버섯 샐러드 강추!
93245461,브런치 카페 고은별 샌드위치,,,몇번씩 샌드위치 포장해가는 맛집입니다~ 오늘은 매장에서 샐러드 시켰어용 ㅋㅋㅋ 샌드위치는 바질 들어간게 진짜 맛있어용☺️
93245461,브런치 카페 고은별 샌드위치,,,배달시켜 먹는 단골입니다. 근처에 올 일이 있어서 처음으로 매장에서 먹었어요. 역시 바로 먹으니 더 맛있네요. 어떤 메뉴를 주문해도 후회하지 않을겁니다. 단호박 크림스프는 먹으면 사랑에 빠지실거예요😍
93245461,브런치 카페 고은별 샌드위치,,,브런치도 맛있고 치아바타는 바삭하면서 치즈가 가득들어있어서 존맛이에요
93245461,브런치 카페 고은별 샌드위치,,,신선하고 맛있는 음식 일찍부터 먹을 수 있어서 좋아요! 최고!
93245461,브런치 카페 고은별 샌드위치,,,"신선한 샌드위치가 있더는 이야기를 듣고 방문했어요! 단호박 스프가 정말 맛있어요!! 포장으로 시켰는데, 가게 바로 앞에 잠깐 차를 둘 곳이 있어서 너무 다행이었어요!"
93245461,브런치 카페 고은별 샌드위치,,,아늑한 실내와 조용한 분위기로 식사를 하며 대화 나누기도 좋고 젤 중요한 건 맛인데 완전..굿이네요👍🏻
93245461,브런치 카페 고은별 샌드위치,,,"아침에 방문예약 없이 이용대기 시간 바로 입장일상혼자, 아이, 친구"
93245461,브런치 카페 고은별 샌드위치,,,"아침에 방문예약 없이 이용대기 시간 바로 입장친목, 일상혼자"
93245461,브런치 카페 고은별 샌드위치,,,오랜만에 만난 동료와 점심시간 내어 왔어요! 근처에 이런 맛집이 있다는건 넘 행복한일 ㅋㅋ 플래터 구성이 알차고 맛있어서 다음번엔 다른 플래터도 먹어보고파요! 분위기도 차분해서 대화하기 좋아 강추해요!
93245461,브런치 카페 고은별 샌드위치,,,오랜만에 먹어서 넘 맛나요 ㅋㅋㅋㅋㅋ
93245461,브런치 카페 고은별 샌드위치,,,일주일에 한번은 꼭 먹는 고은별샌드위치!❤️ 치아바타가 쫀득하고 빵이 정말정말 맛있어요 !! 특히 바질 들어간 메뉴가 킥입니다💚모든 종류가 맛있고 갓나온거 먹으면 쓰러져요~~ ㅎㅎ 추천해용❤️
93245461,브런치 카페 고은별 샌드위치,,,"저희 신랑이 광진구에 배민맛집으로 유명한 곳이 있다고 해서 와봤는데, 진짜 배민 라이더님이 계속 오시네요!"
93245461,브런치 카페 고은별 샌드위치,,,점심에 방문예약 없이 이용대기 시간 바로 입장나들이혼자
93245461,브런치 카페 고은별 샌드위치,,,점심에 방문예약 없이 이용대기 시간 바로 입장데이트연인・배우자
93245461,브런치 카페 고은별 샌드위치,,,점심에 방문예약 없이 이용대기 시간 바로 입장데이트연인・배우자
93245461,브런치 카페 고은별 샌드위치,,,점심에 방문예약 없이 이용대기 시간 바로 입장데이트연인・배우자
93245461,브런치 카페 고은별 샌드위치,,,점심에 방문예약 없이 이용대기 시간 바로 입장데이트연인・배우자
93245461,브런치 카페 고은별 샌드위치,,,점심에 방문예약 없이 이용대기 시간 바로 입장데이트연인・배우자
93245461,브런치 카페 고은별 샌드위치,,,점심에 방문예약 없이 이용대기 시간 바로 입장데이트연인・배우자
93245461,브런치 카페 고은별 샌드위치,,,점심에 방문예약 없이 이용대기 시간 바로 입장일상혼자
1431086824,비에이치테이블브런치,,,1. 테이블이 안치워져있어서 그 곳 앉고 싶다하니 손님이 밖에 있어서 안가신 것 같다하고 바로 그 다음 손님 그 테이블로 안내.
1431086824,비에이치테이블브런치,,,근데 개인적으로 잠봉이랑 살구잼이 잘 어울리는 줄은 모르겠어요🤔
1431086824,비에이치테이블브런치,,,근처에 이렇게 분위기 좋은 브런치 가게가 있는지 몰랐네요. 후무스도 맛있고 재료들이 전부 신선해서 정말 맛있게 먹었습니다! 아보카도 너무 맛있어요🥑 평일 점심에 갔는데 저는 웨이팅 없었습니다!
1431086824,비에이치테이블브런치,,,"브런치 먹고 왔네요. 광진구청 뒤에 위치한. 브런치 카페에요. 브렉퍼스트 플레이트, 프렌치 토스트, 잠봉 샌드위치 등이 있어요. 가족끼리 오붓하게. 먹구 왔어요.~~~."
1431086824,비에이치테이블브런치,,,브런치 메뉴가 하나같이 다 맛있었어요. 사장님이 메뉴 개발을 정말 열심히 하신 것 같더라구요. 커피는 액상 커피여서 맛이 살짝 아쉽기는 했습니다. 하지만 브런치메드로 모든 것이 커버 되어요.
1431086824,비에이치테이블브런치,,,브런치가 맛있었고 주말 오전 연인이랑 오기 좋은 식당인 것 같아요.
1431086824,비에이치테이블브런치,,,브런치로 먹기에 너무 좋아요! 매장에 테이블이 많진 않은데 금방 금방 자리가 생기는 편이에요
1431086824,비에이치테이블브런치,,,"브런치인데도 든든한 양에, 정성스러운 음식을 행복하게 먹을 수 있어요."
1431086824,비에이치테이블브런치,,,사장님 맛잘알이신듯..!!맛있었어요~~채광도 좋아서 힐링 점심이 되었습니다👍
