가게ID,가게명,평점,날짜,리뷰내용
11696071,가마로,,,24시 고깃집 찾기쉽지않은데 퀄리티 좋고 초반에 다 구워주시고 세팅해주셔서 좋았어요 ㅎㅎ 일단 묵사발 계란찜 된장찌개 무료세팅~~ 맛있게 잘 먹었습니다☺☺
11696071,가마로,,,2달여만에 다시왔는데 직원분께서 기억해주시고 넘 고마웠어요 맛은 뭐 맛있으니 다시왔죠 언제나 좋은 고기와 찌개와 계란찜 묵사발 서비스은 굳굳입니다 ㅎ
11696071,가마로,,,"가마로는 생각나는 타이밍이 있어요 네번째 방문이에요! 잘됐으면 하는 마음에 처음으로 리뷰써봅니더 역시 한국인은 김치.... 묵은지삼겹살이 땡기는날이 있어.. 여기 계속 오게되는 이유가 가격도 착한데 고기질도 좋고 기본차림상이 너무 좋아요 살얼음묵사발, 해물된장찌개, 계란찜, 샐러드를 줘요 경기안좋은 이런 시국에도 항상 이렇게 잘 차려주시고 매번 고기도 구워주셔서 맛있게 먹고가요!!~~ 넘 잘먹었습니다💕"
11696071,가마로,,,가성비좋고 맛있는 고깃집 찾아보다가 방문하게 되었어요 요즘 고깃집가면 1인분에 거의 2만원정도하고 양도 적은데 여기는 가격도 부담스럽지않고 고기 질도 가격대비 좋았어요!
11696071,가마로,,,고기질 너무 좋고 사장님도 친절해서 너무 재밌게 먹다 갑니다😀😃💪다음에 또 올게요!!
11696071,가마로,,,"급회의 후,점심시간에 가마로에서 제육쌈밥 먹고 왔어요. 가격은 8,500원이었는데, 구성 보고 깜짝 놀랐어요. 제육볶음이 철판에 나와서 불맛 제대로 나고, 떡이랑 팽이버섯, 쑥갓까지 들어 있어서 식감도 다양해요."
11696071,가마로,,,맛있어용 양도 많고 노래도 좋아영 또 올게용 사장님 친절하셔서 좋아용
11696071,가마로,,,메뉴개 푸짐하고 쌈도 상추 외에 다른 종류들이 많아서 이것도 너무 좋습니다!
11696071,가마로,,,묵은지김치 삼겹살이 유명해서 시켜봤는데 와....어딜가도 이런 김치맛은 없을거같은느낌이랄까 고기와 너무 조화롭고 특히나 같이 나오는 된장찌개는 그 어느 고깃집에서 느껴보지못했던 깊은맛이 느껴지고 살짝 구워먹는 파채도 제입맛에 딱입니다~
11696071,가마로,,,밤에 방문예약 없이 이용대기 시간 바로 입장데이트연인・배우자
