가게ID,가게명,평점,날짜,리뷰내용
1422535168,김창훈포차 건대본점,,,"가성비 좋은 술집으로 만족해 주시고, 건대에서 핫한 술집이라 말씀해 주셔서 저희도 정말 기쁩니다 😍 건대입구역 술집 중 최고라고 평가해 주셔서 큰 힘이 되며, 앞으로도 언제 오셔도 맛과 분위기 모두 만족하실 수 있도록 최선을 다하겠습니다 🙌"
1422535168,김창훈포차 건대본점,,,감자치즈전을 맛있게 드셨다니 정말 기쁘네요🧀 곱도리탕과 곱창까지 만족해주셔서 준비한 보람을 느낍니다. 음악 분위기까지 즐겨주셨다니 더없이 뿌듯합니다😙 앞으로도 맛과 분위기 모두 만족하실 수 있도록 정성을 다하겠습니다.
1422535168,김창훈포차 건대본점,,,"갓벽한 포차 분위기 속에서 흥이 차오르며 즐거운 시간을 보내셨다니 저희도 기분이 절로 좋아집니다! 닭발튀김의 매콤달콤 쫀득한 식감과 마요소스 상추쌈, 곱도리탕의 담백고소하면서도 매콤한 국물까지 만족스럽게 즐겨주셔서 정말 감사드려요😊 준비한 안주 하나하나가 즐거운 술자리와 어우러져 보람을 느끼고, 다음 방문에도 기대 이상의 맛과 즐거움을 드릴 수 있도록 최선을 다하겠습니다. 소중한 시간을 함께해주셔서 감사드리며, 언제든 또 찾아주세요 🥰"
1422535168,김창훈포차 건대본점,,,"건대 대표 안주 맛집이라 말씀해주셔서 정말 큰 힘이 됩니다🔥 안주 메뉴들이 모두 맛있다고 해주신 데다 특별한 메뉴들까지 자주 즐겨주신다니 준비하는 저희도 뿌듯합니다. 포차 분위기 속에서 술이 술술 들어간다고 표현해주신 점도 저희가 추구하는 모습이라 더욱 기쁘네요☺️ 아직 방문하지 않으신 분들께 강력 추천까지 해주셔서 감사드리며, 앞으로도 늘 기대에 어긋나지 않도록 최선을 다하겠습니다."
1422535168,김창훈포차 건대본점,,,"건대 핫한 술집으로 좋게 평가해 주시고 음식들까지 모두 맛있게 즐겨주셨다니 정말 기쁩니다 😎 맛있는 술안주와 다양한 메뉴를 준비한 정성이 전달된 것 같아 큰 보람을 느끼며, 진짜 맛난 술 메뉴를 찾으신다면 추천해 주신다는 말씀에 더욱 힘이 납니다 🍻✨"
1422535168,김창훈포차 건대본점,,,"건대 핫한 술집으로 좋게 평가해 주시고 음식들까지 모두 맛있게 즐겨주셨다니 정말 기쁩니다 🥳 맛있는 술안주와 다양한 메뉴를 준비한 정성이 전달된 것 같아 큰 보람을 느끼며, 진짜 맛난 술 메뉴를 찾으신다면 추천해 주신다는 말씀에 더욱 힘이 납니다 🍺🔥"
1422535168,김창훈포차 건대본점,,,"건대 핫한 술집이라는 소문을 듣고 찾아주셨다니 저희도 기분이 좋습니다! 양이 푸짐하고 맛까지 만족하셨다니 준비한 보람이 느껴지네요😊 안주 하나하나와 매장의 분위기까지 즐겁게 경험해주셔서 감사드리고, 다음 방문에도 같은 만족과 즐거움으로 보답드릴 수 있도록 최선을 다하겠습니다. 소중한 시간을 함께해주셔서 감사드리며, 언제든 또 찾아주세요 🥰"
1422535168,김창훈포차 건대본점,,,"건대에서 가성비 좋은 술집으로 기억해 주신 만큼, 앞으로도 늘 믿고 찾으실 수 있도록 정성 다해 준비하겠습니다 🍺✨"
1422535168,김창훈포차 건대본점,,,"건대입구역에서 찾아와 주시고, 안주의 맛과 푸짐한 양까지 만족해 주셔서 기쁩니다 🍲 재방문의사까지 밝혀주셔서 큰 힘이 되며, 앞으로도 언제 오셔도 맛과 분위기 모두 즐기실 수 있도록 정성과 최선을 다하겠습니다 🙌"
1422535168,김창훈포차 건대본점,,,건대핫하고 가성비있는 술집이라 들었는데 달발튀김이랑 닭토리탕 정말 맛있어요! 건대입구역 술집 찾으시면 여기 추천해요~
