가게ID,가게명,평점,날짜,리뷰내용
2025206572,그린플레이트 건대스타시티점,,,(음식맛이 이토록 정갈하고 맛있고 재료가 신선하단건 사장님의 철학이 없고는 불가능하다고 생각 하는 1인 임당 ㅋㅋ♡♡♡♡♡)
2025206572,그린플레이트 건대스타시티점,,,1인 가격대가 조금 있어서 고기가 무한인줄 알았는데 무한이 아니여서 조금 실망이였어용😅😅그래도 맛도있고 셀프바도 부족함없이 잘 채워지는거 같아서 만족하게 먹었습니당~!!
2025206572,그린플레이트 건대스타시티점,,,"건대 샤브샤브 무한리필 그린플레이트에 갔다왔어요. 새로 오픈을 해서 깨끗하고 넓었고 프리미엄 뷔페 메뉴가 다양하게 준비되어 있었어요. 샤브샤브, 월남쌈, 핫그릴, 샐러드, 디저트, 음료 등 메뉴가 많았고 맛도 좋았어요. 사브샤브 소고기만 리필 시 추가요금이 있고 그 나머지는 무한리필 가능합니다. 샤브 매운 국물이 진짜 칼칼하고 시원했고 치킨류가 맛있었어요. 커다란 가지 튀김도 리필해 먹었어요. 취향껏 즐기기에 좋고 매장이 넓어서 모임이나 회식, 가족외식 하기에도 좋답니다."
2025206572,그린플레이트 건대스타시티점,,,건대에 새로 생겨서 가봤는데 크로플이랑 커피가 넘 맛있었어요!
2025206572,그린플레이트 건대스타시티점,,,건대입구에서 내리면 에스컬레이터 타고 밖으로 나오지 말고 롯데백화점 입구로 들어와 쭉~ 쭉~ 이마트 지나고 푸드코트 끝쪽에 자리 잡은 그린플레이트
2025206572,그린플레이트 건대스타시티점,,,"그렇지만 재방문은 잘 모르겠어요 .. 차라리 야채 무한리필에 샤브샤브에만 집중한 샤브샤브 전문점이나 샤브올데이처럼 샐러드바 구성이 엄청 다양한 곳을 가는게 나을 듯 싶어요 ,, 여긴 좀 어중간한 느낌이네욤"
2025206572,그린플레이트 건대스타시티점,,,깔끔하고 요리도 좋습니다. 샤브샤브고기는 기본제공 이후 유료고 샐러드바는 무제한입니다.
2025206572,그린플레이트 건대스타시티점,,,맛있음. 샤브샤브 도. 뷔페도. 신선하고 깔끔한 디자인으로 인테리어 괜찮아요 .
2025206572,그린플레이트 건대스타시티점,,,"메디포갈릭이 있던자리에 그린플레이트라는 샤브샤브매장이 생겼습니다. 뷔페식으로 되어 있고 음식 맛도 좋습니다. 요즘은 월남쌈도 싸먹을 수있게 소스와 피, 재료가 준비 되어 있어 양것 가져다 먹을 수있게 되어 있습니다. 매장도 넓어 단체모임하기 좋습니다."
2025206572,그린플레이트 건대스타시티점,,,"무엇보다 건강한 재료를 썼다는 게 느껴졌고, 하나하나 정성 들여 만든 느낌! 건강하게 맛있게 먹고 싶은 날, 친구랑 여유 있게 대화하고 싶은 날, 딱 어울리는 곳이에요."
