가게ID,가게명,평점,날짜,리뷰내용
1112754194,송화산시도삭면 2호점중식당,,,"1호점 휴일이라 그랬는지 웨이팅 길었어요. 평일 저녁 40분정도 기다렸습니다. 소룡포 너무 맛있게 먹었고, 도삭면, 유포면, 위샹로쓰덮밥 다 맛있었어요."
1112754194,송화산시도삭면 2호점중식당,,,가지튀김 빠질수 없죠 바삭함과 가지 수분감 충분히 느껴지는 가지튀김 최고랍니다 ㅎㅎ
1112754194,송화산시도삭면 2호점중식당,,,"건대입구에서 개인적으로 좋아하는 본토 스타일 중국집. 중국인이 운영하는 가게인데 이 동네에서 8년 정도된 송화산시도삭면 2호점. 같은 골목 안쪽으로 더 들어가면 1호점이 하나 더 있음. 하얼빈 맥주 있어서 좋고 소롱포, 쇼마이 스타터 안주로 좋음. 밥 먹으러 갔다가 저절로 술 한잔 땡기는 집이다. 건대입구역 혼밥 혼술 추천 맛집. 네이버에 블라초블로그 검색"
1112754194,송화산시도삭면 2호점중식당,,,광진구 볼일있어 왔다가 검색후 방문했어요 처음 먹어보는 맛인 도삭면 마라맛이 약간 나면서 색다르고 맛있네요 유명한 가지튀김은 양념이 매콤달짝해서 밥반찬으로 먹음 좋을것 같아요 양이 많아 둘이 먹기엔 좀 많았어요 만두는 육즙이 많긴 한데 꼭 먹어봐야 될 정도는 아닌거 같아요 ㅎ~색다른 음식 찾으신다면 한번쯤 가보는거 추천이요
1112754194,송화산시도삭면 2호점중식당,,,"늦은 시간에 가면 먹고 싶은 딤섬 솔드 되는 경우가 많아요, 음식은 다 맛있어요~!"
1112754194,송화산시도삭면 2호점중식당,,,더워서 기다리기 힘들었는데 한 입 먹자마자 기다리길 잘했다고 생각이 드는 맛입니다👍
1112754194,송화산시도삭면 2호점중식당,,,도삭면 국물이 칼칼해서 맛있고 면이 쫀득쫀득해서 식감이 좋습니다! 가지튀김도 바삭 촉촉해서 따뜻할때 먹으면 맥주가 엄청 땡기는 맛! 새우딤섬도 탱글해서 추천합니다!
1112754194,송화산시도삭면 2호점중식당,,,도삭면은 조금 두꺼워서 쫄깃한 건 좋았는데 엄청 취향은 아니라 다음엔 위의 두 메뉴와 다른걸 먹어볼 것 같아요!!
1112754194,송화산시도삭면 2호점중식당,,,"도삭면은 처음 먹어보는데, 길고 덜 쫀득한 수제비를 먹는 느낌?? 국물은 얼큰칼칼로는 설명이 안돼요 향신료 향이 있어서... 진짜 맛있음..ㅠㅠ 고수는 넣지말고 따로 달라고 부탁하면 주십니다!!"
1112754194,송화산시도삭면 2호점중식당,,,딤섬&가지튀김 생각나면 무조건 오는 곳인데요! 늘 상 올때마다 웨이팅 있을 정도로 인기 많은 곳이었어요. 이번에도 가지튀김하고 새우아스파라거스 딤섬 주문했는데요. 부드러우면서 꽉 찬 속이 입 안 가득 채워질 정도로 맛있었습니다! 웨이팅까지 용서되는 곳이었어요!
1112754194,송화산시도삭면 2호점중식당,,,딤섬은 요즘 워낙 맛있는 집들이 많아서 특별함은 잘 모르겠는데 일반적인 딤섬들보다 사이즈가 좀 더 큰편이예요~ 그 이유가 안에 오뎅? 같은 식감이 나는게 들어있어서 그런거 같아요~
1112754194,송화산시도삭면 2호점중식당,,,"많이 먹고싶어서 2명이서 도삭면, 가지튀김, 샤오롱바오, 쇼마이 시켰어요 양도 짱 많음! 가지튀김은 결국 다 못 먹고 포장부탁드렸더니 전용 용기에 담아주셨습니다 직원분께서 계속 테이블 상황을 봐주세요 앞치마도 가져다주시고 반찬 부족한 것도 계속 리필해주시고 계속 신경써주셔서 좋았답니다 최고의 맛은 도삭면이었는데 마라탕과.우육면의 중간맛?으로 두툼쫄킷한 면이랑 진짜 잘어울려요(원래 두꺼운 밀가루면 싫어함) 건대방문할일 있다면 무조건 여기입니다!!"
1112754194,송화산시도삭면 2호점중식당,,,본점이 휴무여서 웨이팅 많을 각오하고 갔는데 시간대가 잘 맞았던 건지 20분정도 기다리고 입장한 것 같아요
1112754194,송화산시도삭면 2호점중식당,,,"뺭뺭유퍼멘은 넓적한 면에 기름+양념 비벼 먹는 신메뉴인데 면이 진짜 입안 가득 쫄깃하면서 부드러워서 식감 좋고, 양념은 새콤매콤해서 새로운 맛인데 은근 잘 어울리고 중독성있어요!! 저는 좋았는데 애인 입맛엔 불호래서 호불호는 갈릴 것 같아요."
1112754194,송화산시도삭면 2호점중식당,,,시댁이 자양동 이라 자주지나다녔는데. 늘 사람들 줄 서있어서.
1112754194,송화산시도삭면 2호점중식당,,,"오랜만에 들린 송화산시도삭면! 늘 먹는 가지튀김과 도삭면은 말모, 새우아스파라거스, 샤오롱빠오 처음 먹었는데 정말 맛나요. 근처에 있음 좋겠다는! 주차는 자양4동 공영주차장에 합니닷"
1112754194,송화산시도삭면 2호점중식당,,,"와 어쩜 이렇게 음식 사진을 하나도 안찍었는지 모를일이지만…. 셋이서 꿔바로우를 포함한 아주 다양한 메뉴를 먹고 왔습니다! 줄이 길긴하지만 자리에 앉았을때 테이블 시간 제한 따로 없고, 심지어 콜키지 프리인거 있죠! 옆 조양마트에서 계속 사다 먹었어요 🍷 (와인잔은 없습니다) 다음에 백퍼 천퍼 다시 방문합니다 🥰🙈"
1112754194,송화산시도삭면 2호점중식당,,,왜떡국 같았냐묜 면이 사이가 너무 좋아서 자기들끼리 너무 붙어있어서 분명 넓적 면을 먹고 있는데 떡을 먹고 있는 거 같다는 생각이 들어요
1112754194,송화산시도삭면 2호점중식당,,,음식 다 맛있네요. 대기 6번이엿지만 40정도 기다린듯. 기본적으로 매운맛이 있어요. 어른들은 상관없지만 어린아이들은 매울듯. 요청하시면 안맵게도 가능하답니다
1112754194,송화산시도삭면 2호점중식당,,,이날은 주말인거 치고는 30분안에 입장했던거 같아요^^ 메뉴도 나름 빨리빨리나오는 편이고 회전율이 좋은편. 도삭면은 여기가 최고에요 담섬류도 가성비 좋고 맛있어요-!!! 여기서 가지튀김은 처음 먹어봣는데 가지튀김은 평균적인것 같아요(개인적으론 꿔바로우가 더 나은듯)
1112754194,송화산시도삭면 2호점중식당,,,저녁에 방문예약 없이 이용대기 시간 30분 이내데이트연인・배우자
