가게ID,가게명,평점,날짜,리뷰내용
1065705791,당나발포차 건대점,,,"가볍게 한잔하고 싶던 그 순간, 저희 당나발포차를 발견해주셔서 정말 감사드립니다. 부담 없이 들러 추억의 선곡과 함께 즐기는 한 잔, 그 속에서 음식 맛까지 좋게 느껴주셨다니 저희로선 더없이 기쁜 마음이에요. 고온 직화로 구워낸 불맛 안주들이 술맛을 더욱 살려드렸을 거라 믿습니다! 편안하게 들를 수 있는 포차, 다시 찾고 싶은 공간으로 기억되셨길 바라며 다음 방문 땐 또 다른 메뉴의 매력도 듬뿍 느껴보세요."
1065705791,당나발포차 건대점,,,"가볍게 한잔하고 싶던 그 순간, 저희 당나발포차를 발견해주셔서 정말 감사드립니다. 부담 없이 들러 추억의 선곡과 함께 즐기는 한 잔, 그 속에서 음식 맛까지 좋게 느껴주셨다니 저희로선 더없이 기쁜 마음이에요. 고온 직화로 구워낸 불맛 안주들이 술맛을 더욱 살려드렸을 거라 믿습니다! 편안하게 들를 수 있는 포차, 다시 찾고 싶은 공간으로 기억되셨길 바라며 다음 방문 땐 또 다른 메뉴의 매력도 듬뿍 느껴보세요."
1065705791,당나발포차 건대점,,,"가볍게 한잔하고 싶던 그 순간, 저희 당나발포차를 발견해주셔서 정말 감사드립니다. 부담 없이 들러 추억의 선곡과 함께 즐기는 한 잔, 그 속에서 음식 맛까지 좋게 느껴주셨다니 저희로선 더없이 기쁜 마음이에요. 고온 직화로 구워낸 불맛 안주들이 술맛을 더욱 살려드렸을 거라 믿습니다! 편안하게 들를 수 있는 포차, 다시 찾고 싶은 공간으로 기억되셨길 바라며 다음 방문 땐 또 다른 메뉴의 매력도 듬뿍 느껴보세요."
1065705791,당나발포차 건대점,,,간편하게 먹기에도 식사겸 먹기에도 여기만한 곳이 없죠!
1065705791,당나발포차 건대점,,,간편하게 먹기에도 식사겸 먹기에도 여기만한 곳이 없죠!
1065705791,당나발포차 건대점,,,건대 술집으로 추천해요~~~ 오늘 처음 와봤는데 좋네여❤️❤️다음에 또 방문 예정입니다!!!🤍🤍🤍🤍👍🏻👍🏻👍🏻
1065705791,당나발포차 건대점,,,건대 술집으로 추천해요~~~ 오늘 처음 와봤는데 좋네여❤️❤️다음에 또 방문 예정입니다!!!🤍🤍🤍🤍👍🏻👍🏻👍🏻
1065705791,당나발포차 건대점,,,"고객님, 안녕하세요! 방문해주신 당나발포차입니다 :) 벌써 두 번째 방문이라니, 다시 찾아주신 것만으로도 정말 감사한데 이렇게 따뜻한 후기까지 남겨주시다니 감동입니다. 서비스와 정성, 그리고 가성비 좋은 맛까지 모두 만족해주셔서 정말 뿌듯해요! 앞으로 더 자주 오시겠다는 말씀에 책임감도 더 커지네요. 항상 기분 좋게 머물다 가실 수 있도록 더 열심히 준비하겠습니다. 선선한 바람이 불어오는 요즘 같은 날, 또 한 번의 즐거운 시간 보내고 싶을 땐 언제든 당나발로 놀러 오세요! 기다리고 있겠습니다 :)"
1065705791,당나발포차 건대점,,,"고객님, 안녕하세요! 방문해주신 당나발포차입니다 :) 벌써 두 번째 방문이라니, 다시 찾아주신 것만으로도 정말 감사한데 이렇게 따뜻한 후기까지 남겨주시다니 감동입니다. 서비스와 정성, 그리고 가성비 좋은 맛까지 모두 만족해주셔서 정말 뿌듯해요! 앞으로 더 자주 오시겠다는 말씀에 책임감도 더 커지네요. 항상 기분 좋게 머물다 가실 수 있도록 더 열심히 준비하겠습니다. 선선한 바람이 불어오는 요즘 같은 날, 또 한 번의 즐거운 시간 보내고 싶을 땐 언제든 당나발로 놀러 오세요! 기다리고 있겠습니다 :)"
1065705791,당나발포차 건대점,,,"고객님, 안녕하세요! 방문해주신 당나발포차입니다 :) 벌써 두 번째 방문이라니, 다시 찾아주신 것만으로도 정말 감사한데 이렇게 따뜻한 후기까지 남겨주시다니 감동입니다. 서비스와 정성, 그리고 가성비 좋은 맛까지 모두 만족해주셔서 정말 뿌듯해요! 앞으로 더 자주 오시겠다는 말씀에 책임감도 더 커지네요. 항상 기분 좋게 머물다 가실 수 있도록 더 열심히 준비하겠습니다. 선선한 바람이 불어오는 요즘 같은 날, 또 한 번의 즐거운 시간 보내고 싶을 땐 언제든 당나발로 놀러 오세요! 기다리고 있겠습니다 :)"
1065705791,당나발포차 건대점,,,"고객님, 안녕하세요! 방문해주신 당나발포차입니다 :) 오랜만에 친구분들과의 소중한 자리에 저희 매장을 선택해주셔서 진심으로 감사드려요. 분위기 좋다고 느껴주신 것도, 음식과 말차 생맥주까지 맛있게 즐겨주신 것도 정말 뿌듯합니다! 말차 생맥주는 처음 드셔보신 분들 대부분이 쌉싸름한 매력에 빠지시더라고요. 저희는 맛뿐만 아니라 가격도 만족스러울 수 있도록 늘 고민하고 있답니다. 오늘처럼 선선한 저녁엔 당나발의 불맛 안주와 말차 생맥 한 잔이 딱이죠! 다음에 또 찾아주시면 더 기분 좋은 시간 되실 수 있도록 준비해놓을게요 :)"
1065705791,당나발포차 건대점,,,"고객님, 안녕하세요! 방문해주신 당나발포차입니다 :) 오랜만에 친구분들과의 소중한 자리에 저희 매장을 선택해주셔서 진심으로 감사드려요. 분위기 좋다고 느껴주신 것도, 음식과 말차 생맥주까지 맛있게 즐겨주신 것도 정말 뿌듯합니다! 말차 생맥주는 처음 드셔보신 분들 대부분이 쌉싸름한 매력에 빠지시더라고요. 저희는 맛뿐만 아니라 가격도 만족스러울 수 있도록 늘 고민하고 있답니다. 오늘처럼 선선한 저녁엔 당나발의 불맛 안주와 말차 생맥 한 잔이 딱이죠! 다음에 또 찾아주시면 더 기분 좋은 시간 되실 수 있도록 준비해놓을게요 :)"
1065705791,당나발포차 건대점,,,"고객님, 안녕하세요! 방문해주신 당나발포차입니다 :) 음식 맛에 만족하셨다니 정말 기쁩니다! 친구분들과 분위기 좋게 즐기셨다니 저희도 보람을 느껴요. 당나발포차는 맛있는 안주와 불맛, 그리고 편안하고 힙한 분위기까지 모두 갖춘 공간이 되기 위해 늘 노력하고 있답니다. 오늘처럼 선선한 날, 다시 한 번 편하게 들러주시면 더 따뜻하게 맞이해드릴게요. 다음 만남도 꼭 저희와 함께해 주세요 :)"
1065705791,당나발포차 건대점,,,"고객님, 안녕하세요! 방문해주신 당나발포차입니다 :) 음식 맛에 만족하셨다니 정말 기쁩니다! 친구분들과 분위기 좋게 즐기셨다니 저희도 보람을 느껴요. 당나발포차는 맛있는 안주와 불맛, 그리고 편안하고 힙한 분위기까지 모두 갖춘 공간이 되기 위해 늘 노력하고 있답니다. 오늘처럼 선선한 날, 다시 한 번 편하게 들러주시면 더 따뜻하게 맞이해드릴게요. 다음 만남도 꼭 저희와 함께해 주세요 :)"
1065705791,당나발포차 건대점,,,"고객님, 안녕하세요! 방문해주신 당나발포차입니다 :) 직화불고기와 왕돈까스를 다 맛있게 드셔주시다니, 입맛이 정말 확실하신데요! 600℃ 직화로 구워내 깊은 불향이 살아있는 불고기와, 겉바속촉에 두툼함까지 자랑하는 왕돈까스는 저희 당나발에서도 자랑하는 인기 메뉴들이랍니다. 추천까지 해주셔서 감사드리고, 그 진심이 다른 분들께도 전해질 것 같아 정말 뿌듯합니다. 날씨가 점점 선선해지고 있어요. 따뜻한 안주와 함께 다시 한 번 찾아주시면 더 맛있고 정성 가득한 시간으로 보답드릴게요!"
