가게ID,가게명,평점,날짜,리뷰내용
1423143123,기념일 레스토랑 라뮤즈,,,#서울기념일레스토랑#서울분위기좋은레스토랑#서울생일맛집#건대브런치
1423143123,기념일 레스토랑 라뮤즈,,,#서울기념일레스토랑#서울분위기좋은레스토랑#서울생일맛집#건대브런치
1423143123,기념일 레스토랑 라뮤즈,,,기념일로 좋은 추억 만들고 싶으신 분들은 정~말 후회안하실거예요:) 리뷰 확인하신 분들은 무조건 예약하시길 바라는 마음으로 남겨요😎 예약과정에서부터 사장님께서 너무 친절하게 응대해주셔서 기분 좋았던 곳이었는데 도착해보니 생각보다 더 인테리어도 세련되고 음식까지 맛있었어요🧡 남자친구 생일이라 깜짝 레터링서비스와 연주까지 해주시는데 왜 제가 울컥하는거죠..😭ㅋㅋㅋ!! 서로 감동받아 넋놓고 연주감상했습니다^^ 워낙 입이 짧아 음식을 조금 남긴 게 아직까지도 후회스러워요ㅠ^ㅠㅋㅋㅋ 너무 맛있었어요!! 조만간 엄마랑 또 나들이 갈 계획입니다^^ 가게 분위기며 맛이며 또 친절하신 사장님 덕분에 너무너무 행복하고 좋은 추억 남겼습니다🙏
1423143123,기념일 레스토랑 라뮤즈,,,기념일로 좋은 추억 만들고 싶으신 분들은 정~말 후회안하실거예요:) 리뷰 확인하신 분들은 무조건 예약하시길 바라는 마음으로 남겨요😎 예약과정에서부터 사장님께서 너무 친절하게 응대해주셔서 기분 좋았던 곳이었는데 도착해보니 생각보다 더 인테리어도 세련되고 음식까지 맛있었어요🧡 남자친구 생일이라 깜짝 레터링서비스와 연주까지 해주시는데 왜 제가 울컥하는거죠..😭ㅋㅋㅋ!! 서로 감동받아 넋놓고 연주감상했습니다^^ 워낙 입이 짧아 음식을 조금 남긴 게 아직까지도 후회스러워요ㅠ^ㅠㅋㅋㅋ 너무 맛있었어요!! 조만간 엄마랑 또 나들이 갈 계획입니다^^ 가게 분위기며 맛이며 또 친절하신 사장님 덕분에 너무너무 행복하고 좋은 추억 남겼습니다🙏
1423143123,기념일 레스토랑 라뮤즈,,,레터링 플레이트와 멋지게 들려주신 축하연주 덕분에 와이프한테 칭찬 많이 받았네요^^
1423143123,기념일 레스토랑 라뮤즈,,,레터링 플레이트와 멋지게 들려주신 축하연주 덕분에 와이프한테 칭찬 많이 받았네요^^
1423143123,기념일 레스토랑 라뮤즈,,,맛잇고 사장님이 친절해요!라이브 콘서트 웅장하고 너무좋아요 ㅎㅎㅎ생일축하 연주 요청드렷는데 너무 좋앗대요!!!
1423143123,기념일 레스토랑 라뮤즈,,,맛잇고 사장님이 친절해요!라이브 콘서트 웅장하고 너무좋아요 ㅎㅎㅎ생일축하 연주 요청드렷는데 너무 좋앗대요!!!
1423143123,기념일 레스토랑 라뮤즈,,,부모님 결혼기념일에 대신 예약했는데 사장님께서 정말 세심하게 챙겨주신것 같네요. 틈틈이 메세지로 알려주시고 센스가 넘치십니다 ㅎㅎ
1423143123,기념일 레스토랑 라뮤즈,,,부모님 결혼기념일에 대신 예약했는데 사장님께서 정말 세심하게 챙겨주신것 같네요. 틈틈이 메세지로 알려주시고 센스가 넘치십니다 ㅎㅎ
