가게ID,가게명,평점,날짜,리뷰내용
1959318590,237화로,,,고기 정말 맛있었구요 같이 주는 소스도 너무 취향 저격이었습니다! 다음에 꼭 다시 올거에요!
1959318590,237화로,,,고기 정말 맛있었구요 같이 주는 소스도 너무 취향 저격이었습니다! 다음에 꼭 다시 올거에요!
1959318590,237화로,,,고기 정말 맛있었구요 같이 주는 소스도 너무 취향 저격이었습니다! 다음에 꼭 다시 올거에요!
1959318590,237화로,,,고기 질도 너무 좋고 화로에 직접 구워먹을 수 있어서 좋았어요!
1959318590,237화로,,,고기 질도 너무 좋고 화로에 직접 구워먹을 수 있어서 좋았어요!
1959318590,237화로,,,고기 질도 너무 좋고 화로에 직접 구워먹을 수 있어서 좋았어요!
1959318590,237화로,,,고기국수에 고기가 듬뿍 들어 있어요 국물도 사골국물에 통통한 국수면에 고기까지 같이 먹으니 행복한 점심시간을 보내고 왔어요 한방 삼겹수육도 부드러워서
1959318590,237화로,,,고기국수에 고기가 듬뿍 들어 있어요 국물도 사골국물에 통통한 국수면에 고기까지 같이 먹으니 행복한 점심시간을 보내고 왔어요 한방 삼겹수육도 부드러워서
1959318590,237화로,,,고기도 너무 맛있고 사장님도 너무 친절하세요 서비스도 팍팍 주시고 잊지 못할 추억 만들고 갑니다 생맥주 좋아하는데 생맥주도 맛있네요 사장님 부자 되세요❤️
1959318590,237화로,,,고기도 너무 맛있고 사장님도 너무 친절하세요 서비스도 팍팍 주시고 잊지 못할 추억 만들고 갑니다 생맥주 좋아하는데 생맥주도 맛있네요 사장님 부자 되세요❤️
1959318590,237화로,,,고기도 너무 맛있고 사장님도 너무 친절하세요 서비스도 팍팍 주시고 잊지 못할 추억 만들고 갑니다 생맥주 좋아하는데 생맥주도 맛있네요 사장님 부자 되세요❤️
1959318590,237화로,,,고기에 진심이 사장님을 만나서 반갑습니다. 일단 여러가지부위를 신선하게 맛보게 해주셔서 감사합니다. 초반에 훈연향을 위하서 나무칩 추가부터 고기에 자부심이 느껴졌어요. 마무리 시나몬 바나나 먹을때는 디저트까지 함께한 느낌이었어요. 여자친구도 만족해서 즐거운 한끼를 먹었습니다. 반찬도 맛났어용
1959318590,237화로,,,고기에 진심이 사장님을 만나서 반갑습니다. 일단 여러가지부위를 신선하게 맛보게 해주셔서 감사합니다. 초반에 훈연향을 위하서 나무칩 추가부터 고기에 자부심이 느껴졌어요. 마무리 시나몬 바나나 먹을때는 디저트까지 함께한 느낌이었어요. 여자친구도 만족해서 즐거운 한끼를 먹었습니다. 반찬도 맛났어용
1959318590,237화로,,,고기에 진심이 사장님을 만나서 반갑습니다. 일단 여러가지부위를 신선하게 맛보게 해주셔서 감사합니다. 초반에 훈연향을 위하서 나무칩 추가부터 고기에 자부심이 느껴졌어요. 마무리 시나몬 바나나 먹을때는 디저트까지 함께한 느낌이었어요. 여자친구도 만족해서 즐거운 한끼를 먹었습니다. 반찬도 맛났어용
1959318590,237화로,,,"깐깐한 남편도 재방문 의사를 강하게 표현했습니다 👍🏻 A 셋트, 샹그리아, 파스타를 먹었고 정말 다 맛있었어요. 유독 항정살에 마음을 강하게 빼앗겨서 다음번엔 항정살 위주로, 그리고 짜파구리도 먹어보고 싶어요. 잘먹었습니다."
1959318590,237화로,,,"깐깐한 남편도 재방문 의사를 강하게 표현했습니다 👍🏻 A 셋트, 샹그리아, 파스타를 먹었고 정말 다 맛있었어요. 유독 항정살에 마음을 강하게 빼앗겨서 다음번엔 항정살 위주로, 그리고 짜파구리도 먹어보고 싶어요. 잘먹었습니다."
1959318590,237화로,,,"깐깐한 남편도 재방문 의사를 강하게 표현했습니다 👍🏻 A 셋트, 샹그리아, 파스타를 먹었고 정말 다 맛있었어요. 유독 항정살에 마음을 강하게 빼앗겨서 다음번엔 항정살 위주로, 그리고 짜파구리도 먹어보고 싶어요. 잘먹었습니다."
1959318590,237화로,,,꼬기 먹으러가서 이렇게 기분이 좋아져두 되는건가용.. ? 반찬3종 진짜 집에 싸오고 싶을정두로 맛있고 고기두.. 체고입니당.. 마지막 히든🍌🍷까지
1959318590,237화로,,,꼬기 먹으러가서 이렇게 기분이 좋아져두 되는건가용.. ? 반찬3종 진짜 집에 싸오고 싶을정두로 맛있고 고기두.. 체고입니당.. 마지막 히든🍌🍷까지
1959318590,237화로,,,꼬기 먹으러가서 이렇게 기분이 좋아져두 되는건가용.. ? 반찬3종 진짜 집에 싸오고 싶을정두로 맛있고 고기두.. 체고입니당.. 마지막 히든🍌🍷까지
1959318590,237화로,,,"남편이랑 데이트하다 우연히 들어갔는데, 너무 만족스러워서 후기 남겨요. 고기의 질이 좋아서 구워서 입에 넣자마자 사르르 녹아 없어져요.세트메뉴의 야채 구성도 좋구요. 밑반찬도 집밥처럼 정갈하고 맛있어요.근데 또 사장님마저 친절하세요~사업철학도 있으셔서 1일10팀만 받는데 제가 그 마지막 행운을~^^바나나도 구워먹고 서비스로 직접 만든 샹그리아도 주셨는데 눈이 번쩍 뜨이게 맛있었어요. 전 지방러인데 서울 가면 다시 또 가고싶어요~"
1959318590,237화로,,,"남편이랑 데이트하다 우연히 들어갔는데, 너무 만족스러워서 후기 남겨요. 고기의 질이 좋아서 구워서 입에 넣자마자 사르르 녹아 없어져요.세트메뉴의 야채 구성도 좋구요. 밑반찬도 집밥처럼 정갈하고 맛있어요.근데 또 사장님마저 친절하세요~사업철학도 있으셔서 1일10팀만 받는데 제가 그 마지막 행운을~^^바나나도 구워먹고 서비스로 직접 만든 샹그리아도 주셨는데 눈이 번쩍 뜨이게 맛있었어요. 전 지방러인데 서울 가면 다시 또 가고싶어요~"
1959318590,237화로,,,"남편이랑 데이트하다 우연히 들어갔는데, 너무 만족스러워서 후기 남겨요. 고기의 질이 좋아서 구워서 입에 넣자마자 사르르 녹아 없어져요.세트메뉴의 야채 구성도 좋구요. 밑반찬도 집밥처럼 정갈하고 맛있어요.근데 또 사장님마저 친절하세요~사업철학도 있으셔서 1일10팀만 받는데 제가 그 마지막 행운을~^^바나나도 구워먹고 서비스로 직접 만든 샹그리아도 주셨는데 눈이 번쩍 뜨이게 맛있었어요. 전 지방러인데 서울 가면 다시 또 가고싶어요~"
1959318590,237화로,,,머 먹을지 모르겠을 땐 세트시키세욥! 다양하게 먹을 수 있고 양 많습니다!
1959318590,237화로,,,머 먹을지 모르겠을 땐 세트시키세욥! 다양하게 먹을 수 있고 양 많습니다!
1959318590,237화로,,,머 먹을지 모르겠을 땐 세트시키세욥! 다양하게 먹을 수 있고 양 많습니다!
1959318590,237화로,,,몇달전에 남자친구랑 먹고 너무 좋았던 기억이있어서 리모델링하고 재방문 했는데 여전히 고기가 부드럽고 맛있더라구용 사장님이 서비스를 정말 많이 주셨어요!! 샹그리아가 달달하니 고기랑 잘어울렸고 비가와서 파전도 주셨는데 맛있었어요..!🥰 마약옥수수에 그릴바나나도 주시구 다먹은후에는 후식으로 카라멜맛 쌍쌍바를 주셨는데 에피타이저에서 후식까지 챙겨주셔서 코스요리집 온 기분이였어요ㅎㅎ 사장님걱정될정도로 서비스를 많이 주셨어요..! 사장님과 직원분 너무 친절하셔서 기분좋게 식사했어용 주변사람들한테 다 추천해주고싶어요!! 요즘 잘 볼수없는 곳이라 잘되셔서 앞으로도 계속 오고싶어요!
1959318590,237화로,,,몇달전에 남자친구랑 먹고 너무 좋았던 기억이있어서 리모델링하고 재방문 했는데 여전히 고기가 부드럽고 맛있더라구용 사장님이 서비스를 정말 많이 주셨어요!! 샹그리아가 달달하니 고기랑 잘어울렸고 비가와서 파전도 주셨는데 맛있었어요..!🥰 마약옥수수에 그릴바나나도 주시구 다먹은후에는 후식으로 카라멜맛 쌍쌍바를 주셨는데 에피타이저에서 후식까지 챙겨주셔서 코스요리집 온 기분이였어요ㅎㅎ 사장님걱정될정도로 서비스를 많이 주셨어요..! 사장님과 직원분 너무 친절하셔서 기분좋게 식사했어용 주변사람들한테 다 추천해주고싶어요!! 요즘 잘 볼수없는 곳이라 잘되셔서 앞으로도 계속 오고싶어요!
