가게ID,가게명,평점,날짜,리뷰내용
35372377,EverythingButTheHero카페,,,The coffee was awesome 🔥✨💃🏻 the place is good to work or study as well as to talk! Really liked it ~
35372377,EverythingButTheHero카페,,,가겨은 조금 비싸지만 내부 인테리어도 좋고 창가 뷰도 좋고 넓어서 자리가 잘 되어 있어서 단체로 가기 좋은 카페였습니다.
35372377,EverythingButTheHero카페,,,"가격이 비싼편이지만 맛은 괜찮아요 (라떼 8,000원)"
35372377,EverythingButTheHero카페,,,내부 인테리어가 멋져요👍 커피두 너무 맛있고 평일 낮시간 조용하게 잘 있다가 갑니자
35372377,EverythingButTheHero카페,,,덕분에 조용히 커피한잔과 크로칸슈를 맛보는 시간도 가졌다
35372377,EverythingButTheHero카페,,,로스터리 카페라 원두향이 매장에 은은하게 퍼져 좋았던 곳
35372377,EverythingButTheHero카페,,,모카는 조금 아쉬웠고 다른건 다 괜찮았어요
35372377,EverythingButTheHero카페,,,분위기 좋고 커피도 맛있어욤~~^^ 수다삼매경에 바스크치즈케이크는 완전 꿀맛이여욤~~
35372377,EverythingButTheHero카페,,,일주일에 한번 가지만 직원분들이 강아지 알아봐주시고 이뻐해주심
35372377,EverythingButTheHero카페,,,저녁에 방문예약 없이 이용대기 시간 바로 입장데이트연인・배우자
35372377,EverythingButTheHero카페,,,저녁에 방문예약 없이 이용대기 시간 바로 입장일상지인・동료
35372377,EverythingButTheHero카페,,,저녁에 방문예약 없이 이용대기 시간 바로 입장일상혼자
35372377,EverythingButTheHero카페,,,"저녁에 방문예약 없이 이용대기 시간 바로 입장친목, 나들이연인・배우자"
35372377,EverythingButTheHero카페,,,"저녁에 방문예약 후 이용대기 시간 바로 입장일상, 기념일친구"
35372377,EverythingButTheHero카페,,,점심에 방문예약 없이 이용대기 시간 바로 입장데이트연인・배우자
35372377,EverythingButTheHero카페,,,점심에 방문예약 없이 이용대기 시간 바로 입장일상반려동물
35372377,EverythingButTheHero카페,,,점심에 방문예약 없이 이용대기 시간 바로 입장일상반려동물
35372377,EverythingButTheHero카페,,,"점심에 방문예약 없이 이용대기 시간 바로 입장일상혼자, 반려동물"
35372377,EverythingButTheHero카페,,,점심에 방문예약 없이 이용대기 시간 바로 입장친목지인・동료
35372377,EverythingButTheHero카페,,,점심에 방문예약 없이 이용대기 시간 바로 입장친목지인・동료
35372377,EverythingButTheHero카페,,,점심에 방문예약 없이 이용대기 시간 바로 입장친목친구
35372377,EverythingButTheHero카페,,,점심에 방문포장·배달 이용대기 시간 바로 입장일상혼자
35372377,EverythingButTheHero카페,,,정말 오랜만에 갔는데 여전히 변하지 않고 있어 좋았어요. 공간이 넓은 편이라 한적하게 이야기하기 좋았어요. 라떼도 꼬소하니 맛있네요.
35372377,EverythingButTheHero카페,,,주말에 일 때문에 근처 갔다가 아지랑 산책하고 쉬러 가는 카페
35372377,EverythingButTheHero카페,,,창문만 깨끗했다면 더욱 좋았겠지만 뷰가 너무 좋고 좌석이 편안했어요!
35372377,EverythingButTheHero카페,,,커피 산미와 고소함이 적절하고 오일리함도 적당히 있어서 로스터리카페라 더 맛있더라구요. 원두가 탐났어요~ 아쉽게 배불러서 디저트를 못 먹었는데 또 갈거예요 ^^ 요즘처럼 더운날이지만 카페 들어오자마자 더위를 잊을만큼 엄청 시원하구요~ 공간이 넓어 독립적이고 여럿이서 와도 시끄럽지 않게 대화할 수 있겠어요. 카페가 너무 예뻐요!💜💜💜🩵🩵🩵♥️♥️♥️
35372377,EverythingButTheHero카페,,,토요일이면 남산공원에서 산책하고 가는 맛있는 커피와 디저트가 있는곳
35372377,EverythingButTheHero카페,,,평일 방문 했는데 조용하고 아늑해서 좋았습니다:) 주차는 안돼서 근처 공용주차장 사용했습니다~
1908080026,레인리포트 경리단,,,"그러나 모든 걸 감안하더라도 가격대는 확실히 비쌌습니다. 특히 베이커리류가 그러했는데, 13,000원이란 금액은 여러 생각을 자아내더군요. 여담으로 촛불 붙히는 데 성냥은 여간 불편한 게 아니었습니다. 감성은 다소 바래겠지만 가스 점화기가 낫지 않나 싶네요."
1908080026,레인리포트 경리단,,,"그러나 모든 걸 감안하더라도 가격대는 확실히 비쌌습니다. 특히 베이커리류가 그러했는데, 13,000원이란 금액은 여러 생각을 자아내더군요. 여담으로 촛불 붙히는 데 성냥은 여간 불편한 게 아니었습니다. 감성은 다소 바래겠지만 가스 점화기가 낫지 않나 싶네요."
1908080026,레인리포트 경리단,,,"그러나 모든 걸 감안하더라도 가격대는 확실히 비쌌습니다. 특히 베이커리류가 그러했는데, 13,000원이란 금액은 여러 생각을 자아내더군요. 여담으로 촛불 붙히는 데 성냥은 여간 불편한 게 아니었습니다. 감성은 다소 바래겠지만 가스 점화기가 낫지 않나 싶네요."
1908080026,레인리포트 경리단,,,"그러나 모든 걸 감안하더라도 가격대는 확실히 비쌌습니다. 특히 베이커리류가 그러했는데, 13,000원이란 금액은 여러 생각을 자아내더군요. 여담으로 촛불 붙히는 데 성냥은 여간 불편한 게 아니었습니다. 감성은 다소 바래겠지만 가스 점화기가 낫지 않나 싶네요."
1908080026,레인리포트 경리단,,,디저트 구입하면 아웃도어 럭키드로우 행사도 참여 가능해요 ~7/21까지! 맛있는 커피와 디저트 드시고 럭키드로우로 아웃도어 제품도 득템하세요!!
1908080026,레인리포트 경리단,,,디저트 구입하면 아웃도어 럭키드로우 행사도 참여 가능해요 ~7/21까지! 맛있는 커피와 디저트 드시고 럭키드로우로 아웃도어 제품도 득템하세요!!
1908080026,레인리포트 경리단,,,디저트는 플레이트는 이뻤지만 맛은 평범.. 커피는 정말 맛있고 공간자체에서 힐링되는 느낌이 있다 ㅎㅎ
1908080026,레인리포트 경리단,,,디저트는 플레이트는 이뻤지만 맛은 평범.. 커피는 정말 맛있고 공간자체에서 힐링되는 느낌이 있다 ㅎㅎ
1908080026,레인리포트 경리단,,,디저트는 플레이트는 이뻤지만 맛은 평범.. 커피는 정말 맛있고 공간자체에서 힐링되는 느낌이 있다 ㅎㅎ
1908080026,레인리포트 경리단,,,디저트도 뭐 먹을지 모를땐 하나씩 다 먹어보는 플레이트 추천드립니다! 너무 달지 않아서 오히려 더 맛있어요✨
1908080026,레인리포트 경리단,,,디저트도 뭐 먹을지 모를땐 하나씩 다 먹어보는 플레이트 추천드립니다! 너무 달지 않아서 오히려 더 맛있어요✨
1908080026,레인리포트 경리단,,,디저트도 뭐 먹을지 모를땐 하나씩 다 먹어보는 플레이트 추천드립니다! 너무 달지 않아서 오히려 더 맛있어요✨
1908080026,레인리포트 경리단,,,"라떼아트도 넘 예쁘구여, 흑임자라떼랑 카페라떼 둘 다 넘 맛있더라구요~"
1908080026,레인리포트 경리단,,,"라떼아트도 넘 예쁘구여, 흑임자라떼랑 카페라떼 둘 다 넘 맛있더라구요~"
1908080026,레인리포트 경리단,,,바깥에도 안에도 비오는 듯한 분위기 연출이 독특해요 음료는 핑크 클라우드 주스 입니다
1908080026,레인리포트 경리단,,,바깥에도 안에도 비오는 듯한 분위기 연출이 독특해요 음료는 핑크 클라우드 주스 입니다
1908080026,레인리포트 경리단,,,바깥에도 안에도 비오는 듯한 분위기 연출이 독특해요 음료는 핑크 클라우드 주스 입니다
1908080026,레인리포트 경리단,,,밝고 화창한 날에도 비오는 기분을 느낄 수 있어요. 통유리 밖으로 계속 비가 내리고 빗소리가 너무 편안하게 들리네요. 외국인들이 거의 대부분이라 외국에 온 듯한 느낌도 들어요.
1908080026,레인리포트 경리단,,,밝고 화창한 날에도 비오는 기분을 느낄 수 있어요. 통유리 밖으로 계속 비가 내리고 빗소리가 너무 편안하게 들리네요. 외국인들이 거의 대부분이라 외국에 온 듯한 느낌도 들어요.
1908080026,레인리포트 경리단,,,밝고 화창한 날에도 비오는 기분을 느낄 수 있어요. 통유리 밖으로 계속 비가 내리고 빗소리가 너무 편안하게 들리네요. 외국인들이 거의 대부분이라 외국에 온 듯한 느낌도 들어요.
1908080026,레인리포트 경리단,,,분위기 독특하고 짱 멋있네요! 컨셉 너무 좋아요. 눈 뿌려지는거 구경할 수 있고... 자리가 너무 편안한지 2층에 주무시는 분들이 많더라고요.
1908080026,레인리포트 경리단,,,분위기 독특하고 짱 멋있네요! 컨셉 너무 좋아요. 눈 뿌려지는거 구경할 수 있고... 자리가 너무 편안한지 2층에 주무시는 분들이 많더라고요.
1908080026,레인리포트 경리단,,,분위기 독특하고 짱 멋있네요! 컨셉 너무 좋아요. 눈 뿌려지는거 구경할 수 있고... 자리가 너무 편안한지 2층에 주무시는 분들이 많더라고요.
1908080026,레인리포트 경리단,,,분위기 독특하고 짱 멋있네요! 컨셉 너무 좋아요. 눈 뿌려지는거 구경할 수 있고... 자리가 너무 편안한지 2층에 주무시는 분들이 많더라고요.
1908080026,레인리포트 경리단,,,분위기 좋고 디저트랑 에이드도 맛있고 직원분들 친절해여 지금 vov랑 콜라보레이션 이벤트도 넘 맘에 들어요🍒
1908080026,레인리포트 경리단,,,분위기 좋고 디저트랑 에이드도 맛있고 직원분들 친절해여 지금 vov랑 콜라보레이션 이벤트도 넘 맘에 들어요🍒
1908080026,레인리포트 경리단,,,분위기가 너무 좋고 이색있는 카페였습니다. 외국인들이 정말 많았습니다.
1908080026,레인리포트 경리단,,,분위기가 너무 좋고 이색있는 카페였습니다. 외국인들이 정말 많았습니다.
1908080026,레인리포트 경리단,,,분위기가 너무 좋고 이색있는 카페였습니다. 외국인들이 정말 많았습니다.
1908080026,레인리포트 경리단,,,분위기가 너무 좋고 이색있는 카페였습니다. 외국인들이 정말 많았습니다.
1908080026,레인리포트 경리단,,,뷰 좋은데 좌석이 앉아있기 넘 불편해요..딱딱하고 등받이없는 의자... 대화하기도 목 아픔...ㅠㅠ
1908080026,레인리포트 경리단,,,뷰 좋은데 좌석이 앉아있기 넘 불편해요..딱딱하고 등받이없는 의자... 대화하기도 목 아픔...ㅠㅠ
1908080026,레인리포트 경리단,,,뷰 좋은데 좌석이 앉아있기 넘 불편해요..딱딱하고 등받이없는 의자... 대화하기도 목 아픔...ㅠㅠ
1908080026,레인리포트 경리단,,,비가 내리는건 보지 못했지만 간헐적으로 창밖으로 거품?눈? 을 뿌렸다. 때문에 1층 창이 매우 깨끗하지 않아보이는 단점이 있었다.
1908080026,레인리포트 경리단,,,비가 내리는건 보지 못했지만 간헐적으로 창밖으로 거품?눈? 을 뿌렸다. 때문에 1층 창이 매우 깨끗하지 않아보이는 단점이 있었다.
1908080026,레인리포트 경리단,,,비가 내리는건 보지 못했지만 간헐적으로 창밖으로 거품?눈? 을 뿌렸다. 때문에 1층 창이 매우 깨끗하지 않아보이는 단점이 있었다.
1908080026,레인리포트 경리단,,,비가 내리는건 보지 못했지만 간헐적으로 창밖으로 거품?눈? 을 뿌렸다. 때문에 1층 창이 매우 깨끗하지 않아보이는 단점이 있었다.
1908080026,레인리포트 경리단,,,"비내리는 카페, 2층에 은근히 앉을 자리 많다. 편하게 여러명 앉으려면 2층 올라가는 것을 추천. 디저트도 맛있고 예쁘다. 음료도 독특하지만 맛있는 곳. 화장실도 잘 되어 있다. 더운 여름이나 추운 겨울에는 버스타고 가기. 경사가 가팔라 걸어가긴 힘들다. 밖에 정원에 계속 비가 온다. 살짝 그쳤다가 계속 비가 내리기를 반복. 우산을 쓰고 사진 많이 찍는 듯 했다. 외국인이 많이 찾는 카페."
