가게ID,가게명,평점,날짜,리뷰내용
37994068,레드브릭 비스트로,,,가게 분위기랑 음식맛은 좋은데 서비스가 좀 아쉬웠음
37994068,레드브릭 비스트로,,,가게 분위기랑 음식맛은 좋은데 서비스가 좀 아쉬웠음
37994068,레드브릭 비스트로,,,가게 분위기랑 음식맛은 좋은데 서비스가 좀 아쉬웠음
37994068,레드브릭 비스트로,,,감사합니다. 저희가 가장 중요하게 생각하는게 편하게 대화하면서 식사를 즐기시는 것입니당^^
37994068,레드브릭 비스트로,,,강남갔다가 집들어가는길에 오랜만에 이태원가서 밥먹고가자해서 들렸습니다~급하게찾아보고 간거여서 반신반의하며갔지만 아이랑 저랑 남편 셋이 세트요리 하나도남김없이 너무잘먹고왔어요!!!음식도너무맛있고 진짜 이태원가면또가고싶은맛이에요~그리고 너무 친절하신 직원분 사장님~~주말이른저녁너무잘먹고갑니다ㅎㅎ행복한연말보내세요 ~최고!!!!!!
37994068,레드브릭 비스트로,,,강남갔다가 집들어가는길에 오랜만에 이태원가서 밥먹고가자해서 들렸습니다~급하게찾아보고 간거여서 반신반의하며갔지만 아이랑 저랑 남편 셋이 세트요리 하나도남김없이 너무잘먹고왔어요!!!음식도너무맛있고 진짜 이태원가면또가고싶은맛이에요~그리고 너무 친절하신 직원분 사장님~~주말이른저녁너무잘먹고갑니다ㅎㅎ행복한연말보내세요 ~최고!!!!!!
37994068,레드브릭 비스트로,,,그리고 레몬 나무도 직접 키우신다고 하네요 !! 피자랑 뇨끼도 너무 맛있게 먹었습니다🙂👍🏻 재방문 하려고요!
37994068,레드브릭 비스트로,,,그리고 레몬 나무도 직접 키우신다고 하네요 !! 피자랑 뇨끼도 너무 맛있게 먹었습니다🙂👍🏻 재방문 하려고요!
37994068,레드브릭 비스트로,,,뇨끼를 먹어보고싶어서 갔는데 다른 음식을 다 먹고 난 뒤 마지막으로 먹어서 배가 부른채로 먹었더니 다 못 먹었어요ㅠ 처음에 먹었으면 더 맛있게 먹을 수 있었는데ㅠㅠ 그래도 진짜 맛있었어요! 재방문의사 있습니다
37994068,레드브릭 비스트로,,,"딸아이랑 간만에 데이트. 식사 만족, 직원분도 친절하시고 대체적으로 만족이에요. 레몬테라스 예약해서 갔는데 기냥 홀이 더 좋아 보였어요 (제기준으로) 그래도 딸이랑 좋은 점심 했습니다."
37994068,레드브릭 비스트로,,,"딸아이랑 간만에 데이트. 식사 만족, 직원분도 친절하시고 대체적으로 만족이에요. 레몬테라스 예약해서 갔는데 기냥 홀이 더 좋아 보였어요 (제기준으로) 그래도 딸이랑 좋은 점심 했습니다."
37994068,레드브릭 비스트로,,,레드브릭 코스로먹었는데 맛도괜찬 가성비도 갠찬!! 그리구 사장님두 넘나리 친절하십니당^_^!! 자리도 테라스 옥상으로가면 분위기 넘 좋아욤 추천추천😃😃
37994068,레드브릭 비스트로,,,레드브릭 코스로먹었는데 맛도괜찬 가성비도 갠찬!! 그리구 사장님두 넘나리 친절하십니당^_^!! 자리도 테라스 옥상으로가면 분위기 넘 좋아욤 추천추천😃😃
37994068,레드브릭 비스트로,,,레몬테라스에서 밥 먹엇서요 밥먹다가 옆에 레몬나무에서 레몬떨어짐 ㅋㅋㅋ
37994068,레드브릭 비스트로,,,레몬테라스에서 밥 먹엇서요 밥먹다가 옆에 레몬나무에서 레몬떨어짐 ㅋㅋㅋ
37994068,레드브릭 비스트로,,,"리뷰 599사진 2,144팔로워 43테마 2"
37994068,레드브릭 비스트로,,,"리뷰 599사진 2,144팔로워 43테마 2"
37994068,레드브릭 비스트로,,,"모두들 친절하시고 분위기 아늑해요. 스파게티도 양 많고 맛도 너무 맛있었어요! 소스도, 면도 잘 하시는 것 같아요. 다음에 이태원에 가면 또 가고 싶어요!"
37994068,레드브릭 비스트로,,,"모두들 친절하시고 분위기 아늑해요. 스파게티도 양 많고 맛도 너무 맛있었어요! 소스도, 면도 잘 하시는 것 같아요. 다음에 이태원에 가면 또 가고 싶어요!"
37994068,레드브릭 비스트로,,,모임으로 장소가 편하고 코스요리 음식종류마다 다 맛있어요
37994068,레드브릭 비스트로,,,"방토, 치즈랑 바질패스토의 조합이 이렇게 새콤달콤하면서 상큼한줄이야ㅑㅑ 딱 제 취양인데 친구도 맛있다고 해서 대추천입니다!"
37994068,레드브릭 비스트로,,,"방토, 치즈랑 바질패스토의 조합이 이렇게 새콤달콤하면서 상큼한줄이야ㅑㅑ 딱 제 취양인데 친구도 맛있다고 해서 대추천입니다!"
