가게ID,가게명,평점,날짜,리뷰내용
2006756854,셰주크레페,,,걷다가 우연히 외관이 너무 예뻐서 들어왔는데 너무 좋았어요!! 직원분이 너무 친절하시고 매장도 깔끔해요! 무엇보다 카페 분위기랑 음악이 완벽💗 행복한 시간 보내고 갑니다! 종종 방문하고 싶어요!
2006756854,셰주크레페,,,"너무 예뻐서 카페인 줄 모르고 지나쳤어요 분위기 좋은 식당인 줄 알았는데 카페더라구요 사장님, 직원분들 다 친절하시고 분위기도 좋고 너무 만족스러웠어요 ㅎㅎ심지어 bgm도 좋았어요!! 여기 오시면 레몬 크레페랑 누텔라 크레페 꼭 드셔보세요❤️"
2006756854,셰주크레페,,,너무 친절한 직원분과 감각적인 인테리어로 너무 편하게 있다가네요. 커피와 크레페도 너무 맛읶도 가격도 좋네요!
2006756854,셰주크레페,,,레몬 크레페가 참 맛있고 제스트 피즈 아 라 프레즈도 달달하고 맛있네요!! 사장님이랑 직원분들도 친절하세요! 음악도 좋고 분위기도 좋아서 혼자 와서 힐링하기 좋은 카페입니다🙂🙂
2006756854,셰주크레페,,,매장 분위기도 너무 좋고 녹사평 근처 놀러왔는데 크레페 전문점이고 보고 왔는데 바로 주문하자마자 구워주셔서 너무 맛있었어용 ㅎㅎㅎ
2006756854,셰주크레페,,,바닐라 루이보스티 맛있어요 리뷰쓰면 크레페 주십니다. 외국인 사장님 친절해요♡
2006756854,셰주크레페,,,사람많은 곳에 지쳐서 바로 들어왔는데 생각보다 분위기도 너무 좋고 사장님도 넘 친절해요ㅠㅠ
2006756854,셰주크레페,,,"사장님도 친절하시고, 간단히 와인한잔 하고 싶을때 오기 좋은 곳 같아요 술이랑 달달한 크레페 같이먹으면 쵝오.. ❣️"
2006756854,셰주크레페,,,오늘 들른 카페는 커피도 맛있었지만 크레페가 진짜 포인트였어요. 얇게 구운 크레페에 크림이 듬뿍 들어가 있는데도 전혀 느끼하지 않고 담백하게 마무리돼서 커피랑 잘 어울렸습니다. 특히 녹차 라떼랑 같이 먹으니 달콤쌉쌀한 조합이 딱이더라고요.
2006756854,셰주크레페,,,"오늘은 배가 불러서 크레페와 갈레트를 못먹었지만 담엔 꼭 주문해봐야겠어요.카페 메뉴부터 와인, 치즈 플레이트까지 있고 영업시간도 길어 낮에 와도 밤에 와도 좋고 혼자 or 데이트로 와도 좋을듯요. 저 바깥과 통하는 바좌석 담엔 꼭 앉고 싶네요 :)"
2006756854,셰주크레페,,,오렌지 주스랑 레몬에이드 그리고 레몬크레페를 먹었어요 정말 프레시하고 분위기도 좋고 맛있네요
2006756854,셰주크레페,,,와보고 싶었던 곳인데 계획도 없이 온 날 최고로 만족하고 가요!!!! 인테리어 너무 좋고 디저트도 너무 맛있어요 ㅠㅜㅜㅜㅜㅜ오열 ㅜㅜㅜㅜㅜㅜ 빠른시일내에 또 올거에요!!!!!!
2006756854,셰주크레페,,,와인바라 생각하고 퇴근길에 늘 그냥 지나쳤는데 휴무에 반려동물과 방문해봤어요 사장님 너무 친절하고 귀여우세요 러블리🥰🥰 강아지 물그릇도 챙겨주시고 갬동입니다용 흐엉엉
2006756854,셰주크레페,,,"우연히 지나가다가 들어왔는데 크레페도 너무 맛있구 오렌지주스도 넘 JMT,,,"
2006756854,셰주크레페,,,이태원 걷다가 분위기 좋아서 들어왔는데 외국인 사장님들도 너무 친절하시고 매장이 깔끔하고 너무 시원해요!!! 커피도 양 많고 산미 적당히 있고 맛있어요!! 추천합니다아 크레페도 쥰맛
2006756854,셰주크레페,,,인테리어도 너무 좋고 크레페랑 아이스크림 너무 맛있어요 :) 직원 분도 너무 친절 하세요!! 좋은 시간 보내다 갑니다🙂
2006756854,셰주크레페,,,인테리어도 모던하고 너무 예쁘고 커피도 맛있어요! 녹사평역 가까워서 좋고 대화하기도 좋아용~
2006756854,셰주크레페,,,저는 크림버섯과 선드라이토마토가 들어간 포레스티에? 를 먹었어요 고소하고 양송이버섯이 많이 들어가 든든했어요
2006756854,셰주크레페,,,"적당한 조명과 인테리어, 마음이 부드러워지는 공간이었어요.(노래는 좀 더 프렌치 노래여도 좋겠음..) 라브루통 먹었는데 가볍게 배채우기에 좋았고, 갈레트의 햄과 겉 피가 고소하니 맛있었어요! 홈메이드 레몬에이드도 너무 깔끔하고 맛있음! 가격이 좀 있지만 너무 붐비지 않으면서도 늦게까지 해서 혼자 술안마시고 책읽고 시간보내기에 좋은 것 같아요♥️ 누텔라 크레페도 겉이 바삭바삭 맛있었어요"
2006756854,셰주크레페,,,점심에 방문예약 없이 이용대기 시간 바로 입장데이트연인・배우자
2006756854,셰주크레페,,,점심에 방문예약 없이 이용대기 시간 바로 입장일상친구
2006756854,셰주크레페,,,지나가다가 분위기가 너무 좋아서 들어왔어요. 따뜻한 조명 & 프라페 너무 좋은 조합이네요:) 맛있게 먹고 이야기 잘하다 갑니다💛
2006756854,셰주크레페,,,"진짜진짜 그리워하던 유럽식 크레페,,,,,, 너무너무 행복해요!! 근처 들를때마다 와서 거의 다섯번째 오는데... 올때마다 너무 맛있고 방금 추가해서 또먹어여 ㅋㅋㅋㅋ"
2006756854,셰주크레페,,,창가 자리가 멋져보여서 들어오게 되었는데 정말 친절하게 맞이해주셨어요! 평소 레몬 디저트 좋아하시는 분이면 레몬 크레페는 무조건 드셔보시길! 🍋 시원한 커피랑 조합이 아주 좋아요 >< 무엇보다 사장님이 정말 친절하십니다😊
2006756854,셰주크레페,,,친절하시고 좌석이나 분위기가 좋아서 즐겁게 먹고 갑니다:)
2006756854,셰주크레페,,,카페 딱 들어오자마자 좋은 향이 확 나요🫰🏻 인테리어도 깔끔에서 분위기가 넘 좋아요
2006756854,셰주크레페,,,커피 맛있어서 벌컥벌컥 마시다보니 커피가 너무 비었네요... 크레페도 레몬향이 상큼해서 맛있고 감자 베이스가 괜찮아서 식사용 크레페로도 괜찮을 것 같아요
2006756854,셰주크레페,,,커피도 크레페도 너무너무 맛있어요 인테리어도 멋지고 사장님도 직원분도 엄청 친절하시네요 자주 들를게요 회사근처에 이런 카페가 있어서 넘 행복하네요
2006756854,셰주크레페,,,크레페가 정말 맛있어요. 레몬 제스트 크레페를 추천드리는데 상큼하고 너무 달지 않아요. 카페도 밝고 직원분들도 친절해요~ ☺️🌼
1591800898,스타벅스 경리단길점,,,2층에 바테이블이 많아서 좋아요. 조용하고 깨끗한편이예요.
1591800898,스타벅스 경리단길점,,,"I ordered the Babka for the second time and still didn’t receive it, even though the app shows it as in stock. If I wanted scones, I would have ordered scones. If the item isn’t available, then don’t give people the option to order it. Just mark it as “sold out.” This is really frustrating."
1591800898,스타벅스 경리단길점,,,날씨가 더워지니 손님이 많아지는구나..
1591800898,스타벅스 경리단길점,,,똑같은 스벅이더라도 직원분이 친절하시더라구요 ㅎㅎ 덕분에 맛있게 먹었습니당
1591800898,스타벅스 경리단길점,,,라떼 마시고 디카페아메리도 한잔 더 함.
1591800898,스타벅스 경리단길점,,,아침에 방문예약 없이 이용대기 시간 바로 입장일상친척・형제
1591800898,스타벅스 경리단길점,,,아침에 방문예약 없이 이용대기 시간 바로 입장일상혼자
1591800898,스타벅스 경리단길점,,,아침에 방문예약 없이 이용대기 시간 바로 입장일상혼자
