가게ID,가게명,평점,날짜,리뷰내용
1125647880,uphill namsan,,,가족모임으로 예약후 방문했습니다 위치 찾기 좀 어려웠지만 이태원 구경하면서 가느라 가는길도 즐거웠어요. 실내 분위기도 좋고 음식도 맛있어서 부모님과 즐거운 식사자리 보냈습니다.
1125647880,uphill namsan,,,"기념일에 방문했는데 뷰도 좋고 음식도 맛있었어요. 뷰좋은곳들 음식맛 기대하기 힘든데,, 고수추가한 팟카프라오라이스랑 재료가 신선했던 바질페스토파스타 맛있게먹었습니다."
1125647880,uphill namsan,,,남산뷰 레스토랑 너무 좋아해서 생일날 남편이랑 반려견이랑 방문했는데 기대 이상으로 좋았어요 !! 뷰도 넘 예쁘고 조용하고 특히 트러플치즈파스타 너무 맛있어요~~ 나중에 저녁 시간쯤 가서 와인도 마셔보려구요 ^^
1125647880,uphill namsan,,,다이닝바에요! 주차는 안되서 근처 공영에 주차해야해요. 직원분 너무 친절하시고 특히 인테리어가 미쳤어요😀 테라스쪽 자리는 남산뷰가 엄청 이쁠꺼같아요ㅎㅎ 저흰 2차로 온거라 간단한 안주만 먹었는데 담엔 식사도 같이 하고싶어용ㅎㅎ
1125647880,uphill namsan,,,둘이서 메뉴 네개… 가격은 엄청났지만….
1125647880,uphill namsan,,,룸도 있어서 좋았어요! 남산이 잘 보이는 자린 아니였지만 개방감 있고 편안했습니다
1125647880,uphill namsan,,,맛있어요^^ 신랑이 파스타를 안 좋아하는데 여기 파스타 맛집입니다..진짜 맛있다고 합니다..저도 지금까지 파스타 중 최고입니다.
1125647880,uphill namsan,,,멋진 공간. 특히 뷰. 흠잡을 게 크게 없다. 그릇이 좀 더 멋지면 더 훌륭할듯!
1125647880,uphill namsan,,,메뉴 하나하나 신경쓴듯 맛있고 신선하고 친절하고 아주 기분좋은 식사였네요!
1125647880,uphill namsan,,,"미리 예약했더니 남산을 보고 앉는 자리를 내주셨다. 주문한 음식들은 템포가 맞게 계속 내주셨고, 다 맛있었는데 스테이크가 진짜 굿굿!! 치즈도 직접 만든건가 달랐다는.. 🫶🏻"
1125647880,uphill namsan,,,"뷰맛집으로 유명한 업힐남산, 뷰하나로 모든 것이 커버 될 수 있지만 음식 역시도 너무 맛있는 업힐 남산. 예약은 필수고 가족식사로도 충분, 하지만 주차가 어려운게 단점임"
1125647880,uphill namsan,,,술을 먹지않아서 시간대가 3시로 가야해서 좀 아쉬웠어요~
1125647880,uphill namsan,,,스테이크랑 프러플 파스타랑 정말 맛있어요! 감자튀김도 얇고 바삭해서 좋고 파스타 위에 올려놓은 버섯이랑도 정말 잘 어울리구요❤️
1125647880,uphill namsan,,,예약6시정각에감 바로 주문함 파스타2 스테이크 미디움레어로2주문 파스타 20분에 나오고 스테이크 50분에나옴 애초에 음식 나오는시간이 많이걸린다 양해를구했다면 음식 네개 한번에달라 요청하고여유가지고 기다렸을거임 여자넷 모임으로감 스테이크나오면 같이먹으려고 파스타 두개를 기미상궁마냥 맛만봄 다 식도록스테이크기다림 직원분께 음식거의 한시간가까운시간동안 안나온다항의함 그걸걸 한시간까진 안됐다고 받아치심 그리고바로 나온다고함 실제로 바로 스테이크를가져다주심 미디움 레어 두개를 시켰는데두개 굽기완전히다름 하나는타다키형태 완전 레어가오고 하난웰던나옴 심지어어디 찬바람한바퀴 굴리고 온건지다식어서 20만원이상을 소비하고 다식은음식을상한기분으로먹어야했음 다 다른지역에서 기대하고 온 모임이였음 막말로기분다잡침 파스타는먹을만함
1125647880,uphill namsan,,,"음식이 미리 늦게 나온다고 전달은 받았지만 스테이크가 1시간 이후 나왔을 때 직원분들도 미안하다는 기색도 전혀 없네요. 마지막에 컴플레인을 걸고 나서야 주방에서 나오신분이 사과해주시는데 처음부터 계속 기분만 안좋았고, 다른 직원분들의 태도도 별로인 것 같네요."
1125647880,uphill namsan,,,저녁에 방문예약 없이 이용대기 시간 바로 입장가족모임기타
1125647880,uphill namsan,,,저녁에 방문예약 없이 이용대기 시간 바로 입장나들이
1125647880,uphill namsan,,,"저녁에 방문예약 후 이용대기 시간 10분 이내 데이트친구, 지인・동료"
1125647880,uphill namsan,,,점심에 방문예약 후 이용대기 시간 바로 입장
1125647880,uphill namsan,,,점심에 방문예약 후 이용대기 시간 바로 입장가족모임아이
1125647880,uphill namsan,,,"점심에 방문예약 후 이용대기 시간 바로 입장가족모임연인・배우자, 부모님"
1125647880,uphill namsan,,,점심에 방문예약 후 이용대기 시간 바로 입장데이트연인・배우자
1125647880,uphill namsan,,,점심에 방문예약 후 이용대기 시간 바로 입장친목지인・동료
1125647880,uphill namsan,,,"점심에 방문예약 후 이용대기 시간 바로 입장친목친구, 지인・동료"
1125647880,uphill namsan,,,제 지인도 이렇게 모르고 갔다가 당황했다고 하네요..(이런거 확인 철저하게 하는 사람인데도 잘 안보니 끝까지 내려서 읽고 가세요~~)
1125647880,uphill namsan,,,"청첩장 모임 하려고 고심해서 뷰 좋고 음식 맛있는 곳 찾아 예약했는데 주문했던 스테이크가 나오는데 한시간 걸렸어요,,😢"
