가게ID,가게명,평점,날짜,리뷰내용
1904337795,모수 서울양식,,,https://m.blog.naver.com/taylor_is_me/223336586023
1904337795,모수 서울양식,,,가격이 살짝 높은 편이지만 충분히 방문해야할 이유는 있는 곳입니다
1904337795,모수 서울양식,,,"감히 평가할 수 없는 맛과 변태적인 테크니션, 스태프들 간의 동선 예약이 이젠 더 어려워졌지만 꼭 다시 방문 하고 싶은 곳이에요 👍🏻"
1904337795,모수 서울양식,,,과연 3스타에 걸맞는 신선하고 맛있는 코스였어요! 익숙한 재료를 새로운 음식으로 바꾸는 경험이 좋았어요. 우아한 공간에서 친절한 직원분들의 설명을 들을수 있어서 가치있는 시간이었어요.
1904337795,모수 서울양식,,,또다른 유명한 메뉴인 잉걸불에 태운 도토리국수는 현재 코스에 포함되어 있지 않으니 예약 시 참고해주세요..
1904337795,모수 서울양식,,,런치로 다녀왔고 페어링 했는데 음식은 음식대로 완벽했고 페어링도 상당히 좋았고 서비스도 완벽했습니다.
1904337795,모수 서울양식,,,"리뷰 1,348사진 4,226팔로워 176테마 10"
1904337795,모수 서울양식,,,"리뷰 1,967사진 2,548팔로워 178"
1904337795,모수 서울양식,,,"모수는 처음 방문이었고, 지인의 4인석 예약에 초대 받아 다녀왔습니다. 2층으로 안내를 받아서 1층의 안성재 셰프님이 주방에서 직접 요리하시는 것을 보지는 못했지만, 나갈 때 사진도 찍어주시고 해서 너무 좋았네요. 파인다이닝 경험이 많지 않아서 먹으면서 이리저리 생각해보면서 먹는게 재밌었습니다. 흰 건물과 녹색의 정원, 흰 접시와 갈색의 가구, 흰 옷의 셰프님들과 검은 옷의 서버분들. 이런 대비와 조화가 음식에도 있었습니다. 바삭한 김과 부드러운 감자샐러드와 관자, 바삭한 쌀과자와 부드러운 캐비어와 화이트 아스파라거스 같은. 그리고 음식 안에 향신료들이 작지만 튀는 맛을 냈습니다. 전복 타코의 시소, 넙치 구이의 방아, 참소라 튀김의 산초 같은. 맛있었던 것은 전복 타코. 인상적이었던 것은 제철 순무네요."
1904337795,모수 서울양식,,,모수의 음식을 경험한 날 최고의 저녁이었어요. 맛의 섬세함에 감동했습니다. 코스가 끝나갈 때쯤 아쉬운 마음을 달래준 잊지 못할 디저트 와인과 도토리 국수를 위해 다시 예약 도전합니다.
1904337795,모수 서울양식,,,미슐랭 3개는 다르네요 진짜 다 맛있어요ㅠㅠ 비싸지만 한번 가보셨으면 좋겠네요 힘들게 예약한 보람이 있어요 다시 오픈하시면 또 갈 것 같아요! 직원분들도 엄청 친절하셨어요!
1904337795,모수 서울양식,,,밀국수랑 양파대파디저트 그리고 메인으로 나오는 한우 옥수수솥밥이 가장 기억에 남아요 맛있게 잘 먹었습니다 비싸지만 가볼만한 가치가 있는 곳이었어요
1904337795,모수 서울양식,,,생일 기념으로 3개월전 예약해서갔는데 하나하나 너무나 감동적이고 훌륭한 요리들에 감동했습니다.
1904337795,모수 서울양식,,,생일기념디너로 방문했습니다. 음식도 너무 맛있고 예쁘고 직원분들도 친절하시고 좋았습니다 :)❤️
1904337795,모수 서울양식,,,서울에서 손꼽히는 레스토랑입니다. 자신있게 지인들에게 추천할 수 있습니다!
1904337795,모수 서울양식,,,순간적으로 잊게 해주었던 훌륭한 저녁이 아니었나 싶다.
1904337795,모수 서울양식,,,식사하러 간 친구랑 모두 만족한 점심이었어요
1904337795,모수 서울양식,,,예약이 어려운 모수.. 개인적으로 전복 안좋아하는데 카스테라처럼 부드러워서 정말 맛있게 먹었습니다. 특히 토종밀 국수는 아직도 생각나는 맛..! 직원분들도 너무너무 친절하셨습니다.
1904337795,모수 서울양식,,,"재오픈하여 2년만에 다시 방문한 모수. 더욱 멋진 공간, 더욱 맛있어진 음식에 시간의 방에 들어왔다 나간 것 처럼 홀린듯이 3시간 반이 그냥 흘러가버렸습니다. 맛의 디테일이 재료 하나하나부터 느껴지는 어디에서도 느껴보지 못한 세세한 맛을 느낄 수 있었고 정말 실시간으로 그릇에서 음식이 줄어드는게 아까울 지경이었습니다. 콜키지 비용도 SNS에서 말이 많지만.. 어차피 안가는 사람들이 떠드는거라 생각됩니다. 그 의미를 모르는… 업장 와인 가격들이 정말 잘나와서 페어링 코스없이 단품들로 주문했는데 선택하기 힘들 정도였습나다. 또 예약 성공하여 방문할 수 있기를 바랄 뿐 입니다."
1904337795,모수 서울양식,,,저녁에 방문예약 후 이용대기 시간 바로 입장가족모임기타
1904337795,모수 서울양식,,,저녁에 방문예약 후 이용대기 시간 바로 입장데이트연인・배우자
1904337795,모수 서울양식,,,점심에 방문예약 없이 이용대기 시간 바로 입장일상연인・배우자
1904337795,모수 서울양식,,,점심에 방문예약 후 이용대기 시간 바로 입장친목친구
1904337795,모수 서울양식,,,창의적인 메뉴들과 그에 걸맞는 와인페어링으로 마리아주가 갓벽했습니다. 정말 인생 메뉴였네요. 아직까지도 입안의 텍스쳐가 생생히 떠오릅니다.
1904337795,모수 서울양식,,,처음에 나오는 네가지 스몰디쉬부터 기대감을 크게 가질 수 있었던 맛이었습니다. 맛은 당연히 있었는데 처음에 너무 기대감을 크게 가지게 만드는 맛들로 정신없이 몰아치다보니 메인으로 갈수록 힘이 좀 빠지긴 합니다. 맛이 앖다기 보다는 점점 평범한 느낌이고 특히 메인은 너무 평범한 느낌을 받긴 했습니다. 그리고 중간에 접시에 손자국기름? 같은게 있었어서 약간 당황했지만 바로 새로 해주신 부분은 괜찮았지만 좀 아쉽기도 했습니다. 그렇지만 전반적으로 맛있게 먹었고 최근 다녀오셨던 분들 사진보니 메뉴가 계속 바뀌는것 같아서 다음에 또 방문히고 싶습니다
1904337795,모수 서울양식,,,초반부터 눈이 탁 트이는 맛도리 음식이 가득합니다. 우니와 스테이크는 좀 아쉬웠지만 도토리 국수는 정말 명불허전. 또 가고 싶네요.
1904337795,모수 서울양식,,,흑백요리사에 나왔던 도토리국수... 너무 맛있어요 😂
1904337795,모수 서울양식,,,흑백요리사에서 셰프님께서 본인의 요리에도 90점 밖에 안준다고 하셨는데 그게 이해 됩니다.
