가게ID,가게명,업종,평점,날짜,리뷰내용
1322183738,레몬그라스타이 마포점,똠얌꿍,,9.9,"모닝글로리볶음, 푸팟퐁커리, 팟타이 시켜먹었어요! 세명이서 갔는데 양이 엄청 많아서 배터지게 먹고 왔어요ㅎㅎ 음식 너무 맛있고 퀄리티도 좋아서 앞으로 태국음식 땡길때마다 오려구요!"
1322183738,레몬그라스타이 마포점,똠얌꿍,,9.8,저녁에 방문예약 후 이용대기 시간 바로 입장데이트연인・배우자
1322183738,레몬그라스타이 마포점,똠얌꿍,,9.7,여기는 태국 정부가 인증한 타이셀렉트로도 선정된 곳이고 실제 음식도 태국 쉐프님이 직접 요리해 주시기 때문에 태국의 맛이 그리우시다면 아묻따 고고 하시면 될 것 같아요~!
1322183738,레몬그라스타이 마포점,똠얌꿍,,9.6,"런치세트로 가성비 좋아요 팟타이, 뚬양꿍, 볶음밥 다 맛있어요 단골하려고 저장 했어요 남은 음식 포장도 잘 해주셨어요"
1322183738,레몬그라스타이 마포점,똠얌꿍,,9.6,저녁에 방문예약 없이 이용대기 시간 바로 입장데이트연인・배우자
1322183738,레몬그라스타이 마포점,똠얌꿍,,9.30,정말 맛있게 먹은 타이푸드집이에요!! 정갈하게 나오는것도 마음에 드는데 양도 푸짐하고 가격도 적당해서 아주 좋았습니다. 내부 분위기도 차분하고 넓직하니 여럿이서 모임으로 가기에도 손색없어 보였어요 ! 개인적으로는 나시고랭과 짜조가 저어어엉말 맛있었습니다 또 먹구싶네요 ㅜㅜ
1322183738,레몬그라스타이 마포점,똠얌꿍,,9.28,매장이 깨끗하고 태국 현지맛을 느낄수 있어서 넘 좋아요 ㅋㅋ 가격도 저렴해서 종종 점심식사로 이용하는 곳이에요. 데이트장소로도 방문해도 손색없을 정도로 깔끔하고 친절하세요. 저는 똠양 쌀국수랑 나시고랭을 강추해요
1322183738,레몬그라스타이 마포점,똠얌꿍,,9.27,깔끔하구 양 진짜 많고 너무너무 맛있어용!!!!! 미슐랭 출신 현지 쉐프님이라 그런지 더 믿음직 스럽고 완전 현지 맛이랑 똑같응거 같아요 👍👍👍
1322183738,레몬그라스타이 마포점,똠얌꿍,,9.21,매장이 엄청 넓고 쾌적해서 좋았어요. 나시고랭과 똠양꿍 먹었는데 나시고랭 볶음밥 해물너무맛있었고 똠양꿍도 양 겁나 많고 맛도리였습니당
1322183738,레몬그라스타이 마포점,똠얌꿍,,9.20,점심에 방문예약 후 이용대기 시간 바로 입장친목친구
1322183738,레몬그라스타이 마포점,똠얌꿍,,9.12,오랜만에 만난 친구랑 저녁먹으러 방문! 런치 세트가 있어서 점심으로 먹기도 좋을 것 같음. 무엇보다.. 새로 도전한 메뉴들이 다 성공적. 다들 꼭 한 번씩 도전해보시길^--^
1322183738,레몬그라스타이 마포점,똠얌꿍,,9.11,부모님이랑 저녁식사하러 방문했는데 내부도 깨끗하고 음식도 너무 맛있게 잘먹고왔어요. 나오면서 보니 쉐프님이 미슐랭출신 현지 쉐프님이라고 하더라구용! 태국음식점인데 베트남쌀국수도 있어서 더 좋았어요!!
1322183738,레몬그라스타이 마포점,똠얌꿍,,8.31,메뉴들도 다양하고 빨리나와요.ᐟ.ᐟ기본쌀국수에 숙주도 가득들어있고 고기도 부드럽습니당🤤 나시고랭은 필수로 먹어줘야하구요…💕 최애 메뉴인 뿌팟퐁커리도 부드럽고 촉촉해서 진짜 너무 맛있게 잘 먹었어요👍🏼 직원분들도 친절하시고 내부가 넓어서 단체로 오기에도 좋을것같더라구요.ᐟ 태국음식 좋아하신다면 강력추천 드리는 레몬그라스타이…👍🏼💕
1322183738,레몬그라스타이 마포점,똠얌꿍,,8.30,모임때문에 방문했습니다. 사장님이 매우 친절하시고 음식이 너무 맛있습니다! 단체 모임으로 가성비 있고 재방문 의사 있습니다.
1322183738,레몬그라스타이 마포점,똠얌꿍,,8.30,저녁에 방문예약 없이 이용대기 시간 바로 입장친목지인・동료
1322183738,레몬그라스타이 마포점,똠얌꿍,,8.30,점심에 방문예약 없이 이용대기 시간 바로 입장일상혼자
1322183738,레몬그라스타이 마포점,똠얌꿍,,8.30,진짜 너무 맛있어요!! 태국음식점들 중 제일 맛있고 심지어 가성비까지 최고 ㅠㅠㅠ 사장님도 넘 친절하세용♡
1322183738,레몬그라스타이 마포점,똠얌꿍,,8.30,"친구들 모임으로 방문했어요! 태국에서 먹었던 음식보다 더 맛있었습니다. 양도 꽤 많아서 배부르게 잘먹었어요! 태국음식중에 팟타이, 뿌빳퐁커리를 좋아하는데 역시나 너무너무 맛있었고 모닝글로리 볶음밥류 고기볶음까지 최고였습니다! 다음에 가족들이랑도 와보려구요~~"
1322183738,레몬그라스타이 마포점,똠얌꿍,,8.30,친구들이랑 여러명이 가서 음식을 종류별로 시켰는데 시킨 음식 모두 맛있어서 완전 대만족했어요👍
1322183738,레몬그라스타이 마포점,똠얌꿍,,8.3,레몬그라스타이 두 번째 방문입니다! 태국 현지 쉐프가 요리해서 그런지 평범한 쌀국수가 아니네요!!! 국물이 진하고 깊고 면발이 맛나요! 양도 많은데 가격은 1만원 초반이라 가성비 좋았어요. 팟타이는 생각보다 매워서 매운 거 좋아하시는 분들께 추천드립니다! 새우살튀김은 겉바속촉이었어요!! 모든 메뉴 맛있어요 잘 먹고 갑니다🫶🏼
1322183738,레몬그라스타이 마포점,똠얌꿍,,8.17,너무 말도안되는 맛이라서 원래 이런 맛인지 홀 직원에게 문의했으나 원래 그렇다고 미리 덜짜게 해달라고 하면 그렇게 만들어준다고만 응대했습니다.
