가게ID,가게명,평점,날짜,리뷰내용
38275282,로데오김밥 사당점김밥,,,"고추참치김밥이래서 빨간참치 생각했는데 , 고추+참치여서 조금 당황했던 … 그래도 참치김밥은 맛없없 ~"
38275282,로데오김밥 사당점김밥,,,관악산 등반하기 전에 구매해서 올라가서 먹었어요 김밥 맛있게 먹었습니다
38275282,로데오김밥 사당점김밥,,,관악산 등산로 입구에 있어서 접근성 좋고 연변아주머니들 친절해요. 말투도 구수하고요
38275282,로데오김밥 사당점김밥,,,관악산 등산로 입구에 있어서 접근성 좋고 연변아주머니들 친절해요. 말투도 구수하고요
38275282,로데오김밥 사당점김밥,,,"관악산 오르기 전 들러서 참치김밥 사감. 가격대가 좀 있는 느낌이라 흠.. 했는데 산에 오르느라 힘들었던 건지, 그냥 맛있는 김밥이었던 건지 엄청 맛있게 먹었음!"
38275282,로데오김밥 사당점김밥,,,"기본 김밥, 기본 라면만 시킨건데 콩나물이랑 대파를 듬뿍 넣어주셔서 맛있었어요. 저렇게 먹고 7500원인가 8500원인가 낸거라 요즘 물가에 혜자입니다. 저녁 시간에만 가봤는데 사람 별로 없고 조용하니 좋아요."
38275282,로데오김밥 사당점김밥,,,기본김밥도 맛있어요:) 첨가본거라 참치시킬까 하다가 기본 시켜봤는데 우엉가득!
38275282,로데오김밥 사당점김밥,,,김밥맛은 괜찮은데 김밥 싸시면서 마스크 없이 계속 기침을 하셔서 약간 염려스러웠습니다..
38275282,로데오김밥 사당점김밥,,,김밥맛은 괜찮은데 김밥 싸시면서 마스크 없이 계속 기침을 하셔서 약간 염려스러웠습니다..
38275282,로데오김밥 사당점김밥,,,김밥집 앞 줄을 서길래 김밥집인줄 알았더니 절들어가는 줄이었어요 여기서 김밥사서 사당쪽으로 관악산 올라가는데 고개를 5개는 넘은듯 죽을뻔했네요 덕분에 연주대에서 먹는 김밥은 핵존꿀맛있었어요 내려오는 과천쪽 길은 엄청 무난함 등산에 참고하세요
38275282,로데오김밥 사당점김밥,,,김밥집이 사라져가고있는데 이렇게 고퀄의 집이 있다는건 행운입니다
38275282,로데오김밥 사당점김밥,,,아침에 방문예약 없이 이용대기 시간 바로 입장나들이지인・동료
38275282,로데오김밥 사당점김밥,,,아침에 방문예약 없이 이용대기 시간 바로 입장나들이지인・동료
38275282,로데오김밥 사당점김밥,,,아침에 방문예약 없이 이용대기 시간 바로 입장나들이지인・동료
38275282,로데오김밥 사당점김밥,,,아침에 방문예약 없이 이용대기 시간 바로 입장나들이친구
38275282,로데오김밥 사당점김밥,,,아침에 방문예약 없이 이용대기 시간 바로 입장나들이혼자
38275282,로데오김밥 사당점김밥,,,"아침에 방문예약 없이 이용대기 시간 바로 입장데이트, 친목, 나들이, 여행연인・배우자, 친구, 지인・동료"
38275282,로데오김밥 사당점김밥,,,아침에 방문예약 없이 이용대기 시간 바로 입장일상혼자
38275282,로데오김밥 사당점김밥,,,아침에 방문포장·배달 이용대기 시간 바로 입장일상연인・배우자
38275282,로데오김밥 사당점김밥,,,일단 중국분 한분께서 혼자 매장을 지키고 계셨고(친절하셨지만 한국말 의사소통이 원활하지는 않았고. 존댓말이 매우 서투르신것 같았습니다)
38275282,로데오김밥 사당점김밥,,,저녁에 방문예약 없이 이용대기 시간 바로 입장
38275282,로데오김밥 사당점김밥,,,저녁에 방문예약 없이 이용대기 시간 바로 입장일상혼자
38275282,로데오김밥 사당점김밥,,,저녁에 방문예약 없이 이용대기 시간 바로 입장일상혼자
38275282,로데오김밥 사당점김밥,,,저녁에 방문예약 없이 이용대기 시간 바로 입장일상혼자
38275282,로데오김밥 사당점김밥,,,저녁에 방문예약 없이 이용대기 시간 바로 입장일상혼자
38275282,로데오김밥 사당점김밥,,,저녁에 방문예약 없이 이용대기 시간 바로 입장친목친구
38275282,로데오김밥 사당점김밥,,,점심에 방문예약 없이 이용대기 시간 바로 입장나들이혼자
38275282,로데오김밥 사당점김밥,,,점심에 방문예약 없이 이용대기 시간 바로 입장데이트연인・배우자
38275282,로데오김밥 사당점김밥,,,점심에 방문예약 없이 이용대기 시간 바로 입장데이트혼자
38275282,로데오김밥 사당점김밥,,,점심에 방문예약 없이 이용대기 시간 바로 입장데이트혼자
38275282,로데오김밥 사당점김밥,,,점심에 방문예약 없이 이용대기 시간 바로 입장일상부모님
38275282,로데오김밥 사당점김밥,,,점심에 방문예약 없이 이용대기 시간 바로 입장일상부모님
38275282,로데오김밥 사당점김밥,,,점심에 방문예약 없이 이용대기 시간 바로 입장일상아이
38275282,로데오김밥 사당점김밥,,,점심에 방문예약 없이 이용대기 시간 바로 입장일상혼자
38275282,로데오김밥 사당점김밥,,,점심에 방문예약 없이 이용대기 시간 바로 입장일상혼자
38275282,로데오김밥 사당점김밥,,,점심에 방문예약 없이 이용대기 시간 바로 입장일상혼자
38275282,로데오김밥 사당점김밥,,,점심에 방문예약 없이 이용대기 시간 바로 입장일상혼자
38275282,로데오김밥 사당점김밥,,,점심에 방문예약 없이 이용대기 시간 바로 입장일상혼자
38275282,로데오김밥 사당점김밥,,,점심에 방문예약 없이 이용대기 시간 바로 입장친목연인・배우자
38275282,로데오김밥 사당점김밥,,,점심에 방문예약 없이 이용대기 시간 바로 입장친목연인・배우자
38275282,로데오김밥 사당점김밥,,,점심에 방문예약 없이 이용대기 시간 바로 입장친목친구
