가게ID,가게명,평점,날짜,리뷰내용
1101335453,뇌산마을 신림직영점,,,"! 뼈구이 진짜 양념이 맛있고 고기가 부드러워서 주먹밥이랑 찰떡이었어요. 순살닭볶음탕도 매콤하고 닭이 야들야들해서 먹기 편했네요. 술안주, 기본안주 다 만족!"
1101335453,뇌산마을 신림직영점,,,“친구가 추천해서 왔다가 인생맛집 발견했어요🤭 메인메뉴 부터 기본안주까지 까지 뭐하나 빠지는 게 없어요! 특히 묵사발 진짜 술안주 최고봉이예요…🩵수다 떨면서 먹기 딱이에요👍 신림 살면서 왜 이제야 알았나 싶음… 또 올 거예요!!뼈구이 이벤트 중일때 꼭 오세요~~”
1101335453,뇌산마을 신림직영점,,,“친구가 추천해서 왔다가 인생맛집 발견했어요🤭 메인메뉴 부터 기본안주까지 까지 뭐하나 빠지는 게 없어요! 특히 묵사발 진짜 술안주 최고봉이예요…🩵수다 떨면서 먹기 딱이에요👍 신림 살면서 왜 이제야 알았나 싶음… 또 올 거예요!!뼈구이 이벤트 중일때 꼭 오세요~~”
1101335453,뇌산마을 신림직영점,,,결국 오늘도 먹다가 뼈구이 더 추가했잖아요… 주먹밥이랑 먹으니 더 중독적이예요!! 조만간 또와야겠습니당☺️
1101335453,뇌산마을 신림직영점,,,너무 귀여운 계란후라이랑 비엔나소세지 기본 안주로 나오네용🥰 안주 넘 맛있고 남자친구랑 데이트 하기에도 좋아용 잘생기고 예쁜 사장님이랑 알바생분이 모닝이즈백 주셨어용~>< 감사합니당😘또 방문할게요
1101335453,뇌산마을 신림직영점,,,뇌산마을 뼈구이 입소문타고왔어요 기본안주 계후에 비엔나부터 반겨주는 느낌받았고 뼈구이 너무 맛있어요 주먹밥에 쓱싹!
1101335453,뇌산마을 신림직영점,,,닭볶음탕이 당겨서 신림에서 술 마시려고 찾다가 뇌산마을 신림점을 찾았어요 기본안주 소세시랑 계란후라이라좋아요 닭볶음탕 양이 많고 닭도 꽤 크고 부드러워서 너무 맛있어요! ㅎㅎ 국물은 매콤하니 술안주로 딱이에요 ✨
1101335453,뇌산마을 신림직영점,,,"동네라서 편한 마음으로 왔는데, 문어랑 고기도 신선도가 좋고 안주 구성 자체가 알차고 맛있어요"
1101335453,뇌산마을 신림직영점,,,맛은 뭐 제가 벌써 여기 4번이나 왔으면 말다했죠?꼭 오셔서 드셔보세요!!
1101335453,뇌산마을 신림직영점,,,맛은 뭐 제가 벌써 여기 4번이나 왔으면 말다했죠?꼭 오셔서 드셔보세요!!
1101335453,뇌산마을 신림직영점,,,물 센스 보이세요 ? 그냥 생수가 아니더라구요 ㅠㅠ🫢저희는 “ 뇌산 돌짜장 “시켰는데 와 진짜 너무 맛있어요 ㅠㅠ 신림에서 맛집+분위기 좋은 술집 찾기 힘든데 여기 데이트하기도 너무 좋은것같아용
