가게ID,가게명,평점,날짜,리뷰내용
1918745789,디자이너리 카페,,,#디자이너리카페 #신림역카페 #신림카페 #망고레어치즈케이크 #딸기레어치즈케이크
1918745789,디자이너리 카페,,,"과일생크림 케이크 뿐만 아니라 쑥, 흑임자, 당근케이크까지 일반 카페들보다 케이크 라인업이 다양해요!"
1918745789,디자이너리 카페,,,근데 매장 내부가 너무추워서 입술파래젺어요 ㅠㅠ
1918745789,디자이너리 카페,,,답답한 것도 없고 심지어 작긴 하지만 주차도 되서 좋았어요 ! 🙌🏻☺️
1918745789,디자이너리 카페,,,답답한 것도 없고 심지어 작긴 하지만 주차도 되서 좋았어요 ! 🙌🏻☺️
1918745789,디자이너리 카페,,,"데이트로 왔어용!! 커피도 신맛 없어서 취향이었고, 블루베리 크럼블 치즈케이크 먹었는데 맛나요!! 꾸덕합니닷 ㅎㅎㅎ"
1918745789,디자이너리 카페,,,매번.지나가다가 보면서 시간되면 한번 가봐야겠다고 생각만했는데 드디어 왔어용 ㅎ
1918745789,디자이너리 카페,,,매번.지나가다가 보면서 시간되면 한번 가봐야겠다고 생각만했는데 드디어 왔어용 ㅎ
1918745789,디자이너리 카페,,,무화과 하나를 통으로 올려주세요!!!! 무화과 너무 잘익어서 너무 달달하고 크림도 맛있고 청도 존맛이예요 ㅠㅠㅠㅠ
1918745789,디자이너리 카페,,,밖이 32도라 진짜 너무너무 더웠는데 오로라 레몬에이드를 보니 눈도 즐겁고 입도 즐거운 음료였다 🥹
1918745789,디자이너리 카페,,,"밝고 쾌적해보이고 혼자 작업하기 좋을 것 같아서 일부러 찾아왔어요! 부담스럽지 않은 깔끔한 화이트톤에 화분, 의자, 전등으로 포인트를 주어서 사진이 그냥 찍어도 멋지게 나오네요><~~!! 요즘 단걸 줄이고 있는데 토피넛라떼 파우더도 생각보다 달지 않아서 좋아요!! 탁 트인 뷰에 깔끔한 인테리어에,,, 집중도 잘되고 분위기는 상쾌하니 좋습니당ㅎㅎㅎ 옆동네라 자주올것같아요~~!!ㅎㅎ"
1918745789,디자이너리 카페,,,밤엔 달도 보이고 👍 옥탑이 있으니 탁 트여서 좋아요 도심속에 이런 카페는 참 힐링이죠 👏 옥상 아랫층도 뚫려있으니 멋져요 중간엔 작은 정원이라 가시성이 다양하게 넓어서 보는 재미가 있어요 🩷 자몽티 맛있네요 🥰 손님있을 때 종종 갑니다
1918745789,디자이너리 카페,,,뷰맛집에서 수박우롱차랑 오로라레몬에이드 마심 처음 먹어 본 수박우롱차 인위적인 단맛없이 너무 맛있음
1918745789,디자이너리 카페,,,신림 카페 디자이너리에 오랜만에 왔어요! 신림역 근처 카페 중 가장 탁 트인 분위기여서 데이트하기에 좋아요🩷 가끔 오는데 분위기가 좋아서 자주 오고싶은 곳이에요
1918745789,디자이너리 카페,,,신림 카페에 이렇게 감성있고 루프탑 풍경이 예쁜 카페는 첨봐요!
1918745789,디자이너리 카페,,,신림에 이런 느좋카페가 있는줄 몰랐어요! 뷰도 좋고 친절하셔서 조아요❤️
