가게ID,가게명,평점,날짜,리뷰내용
37558887,도모야회포차생선회,,,sns에서 하도 유명해서 한 번 꼭 가보고 싶어 들렸던 도모야회포차!!예산대로 웨이팅이 1시간 기다렸습니다...앞에 대기가 1팀이였지만 오래 걸렸어요 ㅠㅠ 사장님 혼자서 하시던데 너무 바쁘시더라구요 직원이 필요하지 않을까 싶을 정도로 바쁘셨어요 시그니처 대파광어회와 민어아부리를 주문해서 먹었습니다 인스타를 보니 항상 생선을 고르실 때도 신경 많이 쓰시고 열정적이시더라구요 대파광어회가 맛있었어요 ㅎㅎ 아쉬운 건 바쁘신 건 알지만 컨셉인지 어떤지...친절하지 않으시고 대파 광어회가 뭔지 물어보니 인터넷 검색하면 나온다는 얘기뿐...당황스러웠지만 뭘 물어보지 마시구 잘 찾아서 방문하세여 ㅋㅋ
37558887,도모야회포차생선회,,,가격도 합리적이고 특이한 생선을 먹어볼 수 있어서 정말 감사하고 좋아요💜 정어리는 알려주신 방법대로 먹으니 정말 더 맛있었고 성대는 처음 들어봐서 도전했는데 담백하고 껍질이 정말 매력적이에요 키조개 날개살과 꼭지살은 회로 처음 먹어봤는데 식감도 좋고 맛있어요 지리탕은 진짜 지려요.. 무아지경으로 흡입하고 왔어요👍🏻
37558887,도모야회포차생선회,,,"광어참치보단 우럭밀치같은 쫄깃한 회종류를 좋아하는데, 여기 우럭(아부리?) 처음 접해보았는데, 진짜 제가 20년이상 먹어온 우럭중에 최고였어요 ㅋㅋㅋ 아부리? 껍질을 토치로 구워주신것같은데 진짜 쫄깃함의 성지.."
37558887,도모야회포차생선회,,,그날그날 다른 메뉴들을 맛볼 수 있어서 좋은 것 같아요! 2차로 가볍게 오기 좋은 것 같습니다 😁
37558887,도모야회포차생선회,,,나만 알고 싶은 맛집!! 여태 먹은 횟집중에 최고에요 !! 오마카세 느낌도 나고 !! 특히 지금 방어철이라 ㅎ 방어 먹으려 방문 했는데 역시 도모야만한 곳이 없네요!!
37558887,도모야회포차생선회,,,"너무 맛있었습니다. 맛을 생각하면 가격도 괜찮고 여러가지 회 요리들이 하나하나가 다 맛있었습니다. 특히 방어나 숭어를 같이 찍어먹는 양념장까지, 정말 맛있게 먹었네요."
37558887,도모야회포차생선회,,,네명이서 방문했고 친구가 극적으로 예약해주어 운좋게도 금요일 저녁에 방문했습니다!
37558887,도모야회포차생선회,,,됩니다! 여유있으시면 열흘전에는 dm으로 예약하시는걸 추천해요!
37558887,도모야회포차생선회,,,맛도 가성비도 갑👍🏻 기본 반찬 종류도 자주 바뀌고 특이한 종류의 회를 이것저것 저렴하게 먹어볼 수 있고 탕류는 셰프님 손맛이 진짜 죽여준다
37558887,도모야회포차생선회,,,매일 아침 수산시장에서 가져오시는 가성비 제철 회포차! 뻔한 어종들이 아니라 좋고 가격이 부담스럽지 않아 도장깨기 좋습니다. 회를 시키면 초대리밥도 주셔서 셀프초밥 만들어먹을 수 있어요🍣
37558887,도모야회포차생선회,,,매장이 지하에 있는데도 냄새하나 없어서 놀라고 친구랑 사장님이 보통 깔끔하신분이 아닌거 같다며 안먹어봐도 맛있을거 같다고 했는데..
37558887,도모야회포차생선회,,,밤에 방문예약 없이 이용대기 시간 1시간 이상친목연인・배우자
37558887,도모야회포차생선회,,,밤에 방문예약 후 이용대기 시간 바로 입장
37558887,도모야회포차생선회,,,밤에 방문예약 후 이용대기 시간 바로 입장데이트연인・배우자
37558887,도모야회포차생선회,,,"시그니처 메뉴인 숙성 대광어 대파회, 포뜨기를 한 아나고회 언제나 좋았는데"
37558887,도모야회포차생선회,,,신선하고 다양한 회를 가성비 좋게 먹을 수 있는 맛집☺️ 지인 소개 및 추천 받아서 갔는데 맛있는 회 실컷 먹고 왔습니다☺️
37558887,도모야회포차생선회,,,쓸떼없는 츠키다시 없구 소수인원 술 마시기 좋은 분위기 입니다
37558887,도모야회포차생선회,,,오늘의 메뉴 중에 고르면 걍 다 맛날것같은 느낌이에요~
37558887,도모야회포차생선회,,,웨이팅은 길었고 이미 많은 메뉴가 솔닷되어서 아쉬웠지만 그래도 맛으로 보답받음.
37558887,도모야회포차생선회,,,이집은 여러사람이 와서 여러가지 회 먹는 사람이 승자인것 같아요 언제나 늘 강추하는 집입니다
37558887,도모야회포차생선회,,,일부러 그러시는지모르겠는데 .. 여름에도 에어컨 26-28도..
37558887,도모야회포차생선회,,,자신 없는 상태의 메뉴라면 다른 메뉴를 권유해봤을 것 같네요. 사장님이라면 이 상태의 방어.. 값 치르고 드실건지 여쭙고싶네요.
37558887,도모야회포차생선회,,,저녁에 방문대기 시간 바로 입장데이트연인・배우자
37558887,도모야회포차생선회,,,저녁에 방문예약 없이 이용대기 시간 1시간 이상비즈니스지인・동료
37558887,도모야회포차생선회,,,저녁에 방문예약 없이 이용대기 시간 2시간 이상데이트연인・배우자
37558887,도모야회포차생선회,,,"저녁에 방문예약 없이 이용대기 시간 30분 이내일상지인・동료, 친척・형제"
37558887,도모야회포차생선회,,,저녁에 방문예약 없이 이용대기 시간 30분 이내일상친구
37558887,도모야회포차생선회,,,저녁에 방문예약 없이 이용대기 시간 30분 이내친목친구
37558887,도모야회포차생선회,,,저녁에 방문예약 없이 이용대기 시간 30분 이상데이트연인・배우자
37558887,도모야회포차생선회,,,저녁에 방문예약 없이 이용대기 시간 바로 입장비즈니스지인・동료
37558887,도모야회포차생선회,,,"저녁에 방문예약 없이 이용대기 시간 바로 입장일상혼자, 기타"
37558887,도모야회포차생선회,,,저녁에 방문예약 후 이용대기 시간 바로 입장
37558887,도모야회포차생선회,,,저녁에 방문예약 후 이용대기 시간 바로 입장데이트연인・배우자
37558887,도모야회포차생선회,,,저녁에 방문예약 후 이용대기 시간 바로 입장비즈니스기타
37558887,도모야회포차생선회,,,저녁에 방문예약 후 이용대기 시간 바로 입장비즈니스지인・동료
37558887,도모야회포차생선회,,,저녁에 방문예약 후 이용대기 시간 바로 입장친목친구
37558887,도모야회포차생선회,,,좋은 가격 좋은 품질 최고의 가게!!👍🏻💜
37558887,도모야회포차생선회,,,"참복+지리탕, 생참치, 멍게 요렇게 먹었고 취향따라 선호도가 달라질지언정 굉장히 즐거운 경험이었네요🙃 사장님이 각 요리와 식재료에 대한 철학이 있으셔서 추천해주시는 먹는법에 따라 먹는것도 얘기 듣는 것도 좋았어요 ㅎㅎ 이날은 평소 눈여겨보던 메뉴가 없었어서 담번에 또 방문하려구요"
37558887,도모야회포차생선회,,,친구랑 같이 예약하고 토요일 저녁에 방문했어요🤍 친구란 좋은 시간 잘 보냈어요~! 회 양이 너무 많지 않고 적당히 나와서 좋았어요!! 다음에 또 올게용
37558887,도모야회포차생선회,,,토요일 8시쯤 방문해서 1시간정도 웨이팅했어요!! 이제서야 가본게 후회될 정도로 숙성회가 고소하고 감칠맛나서 계속 들어갑니다😀
