가게ID,가게명,평점,날짜,리뷰내용
1135512419,노을집,,,5시반에 갔는데 웨이팅 있었어요!! 8팀? 근데 안에가 너무 시끄러워서 오래는 못 있었고 밥만 후딱 먹고 나왔어요 ㅠㅠ 전체적으로 음식은 맛있습닏다!! 복분자 하이볼 너무 맛있어용
1135512419,노을집,,,군자핫플이라고해서 다녀왔는데 안주들이 다 깔끔하고 맛있어요! 알곤이 양도 많고 양념이 맛있어서 술이 술술 들어갑니당!! 육회도 잡내없이 너무 맛있고 후라이드 치킨도 엄청 바삭해요~ 군자맛집 인정합니당! 재방문 의사 있어요!
1135512419,노을집,,,"그래서 다음 날 방문,,! 유명한 술집답게 술 종류 다양하고 안주도 다양하고 좋았습니다! 특히 시그니처인 돌판알곤이볶음은 소주 안주로 손색이 없었고.. 사태스지전골도 육수부터 수육까지 훌륭하네요! 다음에는 생맥주랑 후라이드치킨 먹으러 가겠습니다 ㅎㅎ 감사합니다☺️"
1135512419,노을집,,,금요일 퇴근하고 오후 7시쯤 방문했는데 이미 매장 안은 꽉 차있고 웨이팅 10팀이 넘게있었음 ㅠ 거의 2시간 웨이팅 후 9시 넘어서 입장함
1135512419,노을집,,,"리뷰 1,839사진 3,117팔로워 83테마 4"
1135512419,노을집,,,"리뷰 880사진 1,220팔로워 91테마 2"
1135512419,노을집,,,"막걸리 종류도 너무 많고, 술도 다양해요! 맛있게 잘 먹었습니다~"
1135512419,노을집,,,맑은사태스지전골은 깔끔하면서도 깊은맛이 느껴졌습니다!! ㅎㅎㅎ 하이볼과 잘 어울릴것 같았아요!! 다음에 또 방문하고 싶어요!!
1135512419,노을집,,,매번 웨이팅이 있던데 저희도웨이팅해서 20분가량 기다렸다가 들어온거같아요 :)
1135512419,노을집,,,모든 메뉴 다 맛있구 가성비 좋아요!! 사장님도 친절하시구 분위기도 좋아용~~~👍👍
1135512419,노을집,,,모든 음식들이 맵지 않고 간도 딱 적당하고 깔끔한 맛이어서 너무 맛있었습니다!
1135512419,노을집,,,모든 음식들이 맵지 않고 간도 딱 적당하고 깔끔한 맛이어서 너무 맛있었습니다!
1135512419,노을집,,,밤에 방문대기 시간 바로 입장친목지인・동료
1135512419,노을집,,,밤에 방문예약 없이 이용대기 시간 30분 이내친목친구
1135512419,노을집,,,"새우파전은 살짝만 반죽을 묻혀서 재료들이 잘 살아있게 구워냈습니다. 밀가루보다도 훨씬 재료들이 풍부하게 느껴지기도 하구요, 여기 막걸리들이 라인업이 많아서 전이 필요하시면 드셔보심이.."
1135512419,노을집,,,"새우파전은 살짝만 반죽을 묻혀서 재료들이 잘 살아있게 구워냈습니다. 밀가루보다도 훨씬 재료들이 풍부하게 느껴지기도 하구요, 여기 막걸리들이 라인업이 많아서 전이 필요하시면 드셔보심이.."
1135512419,노을집,,,생맥 한잔은 무조건 마셔야 합니다. 기본 안주부터 메인안주까지 너무 맛있어용 또 올게요!!
1135512419,노을집,,,솔직한 마음으로는 저만 알고 싶지만 대의를 위해 작성해 봅니다.. 보통 메뉴가 많으면 정말 맛있는 메뉴는 뭐 한두가지 뿐이겠지..? 라고 생각 했던 제 편협한 시선은 너무나 쉽게 뒤집어졌습니다. ‘엥 여기가 알곤이찜 집이었나? 에 여기가 육회집이었나? 어라라 여기가 어디지? 아 맞다 노을집’ 정말 하나하나 다 맛있더군요..
1135512419,노을집,,,"시그니처가 알곤이볶음이어서 먹었는데 너무 맛있어요... 막걸리도 다양해서 골라먹는 재미가 있고, 오징어 순대도 맛있고, 꼭꼭 곤이볶음밥은 추가하세요...👍"
1135512419,노을집,,,안주 하나하나 다 맛있고 막걸리 종류도 진짜 많아요!! 항상 지나가며 구경만 하던 식당이였는데 드디어 와봤어용.♥️
1135512419,노을집,,,안주가 하나하나 다 맛있어요!! 누룽지 오징어순대도 속초에서 먹은 맛이랑 똑같구 두부김치랑 들기름막국수도 술안주로 최고네용!
1135512419,노을집,,,"알곤이 볶음이라는 안주도 독특하면서 너무 맛있었고, 볶음밥도 꼭 드세용! 소고기 무침의 아롱사태가 너무 부드러웠어요 전골로 먹어도 맛있었을 것 같아요. 모든 안주가 다 맛있고 가게 분위기랑 잘 어우러져서 또 방문하고싶어요"
1135512419,노을집,,,"알곤이 볶음이라는 안주도 독특하면서 너무 맛있었고, 볶음밥도 꼭 드세용! 소고기 무침의 아롱사태가 너무 부드러웠어요 전골로 먹어도 맛있었을 것 같아요. 모든 안주가 다 맛있고 가게 분위기랑 잘 어우러져서 또 방문하고싶어요"
1135512419,노을집,,,알곤이볶음 :사알짝 단것 같으면서도 과하지 않고 매콤한 것 같으면서도 과하지 않은데 그냥 알곤이 먹으면 물리는 맛이 없는게 계속 들어감. 혜수누님이 먹은 이유가 있음.
1135512419,노을집,,,알곤이볶음 :사알짝 단것 같으면서도 과하지 않고 매콤한 것 같으면서도 과하지 않은데 그냥 알곤이 먹으면 물리는 맛이 없는게 계속 들어감. 혜수누님이 먹은 이유가 있음.
1135512419,노을집,,,왜 찍은 사진이 안올라가는지 모르겠지만 진짜 셋이서 배터지게 먹었습니다! 치킨이랑 알곤이 볶음(+밥추가)무조건 시켜드세요🥹 소중한 사람들과 너무나도 즐거운 추억 쌓고 갑니다! 다음에도 또 올 예정✨
1135512419,노을집,,,요식업 경력 10년이상인데 사천에 2호점 오픈하고 싶은 맛과 분위기 입니다 ㅎㅎㅎ
1135512419,노을집,,,이쪽 동네를 처음와봤는데 맛있는 맛집까지 알고가서 너무 좋아요!! 소고기무침 완전 꼭 추천합니다!!! 오징어 순대도 정말 맛있어요 :)
1135512419,노을집,,,잘 되는 음식점이다보니 본인들의 시스템에 맞추도록 하는거같네요
1135512419,노을집,,,저녁에 방문예약 없이 이용대기 시간 10분 이내 데이트연인・배우자
1135512419,노을집,,,저녁에 방문예약 없이 이용대기 시간 1시간 이상친목친구
1135512419,노을집,,,저녁에 방문예약 없이 이용대기 시간 30분 이내친목친구
1135512419,노을집,,,저녁에 방문예약 없이 이용대기 시간 30분 이상친목지인・동료
1135512419,노을집,,,저녁에 방문예약 없이 이용대기 시간 30분 이상친목지인・동료
1135512419,노을집,,,저녁에 방문예약 없이 이용대기 시간 바로 입장데이트연인・배우자
1135512419,노을집,,,저녁에 방문예약 없이 이용대기 시간 바로 입장데이트연인・배우자
1135512419,노을집,,,저녁에 방문예약 없이 이용대기 시간 바로 입장데이트연인・배우자
1135512419,노을집,,,저녁에 방문예약 없이 이용대기 시간 바로 입장친목지인・동료
1135512419,노을집,,,저녁에 방문예약 없이 이용대기 시간 바로 입장친목지인・동료
1135512419,노을집,,,저녁에 방문예약 없이 이용대기 시간 바로 입장친목친구
1135512419,노을집,,,저녁에 방문예약 없이 이용대기 시간 바로 입장친목친구
1135512419,노을집,,,"저녁에 방문예약 후 이용대기 시간 30분 이상친목, 일상친구, 연인・배우자"
1135512419,노을집,,,"저녁에 방문예약 후 이용대기 시간 30분 이상친목, 일상친구, 연인・배우자"
1135512419,노을집,,,저녁에 방문예약 후 이용대기 시간 30분 이상친목지인・동료
1135512419,노을집,,,저녁에 방문예약 후 이용대기 시간 30분 이상친목지인・동료
1135512419,노을집,,,"테이블 세팅 후 바로 자리가 나와서 옮기는걸 도와주려했는데 직원분이 들고 오시면 된다고 시키길래 모두가 의아한 상태에서 사장님이시냐고 물어보니 사장님이 었음. 예약때부터 그냥 애티튜드 부족한 직원분인줄 알았는데 사장님이라 충격을 받고, 반대로 직원분은 저희가 옮긴다고 친절하게 응대함."
1135512419,노을집,,,"테이블 세팅 후 바로 자리가 나와서 옮기는걸 도와주려했는데 직원분이 들고 오시면 된다고 시키길래 모두가 의아한 상태에서 사장님이시냐고 물어보니 사장님이 었음. 예약때부터 그냥 애티튜드 부족한 직원분인줄 알았는데 사장님이라 충격을 받고, 반대로 직원분은 저희가 옮긴다고 친절하게 응대함."
1135512419,노을집,,,한우육회&얼큰스지전골 먹었는데 깔끔하고 맛있었어요💕 다음에는 다른 메뉴들 먹으러 또 와야지! 라고 재방문 생각 바로 들었어요👏
1135512419,노을집,,,한우육회&얼큰스지전골 먹었는데 깔끔하고 맛있었어요💕 다음에는 다른 메뉴들 먹으러 또 와야지! 라고 재방문 생각 바로 들었어요👏
1135512419,노을집,,,항상 올 때 마다 웨이팅 있는데 오늘은 한자리 남은거 바로 앉아서 먹었어요 ㅎㅅㅎ 노을집 번창하세요!!!!!❤️‍🔥
1108538628,노크 건대직영점,,,"25,000원짜리 메론&파인 시키면 아무 맛도 안 나는 냉동 메론에 메론 시럽 뿌려주는 곳....... 해물김치전은 나쁘지 않았어요... 메론&파인은 절대 시키지 마세요.... 프라이빗한 공간이라는 장점 외에 서비스나 음식 퀄리티, 가격 등은 모두 실망스러운 곳"
1108538628,노크 건대직영점,,,✔️세부내역 나오는 영수증 달라고하니까 그런거 없다고 손님이 앞에있는데 씨발씨발 거리면서 응대함
1108538628,노크 건대직영점,,,갑자기 모인 술자리였는데도 예약으로 편하게 들어갔습니다 룸에서 다같이 이야기 나누면서 술 한잔하니 너무 즐거웠어요 안주가 다 맛있어서 술 싫어하는 친구도 잘 먹더라구요 다음에 또 오고 싶어요
1108538628,노크 건대직영점,,,건대 단체모임으로 최고인 건대노크! 직영점으로 운영되어 깔끔하고 관리도 잘 되는거 같아요! 단체로 와도 룸식이라 프라이빗하고 너무 좋네요 ㅎㅎ
1108538628,노크 건대직영점,,,"건대노크 2층 자리에 앉았어요 항상 가림막으로만 되어있는 술집에 가다가 룸이 있는 곳에 가니 이게 진짜 프라이빗이구나 싶더라구요 주변 소음은 바깥 창문열어놔서 들어오는 정도고 너무 아늑한 공간이라서 좋았습니다. 안주는 라볶이, 토마토 모짜렐라 샐러드, 참치마요밥 주문했는데 양도 엄청 많고 맛있었어요~ 둘이서 좋은 시간 보냈습니다~!"
1108538628,노크 건대직영점,,,금요일 5명이서 4~5시간 머무니 자리 비용만 4만원이상이 나오네요. 안주도 그저 그렇고..
1108538628,노크 건대직영점,,,노래 틀 수 있는 룸 완전 좋아요 우리 플레이리스트 연결해서 틀고 친구들이랑 분위기 있게 술 마셨는데 안주가 너무 잘 나와서 진심 놀랐어요
1108538628,노크 건대직영점,,,대학교 근처라 어디든 대화하기 시끌벅적해서 찾다가 들어갔어요 !! 3시간 기본시간에 음료 가격도 조금 있긴해요 ! 그래도 조용히 대화하기 좋고 안주로 시킨 허니갈릭치킨도 맛있어서 좋았어요 !
1108538628,노크 건대직영점,,,대화하기좋고 내가듣고싶은 노래 들을수있어서 좋아요
1108538628,노크 건대직영점,,,딸기우유화채!! 정말 과일도 다양하고 양이엄청 많아서 요즘 날도 더운데 시원하고 배부르게 잘 먹구갑니당👍
1108538628,노크 건대직영점,,,룸 분위기 너무 아늑해서 시간 가는 줄 몰랐어요 안주 맛있고 스피커로 노래 들으면서 친구랑 수다 떨기 딱 좋아요!
1108538628,노크 건대직영점,,,룸도 넓고 조명도 예뻐서 덕분에 소중한 시간 잘 보냈어요
1108538628,노크 건대직영점,,,룸술집이라서 아늑하게 일행끼리 얘기하면서 술먹기 좋아요!!
1108538628,노크 건대직영점,,,룸식 구조라서 흡연도 가능하고 시끄럽지 않아서 좋았어요 안주 중에서 매콤한 볶음요리가 술안주로 찰떡이었어요 분위기도 깔끔해서 또 가고 싶은 공간이에요 (^▽^)
1108538628,노크 건대직영점,,,"룸에 나방파리가 열댓마리가 날아다니고, 안주 가격은 터무니 없이 비쌉니다. 주말이 아니였음에도 주말손님입장비 만원은 왜 받는거고 두시간 동안 룸에 있었는데 룸차지비 25000원은 뭘까요?? 답변 부탁드립니다."
1108538628,노크 건대직영점,,,룸에서 노래 틀어두고 다같이 신나게 즐겼는데 분위기가 너무 좋았어요 클럽 느낌 나면서도 프라이빗한 공간이라 만족했어요 안주도 맛있고 양도 많아 최고였네요
1108538628,노크 건대직영점,,,룸에서 맘껏 떠들 수 있어서 친구들이랑 모임할 때 최고였어요 ㅋㅋ 노래도 자유롭게 틀 수 있고 흡연 가능한 공간이라는 점에서 흡연자들 완전 감동했네요 안주는 말할 것도 없이 다양하고 맛있었어요! 재방문 의사 100%입니다
1108538628,노크 건대직영점,,,룸에서 친구랑 편하게 이야기 나눌 수 있어서 좋았고 음식도 괜찮았습니다
1108538628,노크 건대직영점,,,"룸에서 편하게 술 마시려고 방문한 노크 건대직영점! 돼지목살고추장복음, 나가사끼 짬뽕 등 먹었는데 안주가 너무 맛있어서 술이 술술 들어가더라구요!! 정말 잘 먹어서 다음에도 또 방문하고싶어요!"
1108538628,노크 건대직영점,,,룸에서 프라이빗하게 즐길 수 있어서 친구들과 수다 떨기 너무 좋았습니다 안주 맛있고 분위기도 아늑해 만족스러웠어요
1108538628,노크 건대직영점,,,룸이 있어서 조용히 이야기할수도있고 메뉴가 맛있고 다양해서 좋았어요💕
1108538628,노크 건대직영점,,,룸이 조용하고 깔끔해서 만족스러웠어요 직원분도 친절하셔서 기분 좋았습니다
1108538628,노크 건대직영점,,,룸이라서 내 사람들끼리 놀기 좋고 방안에서 노래도 맘대로 틀 수 있어서 좋습니다 안주도 너무 맛있어요 시끄러운곳이 싫으신 분들한테 추천합니다!! 대화하기 좋아요ㅎ
1108538628,노크 건대직영점,,,메뉴판도 볼수없고 얼마나 프라이빗 한 곳인가 생각하고 방문했는데 쇼파는 가죽이 다 벗겨지고 메뉴는 두가지중 한가지는 누린내가 났습니다. 생긴지도 얼마 안된거같은데 관리가 너무 안되는거 같아 많이 아쉬웠습니다.
1108538628,노크 건대직영점,,,밤에 방문예약 없이 이용대기 시간 바로 입장친목
1108538628,노크 건대직영점,,,밤에 방문예약 없이 이용대기 시간 바로 입장친목지인・동료
1108538628,노크 건대직영점,,,밤에 방문예약 없이 이용대기 시간 바로 입장친목친구
1108538628,노크 건대직영점,,,본인들도 메뉴 비싼 거 아는지 네이버에 메뉴판 가격 안올려놓고 변동이라고 적어둠ㅋㅋㅋ가격보고 사람들 안올까봐 그런가?
1108538628,노크 건대직영점,,,소개팅 비슷한 자리에 왔는데 룸 분위기가 프라이빗해서 대화에 집중할 수 있었어요 청결도도 확실히 좋았고 안주는 술안주로 딱이었습니다 직원분들도 부담 없이 다가와주셔서 좋았어요 ^_^
1108538628,노크 건대직영점,,,술집 분위기 진짜 미쳤어요 ㅋㅋ 조용한 룸에서 우리끼리 즐기는 느낌 최고였어요 안주도 대박 맛있었어요
1108538628,노크 건대직영점,,,알바분들 너무 친절해서 기분 좋게 술 마셨습니다! 음식도 생각보다 훨씬 맛있어서 놀랐어요 다음에 또 올 예정이에요~!!!
1108538628,노크 건대직영점,,,에어콘이 고장나써 방이 매우덥고 습함. 알바생들이 매우 불친절함. 클레임 요청시 기다리라고만하고 1시간동안 대응을 안해줌. 메뉴구성대비 가격이 비쌈.
1108538628,노크 건대직영점,,,여긴 진짜 안주 맛집이에요!! 안주도 다양하고 퀄리티도 굳굳 룸도 있어서 시끄럽지 않고 우리만의 공간이라 좋았어요 다음엔 생일파티 하러 올까 해요 직원분들도 친절해서 기분 좋은 술자리였어요🥳
1108538628,노크 건대직영점,,,예약하고 갔더니 대기 없이 바로 입장! 룸이 아늑해서 너무 편하게 있다 왔어요 음식도 정갈하고 술이랑 찰떡ㅎㅎ
1108538628,노크 건대직영점,,,예약했다니까 방번호 불러주면서 가라고하시더라고요..? 그래서 일단 아 오케이 그런가보다 하고들어갔는데 음식만 4-5개 시켰는데 다 차갑게나옴 음식이 맛없는건 또아님 맛있는데 차가움
1108538628,노크 건대직영점,,,와 진짜 이런 술집 처음이야... 룸식이라 프라이빗하게 대화도 가능하고 알바분들 너무 친절해서 기분 좋게 술 마실 수 있었어요 😆 안주 퀄리티도 장난 아니고 양도 넉넉해서 배부르게 먹었네요 다음에 생일파티 장소로 또 예약할 예정입니다!
1108538628,노크 건대직영점,,,음식 맛있고 분위기좋고 프라이빗한 공간에서 대화하면서 먹기 너무 좋아요~ 블루투스 스피커도 방마다 구비되어있어서 노래 선곡하면서 즐거운 시간 보내고 왔네요☺️ 추천합니다!
1108538628,노크 건대직영점,,,저녁에 방문예약 없이 이용대기 시간 바로 입장비즈니스아이
1108538628,노크 건대직영점,,,저녁에 방문예약 없이 이용대기 시간 바로 입장친목친구
1108538628,노크 건대직영점,,,저녁에 방문예약 후 이용대기 시간 바로 입장
1108538628,노크 건대직영점,,,저녁에 방문예약 후 이용대기 시간 바로 입장
1108538628,노크 건대직영점,,,조용히 얘기하며 술마시고싶은사람들한테 강추
1108538628,노크 건대직영점,,,지저분하고 직원도 불친절하고 사진보고 알아보고 간건데 전좌석 흡연도 가능하다 그러고 너무 별로네요
1108538628,노크 건대직영점,,,직원 대응 너무 별로에요. 레드불 슈가프리 메뉴에 있어서 시켰는데 냉장안된 레드불을 줘서 별로였는데 까서 한 입 먹었더니 슈가프리 아니어서 직원 호출해서 슈가프리가 아니다했더니 죄송하다는 말 한마디 없이 이번에 일반 레드불만 들어와서 그냥 그렇게 나가는 거라고 말하더라구요. 그래서 메뉴에 그럼 수정을 해놓던가 말을 해줘야하는 거 아니냐고 물어보니까 그냥 일반 레드불만 가게에 들어와서 그렇게 나간거라고 말도 안되는 소리 해서 불쾌했어요. 환타도 캔음료가 이미지에 있어서 시켰더니 얼음 하나 없이 시럽환타 느낌으로 줘서 이게 뭐지했습니다~~음식은 그렇다쳐도 기본적인 태도가 문제인데 같이 간 사람들 전부 기분이 확 나빠져서 대충 먹고 나왔습니다~ 직원 교육 다시해주세여
1108538628,노크 건대직영점,,,최고에요! 😊😆😙😙😙😙😙 음식이 너무 맛있고 파티룸 모드가 되어서 분위기가 너무 좋아요! 메뉴가 진짜 빨리 나오고 룸술집이라 단체 모임하기도 너무너무 좋아용! 블루투스 스피커로 한층 더 신나게 놀 수 있어용 완전 최고~~🥳🥳
1108538628,노크 건대직영점,,,친구들 생일파티 겸 모임으로 왔는데 룸이 넓고 깨끗해서 다들 기분 좋게 시작했어요 안주가 고급스럽게 준비돼 있었고 직원분들이 케이크 세팅까지 도와주셔서 만족스러웠습니다 o(≧▽≦)o
1108538628,노크 건대직영점,,,"친구랑 오븟하게 대화 나누고 싶어서 방문했는데, 창문밖 뷰도 좋고 룸도 넓어서 너무 좋았어요. 소파도 푹신푹신하고 조명도 원하는대로 밝기조절이 가능해 좋았네요. 안주도 양이 많아서 진짜 배부르게 먹었어요! 인테리어 좋고 아늑하고 프라이빗해서 데이트나 단체모임하기 정말 좋은 것 같습니다~강추👍👍👍👍👍"
1108538628,노크 건대직영점,,,테이블에 집어 던지듯이 탁탁 놓고 문 신경질적으로 두드리고 무엇보다 말투. 뭐가 그리 잘났다고 사람 무시하는 말투로 그렇게 4가지 없이 하는지.
1108538628,노크 건대직영점,,,프라이빗한 공간이라 좋았어요 안주도 양 많고 맛있고!! 흡연 가능한 점도 큰 장점이에요 담에도 꼭 갈게요
1848549520,도른계,,,가봐야지 하고 드디어 와봤는데 한국계 치킨 완전 내스타일임 ㅠㅠ👍🏻 양념 너무 맛있아서 소면 추가했어여!!! 닭 진짜 부드럽고 짱짱👍🏻👍🏻
1848549520,도른계,,,그런데 여기는 한국계(매운맛)이 그렇게 맛있다 하네요? 다음에 오면 맵잘알 친구 데려와서 꼽사리 끼려구요 ㅎㅎ
1848549520,도른계,,,넘 맛있고 메뉴가 특이해서 다른 것도 먹어보러 다음에 또 올 것 같아요! 잘 먹고 갑니다🩷
1848549520,도른계,,,"닭에 누린내나 잡내 없이 깔끔한 양념맛이고 닭만 있을 땐 느끼한가 싶을 수 있는데 치즈케이크나 곁들임 우동도 맛있었고 사이드로 주문한 닭연골튀김, 오징어 꿔바로우, 망고아이스크림, 팥빙수 등등도 평균 이상의 맛이라 가성비 술안주로도 식사메뉴로도 추천합니다 👍👍"
1848549520,도른계,,,매장 안도 넓고 군자역이랑도 엄청 가까워서 술자리로 오기에도 좋은 곳인 것 같아요~
1848549520,도른계,,,메뉴가 특이해서 먹어보고 싶었는데 닭이 엄청 촉촉하고 맛있네요! 특색 있는 메뉴 너무 맛있어서 만족스러워요~
1848549520,도른계,,,무엇보다 치킨을 직접 테이블에서 잘라줘서 좋았고 특유의 통닭 맛이 잘 어우러져서 더욱 좋았습니다
1848549520,도른계,,,미국계 일본계 한국계도 먹어보고 싶어요!!!!!
1848549520,도른계,,,미국계는 초큼 달아서 태국계가 더 입맛에 맞았습니다!
1848549520,도른계,,,미국계랑 태국계중에 열시미 고민하다가 미국계로 시켰는데 느끼할까봐 걱정했지만 살짝 매콤해서 질리지않게 맛있게먹고왔어용 ㅜㅜ 메이플시럽이랑 같이먹으면 단맛보단 감칠맛이 업이니까 꼭 같이 먹어보세영~
1848549520,도른계,,,밤에 방문예약 없이 이용대기 시간 바로 입장데이트연인・배우자
1848549520,도른계,,,"밤에 방문예약 없이 이용대기 시간 바로 입장데이트연인・배우자, 친구"
1848549520,도른계,,,"밤에 방문예약 없이 이용대기 시간 바로 입장친목친구, 지인・동료"
1848549520,도른계,,,배달로 두어번 시켜먹었는데 넘 맛있어서 군자역에서 다른 장소 약속 있었는데 지인 설득해서 여기로 왔어요!! 넘 맛있고 특별한 요리예요!
1848549520,도른계,,,"색다른 치킨 맛집 도른계! 한국계는 매콤한 불닭소스에 우동사리가 찰떡, 미국계는 달달한 크림소스에 치즈케이크까지 올라가 신선했어요. 소스가 진짜 중독적!"
1848549520,도른계,,,어머니 모시고 방문했는데 어머니가 이렇게 맛있는 치킨을 젊은 사람들만 알고 먹는 건 너무 불공평하다고 하시더라구요ㅋㅋㅋㅋㅋㅋ 근데 진짜 맛있었어요... 시금치+크림소스+바질페스토+치즈케이크+메이플시럽 나열해놓으면 혼종같은데 조합이 미쳤습니다 조합충 한국인 눈 돌아가는 맛입니다
