가게ID,가게명,평점,날짜,리뷰내용
1252860220,백일도,,,가족모임이 있어서 수산시장 횟집에서 포장할까하다 예전에 찜콩해놨던 백일도에 가기로하고 포장예약 미리해서 다행히 바로 픽업했는데 어느 정도길래 웨이팅이 이리심할까했는데... 방어랑 광어 참돔 선택모둠이랑 해산물 모둠 포장했는데 회 완젼 맛있어서 놀랬어요ㅜㅠ 밥이랑 초밥해먹어도 맛있고 와사비에 간장만 찍어도 맛있고..🤤 무조건 단골예정!! 매장식사보단 포장 추천드려요~ 종류도 다양해서 골라먹는재미도 있습니다 ㅎㅎ
1252860220,백일도,,,"겨울엔 대방어, 다른 계절에도 싱싱한 생선이랑 해산물로 늘 기분좋게 방문합니다!"
1252860220,백일도,,,기분좋은 맛있는 시간 만들어주신 사장님과 전종서보다 아름다우신 사모님께 감사드립니다~
1252860220,백일도,,,남편이 먼저 방문해서 물회 먹어보고 너무 맛있다고 해서 포장해서 집에서 먹어봤는데 중곡동임에도 불구하고 웨이팅이 있을 정도로 맛집이었네요. 회도 많이 들어있고 물회 소스도 맛있네요!
1252860220,백일도,,,"다양한 조합으로 먹을 수 있어 맛있고, 신선한 횟감을 쓰시는게 느껴집니다."
1252860220,백일도,,,대방어랑 광어랑 둘다 너무 신선 쫄깃 ! 반찬도 잘챙겨주시고 너무 맛있게 잘 먹었어요~ 역시 웨이팅이 긴 이유가 있는 맛집이였어요
1252860220,백일도,,,대방어철이 되고난후 웨이팅이 너무 길어서 못갔었는데 드디어 방문했어요!!!!!ㅠㅠ 얼마만인지ㅠㅠㅠ
1252860220,백일도,,,두툼하니 맛나게 썰어주셨네요. 오독오독 맛있게 먹었어요. 야채도 많이 주시고 너무 좋네요~
1252860220,백일도,,,"리뷰 1,376사진 1,529팔로워 67"
1252860220,백일도,,,"리뷰 1,376사진 1,529팔로워 67"
1252860220,백일도,,,"무엇보다 초데리밥 두 공기, 쌈채소, 날치알, 백김치 같이 주시는 구성이 다른데와 차별점이에요"
1252860220,백일도,,,바쁘신데 별도로 회 손질 법 까지 부탁드렸더니 기꺼이 해주셔서 정말 너무 감사하게 맛있게 행복하게 즐겁게 먹었습니다. 너무 고맙습니다!😎👍👍👍👍👍
1252860220,백일도,,,"방어 맛집이라고 해서 방문했는데 전화예약도 가능하다고 들었는데 바쁘신지 받으시질 않길래 21시에 포장픽업주문 하고 싶어서 17시에 방문했는데 어우,,, 사람들이 엄첟나게 많더라구요. 17시에 이미 최대한 빨리 받으려면 20시부터 포장픽업 할수있다고 하셨는데 저는 21시에 할거여서 주문 넣어놓고 볼일보고 여유롭게 21시에 다시 방문했는데 주문 시간대별로 메뉴가 나오고 있어서 21시 포장이였어도 21시30분넘어서 픽업했습니다. 포장주문도 엄청났지만 매장도 협소해서 더더 웨이팅이 심하더라구요"
1252860220,백일도,,,"사장님 내외분, 직원분들 늘 친절하세요. 다들 너무 바쁘신데 건강 챙기시고 오래 해주시길🍣"
1252860220,백일도,,,"시마아지, 참돔, 민어(부레, 껍질 포함). 소(1.5인분)+ 전어(사이드, 1만원)."
1252860220,백일도,,,신선하고 맛있고 친절하시고!! 정말 좋아하는 식당이에요!!👍👍👍👍👍👍👍👍
1252860220,백일도,,,올 한해 정말 방어 원없이 먹은 것 같아요. 항상 갈때마다 너무 친절하게 잘해주셔서 감사합니다. 사장님부부분들 너무 친절하고 감사합니다. 올 해 벌써 포장까지 함쳐서 5번 정도 간 것 같아요. 여기 스끼다시
1252860220,백일도,,,웨이팅 빡세다던 그 백일도 드디어가보았습니다...진짜마싯고 우니 사이드꼭드세요
1252860220,백일도,,,"웨이팅이 있긴 하지만 충분히 기다릴 만한 가치가 있고, 물회도 맛있는데!!! 추가 주문하면 주는 매운탕까지 완벽했어요."
1252860220,백일도,,,이번 겨울 방어는 여기서 nn번째 머것서요 그만큼 개꿀맛
1252860220,백일도,,,이번 겨울에 진짜 제 칭긔들 돌려가며 다 소개시켜줬어요
1252860220,백일도,,,저녁에 방문예약 없이 이용대기 시간 10분 이내 친목친구
1252860220,백일도,,,저녁에 방문예약 없이 이용대기 시간 30분 이내일상친척・형제
1252860220,백일도,,,저녁에 방문예약 없이 이용대기 시간 바로 입장데이트연인・배우자
1252860220,백일도,,,저녁에 방문예약 없이 이용대기 시간 바로 입장일상친구
1252860220,백일도,,,저녁에 방문예약 후 이용대기 시간 1시간 이상데이트연인・배우자
1252860220,백일도,,,저녁에 방문예약 후 이용대기 시간 2시간 이상일상연인・배우자
1252860220,백일도,,,저녁에 방문예약 후 이용대기 시간 2시간 이상일상연인・배우자
1252860220,백일도,,,"저녁에 방문예약 후 이용대기 시간 30분 이내데이트, 친목친구"
1252860220,백일도,,,저녁에 방문예약 후 이용대기 시간 30분 이상일상친척・형제
1252860220,백일도,,,저녁에 방문포장·배달 이용대기 시간 10분 이내 일상연인・배우자
1252860220,백일도,,,점심에 방문예약 없이 이용대기 시간 바로 입장일상기타
1252860220,백일도,,,점심에 방문예약 없이 이용대기 시간 바로 입장일상기타
1252860220,백일도,,,점심에 방문포장·배달 이용대기 시간 바로 입장일상연인・배우자
1252860220,백일도,,,주말에 캐치테이블로 2:30에 웨이팅 신청하고 8:30쯤 들어갔지만 너무 맛있었어요! 매운탕에 수제비 사리 꼭 추가해주세요.. ❤️ 방어 대자로 여자 4명이서 배불리 먹었습니다.
1252860220,백일도,,,중곡동에서 아마 가장 유명한 식당이지 않을까 싶어요. 주말에 오픈시간부터 명단 작성하러 갔는데 이미 순번이 30번대.. 😅 유독 방어철에 웨이팅 지옥인 곳 ㅠㅠ 그래도 포장은 대기가 짧으니 시간내서 오시는 분은 포장해서 드시는 걸 추천드려요. 방어가 다 거기서 거기지 않나 생각했지만 백일도 방어는 두툼하고 회전율이 좋아서인지 먹을 때마다 엄청 신선한 느낌이 들어서 확실히 독보적 맛집이라고 할만 합니다👍 저도 그렇고 같이 온 사람들도 모두 인생방어집이라고 극찬했어요 ^^ 무엇보다 같이 내어주는 초대리 밥.. 간이 예술입니다ㅋㅋ
1252860220,백일도,,,"중곡시장 신선한 횟집 ‘백일도’ 다양한 구성의 회와 해산물을 갓성비로 이용할 수 있는 곳이에요👍 도다리,참돔,우럭으러 구성된 1.5인 세트 구성은 혼술러에게 충분한 양이며 초대리밥과 묵은지,양념장을 곁들이고 위스키랑 페어링 하였네요."
1252860220,백일도,,,진짜 진짜 맛도 맛이지만 사장님이신지.. 직원 분이신지 여튼 백일도에서 일하시는 분들 모두 너무나 친절하십니다!!!!!!!!
1252860220,백일도,,,집근처에 있어서 미리 포장주문 전화하고 20분 뒤에 가면 바로 주세요~사장님 넘 친절하시고 회두 넘 맛있어서 자주 먹습니다.
1252860220,백일도,,,최고의 맛집 가성비 가심비 쵝오 최고! 회 맛도 완전 일품이에요 사장님도 직원분도 친절 하시고 콜키지 프리에다가 회가 어쩜 이리 달달 하다는걸~~~ 딱 회만 전문전 해산물도 맛나고 스끼다시로 배 채우는 집이 아니라는~~~ 너무너무너무 맛나요 가격도 착해소 요것저것 먹고 싶은거 위만 허락해준다면 다 들어감요
1252860220,백일도,,,추석연휴에 친구와 방어와 전어 돌멍게까지 알차게 잘 먹었어요~~❤️❤️
1252860220,백일도,,,추운날이 딱 좋은 대방어 맛집 입니다~~ 매장에서 먹어서 더 맛있게 먹었어요^^ 포장도 좋지만 역시 가서 먹는게 좋네요
1252860220,백일도,,,"캐치테이블 대기 해서 한시간 반 정도 기다렸다 들어갔어요, 가성비도 좋고 콜키지도 무료라 좋네요!"
1252860220,백일도,,,평일 낮에 웨이팅 명단 미리 작성해 놓고 저녁에 맞춰 들어갔습니다! 웨이팅은 빡세지만 대방어는 미쳤어요..
1252860220,백일도,,,항상 애용하는 횟집입니다~ 요즘 물가가 올라서 그런지 물회 안에 회는 쩜 줄었네요~ 그래도 육수가 맛나서 재방문 하려구요~~
1252860220,백일도,,,해산물 이렇게 먹을 수 있는 곳 여기밖에 없음
1252860220,백일도,,,"행복지수 153%,중곡시장 횟집🐟🍣 ‘백일도’에서만 느낄 수 있는 행복감이에요🤗 푸짐한 구성의 활어회들과 곁들여 먹는 샤리,날치알,묵은지 등으로 구성하는 D.I.Y 회김밥도 맛있어요~ 오늘 매운탕 대신 먹어본 전복라면은 이름만큼이나 풍부한 구성력을 자랑해요. 전복,황태,대파,청양고추,콩나물이 들어가 있고 해장도 되면서 양은 냄비 담음새로 푸짐하게 나오네요! 백일도와 함께 하는 봄날의 미식 운치 어떠세요?"
1252860220,백일도,,,회 도톰해서 식감미쳤고 신선하고 모든게 완벽해요ㅠㅠㅠㅠㅠ해산물도 싱싱 존맛탱 그 자체!!!!
1738768651,소랑도생선회,,,50분 정도 대기해서 들어갔습니다 ㅠ 근데 회가 거의 품절이라 간재미무침 시켜먹었습니다 ㅠㅠ 갓김치도 짜고 회무침도 너무 짜고 국도 짜고 같이 간 일행도 너무 짜다고 해서 아쉬웠습니다 ㅠ 좀만 간을 조절 했으면 좋겠습니다
1738768651,소랑도생선회,,,가게 이전 하기 전부터 왔었는데 이전하고나서 장소도 더 깔끔해지고 단체모임하기 더 좋아졌어요!
1738768651,소랑도생선회,,,가게 이전 후 처음 방문했는데 규모도 커지고 웨이팅도 심해졌네요ㅜ당연히 맛있다보니 어쩔수없는ㅜ오늘도 맛있게 잘먹었어요
1738768651,소랑도생선회,,,가오리와 삼치회는 여기 거의 시그니처급 메누에다가 겨울이라 그런지 더더욱 싱싱하고 고속하면서 쫄깃한 식감까지해서 완벽했구요.
1738768651,소랑도생선회,,,그런데 새로 이전한 가게에서 간재무 무침을 먹었는데 뼈가 너무 억세서 먹기 힒들었다
1738768651,소랑도생선회,,,"그런데 포장은 김치, 김, 간장과 쌈장, 마늘고추 외에 스키다시(다른 밑반찬) 없으니 매장이용 추천드릴게요:)"
1738768651,소랑도생선회,,,김에 싸 먹다보다 보니 중독성이 생기는맛이랄까(!?!)
1738768651,소랑도생선회,,,남은 회무침에 공깃밥 비벼먹으니 너무 맛있었습니다~ 횟집답게 회전율은 더뎠지만..
1738768651,소랑도생선회,,,"너무 지인추천으로 와보고 싶었는데 평일에 드디어 왔어요! 사장님, 직원분들도 너무 다 친절하시고 너무 쾌적하게 잘 먹었습니다!"
1738768651,소랑도생선회,,,노랑가오리회를 먹어보고 싶었는데 이날은 없어서 맛을 못봤습니다...다음엔 꼭 맛봐야 겠어요.
1738768651,소랑도생선회,,,대삼치회가 있어서 가봤습니다. 직원분들 손도 빠르시고 음식 맛있는 건 말해 뭐해요. 위스키 콜키지가 1.5만원이라 더 좋았습니다. 간재미무침 시키면 비벼먹으라고 밥도 주세요. 최고.
