가게ID,가게명,업종,평점,날짜,리뷰내용
1240526460,705사케집,사시미,,9.29,저녁에 방문예약 후 이용대기 시간 바로 입장친목친구
1240526460,705사케집,사시미,,9.22,연어는 여기가 가장 맛있어서 거의 십년전부터 선릉점일때부터 오던곳이에요. 추억이 많던 선릉점은 없어졌지만 연어는 여전히 맛나네요!! 또 올게요
1240526460,705사케집,사시미,,9.22,"점심에 방문예약 없이 이용대기 시간 바로 입장친목, 일상, 데이트친구, 지인・동료, 혼자"
1240526460,705사케집,사시미,,9.22,점심에 방문예약 없이 이용대기 시간 바로 입장친목지인・동료
1240526460,705사케집,사시미,,9.19,저녁에 방문예약 없이 이용대기 시간 바로 입장친목친구
1240526460,705사케집,사시미,,9.18,저녁에 방문예약 없이 이용대기 시간 바로 입장친목친구
1240526460,705사케집,사시미,,9.18,점심에 방문예약 없이 이용대기 시간 바로 입장일상지인・동료
1240526460,705사케집,사시미,,9.12,연어는 신선하니 와사비에 간장만 찍어 먹어도 맛있었고 튀김은 바삭+탱글해서 도쿠리 두 병 순삭하는 맛이었어요!!! 테이블 간격이나 너비가 넓어서 좋았고 대화하며 먹기에 좋았습니다 🥰
1240526460,705사케집,사시미,,9.12,저녁에 방문예약 없이 이용대기 시간 바로 입장데이트연인・배우자
1240526460,705사케집,사시미,,9.12,전에 방문 했었는데 너무 맛있게 먹었었던 기억에 다시 재방문 했습니다~~! 연어를 너무 좋아해서 일부러 여기로 모임장소를 잡았네요ㅎㅎ 역시나 맛있습니다 다음에 또 올게요 :)
1240526460,705사케집,사시미,,8.5,점심에 방문예약 후 이용대기 시간 바로 입장데이트연인・배우자
1240526460,705사케집,사시미,,8.20,연어무제한 강추! 너무 맛있고 직원분들도 친절하시고 이제 단골예정입니다~
1240526460,705사케집,사시미,,7.4,기본 안주로 계란 주시는데 맛있어요ㅜㅜ 그리고 연어도 두툼하니 좋아용 굿굿굿
1240526460,705사케집,사시미,,7.4,"약속이나 모임 장소로 좋을것 같고. 저녁시간에 갔더니 손님이 많더라구요. 미리 예약하면 좋을거 같아요. 좋은 자리로 준비해주셔서 좋았습니다. 연어 상태 좋고, 나가사키짬뽕과 면추가 조합 좋았어요"
1240526460,705사케집,사시미,,7.24,연어가 엄청 신선하고 너무 맛있었어용~ 오늘 따라 소주가 쎄서 얼음 요청 드렸는데 친절하게 많이 가져다 주셔서 너무 좋았습니다ㅎㅎ
1240526460,705사케집,사시미,,7.21,점심메뉴로 먹는데 전부 맛있습니다 카레는 빨리 솔드아웃되니 12시전에 가셔야 드실수있을거에요 나중에 카레먹으러 또갈거에요 저녁에는 연어무한리필도 하니 저녁에는 연어먹으로 가보겠습니다
1240526460,705사케집,사시미,,7.18,기본 짬뽕탕 좀 매워여 ! 신라면보다 쪼금 매운..?ㅎㅎ 잘먹었어요!
1240526460,705사케집,사시미,,7.18,점심에 방문예약 없이 이용대기 시간 바로 입장친목친구
1240526460,705사케집,사시미,,7.14,친한 언니랑 연어좋아해서 조용히 한잔 하려고 왔는대 연어도 넘 맛나고 나가사키 짬뽕도 넘 맛나요 담에 또 올꺼예여
1240526460,705사케집,사시미,,7.11,연어가 먹고싶어서 방문했는데 연어는 물론 매운해물짬뽕도 맛있어요 기본 안주로 계란후라이가 나와서 신기하고 재밌어요
1240526460,705사케집,사시미,,7.10,"연어 사시미 진짜 신선하고 야끼소자, 나가사끼우동도 완전 맛있어요! 사케랑 찰떡 조합이라 또 가고 싶네요 :)"
1240526460,705사케집,사시미,,7.10,점심에 방문예약 없이 이용대기 시간 30분 이내일상지인・동료
1240526460,705사케집,사시미,,6.5,점심에 방문예약 없이 이용대기 시간 바로 입장데이트연인・배우자
