가게ID,가게명,업종,평점,날짜,리뷰내용
34481600,87닭강정 오류동본점,치킨,,,10년전 오류동에 이사온 이후부터 맛있게 먹은가게에요^^ 이제 두아들들과 함께 먹으러 오내요ㅎ 여전히 맛있습니다!
34481600,87닭강정 오류동본점,치킨,,,87닭강정을 우연히 알게되서 먹어 보려고 이천에서 여기까지 한시간 걸려서 왔는데 기존에 여타 다른 닭강정과 다른 조청 소스가 굉장히 맛있네요. 달기만 한게 아니여서 저처럼 닭강정 좋아하시는 분들은 호불호 없이 드실만 합니다. 추천 합니다^^
34481600,87닭강정 오류동본점,치킨,,,근처에 BTS도 시켜무것다는 87에서 무거밧네요 사장님 넘 친절해서 더 기분 좋게 먹은거같아요 식어도 맛잇는 닭강정
34481600,87닭강정 오류동본점,치킨,,,너무 맛있어요!! 아이들이 잘 먹네요. 자주 들르겠습니다. 닭강정. 감자튀김. 치즈스틱 모두 맛있어요😍
34481600,87닭강정 오류동본점,치킨,,,너무 맛있어용~~!! 밖에 너무 더웠는데 매장 짱시원하고 맥주잔 소주잔 다 얼려주시는 센스 짱짱입니다!!!!!!
34481600,87닭강정 오류동본점,치킨,,,너무맛나네요!!양념 닭강정괴 아이꺼 치킨 시켜 먹었어요!! 양념치킨보다 바삭하니 입이 즐겁네요!!
34481600,87닭강정 오류동본점,치킨,,,닭강정 바삭바삭 매콤하고 (3대 닭강정집을 지금 알은 나ㅜㅜ.)
34481600,87닭강정 오류동본점,치킨,,,닭강정은 원래 배달로 먹기좋은데 가서 먹어도 시원한 생맥주와 곁들이니 치맥만큼 풍미가 살아나네요
34481600,87닭강정 오류동본점,치킨,,,두 가지 세트 메뉴가 가능하니 서로 좋아하는 메뉴 고를 수 있어서 넘나 좋잖아요 (^o^)/
34481600,87닭강정 오류동본점,치킨,,,맛있어요~ 오리지널 땡초 올려 있는데 맵지도 않고 적당히 잘 어울려요!!
34481600,87닭강정 오류동본점,치킨,,,먹어봤던 닭강정 중에서 제일 맛있었어요. 다음에 또 오고 싶네요😃
34481600,87닭강정 오류동본점,치킨,,,무더운 여름날 건강유의하시고 다음번에 또 방문해주세요!
34481600,87닭강정 오류동본점,치킨,,,바삭한 닭강정 찾는다면 여기만한곳이 없음 ㅎㅎ 그리고 식으면 손에 찐득하게 묻지도 않아서 너무 신기하네요 ㅋㅋ 개인적으로 오리지널 /카레맛/ 기본 조합 추천합니다🩷🩷대존맛
