가게ID,가게명,평점,날짜,리뷰내용
1831215459,9로평상,,,2층 주문 넓은 공간 3층까지 여유롭게 탁 트인 뷰에 멋진 건물과 공간을 갖춘 맛있는 커피 베이커리 쵸코렛까지ᆢ 🍫 ✨️🤗👍
1831215459,9로평상,,,"9로평상 이름처럼 멋진 건축물과 함께하는 뷰가 좋은 까페 입니다. 디저트도 훌륭하고, 특히 색다른 쵸코도 경험할 수 있어서 좋았어요. 시간이 여유로울 땐 루프탑에서 더 넓은 경치를 감상하면서 커피타임도 즐길 수 있을 것 같아요. 곧 재방문 할 예정입니다."
1831215459,9로평상,,,공간도 넓고 인테리어도 잘 되어 있고 뷰도 좋고 1층에 주차장도 있고 빵도 다양하게 많아서 좋은데 가격은 좀 사악하네요..🤣
1831215459,9로평상,,,공간도 넓고 인테리어도 잘 되어 있고 뷰도 좋고 1층에 주차장도 있고 빵도 다양하게 많아서 좋은데 가격은 좀 사악하네요..🤣
1831215459,9로평상,,,"그런데, 통창뷰이다보니,,, 오늘 같은 한여름 날씨엔 창가 근처가 너무 덥고 햇빛이 반사되서 눈이 부셔서, 등지고 앉아서 뷰가 아수웠어요, 그래도 나올때 해가 뉘엿뉘엿해지니까, 그때는 또 일몰 뷰가 좋았네염 😆😆 참 빵은 치즈치아바타가"
1831215459,9로평상,,,넓고 깨끗해서 좋았지만 확실히 음료가 많이 비싸긴 했어요! 특히 초코라떼 양 넘 적어요ㅠㅠㅠ
1831215459,9로평상,,,넓고 깨끗해서 좋았지만 확실히 음료가 많이 비싸긴 했어요! 특히 초코라떼 양 넘 적어요ㅠㅠㅠ
1831215459,9로평상,,,다른 평상에도 다른 카페와 다르게 편안하게 아기와 엄마가 와서 힐링하는것같아 보기 좋았습니다.
1831215459,9로평상,,,다좋은데 평상쪽에 일부 천장에서 에어컨물이 뚝뚝이아니고 차르륵 흘러내려요..몇분마다 물이 고이면 흐르고 반복..첨에 친구가 다튀겨서ㅋ그쪽에 커피나음식뒀으면 못먹을뻔. 그 자리 피하고 얘기해야지하고 생각하는데 지나가던 직원오셔서 물젖은 휴지 보시고는 물받이바구니같은거 드릴까요 하더니 갑자기 이것때메 에어컨은 끌수가없다시더라고요 꺼달란말한적없고 그냥 아무얘기도안했음ㅋㅋ 그래서 괜찮다 안꺼도된다 함 어짜피 피해서 앉아있어서 상관없었거든요. 근데 곧 에어컨끄신거같았음..ㅋㅋㅋ어쨌든 말도안했는데 지나가던 직원분이 보자마자 얘기한거보면 다 아는거같은데 누수 빨리 보완하셔야할듯 누가 물엎지르듯이 흘러요ㅜㅋㅋ
1831215459,9로평상,,,다좋은데 평상쪽에 일부 천장에서 에어컨물이 뚝뚝이아니고 차르륵 흘러내려요..몇분마다 물이 고이면 흐르고 반복..첨에 친구가 다튀겨서ㅋ그쪽에 커피나음식뒀으면 못먹을뻔. 그 자리 피하고 얘기해야지하고 생각하는데 지나가던 직원오셔서 물젖은 휴지 보시고는 물받이바구니같은거 드릴까요 하더니 갑자기 이것때메 에어컨은 끌수가없다시더라고요 꺼달란말한적없고 그냥 아무얘기도안했음ㅋㅋ 그래서 괜찮다 안꺼도된다 함 어짜피 피해서 앉아있어서 상관없었거든요. 근데 곧 에어컨끄신거같았음..ㅋㅋㅋ어쨌든 말도안했는데 지나가던 직원분이 보자마자 얘기한거보면 다 아는거같은데 누수 빨리 보완하셔야할듯 누가 물엎지르듯이 흘러요ㅜㅋㅋ
1831215459,9로평상,,,메론빵 안에 크림이 적당히 달고 맛있었고 직화불고기브레드도 겉에 쫄깃하고 안에 꽉 차있어서 맛있게 먹었습니다! 주문하면 먹기좋게 빵 잘라주세요
1831215459,9로평상,,,비오는 토요일에 방문했어요~ 구로평상은 첫 방문!! 깔끔하고 세련되고 엄청 커서 또 그게 좋더라구요?! 비 안오는 날 방문했으면 더더 좋았을탠뎅 ㅠㅠㅋ 솔직히 제 생각엔 대형카페 많이?! 다녀본 입장으로는 커피는 좀 많이 비싼편 같아요 ㅠㅠ 베이커리는 맛있어요!! 생김새는 보통인데 진짜 맛있어서 깜놀랐어요!! 아 글고 이용후 커피 요청하면 또 주시더라구요?! 커피 가격이 좀 있지만 요래 집 갈때 한잔씩 챙겨주시니 안비싸게 느껴짐^^ㅋ 직원들 짱 친절! 굿굿!!👍👍👍
1831215459,9로평상,,,수제 초콜릿도 정말 맛있어서 다음에는 선물용으로 구매하러 가려구요~^^
1831215459,9로평상,,,아메를 한 번 더 먹을 수 있는 거라 커피를 2잔 이상 먹을 때는 괜찮은 것 같다.
1831215459,9로평상,,,아메리카노 주문하면 영수증 필참시 한 잔 더 리필 가능한데 테이크아웃으로도 가능해요 앙버터빵과 크림빵 먹었는데 달지 않고 담백했어요 평상 자리가 많아 가족끼리나 단체 방문하기 좋아요
1831215459,9로평상,,,음료 나왔다고 알림떠서 갔지만 음료를 만들지도 않아서 또 한참 기다렸다가 받았어요
1831215459,9로평상,,,음료가격이 비싼편이지만 커피맛이 좋았고 1회 리필 가능함. 반면 빵 가격은 다른 대형카페에 비해 저렴한편인데 맛있는 빵종류가 다양함. 할라피뇨소세지는 내입맛에 딱 맞았음. 바질 포카치아도 맛있음. 소금빵은 포장해옴. 엘베안에 빵쟁반을 놓을 수 있는 센스넘치는 공간도 있음. 주차는 구매금액에 따라 최대3시간까지 무료이용 가능.
1831215459,9로평상,,,"인테리어도 이쁘고, 디저트도 맛있고 너무 좋은 이 공간을 일부 부모들이 키즈카페마냥 사용해서 다시는 방문하고 싶지 않네요."
1831215459,9로평상,,,저녁에 방문예약 없이 이용대기 시간 바로 입장데이트연인・배우자
1831215459,9로평상,,,저녁에 방문예약 없이 이용대기 시간 바로 입장데이트연인・배우자
1831215459,9로평상,,,저녁에 방문예약 없이 이용대기 시간 바로 입장일상부모님
1831215459,9로평상,,,저녁에 방문예약 없이 이용대기 시간 바로 입장친목친구
1831215459,9로평상,,,점심에 방문예약 없이 이용대기 시간 바로 입장
1831215459,9로평상,,,점심에 방문예약 없이 이용대기 시간 바로 입장
1831215459,9로평상,,,"점심에 방문예약 없이 이용대기 시간 바로 입장데이트, 일상연인・배우자"
1831215459,9로평상,,,점심에 방문예약 없이 이용대기 시간 바로 입장데이트연인・배우자
1831215459,9로평상,,,점심에 방문예약 없이 이용대기 시간 바로 입장데이트연인・배우자
1831215459,9로평상,,,"점심에 방문예약 없이 이용대기 시간 바로 입장연인・배우자, 친구"
1831215459,9로평상,,,점심에 방문예약 없이 이용대기 시간 바로 입장일상지인・동료
1831215459,9로평상,,,"점심에 방문예약 없이 이용대기 시간 바로 입장일상지인・동료, 친구"
1831215459,9로평상,,,"점심에 방문예약 없이 이용대기 시간 바로 입장일상지인・동료, 친구"
1831215459,9로평상,,,점심에 방문예약 없이 이용대기 시간 바로 입장일상친구
1831215459,9로평상,,,점심에 방문예약 없이 이용대기 시간 바로 입장친목친구
1831215459,9로평상,,,지나가면서만 보다가 한번들러보고 싶어 저녁식사후 와봤는데 분위기도 좋고 음료도 맛있어요 :)
1831215459,9로평상,,,창가 자리는 오후에 햇살이 들어와 한 여름에는 앉기가 쉽지는 않아 보였고 평상이 있는 자리는 가족이 많다 보니 좀 시끄러웠습니다
1831215459,9로평상,,,친구들과 가면 항상 좋은 시간 보내고 오는 커피가 정말 맛있는 곳입니다. 빵도 너무 맛있구요~
1831215459,9로평상,,,친구들과 가면 항상 좋은 시간 보내고 오는 커피가 정말 맛있는 곳입니다. 빵도 너무 맛있구요~
1831215459,9로평상,,,카카오닙스에이드. 맛있고 양이적다. ㅜㅜ 테이크아웃이라 드립커피 리필은 궁금했지만 포기.
1831215459,9로평상,,,커피도 맛있고 디저트류도 굿!! 강추강추❤️❤️앞에 수목원이 았고 근처에 숲도 있어서 뷰도 끝내줘요^^ 맛도 분위기도 참 좋은 곳~~
1831215459,9로평상,,,커피도 맛있고 디저트류도 굿!! 강추강추❤️❤️앞에 수목원이 았고 근처에 숲도 있어서 뷰도 끝내줘요^^ 맛도 분위기도 참 좋은 곳~~
1831215459,9로평상,,,커피도 음료도 빵도 아주 맛있어요. 특히 바게트등 식사빵이 아주 맛있습니다.
1831215459,9로평상,,,커피맛 잘 모르는 남편도 맛있다고 한잔 다 마셨어요~ 게다 커피값 대신해줄 저렴한 빵가격에 두개먹을거 세개먹어도 될 가성비!! 근데 맛은 진짜 너무 맛있어. 앙버터 빵 누룽지맛나고 고소하고 쫄깃해서 진짜 무한으로 먹을 수 있을거 같아요.
1831215459,9로평상,,,코코아를 드립커피 마시듯 음미하며 마시게 되는 맛이었습니다. 견과류의 고소함이 느껴졌어요.
1831215459,9로평상,,,평상 앉아보고싶었는데 자리가 다차서요. 짐 두고 자리맡고가시는분들도 계시고. 합석이 된다고되어있지만 어떤 양보도 어렵긴 하겠더라구요.
1831215459,9로평상,,,평상 앉아보고싶었는데 자리가 다차서요. 짐 두고 자리맡고가시는분들도 계시고. 합석이 된다고되어있지만 어떤 양보도 어렵긴 하겠더라구요.
1831215459,9로평상,,,"평상자리가 있어서 아이가 책도 보고, 편하게 앉을 수 있어 좋았어요! 가격이 비싸지만, 음료도 맛있고 아메리카노로 리필도 한번 할 수 있어서 괜찮아요. 가끔 한번씩 아이들이랑 갈 것 같아요🤍"
1831215459,9로평상,,,"푸른 수목원 산책 왔다가 필수 코스로... 상호 9로 평상처럼 평상이 많이 펼쳐져 있다는😂 실내 가구는 비교적 단조롭지만, 시원한 통창과 넓은 평상 공간, 시야가 탁 트이는 외부 멋진 공간까지 지루할 틈이 없는 매장입니다. 빵 종류도 다양하고 에이드 2종도 넘나 빛깔이 곱네요😘"
1831215459,9로평상,,,푸른수목원 근처에 이런 대형카페가 있는지 처음 알았는데 너무 힐링되고 좋네요. 카페 내부도 넓고 자리도 많고 탁 트인 전망 바라보면서 먹으면서 대화할수 있어 좋았어요. 직원분들도 모두 친절하세요
1831215459,9로평상,,,혼자 두개나 먹고 간다하니 놀라신 듯 하지만 포카치아는 데워서 소금빵이랑 먹기 좋은 크기로 잘라주셨다.
1831215459,9로평상,,,황동 철길근처에 밌으며 대형카페로 4층까지 있어 뷰가 굿굿
1690558297,르디투어 아이파크몰 고척점베이커리,,,난 민초파라~ 여기서만 맛볼 수 있는 민트 모히또라떼 마시러 자꾸 오게된다 ㅋㅋ
1690558297,르디투어 아이파크몰 고척점베이커리,,,매장 안이 넓어서 쾌적해서 좋아요. 베이커리 종류도 많고 커피도 원두 선택할 수 있어서 좋아요. 집 근처라서 지인 오거나 하면 꼭 같이 오는 곳이에요
1690558297,르디투어 아이파크몰 고척점베이커리,,,매장 안이 넓어서 쾌적해서 좋아요. 베이커리 종류도 많고 커피도 원두 선택할 수 있어서 좋아요. 집 근처라서 지인 오거나 하면 꼭 같이 오는 곳이에요
1690558297,르디투어 아이파크몰 고척점베이커리,,,매장도 넓고 좌석도 넓어서 좋아요! 주차장도 넓어서 주차하기도 편하고 쇼핑도 같이 할 수 있어서 좋습니다😊
1690558297,르디투어 아이파크몰 고척점베이커리,,,매장도 넓고 좌석도 넓어서 좋아요! 주차장도 넓어서 주차하기도 편하고 쇼핑도 같이 할 수 있어서 좋습니다😊
1690558297,르디투어 아이파크몰 고척점베이커리,,,매장도 청결하고 직원분들도 친절하세요 주말에는 손님이 많아 빵이 금방 소진되서 일찍와서 먹는 편입니다 치즈케이크도 쫀득하고 진짜 맛있어요
1690558297,르디투어 아이파크몰 고척점베이커리,,,매장도 청결하고 직원분들도 친절하세요 주말에는 손님이 많아 빵이 금방 소진되서 일찍와서 먹는 편입니다 치즈케이크도 쫀득하고 진짜 맛있어요
1690558297,르디투어 아이파크몰 고척점베이커리,,,무화과 크랜베리 깜빠뉴가 건강하고 고소한 맛이에요. 오픈하자마자 바로오니 갓구운 빵들이 너무 맛있어보여요. 라떼도 맛있습니당
1690558297,르디투어 아이파크몰 고척점베이커리,,,무화과 크랜베리 깜빠뉴가 건강하고 고소한 맛이에요. 오픈하자마자 바로오니 갓구운 빵들이 너무 맛있어보여요. 라떼도 맛있습니당
1690558297,르디투어 아이파크몰 고척점베이커리,,,분위기가 너무 좋고 빵이 다양해요!! 넘 맛있게 잘 먹고 잘 놀다 갑니당
1690558297,르디투어 아이파크몰 고척점베이커리,,,빵 종류도 많고 커피 종류도 다양해요~~!! 여기 라떼 맛집이라는데 플랫화이트 정말 진하고 고소하네요!!! 빵도 맛있었어요~!! 아이파크몰 구경하고 당충전 카페인 충전하기 딱 좋은 곳이에요~~ 야구 보러 오시는 분들!!! 여기서 쉬다가기도 딱입니다!! 저도 오늘 첫 방문인데 재방문 의사 완전 있습니당❤️
1690558297,르디투어 아이파크몰 고척점베이커리,,,빵 종류도 많고 커피 종류도 다양해요~~!! 여기 라떼 맛집이라는데 플랫화이트 정말 진하고 고소하네요!!! 빵도 맛있었어요~!! 아이파크몰 구경하고 당충전 카페인 충전하기 딱 좋은 곳이에요~~ 야구 보러 오시는 분들!!! 여기서 쉬다가기도 딱입니다!! 저도 오늘 첫 방문인데 재방문 의사 완전 있습니당❤️
1690558297,르디투어 아이파크몰 고척점베이커리,,,빵 종류도 음료 종류도 많은데 하나하나 특색있어요. 매장 안쪽으로 자리도 많고 각기 개성있어서 골라앉아 대화하기 좋아요😀
1690558297,르디투어 아이파크몰 고척점베이커리,,,빵 종류도 음료 종류도 많은데 하나하나 특색있어요. 매장 안쪽으로 자리도 많고 각기 개성있어서 골라앉아 대화하기 좋아요😀
1690558297,르디투어 아이파크몰 고척점베이커리,,,빵냄새에 홀려서들어왓는데 상하목장아이스크림도 잇는거에 감동ㅎ 바로 빵이랑 커피시켯어요^^ 매장도넓고 좋아요!!
1690558297,르디투어 아이파크몰 고척점베이커리,,,빵도 맛있고 분위기 좋아요!!🤍🤍 자리도 많고 간격도 넓은 편이에요
1690558297,르디투어 아이파크몰 고척점베이커리,,,빵도 맛있고 분위기 좋아요!!🤍🤍 자리도 많고 간격도 넓은 편이에요
1690558297,르디투어 아이파크몰 고척점베이커리,,,빵이 약간 비싸다 싶다가도 먹어보면 그런 생각이 싹 사라져요. 너무 맛있어요ㅠ
1690558297,르디투어 아이파크몰 고척점베이커리,,,빵이 약간 비싸다 싶다가도 먹어보면 그런 생각이 싹 사라져요. 너무 맛있어요ㅠ
1690558297,르디투어 아이파크몰 고척점베이커리,,,빵이 약간 비싸다 싶다가도 먹어보면 그런 생각이 싹 사라져요. 너무 맛있어요ㅠ
1690558297,르디투어 아이파크몰 고척점베이커리,,,새로나온 베이커리로 먹어봤는데 괜찮았어요. 베이커리는 고척아이파크몰 안에서는 제일 괜찮더라고요. 커피 맛만 좀 좋았으면 좋겠어요. 제발.. ㅠㅠ
1690558297,르디투어 아이파크몰 고척점베이커리,,,새로나온 베이커리로 먹어봤는데 괜찮았어요. 베이커리는 고척아이파크몰 안에서는 제일 괜찮더라고요. 커피 맛만 좀 좋았으면 좋겠어요. 제발.. ㅠㅠ
1690558297,르디투어 아이파크몰 고척점베이커리,,,아이도 좋아하는 크로와상이라 자주 옵니다^^커피도 맛잇어요
1690558297,르디투어 아이파크몰 고척점베이커리,,,아이도 좋아하는 크로와상이라 자주 옵니다^^커피도 맛잇어요
1690558297,르디투어 아이파크몰 고척점베이커리,,,아이도 좋아하는 크로와상이라 자주 옵니다^^커피도 맛잇어요
1690558297,르디투어 아이파크몰 고척점베이커리,,,아이파크몰 고척점 2층에 있는 커피숍이에요~ 원두가 좋아서 커피가 아주 맛있어요. 그리고 특히 빵이 맛있어서 자주오게 되네요^^
1690558297,르디투어 아이파크몰 고척점베이커리,,,아이파크몰 고척점 2층에 있는 커피숍이에요~ 원두가 좋아서 커피가 아주 맛있어요. 그리고 특히 빵이 맛있어서 자주오게 되네요^^
1690558297,르디투어 아이파크몰 고척점베이커리,,,"아이파크몰안에있어서 ,, 주차도 화장실도 좋아요 ✨애기의자도 많네요"
1690558297,르디투어 아이파크몰 고척점베이커리,,,"아이파크몰안에있어서 ,, 주차도 화장실도 좋아요 ✨애기의자도 많네요"
1690558297,르디투어 아이파크몰 고척점베이커리,,,아침에 방문예약 없이 이용대기 시간 바로 입장데이트연인・배우자
1690558297,르디투어 아이파크몰 고척점베이커리,,,아침에 방문예약 없이 이용대기 시간 바로 입장데이트연인・배우자
1690558297,르디투어 아이파크몰 고척점베이커리,,,아침에 방문예약 없이 이용대기 시간 바로 입장친목친구
1690558297,르디투어 아이파크몰 고척점베이커리,,,아침에 방문예약 없이 이용대기 시간 바로 입장친목친구
1690558297,르디투어 아이파크몰 고척점베이커리,,,아침에 방문예약 없이 이용대기 시간 바로 입장친목친구
1690558297,르디투어 아이파크몰 고척점베이커리,,,연유소금빵이랑 브런치메뉴 시켜봤는데 둘다 너무 맛있게 잘 먹었습니다
1690558297,르디투어 아이파크몰 고척점베이커리,,,연유소금빵이랑 브런치메뉴 시켜봤는데 둘다 너무 맛있게 잘 먹었습니다
1690558297,르디투어 아이파크몰 고척점베이커리,,,우리동네 쉼터.. 빵도 종류가 많고 너무 분위기도 좋고 맛도있네요~~ 아침부터 기분좋은하루 시작이네요~
1690558297,르디투어 아이파크몰 고척점베이커리,,,우리동네 쉼터.. 빵도 종류가 많고 너무 분위기도 좋고 맛도있네요~~ 아침부터 기분좋은하루 시작이네요~
1690558297,르디투어 아이파크몰 고척점베이커리,,,우리동네 쉼터.. 빵도 종류가 많고 너무 분위기도 좋고 맛도있네요~~ 아침부터 기분좋은하루 시작이네요~
1690558297,르디투어 아이파크몰 고척점베이커리,,,일하다 중간에 작업하러 오기도 좋고 친구와 수다떨러 오기도 좋은 공간!
1690558297,르디투어 아이파크몰 고척점베이커리,,,일하다 중간에 작업하러 오기도 좋고 친구와 수다떨러 오기도 좋은 공간!
1690558297,르디투어 아이파크몰 고척점베이커리,,,자주 오는데 빵 종류도 많고 맛있어요! 크림류빵도 맛있고 신메뉴도 자주 나와서 골라 먹기 좋아요. 인테리어 멋지고 자리도 넓고 편해서 좋아요
1690558297,르디투어 아이파크몰 고척점베이커리,,,"저녁에 방문예약 없이 이용대기 시간 바로 입장일상지인・동료, 연인・배우자"
1690558297,르디투어 아이파크몰 고척점베이커리,,,"저녁에 방문예약 없이 이용대기 시간 바로 입장일상지인・동료, 연인・배우자"
1690558297,르디투어 아이파크몰 고척점베이커리,,,"점심에 방문예약 없이 이용대기 시간 바로 입장나들이연인・배우자, 부모님"
1690558297,르디투어 아이파크몰 고척점베이커리,,,"점심에 방문예약 없이 이용대기 시간 바로 입장나들이연인・배우자, 부모님"
1690558297,르디투어 아이파크몰 고척점베이커리,,,점심에 방문예약 없이 이용대기 시간 바로 입장데이트연인・배우자
1690558297,르디투어 아이파크몰 고척점베이커리,,,점심에 방문예약 없이 이용대기 시간 바로 입장데이트연인・배우자
1690558297,르디투어 아이파크몰 고척점베이커리,,,"점심에 방문예약 없이 이용대기 시간 바로 입장일상연인・배우자, 아이"
1690558297,르디투어 아이파크몰 고척점베이커리,,,"점심에 방문예약 없이 이용대기 시간 바로 입장일상연인・배우자, 아이"
1690558297,르디투어 아이파크몰 고척점베이커리,,,"점심에 방문예약 없이 이용대기 시간 바로 입장일상연인・배우자, 아이"
1690558297,르디투어 아이파크몰 고척점베이커리,,,"점심에 방문예약 없이 이용대기 시간 바로 입장일상연인・배우자, 아이"
1690558297,르디투어 아이파크몰 고척점베이커리,,,"점심에 방문예약 없이 이용대기 시간 바로 입장지인・동료, 연인・배우자, 아이"
1690558297,르디투어 아이파크몰 고척점베이커리,,,"점심에 방문예약 없이 이용대기 시간 바로 입장친목아이, 연인・배우자"
1690558297,르디투어 아이파크몰 고척점베이커리,,,"점심에 방문예약 없이 이용대기 시간 바로 입장친목아이, 연인・배우자"
1690558297,르디투어 아이파크몰 고척점베이커리,,,"점심에 방문예약 없이 이용대기 시간 바로 입장친목아이, 연인・배우자"
1690558297,르디투어 아이파크몰 고척점베이커리,,,점심에 방문예약 없이 이용대기 시간 바로 입장친목지인・동료
1690558297,르디투어 아이파크몰 고척점베이커리,,,점심에 방문예약 없이 이용대기 시간 바로 입장친목친구
1690558297,르디투어 아이파크몰 고척점베이커리,,,점심에 방문예약 없이 이용대기 시간 바로 입장친목친구
1690558297,르디투어 아이파크몰 고척점베이커리,,,"점심에 방문예약 없이 이용대기 시간 바로 입장친목친구, 지인・동료"
1690558297,르디투어 아이파크몰 고척점베이커리,,,"점심에 방문예약 없이 이용대기 시간 바로 입장친목친구, 지인・동료"
1690558297,르디투어 아이파크몰 고척점베이커리,,,조용한 분위기라 혼자오기도 좋고 매장이 넓어서 이용하기 편리했어요 무엇보다 빵이 너무 맛있어서 포장하러도 종종 오는 곳이에요
1690558297,르디투어 아이파크몰 고척점베이커리,,,조용한 분위기라 혼자오기도 좋고 매장이 넓어서 이용하기 편리했어요 무엇보다 빵이 너무 맛있어서 포장하러도 종종 오는 곳이에요
1690558297,르디투어 아이파크몰 고척점베이커리,,,집 근처라 자주 방문하는 곳이예요. 올때마다 맛있는 디저트와 커피가 있어 매우 좋아요
1690558297,르디투어 아이파크몰 고척점베이커리,,,집 근처라 자주 방문하는 곳이예요. 올때마다 맛있는 디저트와 커피가 있어 매우 좋아요
1690558297,르디투어 아이파크몰 고척점베이커리,,,친구랑 퇴근후 저녁 시간대에만 와보다 낮 시간대는 진짜 오랜만에 와봐요 확실히 낮시간이 빵들도 더 다양하게 많고 먹고 싶은빵들도 많아서 아주 기분이 좋습니다 원래도 친구랑 르디투어 빵들 좋아해서 올 때마다 늘 새로운 거 뿌시기 하고 있어요. 빵들 너무 맛있고 매장 분위기도 좋습니다
1690558297,르디투어 아이파크몰 고척점베이커리,,,친구랑 퇴근후 저녁 시간대에만 와보다 낮 시간대는 진짜 오랜만에 와봐요 확실히 낮시간이 빵들도 더 다양하게 많고 먹고 싶은빵들도 많아서 아주 기분이 좋습니다 원래도 친구랑 르디투어 빵들 좋아해서 올 때마다 늘 새로운 거 뿌시기 하고 있어요. 빵들 너무 맛있고 매장 분위기도 좋습니다
1690558297,르디투어 아이파크몰 고척점베이커리,,,커피 마시러 잠깐 들렸는데 직원분도 친절하시고 생각보다 넓어서 좋았어요! 잘 마시다 갑니당
1690558297,르디투어 아이파크몰 고척점베이커리,,,커피 마시러 잠깐 들렸는데 직원분도 친절하시고 생각보다 넓어서 좋았어요! 잘 마시다 갑니당
1690558297,르디투어 아이파크몰 고척점베이커리,,,커피도 맛있고 매장도 넓어서 여유롭게 즐기기 좋은 카페입니다🤎
1690558297,르디투어 아이파크몰 고척점베이커리,,,커피와 빵이 맛있어요! 매장도 넓고 조용한 분위기라 좋아요😄 혼자서 카공하기에도 안성맞춤 이네용!
1690558297,르디투어 아이파크몰 고척점베이커리,,,커피와 빵이 맛있어요! 매장도 넓고 조용한 분위기라 좋아요😄 혼자서 카공하기에도 안성맞춤 이네용!
1690558297,르디투어 아이파크몰 고척점베이커리,,,커피와 빵이 맛있어요! 매장도 넓고 조용한 분위기라 좋아요😄 혼자서 카공하기에도 안성맞춤 이네용!
1690558297,르디투어 아이파크몰 고척점베이커리,,,혼자 오기도 좋고 모임하기도 좋은 것 같아요! 인테리어도 이쁘고 커피도 맛있어요😀
1690558297,르디투어 아이파크몰 고척점베이커리,,,혼자 오기도 좋고 모임하기도 좋은 것 같아요! 인테리어도 이쁘고 커피도 맛있어요😀
1690558297,르디투어 아이파크몰 고척점베이커리,,,혼자 오기도 좋고 모임하기도 좋은 것 같아요! 인테리어도 이쁘고 커피도 맛있어요😀
1120620042,상상빵집,,,1층은좁은게 단점입니다 손님계산또는줄서야할때빨고를때 힘들어요.
1120620042,상상빵집,,,"과일 케이크, 호두찰빵 재료를 아낌없이 듬뿍 넣으셔서 너무 맛있어요! 찰호두빵 씹을수록 고소해요~ 케이크 과일 듬뿍! 가성비 좋은 맛있는 빵집! 2층 좌석 인테리어 깔끔하고 대화하기 좋아요♡"
1120620042,상상빵집,,,다양하게 잘 구매했어요. 동네에 빵맛집이 있어 좋아요.
1120620042,상상빵집,,,다양한빵이 있어서 좋았어요. 무얼 살지 고민되는데 앞에 시식도 큼직큼직하게 있어서 먹어보고 고를 수 있었습니다. 처음보는 베이커리 류도 많았는데 많이 달지 않고 맛이었어요. 2층 카페 공간도 편안하고 햇빛이 많이 들어와 기분좋아지는 곳이었습니다. 날좋아지면 브런치로 빵먹으러 가고싶어요 ❤️
1120620042,상상빵집,,,동네를 돌다가 종종 봤는데 이제야 방문해봅니다. 몰랐는데 방송에도 출연한 빵 맛집이였네요 ㅎㅎ 빵 종류도 다양하고 카페 분위기도 좋고 만족해하며 다녀갑니다 :)
1120620042,상상빵집,,,"리뷰 1,475사진 1,107팔로워 78"
