가게ID,가게명,평점,날짜,리뷰내용
1949737513,놀이터 전통주 주점,,,가서 다양한 술도 먹어볼 수 있어서 너무 좋았구요~ 안주 맛집입니다. 남구로역 갈 일 생기면 또 가려구요! 사장님도 엄청나게 친절하세용✨👍
1949737513,놀이터 전통주 주점,,,계란찜은 (보통 고깃집 사이드 대비) 양도 많고 치즈도 많이 들어있어서 너무 맛있었어요! 다만 많이 짜서 다음엔 소금양 줄여달라고 요청하려고 해요.
1949737513,놀이터 전통주 주점,,,김치볶음밥이 대존맛탱임...너무 마시써
1949737513,놀이터 전통주 주점,,,"리뷰 1,556사진 510팔로워 25"
1949737513,놀이터 전통주 주점,,,"리뷰 1,635사진 356팔로워 36"
1949737513,놀이터 전통주 주점,,,맛있는 음식과 친절한 사장님덕분에 즐거운시간 보냈습니다 안주 양이 굉장히 많아요 다음에 또 재방문하겠습니다🤩
1949737513,놀이터 전통주 주점,,,미슐랭3스타 레스토랑에서 일하시던 쉐프님(사장님)의 맛깔난 퓨전 안주와 전통주를 원없이 마시며 스트레스 날리고 온날의 기록입니당❤️ 사장님 사모님 너무 친절하시구 아드님 너무 귀엽구 난리난리. 집근처에 이런 보석같은 곳이 있어서 너무 좋아요😍😍
1949737513,놀이터 전통주 주점,,,밤에 방문예약 없이 이용대기 시간 바로 입장일상연인・배우자
1949737513,놀이터 전통주 주점,,,밤에 방문예약 후 이용대기 시간 바로 입장친목친구
1949737513,놀이터 전통주 주점,,,베스트 메뉴 같아서 유린기랑 치즈감자채전 짜치계 3가지를 맛봤어요!!
1949737513,놀이터 전통주 주점,,,분위기도 좋고 감자채전 안에 치즈가 진짜 찐이에요!! 무조건 드셔주세요👍🏻
