가게ID,가게명,평점,날짜,리뷰내용
13021554,강강술래 시흥점,,,게다가 정식이면 밥이든 냉면이든 같이 먹을수 있어서 아주 좋아요.
13021554,강강술래 시흥점,,,게다가 정식이면 밥이든 냉면이든 같이 먹을수 있어서 아주 좋아요.
13021554,강강술래 시흥점,,,고기가 맛있어요 가격대가 좀 있지만 그래도 맛있어서 굿 👍
13021554,강강술래 시흥점,,,고기가 맛있어요 가격대가 좀 있지만 그래도 맛있어서 굿 👍
13021554,강강술래 시흥점,,,고기도 맛있고 나오는 기본 찬도 정말 괜찮았는데 직원들의 서비스가 정말 기분나빴습니다. 아무리 바빳다지만 고기를 구워주시는 분들은 고기를 집어던지듯 굽고 저희가 뒤집고 있는 와중에 갑자기 와서 말 한마디도 없이 집게를 휙 뺏았고 뒤집고 가는데 정말 기분이 나빴습니다. 적어도 실례합니다 정도는 아무리 바빠도 할 수 있는거 아닌가요? 기본적인 직원 교육을 안시키는 것 같습니다. 자리를 안내하는 분도 정확히 말도 안해주시고 저희가 여기가 맞냐고 여쭤보기도 전에 대꾸 한마디 없이 휙 가버리시고 이 돈 주고 여기까지와서 이런 대접 받으려고 온 건 아닌데 이게 맞나 싶습니다 그렇게 대단한 서비스를 바란것도 아니었는데 직원교육 똑바로 했음 좋겠습니다.
13021554,강강술래 시흥점,,,고기도 맛있고 나오는 기본 찬도 정말 괜찮았는데 직원들의 서비스가 정말 기분나빴습니다. 아무리 바빳다지만 고기를 구워주시는 분들은 고기를 집어던지듯 굽고 저희가 뒤집고 있는 와중에 갑자기 와서 말 한마디도 없이 집게를 휙 뺏았고 뒤집고 가는데 정말 기분이 나빴습니다. 적어도 실례합니다 정도는 아무리 바빠도 할 수 있는거 아닌가요? 기본적인 직원 교육을 안시키는 것 같습니다. 자리를 안내하는 분도 정확히 말도 안해주시고 저희가 여기가 맞냐고 여쭤보기도 전에 대꾸 한마디 없이 휙 가버리시고 이 돈 주고 여기까지와서 이런 대접 받으려고 온 건 아닌데 이게 맞나 싶습니다 그렇게 대단한 서비스를 바란것도 아니었는데 직원교육 똑바로 했음 좋겠습니다.
13021554,강강술래 시흥점,,,고기도 맛있는데 갈비탕정식도 괜찮네요~~
13021554,강강술래 시흥점,,,고기도 맛있는데 갈비탕정식도 괜찮네요~~
13021554,강강술래 시흥점,,,고기맛이 좋아서 찾게되는 강강술래! 구워주니 편하게 먹을 수 있어서 좋습니다 :)
13021554,강강술래 시흥점,,,고기맛이 좋아서 찾게되는 강강술래! 구워주니 편하게 먹을 수 있어서 좋습니다 :)
13021554,강강술래 시흥점,,,고기양과 냉면이 있고 없고 차이니 취향껏 고르면 되겠습니다.
13021554,강강술래 시흥점,,,고기양과 냉면이 있고 없고 차이니 취향껏 고르면 되겠습니다.
13021554,강강술래 시흥점,,,그런데 와인도 준다고 써있었는데 정신없으셨는지 안챙겨주셨어요 ㅎㅎ 다음에 또갈게요
