가게ID,가게명,평점,날짜,리뷰내용
1077802257,"릿 커피바카페,디저트",,,가게안을 보니 직접 원두를 직접 로스팅해서 판매하시는듯합니다 . 크럼블 올라간 애플시나몬 케이크도 많이 달지 않아 맛있었어요. 앞에 벚꽃나무들을 보니 벚꽃시즌에 오면 참 예쁠것 같아요~
1077802257,"릿 커피바카페,디저트",,,공릉동에 새로 생긴 카페인지 처음 방문했어요. 차분하고 조용한 분위기가 좋았습니다☕️
1077802257,"릿 커피바카페,디저트",,,공릉철길에 딱히 정착할 카페를 못찾았었는데 릿커피바 자주가요. 딱 내가 좋아하는 정도의 친절함도 좋아요ㅎㅎ
1077802257,"릿 커피바카페,디저트",,,공릉카페 거의 다 가봤지만 정착하게 되는 몇 안되는 카페
1077802257,"릿 커피바카페,디저트",,,그리고 디저트도 직접 만드신다고 하시는데 그래서 그런지 너무 달지도 않고 꾸덕한게 제 취향이였어요!
1077802257,"릿 커피바카페,디저트",,,그리고 디저트도 직접 만드신다고 하시는데 그래서 그런지 너무 달지도 않고 꾸덕한게 제 취향이였어요!
1077802257,"릿 커피바카페,디저트",,,"느낌으로 맛있었고, 에스프레소 또한 로스팅을 잘하신건지"
1077802257,"릿 커피바카페,디저트",,,"느낌으로 맛있었고, 에스프레소 또한 로스팅을 잘하신건지"
1077802257,"릿 커피바카페,디저트",,,다른곳에서 티라미수 많이 먹어봤는데 보통 1층으로만 나오고 양도 적고 크림이 느끼한데 여기 티라미수는 2층에 우유크림이라 부드럽고 너무 맛있어요!! 커피는 초콜릿향이 은은하고 고소하고 묵직하고 진해요! 공릉카페 중에 제일 자주가는 최애카페에요!
1077802257,"릿 커피바카페,디저트",,,동네라 산책하다가 들리고 싶었던 곳이라 기대하고 왔어요
1077802257,"릿 커피바카페,디저트",,,동네라 산책하다가 들리고 싶었던 곳이라 기대하고 왔어요
1077802257,"릿 커피바카페,디저트",,,디카페인 시키려고 했더니 산미가 강한데 괜찮으시냐고 미리 설명해주셔서 좋았습니다! 분위기도 좋아요
1077802257,"릿 커피바카페,디저트",,,매장에 로스팅기계도 있고 머신도 라마르조꼬 쓰시고 사장님이 커피에 진심이신거같아 설명듣고 플랫화이트 시켰는데 아트도 예쁘고 커피 진하고 맛있네요
1077802257,"릿 커피바카페,디저트",,,별기대없이 방문했다가 진하고 산미없고 고소한 라떼맛에 눈이 번쩍~ 사장님도 친절하시고 인테리어도 감각적이라 혼자서 통창을 바라보며 조용히 생각을 정리하기에 좋은 곳이라 자주방문할것 같아요~
1077802257,"릿 커피바카페,디저트",,,별기대없이 방문했다가 진하고 산미없고 고소한 라떼맛에 눈이 번쩍~ 사장님도 친절하시고 인테리어도 감각적이라 혼자서 통창을 바라보며 조용히 생각을 정리하기에 좋은 곳이라 자주방문할것 같아요~
1077802257,"릿 커피바카페,디저트",,,보통은 다른 곳에서 에스프레소로 먹는데 여긴 일반 아메리카노도 매우 진하기 때문에 알고 마시는 게 좋을 것 같아요~ (일반적으론 아메리카노에 샷추가해서 먹는 편...)
1077802257,"릿 커피바카페,디저트",,,사진을 왜안찍었는지 라떼아트도 너무예쁘게해주고 온도도 딱입니다
1077802257,"릿 커피바카페,디저트",,,아메리카노 진한편! 피스타치오 저거 달달하게 생각하고 시키시면 X 커피자체가 달달한건 아니라 에스프레소 원래 마시던 분들에게만 추천드려용 에소 먹으면서 끝에 피스타쵸랑 초코를 삭 훑고..지나가는맛..?
1077802257,"릿 커피바카페,디저트",,,아이와 함께 갔는데 아이스크림과 휘낭시에 흡입을 했어요~^^기회가 된다면 다시한번 방문하고 싶은곳이에요
1077802257,"릿 커피바카페,디저트",,,역시나 맛있습니다. 브루잉 커피도 아닌데 단맛 뒤에 느껴지는 극강의 고소함.. 커피머신으로 이정도면 브루잉으로 먹었을땐
