가게ID,가게명,평점,날짜,리뷰내용
1116861401,권순옥김밥,,,"가끔 지나다가 혼자 먹기도 하고, 스크린 골프 치러가면은 쿠팡이츠로 꼭 여기에 김밥 주문하게 되네요."
1116861401,권순옥김밥,,,과거 맛있게 먹었어서 방문했는데 김밥에 왜이리 짧고 작은지.. 꼬마김밥인줄 알았네요~ 맛도 그냥 soso 떡뽁이는 맵지않고 보통맛입니다.
1116861401,권순옥김밥,,,김밥싸시는분은 김밥싸는장갑으로 다른것도 만지시구요.. 여자직원분 손님이 있는데 궁시렁거리시는것도
1116861401,권순옥김밥,,,김치돌솥 시키는 사람이니 남자 사장님도 제가 누군지 아시겠죠? 사장님은 배달 가신듯 안보이셨고 3명이서 먹는데 엄지손가락만 계란말이 3개 나왔길래 2개 먹고 1개 남겨둔 상황에서 사투리 쓰시는 직원분께 계란말이 좀 더주세요 했더니 다짜고짜 다른반찬도 다 안먹고 이것만 달라고 하면 어쩌냐 다른반찬 다먹고 달라고 해야지 이러더라고요
1116861401,권순옥김밥,,,내부가 조금 협소하고 포장 손님 때문에 소란스러운 경우도 있습니다. 음식도 맛있고 가격도 큰 부담이 없지만 평온한 식사를 중요시 여기는 분들이라면 포장을 추천 드립니다.
1116861401,권순옥김밥,,,라폮이을 시키니 치즈맛이 너무강해서 맛을 느낄수가 없었어요
1116861401,권순옥김밥,,,"리뷰 1,236사진 1,716팔로워 69테마 1"
1116861401,권순옥김밥,,,"리뷰 2,306사진 918팔로워 16"
1116861401,권순옥김밥,,,매장 가격보다 배민 가격이 비싸서 포장이나 매장식사는 직접 결제하는 게 더 저렴해요!
1116861401,권순옥김밥,,,"아이와 우동과 미니김밥을 주문했어요. 주방과 홀 한분씩 계셨는데 친절하시고 무엇보다 아이가 잘 먹었습니다. 개인적으로 떡볶이, 라볶이보다 우동과 김밥이 더 맛있더라구요. 나들이갈때 김밥포장 강추합니다☆"
1116861401,권순옥김밥,,,아침에 방문예약 없이 이용대기 시간 바로 입장데이트연인・배우자
