가게ID,가게명,업종,평점,날짜,리뷰내용
1136980373,365활새우 창우수산 강남본점,한식,,,"국산 활새우를 당일 공수해 신선도가 뛰어난 새우 전문점이에요. 왕새우 소금구이와 새우탕, 새우회까지 다양하게 즐길 수 있어요. 달콤 쫄깃한 신성한 새우 너무 맛있었어요! 머리 튀김(+3천 원)도 별미라 꼭 추천드려요. 야장도 있어 저녁 분위기 내기 좋은 곳이에요."
1136980373,365활새우 창우수산 강남본점,한식,,,그것도 라면 시킨지 40분이 지났는데 안나오고 저희보다 한~~참 뒤에 시킨 옆테이블 남성분들 라면은 거의 5분만에 나오더라구요
1136980373,365활새우 창우수산 강남본점,한식,,,대체 왜 줄서는거야;; 왕새우인지 모르겠고 칼국수는 도대체 무슨맛인지 ㅋㅋ 다남겼네
1136980373,365활새우 창우수산 강남본점,한식,,,"대하구이랑 머리튀김, 해물라면 먹었는데 대하구이가 진짜 통통하고 맛있었어요! 머리튀김도 고소하니 별미입니다ㅎㅎ 해물라면도 얼큰하니 맛있게 잘 먹었어요😊"
1136980373,365활새우 창우수산 강남본점,한식,,,"대하철을 맞아 대하구이랑 생새우회 먹으러 다녀왔어요☺️ 차를 타고 인천, 강화도 같은 양식장 가서 먹을수도 있겠지만 강남 한복판에서 바로 먹을 수 있는 바로 이곳! 새우 양식협회에서 공식 인증한 판매처로서 실하고 맛있는 대하 잘 먹었습니다☺️"
1136980373,365활새우 창우수산 강남본점,한식,,,대하철이라 가봤습니다. 가성비가 좋지는 않은듯. 해물라면 6000원에 새우 하나 들어간게 다여서 좀 아쉽.. 전반적으로 강남이라 그런지 비싼편
1136980373,365활새우 창우수산 강남본점,한식,,,더불어 직원분들도 다 친절하시고 자리에서 바로 주문할 수 있는 테블릿이 있어소! 야외에 앉아도 걱정없어서 좋아요🥰
1136980373,365활새우 창우수산 강남본점,한식,,,동네인데 웨이팅이 길어 가보질 못했는데 용기내어 가봤네요. 맛있게 제철 새우 먹고 왔어요
1136980373,365활새우 창우수산 강남본점,한식,,,등의 대화로 이슬구이로 주문하게끔 유도 하시데 대체 왜 그러셨을까요? 결국 다른직원분에게 소금구이가 왜 짜서 못먹을정도인가요? 라고 물었더니 그렇지 않다라는 답변받고 주문 후 소금구이로 대만족.근데 왜 그 직원분은 자꾸 이슬구이로 주문하게끔 유도하셨는지 이해가 안되네요.
1136980373,365활새우 창우수산 강남본점,한식,,,맛도 좋고 살도 통통해요! 웨이팅 많음주의.
1136980373,365활새우 창우수산 강남본점,한식,,,맛은 있지만 서비스는 역시나 좋지 않네요. 전에도 왔다가 불친절해서 그 이후로 안갔었거든요. 시간도 좀 흘렀고 팀원들이 새우 먹고 싶다는데 대안이 없어서 갔으나 역시… 주차 문제로 다른 손님이랑 옥신각신 하더니 저희는 본인들이 실수했는데 제대로 사과도 없이 먹던 걸 가져가버리네요. 분명 서비스 개선 필요합니다
1136980373,365활새우 창우수산 강남본점,한식,,,바깥쪽 테이블에서 맛있게 먹었습니다 👍 새우도 싱싱하고 막바지 라면 굿 👍👍 정말 바쁘시지만 친절하게 대해주신 이모님 감사합니다
1136980373,365활새우 창우수산 강남본점,한식,,,새우 사시미랑 꼬막무침 너무 맛있어요. 근데 물에서 수도물 냄새가 심하게 나네요 여긴 정수기물이 아닌가봐요?
1136980373,365활새우 창우수산 강남본점,한식,,,새우구이만 먹다가 한동안 사람이 너무 많아서 오랜만에 방문 후 첫 새우회🦐🫶🏻🤤
1136980373,365활새우 창우수산 강남본점,한식,,,새우는 뭐 두께를 볼 수도 없네 그리고 먹고있는데 자꾸 테이블 치우시고 컵채우시고 숟가락채우시는데.. 나가라고 눈치 주시는건지 불편해요 마감시간을 고지 하시고 나가라고 하시든.. 다짜고짜 마감입니다 라고 하며 기분나쁜 티 내면서 자기네들도 퇴근해야 한다하며 내쫓듯이 나가라고 하는건 좀 아니지 않을까요 먹다가 이렇게 불편한건 난생 또 처음이네
1136980373,365활새우 창우수산 강남본점,한식,,,새우는 싱싱한 상태로 잘 먹었지만 종업원분들이 우왕좌왕 하시고 호출을 눌러도 안오셔서 계속 찾아갔습니다. 머리튀김이랑 라면을 시켰는데 이십분이 지나도 안나와서 종업원분께 찾아가서 물었더니 지금 하고 있다고 기다리라고 짜증내는 말투로 얘기하시더니 결국 누락되어서 안나왔던거였어요. 취소하고 갈까하다가 배고파서 기다렸는데 40분은 걸린것 같네요. 맛있긴한데 직원 서비스때문에 재방문 의사는 없습니다.
1136980373,365활새우 창우수산 강남본점,한식,,,새우사이즈가 거의 칵테일새우 보리새우...만하네요 새우철이 아니라지만 왕새우구이라고 메뉴에 써있는데 씹을것도 없을정도네요.....
1136980373,365활새우 창우수산 강남본점,한식,,,수술을 하기도 했고 음주도 거의 하지않게되어 꽤 오랜만의 방문입니다! 그 사이 가격도 안오르고 여전히 너무나도 맛있어 포식! 하고 왔습니다 테이블 서비스 해주셨던 여직원분께서도 너무 친절하셔서 기분까지 너무 좋았네요
1136980373,365활새우 창우수산 강남본점,한식,,,"악의는 없습니다.. 친절하시지만 자리 여유 넘치는데 이용시간 3시간 지났다고 나가라고 눈치 주시는 게 너무 각박하다고 느꼈습니다. 1시반에 와서 4시반까지 있긴했지만 처음에 왔을 때 새우가 준비 안돼서 양해 부탁드린다고 하셔서 저희는 기다렸고, 정작 음식 시킬때는 2시~2시반이었는데 그 부분은 고려하지 않은 채 눈치 주시는 것이 조금 억울하네요. 저희도 자리가 차면 눈치껏 나갈텐데 그 부분은 좀 유도리있게 하신다면 운영하시는데에 좋을 것 같습니다."
1136980373,365활새우 창우수산 강남본점,한식,,,오랜만에 방문! 새우철이라 그런지 통통하고 맛있었어요~! 시간 늦어지니 사람이 점점 많아지더라고요~~
1136980373,365활새우 창우수산 강남본점,한식,,,"요즘 생새우회에 푹 빠져있어서 여기저기 먹으러다니는데 껍질이 까져있는 생새우회를 파는곳은 드문데 창우수산은 까서 팔길래 퇴근후에 빠르게 방문했습니다 ! 6시 전에 도착했을때도 이미 웨이팅 5번을 받았고 근처 편의점이나 올리브영 돌아다니다보니 입장하라고 떠서 후딱 들어갔어요 ! 기다린만큼 가치있는 식사였습니다 ! 새우머리튀김은 버터가 아니라 진짜 그냥 새우머리튀김인 점이 살짝 아쉬웠습니다,, 웨이팅도많고 사람도 많다보니 직원분들의 친절도는 살짝 떨어지지만, 그래도 생새우회 짱.. 아 사진보니까 또먹고싶네.."
1136980373,365활새우 창우수산 강남본점,한식,,,요즘 즐겨보는 유투버가 생새우회를 즐겨먹길래 넘 먹어보고 싶었던 차였어요. 서울에도 이렇게 싱싱한 새우를 먹을 수 있는 곳이 있네요 ! :) 저는 아직 생새우보다는 이슬새우구이가 더 취향이네요! ㅎㅎ 사장님께서 요즘 새우는 소금구이가 조금 짤거라고 이슬로 추천해주셨는데 만족도 높았어요! 굴찜 드시는 분들도 계시던데 다음엔 굴도 먹으러 오고싶어요! 잘 먹고 갑니다앙!
