가게ID,가게명,평점,날짜,리뷰내용
1287792550,글림베이커리,,,"1, 2층이라 매장 자체가 넓고 주차하기 어려운 쌍문에서 주차 가능한 카페라니...! 숨겨진 보석 아닌가요?!"
1287792550,글림베이커리,,,그리고 카페라떼도 진한 커피의 향과 우유의 조합이 너무 맛있었어요
1287792550,글림베이커리,,,두번째 방문인데 오래오래 쌍문에 있으면 좋겠을 정도로 매장이 너무 크고 쾌적해요! 번창하세요~ 감사합니다😊
1287792550,글림베이커리,,,"리뷰 2,324사진 2,226팔로워 108테마 7"
1287792550,글림베이커리,,,"리뷰 3,468사진 1,042팔로워 48"
1287792550,글림베이커리,,,매장도 넓고 깨끗해서 단체로 와서 대화 나누기도 좋아요. 사장님과 직원분도 친절해서 좋았어요.
1287792550,글림베이커리,,,바게트샌드위치 진짜 맛있어요 ㅋㅋㅋㅋㅋ 빠삭빠삭하니 속재료 넘 신선하니 참 ㅋㅋㅋㅋㅋㅋ ㅠㅠㅠㅠ 공간도 엄청 넓고 아늑하고 2층 카페여서 오래 머무르기도 좋을거 같아요!!
1287792550,글림베이커리,,,베이글도 먹고가면 바로 구워주셔서 야무지게 먹기 좋았고 메이플 월넛 크림치즈 짱맛!!
1287792550,글림베이커리,,,"베이글이나 마들렌, 휘낭시에, 케이크 등이 맛있기로 유명한 곳이지만 저는 시나몬 몽블랑을 특히 추천해요."
1287792550,글림베이커리,,,빵이 너무 맛있어요~🥐 쌍문역 바로 앞에 있어서 찾기도 쉬웠어요🧡 빵돌이 빵순이라 빵에 진심인데 여기 소금빵 너무 맛있어요~ 세트메뉴로 베이글도 쫄깃쫄깃🌈 커피도 좋은 원두 쓰시나봐요 진하고 깊은 커피맛에 완전 반했어요💜
1287792550,글림베이커리,,,빵이 맛있다고해서 기대했는데 오전에 가면 선택지가 없다 그리고 소금빵은 비추
1287792550,글림베이커리,,,쌍문역 1번 출구 바로 앞에 있는 진짜 쌍문역카페에요! 글림 까눌레 소금빵 베이글 넘모 맛있어요...👍
1287792550,글림베이커리,,,"쌍문역 1번 출구에서 아주 가까운 곳에 카페의 입구가 있는데, 건물을 통과하여 들어가면 독채의 건물로 구성된 카페가 보인다. 들어가자마자 보이는 빵들이 이곳이 베이커리 카페라는 것을 인지하게 해 주며, 편안한 색채의 인테리어로 구성되어 있어 좋았다. 직접 제조하는 빵과, 직접 로스팅한 원두로 내린 커피를 맛볼 수 있는 곳이라고 하며, 분당 대장동이 본점이라 할 수 있는 것 같고, 여기와 수원 인계동까지 세 곳에서 같은 이름의 베이커리 카페로 운영하시는 것으로 보인다. 커피 한 잔에 소금빵 한 개 먹었는데 가심비가 좋은 맛이었고 편안한 공간 배치가 마음에 드는 곳이었다."
1287792550,글림베이커리,,,쌍문역 1번출구에서 완전 가까이 있는데 입구부터 여기다 싶었는데 노래선곡도 너무 좋고 빵도 다 너무 제스타일 빵만 있어요 ㅠㅠ 까눌레 마들렌도 맛있어 보였는데🥹
1287792550,글림베이커리,,,쌍문역 글림 빵 맛도 좋지만 가격도 착해~ 커피는 산미 조금 쌍문역 고모댁오면 들리는 동네맛집
1287792550,글림베이커리,,,쌍문역 바로 근처에 이런 베이커리 카페가 있는걸 이제서야 알았어요. 매장도 넓고 빵과 커피를 마시며 잠깐의 여유를 보낼 수 있어서 좋았어요. 약속 시간 전 잠시 빈 시간에 혼자 시간을 보낼 수 있어 좋아요~
1287792550,글림베이커리,,,역시 글림~! 브런치로 든든하게 아메와 바게트샌드위치세트 좋네요^^
1287792550,글림베이커리,,,오전 11시 이후에 꼭 가셔야 모든 빵을 보실 수 있습니다!!! 저는 좀 일찍가서 다 나올때까지 기다렸어요☺️ 베이커리맛집이라 진짜 아침부터 배달주문도 많고 먹어보니 왜 맛집인지 알겠더라구요 가격대비 크기도 크고 빵이 건강한맛이에요 :) 크림치즈량도 다른데 비해 1.5배는 더 밚고 빵 이름대로 재료를 아끼지 않으셔서 맛을 잘 느낄 수 있었어요ㅠㅠㅠ 커피부터 다른 음료들까지도 맛있어서 더먹고싶었는데 배불러서 못먹고 나왔습니당 가까이에 이런 빵집이 있어서 넘 행운이고 담에 또 방뭉하려구요
1287792550,글림베이커리,,,"의자도 많이 낡아보이고, 매장관리에 더 신경써주시길 바랄께요~ 세트메뉴 없어진것도 많이 아쉽네요~"
1287792550,글림베이커리,,,잠봉뵈르 넘 맛있었어요 ~ 로스팅도 직접 하신다고 하셨는데 커피가 확실히 고급스러워요✨
1287792550,글림베이커리,,,"잠봉뵈르도 빵이 완전 바삭하고 안에 햄이 많이 들어가서 강추! 잠봉뵈르 세트로 주문하면 아메리카노가 같이 나오고 따로 주문할 때보다 2,000원이나 할인됩니다!~"
1287792550,글림베이커리,,,저녁에 방문예약 없이 이용대기 시간 바로 입장일상친구
1287792550,글림베이커리,,,저녁에 방문예약 없이 이용대기 시간 바로 입장일상혼자
1287792550,글림베이커리,,,"저는 안 좋은 밀가루 음식 먹으면 소화도 안 되고 속이 더부룩한데, 글림 빵은 재료도 좋은 걸 쓰셔서 전혀 불편함이 없네요!"
1287792550,글림베이커리,,,점심에 방문예약 없이 이용대기 시간 바로 입장나들이지인・동료
1287792550,글림베이커리,,,점심에 방문예약 없이 이용대기 시간 바로 입장데이트연인・배우자
1287792550,글림베이커리,,,점심에 방문예약 없이 이용대기 시간 바로 입장일상부모님
1287792550,글림베이커리,,,점심에 방문예약 없이 이용대기 시간 바로 입장일상지인・동료
1287792550,글림베이커리,,,점심에 방문예약 없이 이용대기 시간 바로 입장일상친구
1287792550,글림베이커리,,,점심에 방문예약 없이 이용대기 시간 바로 입장친목지인・동료
1287792550,글림베이커리,,,점심에 방문예약 없이 이용대기 시간 바로 입장친목친구
1287792550,글림베이커리,,,점심에 방문예약 없이 이용대기 시간 바로 입장친목친구
1287792550,글림베이커리,,,점심에 방문예약 후 이용대기 시간 바로 입장일상아이
1287792550,글림베이커리,,,점심에 방문포장·배달 이용대기 시간 바로 입장일상혼자
1287792550,글림베이커리,,,주차가능한 쌍문역카페에요~ 주차되는거 너무좋아요 ㅎㅎ 카페가 크고 넓고 인티리어도 이쁜디 빵도 맛있고 커피도 맛있어요~! 쌍문역 근처에 이렇게 대형카페 있는지 몰랐네요~~!! 초코라떼랑 다른 빵들 먹어봤는데 특히 잠봉뵈르가 맛있네요.....👍🏻
1287792550,글림베이커리,,,중독성 있는 맛인데 아무래도 베이글이 맛있어서 그런 것 같기도 합니다ㅎㅎ
1287792550,글림베이커리,,,혼자와도 둘이와도 여럿이와도 편안한곳 글림...오랫만에 또 왔네요..점심후 사랑하는 사람과 마시는 블랙커피 한잔이랑 음악이 행복을 가져다 줍니다!!
1519339864,꿀소담,,,"6월 27일, 선물용으로 쿠키와 커피 약 10만 원어치를 배민으로 주문하며 도착시간과 대면결제 요청을 명확히 기재했지만, 매장에서는 이를 무시하고 배달을 임의로 출발시켜버렸습니다. 그 결과 제가 아닌 선물을 받는 쪽에서 대금을 결제하는 당황스러운 상황이 벌어졌습니다. 이후 제가 매장으로 직접 가서 다시 결재하고 기결재분을 취소해달랬지만 매장에서 취소가 안된다고 했습니다. 기다리다가 7월 8일 연락하자 이제 와서 주문내역 사진을 보내달라고 하더군요. 이후 수차례 연락했지만 연결이 잘 안되었고 간신히 마지막으로 며칠 내로 처리될 거라는 말을 했습니다. 하지만 지금까지 아무런 조치나 연락조차 없습니다. 한 달 가까이 지났고 더는 참을 수 없습니다. 이 사안에 대한 책임 있는 답변을 강력히 요구합니다."
1519339864,꿀소담,,,"그리고 실제로,, 저도 여러 곳 가보지만 제품 만드는곳이나 제품 만들지 않는 매장에서는 진짜 화장실 냄새가 나는곳들도 많던데..유독 선입견이 저희 매장엔 있으신 것 같습니다 ㅎㅎ.."
1519339864,꿀소담,,,근데 초코라떼 녹차라떼 쑥러떼 모두 안 저어서 나와서 빨대로 저어먹어야하는데 컵은 긴데 빨대가 길지도 않고 힘이 없어 젓기힘드네요;;;;빨대를 길고 튼튼한건 주시던지 젓는 바스푼을 주셔야할거같아요
1519339864,꿀소담,,,근처 아파트 살며 종종 갔는데 경쟁력이 없어 발걸음을 줄이게됨. 여름에는 수제청 음료에서 숙성된 초파리 시체 발견하여 다시 만들어 달라고 한적 있음.
1519339864,꿀소담,,,"꼬린내가 다른게 아니라 저희 꿀소담이 제품을 워낙 [대량생산]하니까, [버터] 와 [유제품] 냄새일꺼에요 :)"
1519339864,꿀소담,,,"다른 매장들도 마찬가지지만 파x바게트와 같은 유명한 프랜차이즈도 마찬가지고 이번 성x당에서도 딸기시루에 문제가 생겼듯, 보통 2~3일 정도를 판매하기 마련입니다 :)"
1519339864,꿀소담,,,"단팥빵(각2,800),소세지피자빵(3,300),감자빵(2,800),고구마빵(2,800),패스츄리파이(3,300)구매했어요. 매장이 넓어서 빵 종류도 많고 사람도 많았습니다. 빵 가격도 크기 대비 비싸지 않고 맛있어요. 빵 하나당 무게도 묵직합니다bb"
1519339864,꿀소담,,,달고나라떼는 신세곜ㅋㅋ 쌉쏘롭한 라떼베이스에 달달구리 달고나 조합이 너무 좋앗음. 달고나 유행할때 먼저 먹어볼껄
1519339864,꿀소담,,,동네 카페 라서 자주 가는데 커피도 맛있고 분위기도 좋아요~^ ^
1519339864,꿀소담,,,러스크는 완전 구움과자이다보니 2~3일정도로 판매되고있습니다 :) !
1519339864,꿀소담,,,배달로만 먹다가 들려봤어요 이층에서 커피랑 빵 같이 드세요 ♡
1519339864,꿀소담,,,"분위기가 좋고 오랜 기간 작업하거나, 떠들기 좋습니다. 빵도 케이크도 맛있고요."
1519339864,꿀소담,,,빵 종류도 많고 다 맛있는데 가격까지 저렴하니 최고인거죠! 일단 초코생크림케이크가 넘넘 맛있었어요. 다른빵들에 비해 살짝 비쌌지만 좋은재료로 맛있었으니 된거죠:) 커피도 천원에 리필가능해서 넘 행복했습니다. 엄청 먹고서 집에올때도 빵을 잔뜩 사왔어요^^
1519339864,꿀소담,,,아쉬움 안겨드려 죄송합니다 ㅎㅎ ! 다음엔 더 개선해서 만족도 높을 수 있도록 노력하겠습니다!
1519339864,꿀소담,,,아침에 방문예약 없이 이용대기 시간 바로 입장데이트연인・배우자
1519339864,꿀소담,,,아침에 방문예약 없이 이용대기 시간 바로 입장데이트친구
1519339864,꿀소담,,,"오랜만에 구매했는데 퍽퍽하고 딱딱해서 맛이없었어요,, 그냥 사람마다 입맛이 다른거라 저랑 안맞았던걸수도 있죠. 야단치지 말아주세용.. 무섭"
1519339864,꿀소담,,,오랫만에 페레로로쉐케이크 증말 맛있드라구요
1519339864,꿀소담,,,"육쪽마늘빵 인생에서 먹었던 것 중에 제일 맛있었어요!! 공부하려고 간건데 공부보다는 맛있는 빵 먹고 왔네요 ㅎㅎ그냥 먹으려고 했는데 여자직원분께서 마늘빵은 데워먹으면 더 맛있다고 강력추천해주셔서 부탁드렸어요 사소한 건데 신경써주신 게 참 많이 감사했어용 다만 덜 데워져서 이 부분은 말씀드렸고 사장님께서 바로 고쳐주신다고 해서 정말 좋았습니다 다음번에 또 가고 싶어요 말차라떼 요것두 제가 먹어본 거 중에 제일 진한 맛이었어요! 제가 식사를 하고 와서 좀 배가 불러서 말차라떼를 절반 남겼는데 사장님께서 보시구 말차라떼가 넘 달았는지 여쭤보시더라구요 절대 아니었어용! 오히려 적당히 덜 달아서 부담스럽지 않아 좋았고 말차가 엄청 진하고 양도많아서 최고 맛있는 말차라떼였어요 직원분,사장님 다 친절하세요 감사합니다🥰🥰"
1519339864,꿀소담,,,은은하게 방향제냄새랑 화장실 냄새랑 섞여서 너무 힘들어요. 그 외에는 치즈케이크에 크림치즈 맛이 너무 안나서 아쉬워요.
1519339864,꿀소담,,,음료도 맛있고 디저트들도 맛있고 카페도 넓어서 좋은데 2층에 손 씻는 곳에 비누 좀 놔주세요 ㅠ 이렇게 큰 카페에 비누 없는거 말 안돼요!!!
1519339864,꿀소담,,,"재고파악을 좀 하셔야할것같아요. 저번에도 그러더니 2번째네요.. 맥주랑 음식 주문후 기다리는데 음식 다 나오고나서 주문한 맥주가 없다고 하더라구요.. 그나마 저번에는 다른메뉴 만들기 전에 원하시는 맥주가 없다고 먼저 알려주셔서 다른맥주로 주문했는데.. 오늘은 키오스크에있던 맥주는 한종류 빼고 다 없고.. 키오스크에 없던 카스, 테라만 남아있고 가격은 4500원으로 똑같다고 하길래 국산맥주를(330ml 작은사이즈) 이런 가격에 먹기 그래서 그냥 갈까 하다가 음식이 먼저 나온걸 봐서 그냥 먹었네요.. 재고가 없으면 같이주문한 다른 메뉴를 만들기 전에 확인 하셨으면 좋겠어요.. 모처럼 데이트하며 하루를 마무리 하려고 나왔다가 좀 아쉽게 마무리 했네요.."
1519339864,꿀소담,,,저녁에 방문예약 없이 이용대기 시간 바로 입장데이트연인・배우자
1519339864,꿀소담,,,저녁에 방문예약 없이 이용대기 시간 바로 입장일상기타
1519339864,꿀소담,,,저녁에 방문예약 없이 이용대기 시간 바로 입장일상친척・형제
1519339864,꿀소담,,,저녁에 방문예약 없이 이용대기 시간 바로 입장친목연인・배우자
1519339864,꿀소담,,,저녁에 방문예약 없이 이용대기 시간 바로 입장친목지인・동료
1519339864,꿀소담,,,저녁에 방문예약 없이 이용대기 시간 바로 입장친목지인・동료
1519339864,꿀소담,,,저녁에 방문예약 없이 이용대기 시간 바로 입장친목친구
1519339864,꿀소담,,,저녁에 방문포장·배달 이용대기 시간 바로 입장일상혼자
1519339864,꿀소담,,,"점심에 방문예약 없이 이용대기 시간 바로 입장가족모임아이, 부모님"
1519339864,꿀소담,,,점심에 방문예약 없이 이용대기 시간 바로 입장나들이지인・동료
1519339864,꿀소담,,,점심에 방문예약 없이 이용대기 시간 바로 입장데이트
1519339864,꿀소담,,,"점심에 방문예약 없이 이용대기 시간 바로 입장데이트, 친목혼자"
1519339864,꿀소담,,,점심에 방문예약 없이 이용대기 시간 바로 입장데이트연인・배우자
1519339864,꿀소담,,,점심에 방문예약 없이 이용대기 시간 바로 입장데이트연인・배우자
1519339864,꿀소담,,,점심에 방문예약 없이 이용대기 시간 바로 입장데이트지인・동료
1519339864,꿀소담,,,점심에 방문예약 없이 이용대기 시간 바로 입장일상친구
1519339864,꿀소담,,,점심에 방문예약 없이 이용대기 시간 바로 입장일상친구
1519339864,꿀소담,,,점심에 방문예약 없이 이용대기 시간 바로 입장일상혼자
1519339864,꿀소담,,,점심에 방문예약 없이 이용대기 시간 바로 입장일상혼자
1519339864,꿀소담,,,점심에 방문예약 없이 이용대기 시간 바로 입장친목부모님
1519339864,꿀소담,,,점심에 방문예약 없이 이용대기 시간 바로 입장친목지인・동료
1519339864,꿀소담,,,점심에 방문예약 없이 이용대기 시간 바로 입장친목혼자
1519339864,꿀소담,,,"케이크 종류가 많은데 밀도 높게 맛있고 빵, 파운드케이크, 쿠키류도 다 맛있어요. 개인 선호로 초코 들어간 쿠키 종류랑 무화과 휘낭시에류 맛있게 먹었습니다."
