가게ID,가게명,평점,날짜,리뷰내용
19885721,도레미분식 즉석떡볶이떡볶이,,,김말이는 튀기지 않고 전자렌지에 덥혀서 줘서 눅눅해서 떡볶이에 찍어먹었고 순대튀김은 바삭하고 맛있어요.
19885721,도레미분식 즉석떡볶이떡볶이,,,다른곳만 갔었는데 오늘 휴무라고 하셔서 근처 다른곳 알아보다 발견한곳이예요.
19885721,도레미분식 즉석떡볶이떡볶이,,,"도레미분식 즉석떡볶이 소스가 정말 매콤달콤~ 쫄깃한 떡에 어묵, 라면사리까지 환상의 조합이에요🍜 튀김도 바삭하고 오뎅 국물은 속까지 따뜻해서 진짜 힐링했어요. 분위기는 정겹고 사장님도 친절하셔서 기분 좋게 식사하고 나왔습니다😊 동네 친구들끼리 편하게 오기 좋은 찐 분식집이에요. 또 올게요💕"
19885721,도레미분식 즉석떡볶이떡볶이,,,"둘이서 이것저것 사리 추가해서 배부르게 먹었는데, 2만원 나왔어요...가성비 최고👍"
19885721,도레미분식 즉석떡볶이떡볶이,,,"리뷰 1,349사진 1,153팔로워 47"
19885721,도레미분식 즉석떡볶이떡볶이,,,"리뷰 1,349사진 1,153팔로워 47"
19885721,도레미분식 즉석떡볶이떡볶이,,,오랫만에 찾은 즉석떡볶이 맛집. 평일 오후 한가한 시간대 찾아 개학을 맞아 일찍 학교에서 귀가한 아들과 함께 찾았네요. 다른건 변한게 없는데 김말이가 살짝 데쳐서 나오는거로 바뀌었네요.⭐
19885721,도레미분식 즉석떡볶이떡볶이,,,일반 떡볶이보다 더 맛있어서 일부로 찾아가서 먹어요.
19885721,도레미분식 즉석떡볶이떡볶이,,,저녁에 방문예약 없이 이용대기 시간 바로 입장나들이연인・배우자
19885721,도레미분식 즉석떡볶이떡볶이,,,저녁에 방문예약 없이 이용대기 시간 바로 입장나들이연인・배우자
19885721,도레미분식 즉석떡볶이떡볶이,,,저녁에 방문예약 없이 이용대기 시간 바로 입장데이트연인・배우자
19885721,도레미분식 즉석떡볶이떡볶이,,,저녁에 방문예약 없이 이용대기 시간 바로 입장데이트연인・배우자
19885721,도레미분식 즉석떡볶이떡볶이,,,저녁에 방문예약 없이 이용대기 시간 바로 입장일상연인・배우자
19885721,도레미분식 즉석떡볶이떡볶이,,,저녁에 방문예약 없이 이용대기 시간 바로 입장일상연인・배우자
19885721,도레미분식 즉석떡볶이떡볶이,,,저녁에 방문포장·배달 이용대기 시간 바로 입장일상혼자
19885721,도레미분식 즉석떡볶이떡볶이,,,점심에 방문예약 없이 이용대기 시간 바로 입장나들이연인・배우자
19885721,도레미분식 즉석떡볶이떡볶이,,,점심에 방문예약 없이 이용대기 시간 바로 입장나들이연인・배우자
19885721,도레미분식 즉석떡볶이떡볶이,,,점심에 방문예약 없이 이용대기 시간 바로 입장데이트
19885721,도레미분식 즉석떡볶이떡볶이,,,점심에 방문예약 없이 이용대기 시간 바로 입장데이트
19885721,도레미분식 즉석떡볶이떡볶이,,,점심에 방문예약 없이 이용대기 시간 바로 입장데이트연인・배우자
19885721,도레미분식 즉석떡볶이떡볶이,,,점심에 방문예약 없이 이용대기 시간 바로 입장데이트연인・배우자
19885721,도레미분식 즉석떡볶이떡볶이,,,점심에 방문예약 없이 이용대기 시간 바로 입장아이
19885721,도레미분식 즉석떡볶이떡볶이,,,점심에 방문예약 없이 이용대기 시간 바로 입장일상연인・배우자
19885721,도레미분식 즉석떡볶이떡볶이,,,점심에 방문예약 없이 이용대기 시간 바로 입장일상연인・배우자
19885721,도레미분식 즉석떡볶이떡볶이,,,점심에 방문예약 없이 이용대기 시간 바로 입장일상연인・배우자
19885721,도레미분식 즉석떡볶이떡볶이,,,점심에 방문예약 없이 이용대기 시간 바로 입장일상지인・동료
19885721,도레미분식 즉석떡볶이떡볶이,,,점심에 방문예약 없이 이용대기 시간 바로 입장일상지인・동료
19885721,도레미분식 즉석떡볶이떡볶이,,,점심에 방문예약 없이 이용대기 시간 바로 입장친목친구
19885721,도레미분식 즉석떡볶이떡볶이,,,점심에 방문예약 없이 이용대기 시간 바로 입장친목친구
19885721,도레미분식 즉석떡볶이떡볶이,,,점심에 방문포장·배달 이용대기 시간 바로 입장가족모임연인・배우자
19885721,도레미분식 즉석떡볶이떡볶이,,,점심에 방문포장·배달 이용대기 시간 바로 입장가족모임연인・배우자
19885721,도레미분식 즉석떡볶이떡볶이,,,점심에 방문포장·배달 이용대기 시간 바로 입장일상연인・배우자
19885721,도레미분식 즉석떡볶이떡볶이,,,점심에 방문포장·배달 이용대기 시간 바로 입장일상연인・배우자
19885721,도레미분식 즉석떡볶이떡볶이,,,즉떡 맛있지요. 라면사리 추가시키시고 꼭 볶음밥 해드세요~
19885721,도레미분식 즉석떡볶이떡볶이,,,즉떡 맛있지요. 라면사리 추가시키시고 꼭 볶음밥 해드세요~
19885721,도레미분식 즉석떡볶이떡볶이,,,지난번 왔을때와 가격 변동은 없는듯. 한동안 안보이셔서 가게를 다른분께 양도한줄 알았는데 사장님 오랫만에 뵈니 반갑네요. 혼자 먹는 즉석떡복이 정말 맛 있어요.
19885721,도레미분식 즉석떡볶이떡볶이,,,지난번 왔을때와 가격 변동은 없는듯. 한동안 안보이셔서 가게를 다른분께 양도한줄 알았는데 사장님 오랫만에 뵈니 반갑네요. 혼자 먹는 즉석떡복이 정말 맛 있어요.
19885721,도레미분식 즉석떡볶이떡볶이,,,포장해서 집에서 냠냠. 언제 먹어도 맛있네요.
19885721,도레미분식 즉석떡볶이떡볶이,,,"한달 정도 된것 같은데 메뉴가격이 올랐는지 메뉴판이 새거로 바뀌었네요. 달달하니 군것질겸 식사로 좋아요. 라면사리 2,500원은 좀 과한듯. 뭐 감자탕집이나 매운탕집 처럼 메인 음식이 비싼곳은 사리면이 싼게 이해를 해서 분식집은 조금 비싸도 이해를 하려해도 이건 과한듯..."
19885721,도레미분식 즉석떡볶이떡볶이,,,"한달 정도 된것 같은데 메뉴가격이 올랐는지 메뉴판이 새거로 바뀌었네요. 달달하니 군것질겸 식사로 좋아요. 라면사리 2,500원은 좀 과한듯. 뭐 감자탕집이나 매운탕집 처럼 메인 음식이 비싼곳은 사리면이 싼게 이해를 해서 분식집은 조금 비싸도 이해를 하려해도 이건 과한듯..."
13500194,명동분식 방학본점종합분식,,,7살에 처음 이사와서 맛보던 가게.. 30년 지나도 그맛 그대로 맛있게 유지해주셔서 감사해요
13500194,명동분식 방학본점종합분식,,,✅️ 명동분식 방학본점 : 방학동 도깨비시장 안에 위치한 곳. 주차는 도깨비시장 공영주차장 이용하면 편해요.
13500194,명동분식 방학본점종합분식,,,"기본우엉김밥 (개당 ₩2,500)으로 속이 나름 알차고 맛도 좋아요. 3줄로 한끼 잘 먹었습니다. 모닝빵 치즈버거 (3개 묶음, ₩2,000)인데 가성비가 좋습니다. 휴먼다큐 시장사람들 TV에도 수 년 전 출연한 곳인데 종종 애용하는 분식집입니다."
13500194,명동분식 방학본점종합분식,,,"따뜻한 햇살이 비추는 오후, 맛있는 음식 생각이 간절해지네요. 정성 가득한 손맛으로 준비된 음식들은 마음까지 따스하게 채워줍니다. 신선한 재료와 특별한 레시피로 만든 음식을 즐기며 행복한 시간을 보내시길 바랍니다. 입안 가득 퍼지는 풍미는 일상에 새로운 활력을 불어넣어 줄 거예요. 오늘도 즐거운 하루 보내세요."
13500194,명동분식 방학본점종합분식,,,"맛도 좋고 , 가성비도 좋은 우엉김밥이 베스트 인듯!"
13500194,명동분식 방학본점종합분식,,,"방학동 도깨비시장 가성비 맛집입니다. 방송에도 많이 나왔는지 벽에 포스터가 많이 붙어 있네요. 칼국수가 5,000원이고 떠국도 6,000원에 즐기실 수 있는데요. 양이 많아요. 떡볶이 떡이 살떡이라 쫄깃쫄깃 맛나요. 점심식사하고 직접 만드신 찐빵이랑 고로케, 만두, 도넛까지 포장해 왔어요."
13500194,명동분식 방학본점종합분식,,,아침에 방문예약 없이 이용대기 시간 바로 입장일상기타
13500194,명동분식 방학본점종합분식,,,아침에 방문포장·배달 이용대기 시간 바로 입장일상혼자
13500194,명동분식 방학본점종합분식,,,엄마와 동생과 나누어서 먹으며 괜챦은 분식집이다라고생각했답니다
13500194,명동분식 방학본점종합분식,,,저게 2천원이라니! 넘 맛있습니다. 순대 떡볶이 김밥도 잘 먹었습니다.순대양이 진짜많아요
13500194,명동분식 방학본점종합분식,,,저녁에 방문예약 없이 이용대기 시간 바로 입장데이트연인・배우자
13500194,명동분식 방학본점종합분식,,,저녁에 방문예약 없이 이용대기 시간 바로 입장데이트연인・배우자
13500194,명동분식 방학본점종합분식,,,저녁에 방문예약 없이 이용대기 시간 바로 입장일상기타
13500194,명동분식 방학본점종합분식,,,저녁에 방문예약 없이 이용대기 시간 바로 입장일상기타
13500194,명동분식 방학본점종합분식,,,저녁에 방문예약 없이 이용대기 시간 바로 입장일상기타
13500194,명동분식 방학본점종합분식,,,저녁에 방문예약 없이 이용대기 시간 바로 입장일상아이
13500194,명동분식 방학본점종합분식,,,저녁에 방문예약 없이 이용대기 시간 바로 입장일상아이
13500194,명동분식 방학본점종합분식,,,저녁에 방문예약 없이 이용대기 시간 바로 입장일상혼자
13500194,명동분식 방학본점종합분식,,,저녁에 방문예약 없이 이용대기 시간 바로 입장친목친구
13500194,명동분식 방학본점종합분식,,,저녁에 방문예약 없이 이용대기 시간 바로 입장친목친구
13500194,명동분식 방학본점종합분식,,,저녁에 방문예약 없이 이용대기 시간 바로 입장친목친구
13500194,명동분식 방학본점종합분식,,,저녁에 방문예약 없이 이용대기 시간 바로 입장친목친구
13500194,명동분식 방학본점종합분식,,,점심에 방문대기 시간 바로 입장일상혼자
13500194,명동분식 방학본점종합분식,,,점심에 방문예약 없이 이용대기 시간 10분 이내 나들이친구
13500194,명동분식 방학본점종합분식,,,점심에 방문예약 없이 이용대기 시간 10분 이내 일상혼자
13500194,명동분식 방학본점종합분식,,,점심에 방문예약 없이 이용대기 시간 바로 입장
13500194,명동분식 방학본점종합분식,,,"점심에 방문예약 없이 이용대기 시간 바로 입장나들이, 일상혼자"
13500194,명동분식 방학본점종합분식,,,점심에 방문예약 없이 이용대기 시간 바로 입장나들이친구
13500194,명동분식 방학본점종합분식,,,점심에 방문예약 없이 이용대기 시간 바로 입장데이트연인・배우자
13500194,명동분식 방학본점종합분식,,,점심에 방문예약 없이 이용대기 시간 바로 입장일상기타
13500194,명동분식 방학본점종합분식,,,점심에 방문예약 없이 이용대기 시간 바로 입장일상아이
13500194,명동분식 방학본점종합분식,,,점심에 방문예약 없이 이용대기 시간 바로 입장일상친구
13500194,명동분식 방학본점종합분식,,,점심에 방문예약 없이 이용대기 시간 바로 입장일상친구
13500194,명동분식 방학본점종합분식,,,점심에 방문예약 없이 이용대기 시간 바로 입장일상혼자
