가게ID,가게명,평점,날짜,리뷰내용
1181051569,미스터빽실장 쌍문본점생선회,,,갑자기 회가 먹고 싶어서 방문한 곳! 전어세꼬시와 문어튀김을 주문했는데 완전 만족스러웠어요😋 전어세꼬시는 뼈째 씹히는 고소함과 담백함이 살아있어 제철 별미의 매력을 제대로 느낄 수 있었고 문어튀김은 완전 겉바속촉✨ 직원분들도 너무 친절하셔서 기분 좋게 식사하고 갑니당💕
1181051569,미스터빽실장 쌍문본점생선회,,,"광어, 우럭회 세트를 시켰는데 회가 정말 싱싱해서 놀랐어요. 밑반찬도 푸짐하게 나와서 좋았어요. 특히 같이 나온 가오리찜과 미역국이 정말 맛있어서 감동받았어요. 회뿐만 아니라 스끼다시도 맛있는 곳은 흔치 않은데, 여기는 정말 완벽했어요."
1181051569,미스터빽실장 쌍문본점생선회,,,근데? 저는 짠거좋아하긴한데 진짜 너무짜서 끓여먹어서 물 중간중간 넣으니 한통을 다썼어요ㅠㅠ...최악인건 똥파리가 왜이렇게 많나요?위생적이지않게 그릇에 들어가고 계속 세마리가 보여서 너무 신경쓰여서 많이 먹진않았어요ㅜ
1181051569,미스터빽실장 쌍문본점생선회,,,기본 상차림비 천원만 내면 반찬 마구 가져다먹을 수 있어서 가성비 너무 좋았어요.. 회 엄~청 쫄깃해서 회 생각날 때 또 가려고요 ㅠ
1181051569,미스터빽실장 쌍문본점생선회,,,기본 상차림비 천원만 내면 반찬 마구 가져다먹을 수 있어서 가성비 너무 좋았어요.. 회 엄~청 쫄깃해서 회 생각날 때 또 가려고요 ㅠ
1181051569,미스터빽실장 쌍문본점생선회,,,남은건 전 부쳐먹으려고 싸왔는데 냉장고안에서 조용히 자고있네요
1181051569,미스터빽실장 쌍문본점생선회,,,너무 맛있어요 가성비 개좋고 회도 신선하고 양도 많고 스끼다시 구성까지 미친듯.. 다음에 또 올게요ㅜㅠ
1181051569,미스터빽실장 쌍문본점생선회,,,넓고 깨끗한 실내에 신선하고 질 좋은 회! 내부가 넓고 정말 쾌적해서 회식이나 가족식사로 제격인 것 같습니다. 분위기가 시끄럽거나 정신 없지도 않아 좋았습니다. 호출하면 직원분들도 친절하게 바로바로 와주셨구요. 보통 횟집가면 아쉽게 느껴졌던 단점들이 하나도 없었습니다. 회 퀄리티도 너무 굿입니다. 탱글하고 기름진 감칠맛이 초장에 푹찍어 쌈싸먹으니 행복이 입 안 가득이네요~
1181051569,미스터빽실장 쌍문본점생선회,,,다양한 제철회가 항상 준비되어 있고 생새우는 꼭 드셔보세요ㅠㅠ 탱글탱글 최고예요😊
1181051569,미스터빽실장 쌍문본점생선회,,,"단체 모임에 딱이었어요. 미리 예약하고 갔는데 자리도 좋고 서비스도 만족스러웠습니다. 직원분들이 친절하게 응대해주시고, 필요한 것들을 바로바로 가져다주셔서 편하게 식사할 수 있었어요. 모임 장소로 강력 추천합니다."
1181051569,미스터빽실장 쌍문본점생선회,,,"리뷰 1,118사진 5,227팔로워 2"
1181051569,미스터빽실장 쌍문본점생선회,,,"리뷰 1,118사진 5,227팔로워 2"
1181051569,미스터빽실장 쌍문본점생선회,,,마침 엄마랑 시간이 되서 예약후에 방문했고 저녁시간 전에 갔는데도 사람들이 많은거 보고 ‘아 여기 찐이구나’ 싶었어요 ^^;;
1181051569,미스터빽실장 쌍문본점생선회,,,물회랑 오징어회 세트를 주문했는데 정말 만족스러웠어요. 물회는 비법 육수가 너무 시원하고 감칠맛 나서 더운 여름에 먹기 딱이었고요. 오징어회는 신선해서 쫄깃하고 달달한 맛이 일품이었어요. 광어와 우럭도 같이 맛볼 수 있어서 좋았습니다. 모든 메뉴의 재료가 신선하다는 게 느껴져서 좋았습니다.
1181051569,미스터빽실장 쌍문본점생선회,,,"미스터빽실장에서는 다양한 종류의 회를 합리적인 가격으로 주문할 수 있어요. 제철회도 맛볼 수 있고요. 오늘은 광우멍소(광어, 우럭과 소라, 멍게) 함께 세트 메뉴로 맛있게 먹었어요. 49,000원에 이 모든 것을 먹을 수 있다는 것이 가성비 짱이네요. 쌍문역 횟집 미스터빽실장 추천드려요 ^^"
1181051569,미스터빽실장 쌍문본점생선회,,,"미스터빽실장에서는 다양한 종류의 회를 합리적인 가격으로 주문할 수 있어요. 제철회도 맛볼 수 있고요. 오늘은 광우멍소(광어, 우럭과 소라, 멍게) 함께 세트 메뉴로 맛있게 먹었어요. 49,000원에 이 모든 것을 먹을 수 있다는 것이 가성비 짱이네요. 쌍문역 횟집 미스터빽실장 추천드려요 ^^"
1181051569,미스터빽실장 쌍문본점생선회,,,밤에 방문예약 없이 이용대기 시간 바로 입장데이트연인・배우자
1181051569,미스터빽실장 쌍문본점생선회,,,밤에 방문예약 없이 이용대기 시간 바로 입장데이트연인・배우자
1181051569,미스터빽실장 쌍문본점생선회,,,산 오징어회도 지금 제철이라 고민하다 광어 우럭을 먹었는데
1181051569,미스터빽실장 쌍문본점생선회,,,아이랑 갔는데 스끼다시로 나온 미약국 먹으면서 맛있다고 연신 말하면서 먹었어요ㅎㅎ
1181051569,미스터빽실장 쌍문본점생선회,,,아이랑 갔는데 스끼다시로 나온 미약국 먹으면서 맛있다고 연신 말하면서 먹었어요ㅎㅎ
1181051569,미스터빽실장 쌍문본점생선회,,,올때마다 사람이 많네요 역시 쌍문엔 이만한 횟집이 없는거같아요 회도 넘 맛잇구 기본찬도 잘나오드라구요! 😊👍
1181051569,미스터빽실장 쌍문본점생선회,,,요새 넘 더워서 배달만하다가~ ㅋㅋ나온김에 점심특선 회정식 먹었는데 완전가성비굿이네요👍👍 회도 초밥도..튀김 그리고 탕까지!! 푸짐해요~
1181051569,미스터빽실장 쌍문본점생선회,,,우선 내부가 넓고 쾌적해서 좋았고 광어랑 우럭 세트 에 상차림 구성이 좋아서 싱싱한 회를 더 맛있게 즐길 수 있었어요! 술안주로 시킨 해문라면도 얼큰하고 건더기 많아서 좋았어요❤️
1181051569,미스터빽실장 쌍문본점생선회,,,저녁에 방문예약 없이 이용대기 시간 10분 이내 가족모임부모님
1181051569,미스터빽실장 쌍문본점생선회,,,저녁에 방문예약 없이 이용대기 시간 10분 이내 가족모임부모님
1181051569,미스터빽실장 쌍문본점생선회,,,저녁에 방문예약 없이 이용대기 시간 10분 이내 가족모임아이
1181051569,미스터빽실장 쌍문본점생선회,,,저녁에 방문예약 없이 이용대기 시간 10분 이내 일상아이
1181051569,미스터빽실장 쌍문본점생선회,,,저녁에 방문예약 없이 이용대기 시간 10분 이내 일상아이
1181051569,미스터빽실장 쌍문본점생선회,,,"저녁에 방문예약 없이 이용대기 시간 30분 이상여행친구, 아이"
1181051569,미스터빽실장 쌍문본점생선회,,,저녁에 방문예약 없이 이용대기 시간 바로 입장나들이부모님
1181051569,미스터빽실장 쌍문본점생선회,,,"저녁에 방문예약 없이 이용대기 시간 바로 입장데이트, 일상연인・배우자"
1181051569,미스터빽실장 쌍문본점생선회,,,"저녁에 방문예약 없이 이용대기 시간 바로 입장데이트, 일상연인・배우자"
1181051569,미스터빽실장 쌍문본점생선회,,,"저녁에 방문예약 없이 이용대기 시간 바로 입장데이트, 친목, 나들이, 여행, 일상, 기념일, 회식, 가족모임, 비즈니스연인・배우자, 친구, 지인・동료, 부모님, 친척・형제, 기타"
1181051569,미스터빽실장 쌍문본점생선회,,,"저녁에 방문예약 없이 이용대기 시간 바로 입장데이트, 친목, 나들이, 여행, 일상, 기념일, 회식, 가족모임, 비즈니스연인・배우자, 친구, 지인・동료, 부모님, 친척・형제, 기타"
1181051569,미스터빽실장 쌍문본점생선회,,,저녁에 방문예약 없이 이용대기 시간 바로 입장친목친구
1181051569,미스터빽실장 쌍문본점생선회,,,"저녁에 방문예약 후 이용대기 시간 바로 입장나들이, 여행연인・배우자"
1181051569,미스터빽실장 쌍문본점생선회,,,"저녁에 방문예약 후 이용대기 시간 바로 입장데이트, 친목, 나들이, 여행, 일상, 기념일, 회식, 가족모임, 비즈니스연인・배우자, 친구, 지인・동료, 아이, 부모님, 친척・형제"
1181051569,미스터빽실장 쌍문본점생선회,,,저녁에 방문예약 후 이용대기 시간 바로 입장데이트연인・배우자
1181051569,미스터빽실장 쌍문본점생선회,,,저녁에 방문예약 후 이용대기 시간 바로 입장데이트연인・배우자
1181051569,미스터빽실장 쌍문본점생선회,,,"저녁에 방문예약 후 이용대기 시간 바로 입장친목, 일상친척・형제"
1181051569,미스터빽실장 쌍문본점생선회,,,저녁에 방문예약 후 이용대기 시간 바로 입장친목지인・동료
1181051569,미스터빽실장 쌍문본점생선회,,,전어회가 고소하고 감칠맛이 폭발해서 한 점 먹을 때마다 놀라워
1181051569,미스터빽실장 쌍문본점생선회,,,전어회는 감칠맛 끝판왕이고 생새우회는 탱글탱글해서 행복해짐
1181051569,미스터빽실장 쌍문본점생선회,,,전어회와 전어무침을 번갈아 먹으니 맛의 깊이가 달라서 계속 먹게 됨
1181051569,미스터빽실장 쌍문본점생선회,,,점심에 방문예약 없이 이용대기 시간 바로 입장일상연인・배우자
1181051569,미스터빽실장 쌍문본점생선회,,,제철생선 싯가라 써져잇어서 좀 쫄앗는데 생각보다 가격 괜찮고 양도 합리적이에요.
1181051569,미스터빽실장 쌍문본점생선회,,,초밥도 잘 나오고 회 퀄리티가 좋아서 가족 외식으로도 추천해요
1181051569,미스터빽실장 쌍문본점생선회,,,회랑 멍게소라세트 다양해서 골고루 먹을수 있는게 젤좋네요. 매장도 시원하고 여전히 깔끔했어요
1181051569,미스터빽실장 쌍문본점생선회,,,🧡 상차림비 인당 1000원인데 함께 나오는 음식 모두 맛있어요. 쌈장에 마늘이랑 고추가 되게 넣어 주시는 것도 너무 좋고 백김치랑 콘치즈 없음 서운하죠. 기본으로 나오는 가오리찜도 따뜻하게 나와서 맛있게 먹었습니다.
1490218728,섭생정식 창동본점,,,"1인 16900원에 간장게장 무한리필되는 반찬 셀프바, 벌교 여수 꼬막비빔밥, 알탕, 장어구이, 국내산 돌문어 숙회가 나와요👍 모든 음식에 설탕과 MSG, 버터, 마가린이 들어가지 않아 좋아요 맛도 최고예요 건강식만 먹는 엄마가 반했어요 원래 게장 잘 안 먹는데 저염 간장게장 맛있어 여러번 가져다 먹었어요 알탕은 이리랑 알 생각보다 많이 들어있고 MSG 안 들어가도 국물 시원하고 맛있어요 지난번에 전복 돌문어 비빔밥 먹었는데 꼬막 비빔밥이 더 맛있는 거 같아요 2명 이상이면 무조건 세트 시키는 거 추천합니다 직원분들도 친절하시고 도봉구에서 가장 맛있어 또가고 싶은 맛집이에요+++++평일 점심시간은 웨이팅 있어 식사시간대 피해서 가는게 좋아요 주차는 해당 건물 지하주차장 2시간 무료예요"
1490218728,섭생정식 창동본점,,,"1인 16900원에 간장게장 무한리필되는 반찬 셀프바, 벌교 여수 꼬막비빔밥, 알탕, 장어구이, 국내산 돌문어 숙회가 나와요👍 모든 음식에 설탕과 MSG, 버터, 마가린이 들어가지 않아 좋아요 맛도 최고예요 건강식만 먹는 엄마가 반했어요 원래 게장 잘 안 먹는데 저염 간장게장 맛있어 여러번 가져다 먹었어요 알탕은 이리랑 알 생각보다 많이 들어있고 MSG 안 들어가도 국물 시원하고 맛있어요 지난번에 전복 돌문어 비빔밥 먹었는데 꼬막 비빔밥이 더 맛있는 거 같아요 2명 이상이면 무조건 세트 시키는 거 추천합니다 직원분들도 친절하시고 도봉구에서 가장 맛있어 또가고 싶은 맛집이에요+++++평일 점심시간은 웨이팅 있어 식사시간대 피해서 가는게 좋아요 주차는 해당 건물 지하주차장 2시간 무료예요"
1490218728,섭생정식 창동본점,,,"가격이 비싼가 싶었는데 해물탕에 문어숙회, 꼬막무침, 칼국수까지 나와서 양 많고 맛있어요."
1490218728,섭생정식 창동본점,,,가족이랑 방문했는데 정말 맛있고 전반적으로 간이 안 쎄서 너무 좋았어요!!
1490218728,섭생정식 창동본점,,,"간장게장 무한리필 반찬 셀프바가 있는 맛집👍 설탕, MSG , 버터, 마가린, 일본산 수산물 안 쓰는 곳이에요! 평일 오후 2시에도 웨이팅 있어요 네이버 예약하거나 오픈런 추천해요 국내산 전복해물뚝배기 주문했는데 엄청 큰 전복 한 마리랑, 낙지 한 마리, 가리비, 바지락, 알, 이리 등 해산물이 한가득 들어있어요 국물도 맵지 않고 맛있어요 저는 전복해물뚝배기>꼬막비빔밥>전복돌문어비빔밥 순으로 맛있네요 여기는 모든 음식이 건강식이라 좋아요 특히 잡채는 제가 먹어본 잡채 중 가장 건강한 맛이에요 주차는 해당 건물 지하 주하장 2시간 무료예요+++++다만 한 달만에 갔더니 가격은 올랐는데 반찬 셀프바가 잘 안 채워져서 간장게장이랑 잡채를 오랫동안 기다렸어요 손님이 많아 바쁘셔서 그런 거 같긴한데 이점은 아쉬웠어요"
1490218728,섭생정식 창동본점,,,건강하게 한끼 먹을 수 있어서 너무 좋습니다! 노원 맛집으로 소문났다고해서 시어머니 시아버지 모시고 왔는데 너무 맛있네요~! 재방문의사 100퍼센트 있습니다!
1490218728,섭생정식 창동본점,,,"낙지가 가득한 해물파전, 영주사과 맛이 가미된 물회, 깔끔한 맛의 멍게비빔밥까지 완전 행복한 식사시간이었어요."
1490218728,섭생정식 창동본점,,,"낙지가 가득한 해물파전, 영주사과 맛이 가미된 물회, 깔끔한 맛의 멍게비빔밥까지 완전 행복한 식사시간이었어요."
1490218728,섭생정식 창동본점,,,"다만, 입장 후 곧 브레이크 타임이라며 한시간도 안되는 시간 안에 식사를 마치라고 해서 브레이크타임에 대해 미리 고지를 해주실것에 대해 말했더니 바뻐서 기다리는 손님이 있었는지도 몰랐다는 되도 않는 변명+그냥 계속 드셔라 며 선심쓰듯 하는 얘기에 기분은 좋지 않았지만 부모님을 모시고 간 자리라 그냥 먹었네요."
1490218728,섭생정식 창동본점,,,"다만, 입장 후 곧 브레이크 타임이라며 한시간도 안되는 시간 안에 식사를 마치라고 해서 브레이크타임에 대해 미리 고지를 해주실것에 대해 말했더니 바뻐서 기다리는 손님이 있었는지도 몰랐다는 되도 않는 변명+그냥 계속 드셔라 며 선심쓰듯 하는 얘기에 기분은 좋지 않았지만 부모님을 모시고 간 자리라 그냥 먹었네요."
1490218728,섭생정식 창동본점,,,문어해물탕 주문해서 먹었는데 손질도 다 해주시고 양도 푸짐하고 살아 있는 문어를 통째로 넣어 주십니다 꼬막 국수 비빔에 문어숙회에까지 세트로 주셔서 진짜 맛있게 잘 먹었어요 잡채에 간장게장까지 무한으로 반찬 먹을수 있어 푸짐하게 잘 먹었네요
1490218728,섭생정식 창동본점,,,물회 별로 안좋아했었는데 여기 물회는 정말 맛있더라구요ㅜ 설탕이랑 화학조미료도 안들어가고 원산지는 다 국내산이구요 반찬도 무한리필이여서 가격적으로 정말 괜찮다고 생각합니다 :)
1490218728,섭생정식 창동본점,,,물회 별로 안좋아했었는데 여기 물회는 정말 맛있더라구요ㅜ 설탕이랑 화학조미료도 안들어가고 원산지는 다 국내산이구요 반찬도 무한리필이여서 가격적으로 정말 괜찮다고 생각합니다 :)
1490218728,섭생정식 창동본점,,,밑반찬도 다 맛있고 직원분들도 모두 친절하셔서 재방문 의사 넘치는 맛집입니다.
1490218728,섭생정식 창동본점,,,비린거 잘 못먹는데 비린내 하나 안나고 너무 맛있어요~! 너무 신선하고 간도 딱 적절해서 너무 잘먹었어요! 해물파전도 해산물 넉넉하고 두툼해서 존맛탱!
1490218728,섭생정식 창동본점,,,"설탕과 MSG, 버터, 마가린 안 쓰는 식당 처음이에요👍반찬 셀프바 있어 간장게장을 무제한으로 먹을 수 있어 좋아요 전복돌문어비빔밥 주문했어요 신선한 국내산 전복과 돌문어를 강된장에 비벼 먹으니 맛있어요 김에 싸먹는 거 추천해요 반찬 셀프바 다 맛있는데 잡채는 당면이 다 달라붙어 떡 같아서 아쉬웠어요 그렇지만 이렇게 건강한 맛의 잡채는 처음이에요 재방문 의사 있어요+++++식사 시간대는 웨이팅 있어 기다렸어요 낮 12시 30분쯤에 방문하면 안 기다려요 직원분들 친절하시고 추천합니다"
1490218728,섭생정식 창동본점,,,섭생정식 신선도가 다 좋아서 음식이 맛있고 속이 편안해요.
1490218728,섭생정식 창동본점,,,신선한 재료로 늘 맛있게 요리해주셔서 항상 잘 먹고 갑니다
1490218728,섭생정식 창동본점,,,"신선한 해산물이 가득한 정식 구성이 나와서, 건강하게 한 끼를 즐길 수 있었습니다. 특히 해산물의 신선도가 남다르게 느껴져서 가족모임이나 단체모임 자리로 손색이 없었어요."
1490218728,섭생정식 창동본점,,,에피타이저인 꼬막 파스타부터 밑반찬인 게장이랑 메인인 해물탕의 해물들도 신전하고 오래 우려낸 육수까지 생각보다 너무 맛있게 잘 먹었습니다.
1490218728,섭생정식 창동본점,,,예약 후 대기없이 이용해서 좋았고 깔끔하고 메뉴 하나하나 다 맛있어요!!
1490218728,섭생정식 창동본점,,,예약하고 다녀왓어요 재료들이 신선하고 맛도 깔끔하니 맛잇네요 해산물 좋아하시면 맘에 드실듯 하ㅐ요 콜키지도 무료라서 좋네요
1490218728,섭생정식 창동본점,,,오랜만에 방문했는데 여전히 맛있습니다. 밑반찬도 깔끔하고 맛나고요. 특히 간장게장 정말 맛있습니다.
1490218728,섭생정식 창동본점,,,유명한 맛집이라길래 일부러 찾아왔어요 해산물이 다 싱싱하고 밑반찬 포함 모든 메뉴가 깔끔한 맛이에요 부모님이랑 같이 오시면 만족하실 거에요 모임하기에도 좋을 것 같아요 흔하지 않은 메뉴가 있고 양도 푸짐하네요 여러명이서 와서 다양하게 시켜먹어보세요 메뉴 다 추천합니다 넘 잘먹었습니다~
1490218728,섭생정식 창동본점,,,일단 밑반찬들이 너무 맛있구요 하나하나 다 너무 신선했습니다 우연히 알게된 가게인데 자주올것같아요 너무 건강하게 잘먹었습니다
1490218728,섭생정식 창동본점,,,"자극적이지 않고 깔끔하게 맛있네요~ 가족모임 하기 정말 좋고, 미리 룸 예약하니 편하게 식사 가능해요!! 다만 일요일 오후에는 문어가 매진이라 낙지로 대체해서 먹었습니다ㅠㅠ 그래도 넘 맛있네요~~"
1490218728,섭생정식 창동본점,,,저녁에 방문예약 후 이용대기 시간 10분 이내 가족모임부모님
1490218728,섭생정식 창동본점,,,저녁에 방문예약 후 이용대기 시간 바로 입장가족모임부모님
1490218728,섭생정식 창동본점,,,저녁에 방문예약 후 이용대기 시간 바로 입장친목지인・동료
1490218728,섭생정식 창동본점,,,저녁에 방문예약 후 이용대기 시간 바로 입장친목지인・동료
1490218728,섭생정식 창동본점,,,저녁에 방문예약 후 이용대기 시간 바로 입장친목지인・동료
1490218728,섭생정식 창동본점,,,"점심에 방문예약 없이 이용대기 시간 10분 이내 친목연인・배우자, 아이"
1490218728,섭생정식 창동본점,,,점심에 방문예약 후 이용대기 시간 30분 이내일상부모님
1490218728,섭생정식 창동본점,,,"점심에 방문예약 후 이용대기 시간 바로 입장기념일연인・배우자, 부모님, 아이"
1490218728,섭생정식 창동본점,,,"점심에 방문예약 후 이용대기 시간 바로 입장일상, 가족모임연인・배우자, 부모님"
1490218728,섭생정식 창동본점,,,"조개, 전복, 갑오징어 등이 가득 들어간 해물탕은 시원하고 담백해서 맛있었습니다."
1490218728,섭생정식 창동본점,,,"조개, 전복, 갑오징어 등이 가득 들어간 해물탕은 시원하고 담백해서 맛있었습니다."
1490218728,섭생정식 창동본점,,,"주문할땐 해산물한상 가격이 비싼편이라 생각했는데 나오는거, 서비스 해주시는 거 생각하니 전혀 비싼게 아니었어요."
1490218728,섭생정식 창동본점,,,지나가다 보면 웨이팅 있었던 이유를 알겠어요 저희는 점심에 이용했는데 전복뚝배기 진짜 대박이에요 무조건 드세요..문어비빔밥도 너무 맛있게 먹었구요 반찬 셀프로 가져다 먹을수있고 솥밥인것도 너무너무 좋아요 맛이랑 신선함은 두말 할 필요가 없어요..부모님도 모시고 오기 좋을거같아요 저 여기 자주올래요ㅠㅠㅠ맛집인정입니다👍💓
1490218728,섭생정식 창동본점,,,지나가다 보면 웨이팅 있었던 이유를 알겠어요 저희는 점심에 이용했는데 전복뚝배기 진짜 대박이에요 무조건 드세요..문어비빔밥도 너무 맛있게 먹었구요 반찬 셀프로 가져다 먹을수있고 솥밥인것도 너무너무 좋아요 맛이랑 신선함은 두말 할 필요가 없어요..부모님도 모시고 오기 좋을거같아요 저 여기 자주올래요ㅠㅠㅠ맛집인정입니다👍💓
1490218728,섭생정식 창동본점,,,창동에 있는 해물맛집. 지난번 돌문어전복비빔밥이 맛있어 2번째 방문. 이번엔 꼬막비빔밥. 진짜 찐이네요. 여기 낙지파전은 꼬마새우를 넣어서 식감이 더 바싹!!
1490218728,섭생정식 창동본점,,,창동에 있는 해물맛집. 지난번 돌문어전복비빔밥이 맛있어 2번째 방문. 이번엔 꼬막비빔밥. 진짜 찐이네요. 여기 낙지파전은 꼬마새우를 넣어서 식감이 더 바싹!!
1490218728,섭생정식 창동본점,,,처음 와 봤는데 신선하고 대표님과 매니저의 정성이 느껴지는 진심이 가득한 음식점이었습니다. 다음에 또 예약 하고 침묵을 함께 하겠습니다.
