가게ID,가게명,업종,평점,날짜,리뷰내용
35608484,JW메리어트동대문스퀘어서울 타볼로 24,맛집,,,JW 갈비 가든은 여전히 갈비 연관 메뉴들이 다양하면서 저 같은 육식파에게 천국이구요.
35608484,JW메리어트동대문스퀘어서울 타볼로 24,맛집,,,고집스럽고 구성도 알차고 맛도 좋아서 둥생도 아주 만족스러워 했어요. 특히나 차례주가 돋보였어요.
35608484,JW메리어트동대문스퀘어서울 타볼로 24,맛집,,,남자친구와 3년 기념일이라 방문했어요. 음식이 하나도 빠짐없이 너무 맛있고 신선했어요! 사람도 많지가 않아서 조용하게 즐길 수 있는게 제일 좋았구요!
35608484,JW메리어트동대문스퀘어서울 타볼로 24,맛집,,,너무나 다양한 음식과 데코도 넘 이쁘고 맛과 양 그리고 신선도 모두 대 만족이였어요^^
35608484,JW메리어트동대문스퀘어서울 타볼로 24,맛집,,,"늘 따뜻함을 유지하고 보내주지만, 먹기전에 한번더 데워서 먹으면 '내가 호텔에 온건가?' 헷갈릴만큼 맛있어요😁"
35608484,JW메리어트동대문스퀘어서울 타볼로 24,맛집,,,"늘 친절한 응대와 깨끗한 시설 이용이 가능해서 좋아하는곳인데 평소에는 금,토에 방문하다가 처음으로 평일에 방문했더니 이용객이 적어서 그런지 양고기, 랍스터, la갈비 등 구이류 구워주시는 텀이 길어서 자주 비어있더라구요."
35608484,JW메리어트동대문스퀘어서울 타볼로 24,맛집,,,다 먹고 갈때쯤 김세준 직원분께서 조각케이크를 이벤트선물로 주셨는데 그 사이 오간 대화에 애기심장소리 듣고온날임은 들으시고 식사를 마치고 나가는길에 정성가득한 손편지와 샴폐인을 선물로주셨다
35608484,JW메리어트동대문스퀘어서울 타볼로 24,맛집,,,단발머리 여자 직원분 향수 냄새가 너무 강해서 테이블 근처에 올 때마다 음식을 먹는 건지 향수를 먹는 건지 모를 정도였습니다. 음식 그것도 회와 와인을 다루는 곳에서 강한 향수 사용은 손님도 입장 금지 되는데 직원이 냄새가 진동할 정도의 향수를 사용하고도 아무런 제재가 없었다는 게 이해 되지 않습니다. 평일이라 그런지 빈 음식이 채워지는 텀도 길고 직원분 향수 냄새와 응대 태도도 아쉬웠습니다.
35608484,JW메리어트동대문스퀘어서울 타볼로 24,맛집,,,"디저트 : 낭낭함, 호텔 케익 가져다 놓음, 빙수 얼음 우유 베이스"
35608484,JW메리어트동대문스퀘어서울 타볼로 24,맛집,,,랍스타 바로 구워주시고 거의 고기나 스파게트 전부 바로 굽고 조리해서 주시구요 과일도 신선하게 냉장고?에서 꺼내먹을수 있고 깔끔하고 무엇보다 다들 너무 친절하세요ㅎ 같이간 지인은 신×호텔 담으로 탑이라는데
35608484,JW메리어트동대문스퀘어서울 타볼로 24,맛집,,,랍스터 바로바로 구워주셔서 진짜 따뜻하고 쫀득하고 너무 맛있었고 회 신선하고 쫄깃하고요. 마카롱이랑 타르트 미쳤어요 부페 디저트 아닌것같아요 유명 디저트집 온줄요. 커피도 고소하니 맛있어서 투샷 두잔 그냥 들어가더라고요
35608484,JW메리어트동대문스퀘어서울 타볼로 24,맛집,,,매번 방문할때마다 지배인님 모든 직원분들이 친절하고 세심하게 잘챙겨주십니다. 음식맛도 좋고 부모님과 식사잘했습니다. 감사합니다
35608484,JW메리어트동대문스퀘어서울 타볼로 24,맛집,,,명절마다 이용하고 있는데 항상 만족스럽게 잘 이용하고 있습니다. 친절하고 맛있어요. 이번에는 나물이 빠져서 나물은 다른데서 구매했는데 역시나 명절투고에 포함된 나물이 젤 맛있어요.
35608484,JW메리어트동대문스퀘어서울 타볼로 24,맛집,,,명절음식 여기서 주문한지 n회차입니다. 부모님이 늘 만족해하십니다. 강추합니다
35608484,JW메리어트동대문스퀘어서울 타볼로 24,맛집,,,몇년전에 디너를 너무 맛있게 먹어서 이번에는 런치타임에 지인과 함께 아이동반하여 방문했습니다. 음식과 분위기 모두 만족스러웠고 무엇보다 직원들이 너무 친절합니다.. 주말이고 바쁜 시간대였는데 계속 웃으시면서인사해주시는 모습이 너무 감동이었습니다ㅠㅠㅠㅠ특히 갈비구이 아이가 너~~~무 맛있게 잘먹었습니다😆
35608484,JW메리어트동대문스퀘어서울 타볼로 24,맛집,,,무화과 너무 맛있었고 버섯 수프 레시피 알고 싶어요ㅠㅠㅠ
35608484,JW메리어트동대문스퀘어서울 타볼로 24,맛집,,,"배우자 생일이어서 방문하게 된 타볼로 24, 기념일이라고 예약했더니 동대문이 잘 보이는 좋은 자리로 배정해주셨고, 특히 직원분들의 서비스에 감동을 받았네요. 김세준(LOGAN)님께서 직접 챙겨주신 특별한 와인잔과 생일 케익에 감사했습니다. 그리고 양갈비와 랍스터를 직접 테이블 서비스 해주신 셰프님께도 감사드립니다. 분위기도 좋고 음식도 다양하고 맛있어서 아주 만족스러운 생일을 챙겨줬네요. 다음에 또 뵐게요!!"
35608484,JW메리어트동대문스퀘어서울 타볼로 24,맛집,,,"부모님 모시고 가족끼리 평일 저녁에 여유롭게 아주 만족스럽게 식사했습니다! 우선 예약을 하고 가서, 바로 흥인지문이 보이는 창가자리에 앉을 수 있었구요~ 사진엔 다 담지도 못했지만, 우대갈비,갈비찜 등 여러종류 갈비랑 스테이크,양갈비,랍스타,대개,사시미는 물론이고 요리들도 너무 맛있었구요.. 라이브 파스타 코너도 있고 디저트도 예쁘고 사랑스런 맛이에요~ 치즈랑 올리브 종류도 많아서 와인 마시기도 좋아요! 저희 언니가 좋은 장소에서 오랜만에 가족들과 행복한 시간이어서 와인을 좀 많이 마셨는데요.. 매니저님과 직원분들이 끝까지 너무 따듯하고 친절하게 대해주셔서 감사했습니다 :) 덕분에 부모님도 행복해하시고 맛있고 즐거운 저녁이었어요~❤️"
35608484,JW메리어트동대문스퀘어서울 타볼로 24,맛집,,,뷰가 정말좋고 맛있게 먹었습니다. 특히 디저트류가 정말 맛났습니다. ^^ 재방문의사 있습니다.
